Gene,Metabolite,Sign
ENSMUSG00000015461-P,Nitrosothymol,-1.0
ENSMUSG00000031511-P,2-Oxooctanoic acid,-1.0
ENSMUSG00000031511-P,Urea,-1.0
ENSMUSG00000029198-P,Campesterol,1.0
ENSMUSG00000029198-P,Hydantoic acid,-1.0
ENSMUSG00000024151-P,"D-(+)-Ribono-1,4-lactone (R,S,R)-",-1.0
ENSMUSG00000024151-P,"Dodecane, 4,6-dimethyl-",-1.0
ENSMUSG00000030591-P,"N,N-Dimethyl-2-cyclohexyloxyethylamine",-1.0
ENSMUSG00000052751-P,Benzenepropanoic acid,1.0
ENSMUSG00000052751-P,"cis-4,5-Dihydroxy-o-dithiane, 2O-",-1.0
ENSMUSG00000052751-P,phenoxyethanol,-1.0
ENSMUSG00000025474-P,"15-Oxo-11Z,13E-eicosadienoic acid",1.0
ENSMUSG00000025474-P,Dihydrouracil,1.0
ENSMUSG00000025474-P,Hydracrylic acid,1.0
ENSMUSG00000025474-P,L-Asparagine,1.0
ENSMUSG00000005580-P,"Cholest-7-en-3-ol, (3beta,5alpha)-",1.0
ENSMUSG00000030663-P,D-Mannose,1.0
ENSMUSG00000035941-P,10-Heptadecenoic acid,1.0
ENSMUSG00000035941-P,Trimidox,-1.0
ENSMUSG00000036501-P,N-Acetyltyrosine,1.0
ENSMUSG00000035934-P,"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",-1.0
ENSMUSG00000035934-P,4-Methylvaleric acid,-1.0
ENSMUSG00000035934-P,"Carbonic acid, eicosyl vinyl ester ",-1.0
ENSMUSG00000058420-P,Galactopyranose,1.0
ENSMUSG00000019907-P,Hydroquinidine,1.0
ENSMUSG00000025410-P,1-Deoxypentitol,-1.0
ENSMUSG00000025410-P,"Benzoic acid, pentadecyl ester",-1.0
ENSMUSG00000025410-P,beta-Lyxopyranose,-1.0
ENSMUSG00000061718-P,"N,N-Dimethyl-2-cyclohexyloxyethylamine",-1.0
ENSMUSG00000008690-P,Dodecylcyclohexane,-1.0
ENSMUSG00000008690-P,"N,N-Diethyl-2-aminoethanol",-1.0
ENSMUSG00000008690-P,Neostigmine ,-1.0
ENSMUSG00000008690-P,Octan-2-yl palmitate,1.0
ENSMUSG00000004895-P,2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,1.0
ENSMUSG00000028273-P,"Benzoic acid, pentadecyl ester",1.0
ENSMUSG00000028273-P,Dinoseb ,1.0
ENSMUSG00000028273-P,Levulinic acid,1.0
ENSMUSG00000028273-P,Methylmalonic monoamide,1.0
ENSMUSG00000026520-P,"2,4-Imidazolidinedione, 5,5-dimethyl-",-1.0
ENSMUSG00000026520-P,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",-1.0
ENSMUSG00000083899-P,4-Methylvaleric acid,-1.0
ENSMUSG00000030879-P,Nitrosothymol,-1.0
ENSMUSG00000021585-P,2-Amino-4-methylphenol,1.0
ENSMUSG00000021585-P,2-Oxooctanoic acid,-1.0
ENSMUSG00000021585-P,Urea,-1.0
ENSMUSG00000026623-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1.0
ENSMUSG00000026623-P,10-Heptadecenoic acid,1.0
ENSMUSG00000026623-P,2-Amino-4-methylphenol,1.0
ENSMUSG00000026623-P,3-Hexenedinitrile,1.0
ENSMUSG00000026623-P,"6,7,4'-Trihydroxyisoflavone",1.0
ENSMUSG00000026623-P,p-Toluic acid,1.0
ENSMUSG00000001964-P,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",-1.0
ENSMUSG00000001964-P,Deoxycholic Acid,-1.0
ENSMUSG00000001964-P,Pimelic acid,-1.0
ENSMUSG00000036613-P,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0
ENSMUSG00000036613-P,1-Cyclopentylethanol,-1.0
ENSMUSG00000036613-P,"9H-Fluorene, 9-methylene-",-1.0
ENSMUSG00000036613-P,"Carbonic acid, eicosyl vinyl ester ",-1.0
ENSMUSG00000036613-P,Dehydronorketamine,-1.0
ENSMUSG00000036613-P,"Dodecanamide, N-(2-hydroxyethyl)-",-1.0
ENSMUSG00000036613-P,Heptadecanoic acid,-1.0
ENSMUSG00000036613-P,Indole-5-carboxylic acid,-1.0
ENSMUSG00000036613-P,Isonicotinic Acid,-1.0
ENSMUSG00000015839-P,D-Mannose,1.0
ENSMUSG00000015839-P,L-Alanine,-1.0
ENSMUSG00000044296-P,L-5-Oxoproline,-1.0
ENSMUSG00000032633-P,1-Hydroxy-3-methoxy-6-methylanthraquinone,-1.0
ENSMUSG00000032633-P,2-Hydroxybutyric acid,1.0
ENSMUSG00000032633-P,Isofucosterol,1.0
ENSMUSG00000023236-P,"9H-Purine, 9-(trimethylsilyl)-2,6,8-tris[(trimethylsilyl)oxy]-",-1.0
ENSMUSG00000026483-P,"1-Octanol, 2-butyl-",-1.0
ENSMUSG00000026483-P,Atrazine desethyl,1.0
ENSMUSG00000026483-P,Supraene,-1.0
ENSMUSG00000057738-P,Deoxycholic Acid,-1.0
ENSMUSG00000010607-P,Nonanal,-1.0
ENSMUSG00000010607-P,Ser-Leu,-1.0
ENSMUSG00000030862-P,"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",1.0
ENSMUSG00000035505-P,Glycolic acid,-1.0
ENSMUSG00000014195-P,1-Deoxypentitol,-1.0
ENSMUSG00000014195-P,"3-Hydroxy-2,3-dihydromaltol",-1.0
ENSMUSG00000014195-P,4-Hydroxybenzeneacetic acid,-1.0
ENSMUSG00000014195-P,"Dodecane, 4,6-dimethyl-",-1.0
ENSMUSG00000014195-P,Triethanolamine,-1.0
ENSMUSG00000036718-P,"Benzene, 4-ethenyl-1,2-dimethoxy-",-1.0
ENSMUSG00000036718-P,Hydroquinone,1.0
ENSMUSG00000036718-P,"L-Lysine, ethyl ester ",-1.0
ENSMUSG00000062044-P,"Cyclopentanone, 2,2,4-trimethyl-",-1.0
ENSMUSG00000086825-P,Methyl-3-methoxy-5-methyl benzoate,1.0
ENSMUSG00000086825-P,Oxalic acid,-1.0
ENSMUSG00000041134-P,"3,5-di-tert-Butyl-4-hydroxyacetophenone",-1.0
ENSMUSG00000041134-P,5-Hydroxyquinoline,1.0
ENSMUSG00000041134-P,"Benzene, 4-ethenyl-1,2-dimethoxy-",-1.0
ENSMUSG00000041134-P,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0
ENSMUSG00000041134-P,"Cyclopentanone, 2,2,4-trimethyl-",1.0
ENSMUSG00000041134-P,DL-Glyceraldehyde,1.0
ENSMUSG00000041134-P,Glyceric acid,1.0
ENSMUSG00000041134-P,Methyl-3-methoxy-5-methyl benzoate,1.0
ENSMUSG00000041134-P,"Propanoic acid, 2-oxo-",-1.0
ENSMUSG00000059495-P,"Benzaldehyde, 2,5-dimethyl-",1.0
ENSMUSG00000059495-P,"Benzoic acid, pentadecyl ester",1.0
ENSMUSG00000102142-P,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",1.0
ENSMUSG00000102142-P,phenoxyethanol,-1.0
ENSMUSG00000024170-P,"Inosose-2, 1,3,4,5,6-pentakis-",-1.0
ENSMUSG00000030058-P,"Guanidine, N,N-dimethyl-",-1.0
ENSMUSG00000050822-P,2-Pentenoic acid,1.0
ENSMUSG00000050822-P,Dodecylcyclohexane,-1.0
ENSMUSG00000050822-P,"N,N-Diethyl-2-aminoethanol",-1.0
ENSMUSG00000014075-P,1-Phenethylamine,1.0
ENSMUSG00000014075-P,10-Heptadecenoic acid,1.0
ENSMUSG00000014075-P,2-Hydroxy-3-methylbutyric acid,1.0
ENSMUSG00000014075-P,"3-Methylpiperazine-2,5-dione, (R)-",1.0
