ID,101.0,100.0,102.0,896.0,897.0,T0.5,T0.6,T0.7,T0.8,UNK12,73.0,76.0
ENSMUSG00000000326-C,7.119058668855816,7.351824631997019,6.844359256029119,6.987224935519179,6.9590417194514576,6.876388114449808,7.128501061041534,6.816404410561486,6.815958657317895,,,
ENSMUSG00000000827-C,6.095409897585464,5.678914279734958,6.241528092247083,6.10933303827233,5.955568965857139,5.915809403712013,6.1846673903767755,5.724184104635114,6.026103746009668,,,
ENSMUSG00000000881-C,8.554253729971105,8.768273153920267,8.644444884638423,7.806238248507494,8.336210872528117,8.528482060194255,8.331453224979452,8.605749603982874,8.515741818650108,,,
ENSMUSG00000000976-C,5.326297240154299,5.461207771779612,4.694204739759362,5.499053189622769,5.36712533199982,4.646706835650986,5.1359318331393675,4.54479128052225,5.029788150157312,,,
ENSMUSG00000001128-C,4.200634153951173,3.181526091046473,3.265291998573044,2.9641894307294048,3.5100788664663383,3.5262732991065455,1.712571527584626,3.5074880852801837,3.922871459374952,,,
ENSMUSG00000001521-C,4.019154570446448,4.310064786369203,2.753466800942782,5.198506277052428,5.120075235611372,4.510633550458227,3.6307810679510832,4.4946112912842064,4.333940744587301,,,
ENSMUSG00000001666-C,5.761510440637426,6.384059417281859,6.49220604402276,5.386231883212921,5.761930135269792,5.76446585468158,5.430711149982712,5.888646924206125,5.7857662384178505,,,
ENSMUSG00000001773-C,1.0612255463732776,2.673957838819107,1.5432246700768597,2.138137563504853,2.292011360782609,1.3237104085262597,1.0967492717572764,2.3188822613527895,2.9386360600829815,,,
ENSMUSG00000002228-C,2.090890740391519,1.4822933651173062,0.0,0.0,0.0,1.3237104085262597,0.0,0.0,1.8073849903108583,,,
ENSMUSG00000002608-C,6.733493028539443,6.599540889878606,6.981813958254896,6.588776931516148,6.731038905655087,6.412325339329962,6.272292068551334,6.54774837314836,6.507836272997877,,,
ENSMUSG00000002633-C,1.6660324636864343,0.9236912118413654,2.753466800942782,2.609495240548126,1.201086816065423,2.2502722058212323,2.4737582927568313,3.2893625141918443,2.584997580289027,,,
ENSMUSG00000002733-C,5.818182651203903,6.015344628528598,5.86872532471544,6.073342880936644,5.8294057749313675,6.292950239762463,6.611635815358924,6.336088782517406,6.294662308031573,,,
ENSMUSG00000002778-C,8.085282003692742,8.269866128005631,8.320828828253319,7.901683845045792,8.012498016924418,7.929253101135792,7.967976765903055,8.206632406782584,8.099828061635693,,,
ENSMUSG00000002820-C,5.116356650448591,5.370279929231096,4.893205936692166,4.8184146398616825,5.065150104868289,4.192631316275886,4.34754389195081,4.813950177861993,4.000039464453881,,,
ENSMUSG00000002910-C,3.9190677346575544,2.4554423935427265,2.9449675252531367,1.4334760532826032,1.84729786765765,3.703180827881894,3.337679642492369,3.6053134790057273,2.772625439053359,,,
ENSMUSG00000002963-C,4.506783943337601,4.8026521731307055,4.746587023807134,4.300902556653133,3.806456095533223,4.412220641925155,4.34754389195081,4.931776063274248,4.000039464453881,,,
ENSMUSG00000003228-C,4.112746069128248,4.373869263088962,4.583364113437317,5.5523189975045355,4.753955375011224,4.002783898283538,4.5005297109556714,4.150211254386488,4.502540578785094,,,
ENSMUSG00000003282-C,1.0612255463732776,1.4822933651173062,1.5432246700768597,1.4334760532826032,1.201086816065423,0.8086282278702569,0.0,0.846305570751632,1.4150638090347123,,,
ENSMUSG00000003382-C,4.361814742642791,4.24330740113295,3.848113560655806,5.7012444133081654,4.753955375011224,4.306599851272038,4.765036951130696,4.442622844884783,4.14299766649662,,,
ENSMUSG00000003418-C,1.6660324636864343,0.9236912118413654,0.0,1.4334760532826032,1.201086816065423,2.002227548217203,1.0967492717572764,2.067488679955821,0.0,,,
ENSMUSG00000003421-C,5.732317036902873,6.304433347426391,6.429500754871832,5.443745108748944,5.32098431233377,5.617618607829209,5.798534728731463,5.610979367318627,5.718859543567126,,,
ENSMUSG00000003452-C,7.289083647933337,6.612823649251255,6.4454344311581835,6.779547242845372,6.881683265171662,6.939583025176289,6.993200994538395,6.510355683157012,6.609836018075698,,,
ENSMUSG00000003527-C,4.700116627791696,4.434971037440396,4.694204739759362,5.058246109287047,3.806456095533223,4.68935462916142,4.703316352969184,4.4946112912842064,4.4485006681895936,,,
ENSMUSG00000003549-C,5.326297240154299,4.892527138752523,4.639848634876391,3.868660751385197,4.528894874093235,4.957069922462677,5.0884363782893285,4.4946112912842064,4.874509778245711,,,
ENSMUSG00000003752-C,2.910774933198879,3.441827149251054,3.940955124187888,1.4334760532826032,3.665864844922387,1.702496038550303,1.712571527584626,2.532901923184754,2.36926775764794,,,
ENSMUSG00000003970-C,9.038583612710742,9.252754319840417,9.713438072252766,9.207589269591429,9.05268824957165,8.84609875284169,9.120747348677185,8.92989015541962,8.99250834004689,,,
ENSMUSG00000004070-C,7.681591485138177,7.925880140302438,7.763763989106196,7.329938964331805,7.5749544459091345,7.441744056590815,7.578687045025559,7.606497874718854,7.539200680171162,,,
ENSMUSG00000004085-C,4.200634153951173,3.556251698652685,3.940955124187888,3.690056043985187,3.136645565127414,3.703180827881894,3.6307810679510832,3.032280577134576,3.754926479408451,,,
ENSMUSG00000004151-C,6.833107067460007,6.72716652565373,6.8563274594430865,6.663302735813608,7.102326860459532,7.160295456537961,7.294666472036832,7.238438284259746,6.967748355862459,,,
ENSMUSG00000004268-C,5.543543592620155,5.601072961874427,5.026289226720062,5.443745108748944,5.411836265332917,5.951288495033768,6.042363731696917,5.964343368821456,5.672466611962801,,,
ENSMUSG00000004356-C,4.200634153951173,3.8534406654036033,3.527256332227863,4.300902556653133,4.052201677285168,4.510633550458227,4.5005297109556714,3.8643493295108,4.209493185613544,,,
ENSMUSG00000004360-C,6.819290718998538,6.5171688966204835,6.107751635900119,6.4830142203880525,6.326372151070864,7.190301022086289,6.6448491908552,6.665822911995749,7.033464775582421,,,
ENSMUSG00000004508-C,5.543543592620155,5.601072961874427,5.937938483131097,5.5523189975045355,5.726970734316112,5.2696787938976275,5.468304823857709,5.767090587794956,5.574950048329096,,,
ENSMUSG00000004895-C,3.430329504878941,3.03134235656842,1.5432246700768597,3.868660751385197,4.160973786948527,3.784113270972422,3.874272644065696,3.1665403446796927,3.6630037848267736,,,
ENSMUSG00000004945-C,7.502973085942749,7.551271556998276,8.222540362853938,6.710930266887655,7.003540943383121,7.290662696082045,7.356120128210108,7.489668064687243,7.431887638552392,,,
ENSMUSG00000004952-C,2.910774933198879,2.673957838819107,2.27169581750873,1.4334760532826032,2.9060517082773543,3.2121019552631123,2.4737582927568313,3.402543765077897,3.2224300065550993,,,
ENSMUSG00000005089-C,11.892652270162571,11.911600688718792,11.52097547199671,12.025855989937494,12.047212558229871,12.101987615513137,12.092757339623727,11.956846263911268,11.95835312252939,,,
ENSMUSG00000005699-C,5.899223568075901,6.254459045095914,6.347080708657571,5.65329065696997,6.621093659805925,5.897737210193262,6.374831120867834,5.888646924206125,5.969667774610442,,,
ENSMUSG00000005871-C,9.04453385789929,8.954555014636853,8.879577063290258,9.272515596808407,9.121602939188469,8.92629067637035,9.000806727661631,8.925161966902628,8.907433452150814,,,
ENSMUSG00000005947-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3761692453425427,0.0,,,
ENSMUSG00000006095-C,7.4138456187913455,7.786307725146049,7.819847722874022,7.529074768455506,7.340667988974164,7.538228686620701,7.570067645787708,7.515062323241487,7.486541722485366,,,
ENSMUSG00000006241-C,4.112746069128248,3.3175393399239037,1.9529590040861384,3.4861740589936105,2.292011360782609,3.0900831294315263,2.4737582927568313,2.532901923184754,3.345812791746194,,,
ENSMUSG00000006307-C,5.672095915793873,4.892527138752523,4.746587023807134,5.198506277052428,5.691143114577372,4.991560559280916,4.765036951130696,5.266819432164264,4.7004801944898515,,,
ENSMUSG00000006333-C,8.409609266120452,8.69834596917624,8.816651649173961,8.456967168140782,8.376245452384794,8.174135807717619,8.722217722478742,8.379043270692643,8.326471451365046,,,
ENSMUSG00000006642-C,1.0612255463732776,0.0,0.9688103744562226,0.0,0.0,0.0,0.0,0.0,0.0,,,
ENSMUSG00000006998-C,8.31923899147112,8.591697898498156,8.544427137863103,8.538424953203224,8.398633246273171,8.296431495272016,8.499746318298133,8.33337936217712,8.245594662937021,,,
ENSMUSG00000007038-C,7.238070949382033,7.351824631997019,7.035434103370934,6.823543371045298,7.102326860459532,6.7611651132846955,7.068568997647901,6.980355417575751,6.72796215282181,,,
ENSMUSG00000007080-C,0.0,0.0,0.9688103744562226,2.138137563504853,1.201086816065423,0.0,1.0967492717572764,1.3761692453425427,1.4150638090347123,,,
ENSMUSG00000007610-C,3.568887481409009,4.8026521731307055,3.642321771994718,4.1706999010872465,4.160973786948527,4.002783898283538,4.82422502670604,3.8643493295108,4.000039464453881,,,
ENSMUSG00000009145-C,2.090890740391519,0.9236912118413654,0.9688103744562226,1.4334760532826032,1.201086816065423,1.702496038550303,1.0967492717572764,0.846305570751632,2.115509598589792,,,
ENSMUSG00000009863-C,8.867883353621815,9.114850857871348,9.377893456126394,8.77527623546995,8.702937905314709,8.450044027548135,8.579210404865824,8.700104420359034,8.650495425503678,,,
ENSMUSG00000011960-C,6.527994325098708,6.763351925381517,6.476783374366273,6.90770422931224,6.621093659805925,6.9307228990897185,6.1846673903767755,6.61974611797455,6.412258581332085,,,
ENSMUSG00000014158-C,0.0,0.9236912118413654,0.0,0.0,1.201086816065423,0.8086282278702569,2.4737582927568313,0.0,1.8073849903108583,,,
ENSMUSG00000014763-C,6.095409897585464,5.728568950337024,5.666067839350915,6.073342880936644,6.349541123414712,6.147585617107683,5.7382607179212455,6.336088782517406,6.132755417798814,,,
ENSMUSG00000014776-C,5.57677140685764,5.306312937226608,6.4611940504267205,5.386231883212921,5.32098431233377,5.5953648599735635,5.1359318331393675,4.813950177861993,4.91492408633389,,,
ENSMUSG00000015149-C,7.174374932151963,7.359724857299668,7.437133548921512,6.967751891640705,7.269567223611051,7.454163462388254,7.241376528923259,7.60057919775865,7.626967676245583,,,
ENSMUSG00000015568-C,4.973964555919673,4.24330740113295,4.694204739759362,5.5523189975045355,4.753955375011224,5.526466771622464,5.540675110564346,5.325410154363054,5.497227704024088,,,
ENSMUSG00000015837-C,9.105573103001994,9.46538180553808,9.555399052182096,9.276478090328354,9.171211141426086,9.043938268221446,9.048125044597205,9.240799676390893,9.045801677112262,,,
ENSMUSG00000015981-C,8.827041949804027,8.914890060827156,9.501166181821224,8.840967154768293,8.566230124078297,8.534342744248857,8.749193545683674,8.775591440270482,8.58938102983582,,,
ENSMUSG00000016477-C,5.070436631402004,5.01764090788891,4.332315566341713,5.058246109287047,4.753955375011224,5.549800309995732,5.3921115923632374,5.0752558596257895,5.169965927521901,,,
ENSMUSG00000016510-C,4.700116627791696,5.204708179843407,5.330783075746096,4.902866615433742,4.445332657100411,4.957069922462677,4.935779544634974,4.4946112912842064,4.992507100344438,,,
ENSMUSG00000016833-C,5.641015687935728,5.574163696467601,5.796023605435988,5.878550769311726,6.09918279636949,6.177853927232388,6.525094728276957,5.7457968479116746,6.166623067740904,,,
ENSMUSG00000016933-C,6.544883904805438,6.690050129551339,6.692415831092251,6.801713012544935,6.731038905655087,6.462367211529134,6.394492516485472,6.497672936534645,6.426306360607094,,,
ENSMUSG00000016984-C,3.430329504878941,4.173310463027411,3.265291998573044,4.902866615433742,3.934555044755374,4.360376603020698,4.426063711373963,3.5074880852801837,3.345812791746194,,,
ENSMUSG00000017491-C,2.418679371923628,3.662264003960899,1.5432246700768597,3.690056043985187,2.9060517082773543,4.068881390848867,4.0825420244949235,3.6053134790057273,3.08749998429564,,,
ENSMUSG00000017550-C,3.1054976846716587,2.8636883321253084,2.753466800942782,3.868660751385197,3.5100788664663383,3.703180827881894,2.4737582927568313,2.3188822613527895,2.36926775764794,,,
ENSMUSG00000017716-C,2.418679371923628,0.0,0.0,0.0,3.136645565127414,2.2502722058212323,1.0967492717572764,1.3761692453425427,2.36926775764794,,,
ENSMUSG00000018076-C,8.367507042414209,8.673206612935997,8.122028395843834,8.558090514651928,8.45846637930317,8.357209618393385,8.410829902985313,8.010784913168191,8.142999900300966,,,
ENSMUSG00000018238-C,3.1054976846716587,2.4554423935427265,0.9688103744562226,0.0,2.6314563966651643,0.8086282278702569,0.0,0.0,0.0,,,
ENSMUSG00000018481-C,7.049751751810679,7.147948963885065,6.970846567326044,7.062590527102318,7.329058543714121,7.000125562234353,7.208431383097079,6.866589014037581,6.958111076349338,,,
ENSMUSG00000018697-C,4.112746069128248,3.662264003960899,3.748883930068221,3.4861740589936105,4.160973786948527,4.002783898283538,3.4916609888554997,4.083878839528882,4.4485006681895936,,,
ENSMUSG00000018965-C,10.179194796471172,10.410234300149552,10.859549148553054,9.996586816530394,10.04956182837782,9.97091304464412,10.212387035393586,10.05499879528073,10.116602623314847,,,
ENSMUSG00000019039-C,6.422281186707099,6.702528662708766,6.476783374366273,6.510190614218889,6.278887165467049,6.741033773133804,6.507145656752796,5.926991552061997,6.294662308031573,,,
ENSMUSG00000019505-C,9.980921348577008,10.177521338212674,10.485796476175544,10.222890137530364,10.028182099899658,10.012445168767938,10.246595886344716,10.149240340908475,10.113350134346868,,,
ENSMUSG00000019579-C,5.4390057785363,5.911680307931717,6.185707051128839,5.836224944522409,5.4552031015430895,5.933658010380837,5.7382607179212455,6.070924965030726,6.19971386749745,,,
ENSMUSG00000019718-C,2.090890740391519,2.673957838819107,2.532598773826906,2.609495240548126,3.33541126722878,3.5262732991065455,2.4737582927568313,2.7192353881313043,1.8073849903108583,,,
ENSMUSG00000019775-C,7.860887223828125,7.612064030601294,7.94280690575239,7.619201797042693,7.483658943422769,7.879473624820598,7.967976765903055,7.870267159917563,7.841344165807266,,,
ENSMUSG00000019809-C,5.204031597697395,5.239377622271777,4.797133827951933,5.326330345683369,5.985458218052588,5.025245841639177,5.181913381409071,4.772434856206455,5.266827542703058,,,
ENSMUSG00000019848-C,1.0612255463732776,0.9236912118413654,0.9688103744562226,0.0,0.0,0.0,1.0967492717572764,0.0,1.4150638090347123,,,
ENSMUSG00000019861-C,5.975953253431694,6.545152061796855,6.330016219562485,5.747655377626174,6.326372151070864,6.557526596151324,6.82951373781938,6.753783634111861,6.572426087693931,,,
ENSMUSG00000019970-C,6.184328378502964,5.974768302759348,6.223160019056987,6.144447177255965,5.224024265317933,5.744380842103868,5.7382607179212455,5.634342110281843,6.546936105055266,,,
ENSMUSG00000020114-C,7.152502277037594,7.024171274531515,6.879970067464306,6.866237412701891,7.046708580231961,7.160295456537961,7.197280335404767,7.327132265461291,7.315946138445573,,,
ENSMUSG00000020175-C,5.609251123544201,4.604132233530103,5.068055298289106,5.326330345683369,5.36712533199982,4.921734476826054,5.468304823857709,5.205748127152371,5.169965927521901,,,
ENSMUSG00000020218-C,1.0612255463732776,0.9236912118413654,0.0,2.138137563504853,0.0,1.702496038550303,1.0967492717572764,0.846305570751632,1.8073849903108583,,,
ENSMUSG00000020220-C,6.205727323996701,6.429807486435191,6.223160019056987,6.90770422931224,6.943898315259627,6.474611092141381,6.229144882539155,6.48487770618266,6.453998103781735,,,
ENSMUSG00000020321-C,10.02070461698669,10.223705073631672,10.57631265923309,9.930225997607987,9.673931627534444,10.147624923108715,9.923612027396588,10.272551856295554,10.191512591103722,,,
ENSMUSG00000020453-C,3.9190677346575544,4.022222530925879,3.848113560655806,4.1706999010872465,4.528894874093235,4.557431923514309,4.0825420244949235,4.33266385642655,3.922871459374952,,,
