NAME,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224
,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"3,3-Dimethylacrylic acid",0,0,1643861.842
"3,4-Dihydroxybenzaldehyde",10286388.43,18385343.59,8239508.407
"3,4-Methylenedioxyamphetamine",223841486.1,202109773,7793.21655
"3,5-Dimethoxy-4-(tert.-butyldimethylsilyl)oxybenzaldehyde",0,444346604.4,0
"3,5-Dimethylphenol",25350.81166,29023.02185,32973.88427
3-Amino-5-methylisoxazole,2526405.67,0,4293042.486
3-Aminobenzoic acid,1753810.642,6663407.435,0
3-Buten-2-one,208334.0846,340530.6853,556093.4215
3-Heptanol,11692838.75,10376432.74,3232415.442
"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",0,63.39639019,1219.144291
3-Hydroxymethyl-2-trimethylsilyloxypentane,0,0,0
3-Methyl-3-buten-1-ol,15942.62196,0,16439.91837
3-Nonene,0,0,0
3-Phenyl oxindole,0,2078749.762,0
"4,4'-Dichlorobenzophenone",0,0,0
"4,5-Dihydro-1H-pyrazole",0,0,7015026.634
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",1454137.015,3325186.995,4177286.56
4-Aminobutanoic acid,192814.8208,106051.2852,22423.6449
4-Hydroxybutanoic acid,0,0,0
4-Methoxyphenol,141640622.3,68576451.57,221330598.6
"4-Methylquinoline-2,7-diol",0,0,0
4-Methylvaleric acid,344210.461,310885.3256,286558.2859
4-Oxohexanoic acid,598863.8162,485527.467,598173.4428
"4-Phenyl-2,3-dihydro-1H-1,5-benzodiazepin-2-one",0,169953.033,0
4-tert-Butyldimethylsiloxy-3-penten-2-one,0,0,0
5-Aminovaleric acid,0,0,0
5-Azacytosine,529973.7297,103000.5066,344737.97
"5-Chlorovaleric acid, nonyl ester",12192454.58,14314897.76,15674609.32
"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",7352497.671,10929024.5,7165826.251
5-Ethyl-5-methylnonadecane,0,0,0
5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,0,0,73412483.36
5-Nitroso-8-quinolinol,0,0,8452326.903
"5-Nonanol, tert-butyldimethylsilyl ether",677866.1741,564036.282,620053.7519
5-Oxohexanoic Acid,668443.6425,160665.3658,300586.1806
"6,7,4'-Trihydroxyisoflavone",169329.1567,164849.6338,162588.9017
"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",33615.51987,22941.72266,35652.20006
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",0,5836648.95,0
6-Methyluracil,180103.2314,378276.9331,84493.23511
6-Nitroveratryl alcohol,0,0,105406.5428
6-Oxoheptanoic acid,2275361.869,2032341.657,1947330.104
"7(S),17(S)-Dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-docosapentaenoic acid",0,0,0
7-Hydroxy-4-(methoxymethyl)coumarin,0,24.63180227,0
8-Acetyl-7-hydroxycoumarin,0,0,0
8-Methylnonanoic acid,13037715,11888691.66,10921211.6
"9,12-Octadecadienoic acid (Z,Z)",0,0,0
9-Ethyl-N-(trimethylsilyl)-9H-carbazol-3-amine,0,0,0
