NAME,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
2-Hydroxy-3-methylbutyric acid,631.8739902,538.9740385,545.5087883,433.7336386,613.6807115
"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",0,0,0,0,0
2-Isopropyl-5-methyl-1-heptanol,0,497143611.7,0,0,0
"2-Methyl-1,3-butanediol",15359454.71,7900643.129,7169063.814,6381589.531,7200437.224
2-Methyl-3-pentanol,0,94373.0226,87876.01895,201213.6768,0
"2-Methylcyclohexanol, (Z)",225949.1299,146354.5182,119963.5915,98919.37603,108272.4936
"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",0,4283262.319,3772527.757,0,4309160.425
2-Naphthol,218174.2456,97814.15094,78320.84238,84005.95815,83096.38848
2-Norbornanemethanol,0,0,0,0,76417606.03
"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",0,0,0,0,0
2-Pentadecanone,71.56871313,51.26031116,43.25108132,23.42631713,44.74723361
"2-Pivaloyl-1,3-indandione",0,0,0,0,0
2-Propyl-1-pentanol,0,1888663.689,10550473.54,7547068.84,7686370.319
2-Pyrrolidone-5-carboxylic acid,629271985.4,815469377.2,894788088.1,2253004799,1056194654
"2-Thiophenecarboxylic acid, 4-cyanophenyl ester",0,0,0,0,0
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",887253.4193,1948592.028,2818350.01,2573718.647,5299546.329
3-(4-Methoxyphenyl)coumarin,0,0,0,0,0
"3,3-Bis{4-[(trimethylsilyl)oxy]phenyl}-2-benzofuran-1(3H)-one",0,0,0,0,0
"3,3-Dimethylacrylic acid",0,0,0,0,7611947.847
"3,4-Dihydroxybenzaldehyde",0,0,0,0,0
"3,4-Methylenedioxyamphetamine",281076335.9,0,159087173.8,0,0
"3,5-Dimethoxy-4-(tert.-butyldimethylsilyl)oxybenzaldehyde",0,0,0,0,0
"3,5-Dimethylphenol",39400.77308,24989.83396,22045.39697,18350.26105,25259.00359
3-Amino-5-methylisoxazole,12538841.94,6059645.59,7890619.214,7452890.203,7838581.908
3-Aminobenzoic acid,35409866.17,21208626.57,7144505.25,14679396.6,3109933.954
3-Buten-2-one,507700.1298,255762.6953,200590.6153,240407.8438,261172.6646
3-Heptanol,0,5717460.495,9229689.051,3704956.294,9836657.998
"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",182.4279744,12.18412077,0,0,0
3-Hydroxymethyl-2-trimethylsilyloxypentane,0,0,0,0,42552.54734
3-Methyl-3-buten-1-ol,0,0,50875.88818,0,144198.952
3-Nonene,0,0,0,0,0
3-Phenyl oxindole,0,0,0,0,0
"4,4'-Dichlorobenzophenone",0,0,0,0,0
"4,5-Dihydro-1H-pyrazole",0,20148718.68,41713823.01,0,58128700.98
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",5518699.024,3995364.332,1661965.003,2955347.689,2481740.876
4-Aminobutanoic acid,49452.64106,621381.657,304419.14,153171.9208,49407.10552
4-Hydroxybutanoic acid,0,0,0,0,0
4-Methoxyphenol,0,114735744.3,0,0,402928360.1
"4-Methylquinoline-2,7-diol",0,0,0,0,0
4-Methylvaleric acid,684706.044,769445.4808,793246.9002,399440.8506,630561.5895
4-Oxohexanoic acid,923436.4835,595281.5339,546963.5496,632348.4369,504955.4634
"4-Phenyl-2,3-dihydro-1H-1,5-benzodiazepin-2-one",0,0,0,0,0
4-tert-Butyldimethylsiloxy-3-penten-2-one,133015939.5,33543076.91,0,0,0
5-Aminovaleric acid,0,0,0,0,0
