Name,Tissue,"BiBC, Feces-Cortex, via Plasma"
Cerkl,Choroid Plexus,352.7
Yars1,Choroid Plexus,0.0
Tm9sf3,Choroid Plexus,2352.6
Cebpa,Choroid Plexus,0.0
Stag2,Choroid Plexus,147.0
Rpp30,Choroid Plexus,1036.4
Hdgfl3,Choroid Plexus,0.0
Tmem203,Choroid Plexus,389.9
Usp22,Choroid Plexus,0.0
Gm4017,Choroid Plexus,0.0
Kif21a,Choroid Plexus,49.9
Iba57,Choroid Plexus,17.3
Atp7a,Choroid Plexus,9.9
Dync1h1,Choroid Plexus,927.6
Pfn1,Choroid Plexus,913.9
Tagln2,Choroid Plexus,106.1
Rgs7,Choroid Plexus,221.5
2310014F06Rik,Choroid Plexus,10.1
Map3k5,Choroid Plexus,505.5
Chdh,Choroid Plexus,0.0
Mpp2,Choroid Plexus,
Tceal8,Choroid Plexus,
B130034C11Rik,Choroid Plexus,35.6
Ptgr3,Choroid Plexus,
Ube2q2,Choroid Plexus,449.1
Phactr2,Choroid Plexus,376.6
Fcho2,Choroid Plexus,2038.7
Lrrc75b,Choroid Plexus,0.0
Ndufaf1,Choroid Plexus,0.0
Smarca5,Choroid Plexus,13170.8
Pard6a,Choroid Plexus,35.6
Sh2b3,Choroid Plexus,500.7
Ints5,Choroid Plexus,0.0
Mrln,Choroid Plexus,
Gm38380,Choroid Plexus,141.1
Timm13,Choroid Plexus,
Junb,Choroid Plexus,0.0
Ncbp2,Choroid Plexus,0.0
Zfp300,Choroid Plexus,0.0
Gtpbp4,Choroid Plexus,499.6
Ube3c,Choroid Plexus,68.4
Pthlh,Choroid Plexus,13.8
Ccdc186,Choroid Plexus,950.4
Smurf1,Choroid Plexus,
Inpp4a,Choroid Plexus,276.7
Bloc1s1,Choroid Plexus,
Dynll1,Choroid Plexus,127.2
Fam98b,Choroid Plexus,177.9
Serpinb8,Choroid Plexus,121.5
Src,Choroid Plexus,1.6
Abitram,Choroid Plexus,23.1
Sufu,Choroid Plexus,17.0
Stxbp4,Choroid Plexus,452.3
Hmmr,Choroid Plexus,0.0
Dnase1l1,Choroid Plexus,2.2
Ccar1,Choroid Plexus,173.0
Cnnm4,Choroid Plexus,34.6
Igfbp6,Choroid Plexus,13.7
Arl2bp,Choroid Plexus,0.0
Pfas,Choroid Plexus,0.0
Cntn1,Choroid Plexus,1.4
Shoc2,Choroid Plexus,438.6
Mpnd,Choroid Plexus,0.0
Dcxr,Choroid Plexus,33.0
Gm1976,Choroid Plexus,230.4
Klf8,Choroid Plexus,
Dhx9,Choroid Plexus,342.2
Gsta4,Choroid Plexus,16.8
Haus4,Choroid Plexus,2.4
Kmt5b,Choroid Plexus,0.0
Ehd1,Choroid Plexus,2256.7
Mia2,Choroid Plexus,129.2
Acbd4,Choroid Plexus,132.6
Ap2a1,Choroid Plexus,
Mef2a,Choroid Plexus,678.6
Sympk,Choroid Plexus,0.0
Erap1,Choroid Plexus,
Spata13,Choroid Plexus,259.1
Dr1,Choroid Plexus,101.0
Slain2,Choroid Plexus,9.3
Vps36,Choroid Plexus,973.8
Tbc1d2,Choroid Plexus,71.0
Zbtb39,Choroid Plexus,
Lama1,Choroid Plexus,0.0
Crygn,Choroid Plexus,301.9
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Plasma,219.7
(CH3)2C=NC2H558,Plasma,886.5
1-(3-Methylphenyl)piperazine,Plasma,100.0
1-Aminocyclopropanecarboxylic acid,Plasma,298.0
"1-Butanamine, N,N-diethyl-",Plasma,1219.0
1-Cyclopentylethanol,Plasma,1325.9
"1-Decene, 8-methyl-",Plasma,403.9
1-Deoxypentitol,Plasma,716.1
1-Hexadecanol,Plasma,98.6
1-Hydroxy-3-methoxy-6-methylanthraquinone,Plasma,9799.1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Plasma,2147.9
"1-Octanol, 2-butyl-",Plasma,226.8
1-Phenethylamine,Plasma,1765.8
"1-Phenyl-1,2-ethanediol",Plasma,124.6
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",Plasma,286.4
"1,1'-Biphenyl, 3,4-diethyl-",Plasma,1892.0
"1,2-Benzenedicarboxylic acid",Plasma,811.8
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",Plasma,197.6
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",Plasma,1495.8
"1,3,5-Benzetriol",Plasma,1743.1
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",Plasma,55.7
"1,5-Anhydroglucitol",Plasma,494.7
10-Heptadecenoic acid,Plasma,5829.8
12-Oxooctadecanoate,Plasma,2268.5
13-Docosenamide,Plasma,332.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",Plasma,387.9
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",Plasma,6047.6
"2-Allyl-1,4-dimethoxybenzene",Plasma,617.3
2-Amino-4-methylphenol,Plasma,1257.3
2-Aminoadipic acid,Plasma,666.6
2-Aminobutanoic acid,Plasma,0.3
"2-Heptanone, 4,6-dimethyl-",Plasma,1610.3
2-Heptenoic acid,Plasma,1947.3
2-Hydroxy-3-methylbutyric acid,Plasma,12.7
2-Hydroxy-5-methoxybenzaldehyde,Plasma,650.8
2-Hydroxybutyric acid,Plasma,231.3
2-Isopropyl-5-methyl-1-heptanol,Plasma,1100.7
2-Ketoisocaproic acid,Plasma,816.0
2-Methyl-4-pentenoic acid,Plasma,3462.6
2-Methylglutaconic acid,Plasma,453.3
"2-Propenamide, 3-phenyl-N-2-propenyl-",Plasma,94.0
"2,2-Diallylpyrrolidine",Plasma,1870.5
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Plasma,597.0
"2,3-Butanediol",Plasma,373.7
"2,3,4-Trihydroxybutyric acid tetrakis",Plasma,1728.9
"2,4-Imidazolidinedione, 5,5-dimethyl-",Plasma,840.4
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",Plasma,618.7
"2,5-di-tert-Butyl-1,4-benzoquinone",Plasma,156.2
"2,5-Dimethoxymandelic acid",Plasma,76.4
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",Plasma,3513.8
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",Plasma,894.8
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",Plasma,4659.6
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",Plasma,561.8
3-Amino-2-piperidone,Plasma,906.4
3-Aminobutanoic acid,Plasma,527.2
"3-Buten-2-one, 3-trimethylsilyloxy-",Plasma,177.0
"3-Buten-2-one, 4-(4-methoxyphenyl)-",Plasma,5.3
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",Plasma,86.1
3-Hexenedinitrile,Plasma,209.7
"3-Hydroxy-2,3-dihydromaltol",Plasma,46.5
3-Hydroxyisovaleric acid,Plasma,1232.7
3-Indoleacetic acid,Plasma,2965.3
3-Methoxysalicylic acid,Plasma,2012.8
3-Nonen-1-ol,Plasma,184.8
"3,5-Dimethylpyrazole",Plasma,691.1
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,Plasma,1492.9
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",Plasma,1371.6
4-(Methoxycarbonyl)phenol,Plasma,0.0
4-Hydroxybenzeneacetic acid,Plasma,302.0
4-Hydroxybenzoic acid,Plasma,1531.7
4-Hydroxybutanoic acid,Plasma,75.3
4-Hydroxyphenyllactic acid,Plasma,327.9
5-Henicosylresorcinol,Plasma,934.4
5-Hydroxyquinoline,Plasma,3670.0
"6,7,4'-Trihydroxyisoflavone",Plasma,263.8
"7-Isoquinolinol, 1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-",Plasma,159.5
9-Hexadecenoic acid,Plasma,0.0
9-Octadecenamide,Plasma,10.1
"Acetic acid, bis[(trimethylsilyl)oxyl]-",Plasma,37.3
Acetoacetic acid,Plasma,863.8
Aceturic acid,Plasma,1592.4
Adipoyl-L-carnitine,Plasma,846.2
Allylescaline,Plasma,79.6
"alpha-L-Galactopyranoside, methyl 6-deoxy-, (R,R,R,S,S)-",Plasma,168.3
alpha-Linolenic acid,Plasma,472.9
Arachidonic acid,Plasma,541.5
Arsenous acid,Plasma,84.6
Aspartic acid,Plasma,108.5
Atrazine desethyl,Plasma,0.0
Azatadine,Plasma,473.3
"Azetidine, 1-acetyl-2-methyl-",Plasma,1681.1
"Aziridine, 1-(2-buten-2-yl)-",Plasma,310.8
"Benzaldehyde, 2,5-dimethyl-",Plasma,21124.7
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-",Plasma,1886.6
"Benzeneethanamine, N-[(pentafluorophenyl)methylene]-4-[(trimethylsilyl)oxy]-",Plasma,3.1
"Benzenemethanamine, 2,3-dimethoxy-",Plasma,87.6
"Benzimidazole, 5-trifluoromethyl-2-methyl-",Plasma,2099.3
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-",Plasma,41.9
"Benzoic acid, methyl ester",Plasma,987.3
"Benzoic acid, pentadecyl ester",Plasma,1603.6
Benzophenone,Plasma,1650.8
Benzyl alcohol,Plasma,162.4
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",Plasma,2084.9
beta-Lyxopyranose,Plasma,1020.4
"Butanoic acid, 2-methyl-3-[(trimethylsilyl)oxy]-",Plasma,422.9
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",Plasma,3218.1
Butylated Hydroxytoluene,Plasma,949.8
Cadaverine,Plasma,1122.7
Carfentrazone-ethyl,Plasma,0.0
"Cholest-7-en-3-ol, (3beta,5alpha)-",Plasma,872.9
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,Plasma,1599.5
Cyclo-(l-leucyl-l-phenylalanyl),Plasma,47.6
cyclobutanecarboxylic acid,Plasma,4.7
Cyclobutanol,Plasma,72.3
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",Plasma,83.6
"Cyclopentanone, 2,2,4-trimethyl-",Plasma,1071.4
D-(-)-Citramalic acid,Plasma,682.8
"D-(-)-Fructofuranose, pentakis",Plasma,154.2
"D-(+)-Ribono-1,4-lactone (R,S,R)-",Plasma,1047.1
"D-(+)-Talofuranose, pentakis",Plasma,0.0
D-Fructose,Plasma,335.8
"D-Isoleucine, N-acetyl-",Plasma,189.9
D-Mannose,Plasma,6.3
Decanoic acid,Plasma,373.6
Dehydronorketamine,Plasma,34.1
Deoxycholic Acid,Plasma,265.4
Desmosterol,Plasma,1238.5
Dihydrouracil,Plasma,628.2
Dinoseb,Plasma,4081.1
DL-Glyceraldehyde,Plasma,2498.6
Doconexent,Plasma,0.0
"Dodecane, 4,6-dimethyl-",Plasma,2055.2
Dodecylcyclohexane,Plasma,3850.9
Erythritol,Plasma,97.1
"Erythrono-1,4-lactone, (Z)-",Plasma,1346.1
Ethanolamine,Plasma,751.7
"Ethanone, 1-(2,5-dimethoxyphenyl)-",Plasma,1383.0
"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-",Plasma,115.9
"Furan, 2-pentyl-",Plasma,262.4
Galactopyranose,Plasma,386.8
Glucopyranose,Plasma,329.5
Glyceric acid,Plasma,337.6
Glycine,Plasma,642.1
"Glycine, N-(1-oxobutyl)-",Plasma,1528.1
"Glycine, N-(N-DL-leucylglycyl)-",Plasma,163.9
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",Plasma,397.5
Glycolic acid,Plasma,826.3
Glyoxime,Plasma,361.3
Guanabenz,Plasma,1395.1
Heptadecanoic acid,Plasma,10.0
Hexanoic acid,Plasma,1216.1
Hydantoic acid,Plasma,359.6
Hydracrylic acid,Plasma,573.3
Hydroquinidine,Plasma,490.9
Hydroquinone,Plasma,73.8
Indole-3-lactic acid,Plasma,11633.0
Indole-5-carboxylic acid,Plasma,887.8
"Inosose-2, 1,3,4,5,6-pentakis-",Plasma,2504.3
Isofucosterol,Plasma,5107.5
Isopropyl palmitate,Plasma,6670.1
L-5-Oxoproline,Plasma,373.2
L-Alanine,Plasma,161.7
L-Asparagine,Plasma,16.9
L-Aspartic acid,Plasma,1150.6
L-Cysteine,Plasma,0.0
L-Hydroxyproline,Plasma,475.0
L-Isoleucine,Plasma,104.7
"L-Lysine, ethyl ester ",Plasma,345.6
L-Tryptophan,Plasma,467.7
"L-Tryptophan, N-acetyl-1",Plasma,717.8
Latanoprost lactone diol,Plasma,0.9
Levulinic acid,Plasma,1458.5
Malic acid,Plasma,29.6
Methyl aminoacetate,Plasma,3905.4
Methyl-3-methoxy-5-methyl benzoate,Plasma,2048.3
Methylmalonic monoamide,Plasma,3363.6
"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",Plasma,5.2
Myristic acid,Plasma,1266.4
N-(Trimethylsilyl)hexanamide,Plasma,0.5
"N-isobutyl-2-(trimethylsilyloxy]-4,5-dihydro-1H-imidazole-1-carboxamide",Plasma,6.2
N-Isovaleroylglycine,Plasma,1733.4
N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,Plasma,932.4
n-Pentadecanol,Plasma,3225.2
N-Valerylglycine,Plasma,268.6
"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",Plasma,443.5
"N,N-Diethyl-2-aminoethanol",Plasma,1555.4
"N,N-Dimethyl-2-cyclohexyloxyethylamine",Plasma,1007.6
"N,O-Bis(trimethylsilyl)carbamate",Plasma,2158.3
Neostigmine,Plasma,413.5
Niclosamide,Plasma,582.8
Nitrosothymol,Plasma,1294.0
Nonadecanoic acid,Plasma,346.5
Octan-2-yl palmitate,Plasma,654.0
"Octane, 1-propoxy-",Plasma,1000.6
Octanoic acid,Plasma,421.8
Octocrylene,Plasma,1044.5
Oxalic acid,Plasma,195.9
p-Toluic acid,Plasma,309.7
"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",Plasma,113.4
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",Plasma,288.2
Phenoxyacetic acid,Plasma,1677.3
Phenylalanine,Plasma,589.4
Phosalone,Plasma,42.4
Pimelic acid,Plasma,1359.0
Pipecolic acid,Plasma,94.4
"Propanetriol, 2-methyl-",Plasma,359.4
"Propanoic acid, 2-methyl-",Plasma,580.5
"Propiophenone, 3',4'-dimethoxy-",Plasma,764.0
Propylamine,Plasma,1342.4
"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",Plasma,601.1
Ribitol,Plasma,753.3
Ser-Leu,Plasma,0.0
Sertraline carbamoyl glucuronide,Plasma,822.6
Stearic acid,Plasma,0.0
"Stigmast-5-ene, 3beta-",Plasma,3462.9
Suberic acid,Plasma,315.9
"Tacrine, N-trimethylsilyl-",Plasma,39.2
Tartronic acid,Plasma,3080.2
"Thiazolo[4,5-f]quinoline, 2,9-dimethyl-",Plasma,
Tributyl acetylcitrate,Plasma,704.5
Triethanolamine,Plasma,1001.2
Trimidox,Plasma,5700.8
Trisaminol,Plasma,68.4
Uracil,Plasma,673.9
Xylazine,Plasma,275.3
Xylitol,Plasma,0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",Plasma,46.4
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Plasma,620.5
(pm)-alpha-Tocopherol acetate,Plasma,271.3
(pm)-N-Propylamphetamine,Plasma,42.2
(pm)-Norketamine,Plasma,388.0
(pm)-Phenylpropanolamine,Plasma,16.9
"(R*,S*)-2,3-Dihydroxybutanoic acid",Plasma,698.6
"(S,S)-(-)-Hydrobenzoin",Plasma,724.7
1-(4-Hydroxybenzylidene)acetone,Plasma,170.9
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Plasma,0.9
1-Hexanol,Plasma,0.0
1-Monoacetin,Plasma,363.0
1-Octanol,Plasma,32.0
"1-Octene, 2-methyl-",Plasma,10.6
1-Phenylethanol,Plasma,47.2
1-Tetradecanol,Plasma,439.6
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",Plasma,1.0
"1,3-Cyclohexanebis(methylamine)",Plasma,71.2
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",Plasma,1.2
"1,3,5-Trimethyl-1H-pyrazol-4-amine",Plasma,198.6
12-Hydroxyoctadecanoic acid,Plasma,47.0
"15-Oxo-11Z,13E-eicosadienoic acid",Plasma,69.7
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",Plasma,737.8
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",Plasma,18.1
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,Plasma,90.1
"2-Amino-4,6-dihydroxypyrimidine",Plasma,523.3
2-Ethyl-3-hydroxypropionic acid,Plasma,307.1
2-Furoic acid,Plasma,38.6
2-Hexen-1-ol,Plasma,0.3
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",Plasma,121.3
2-Hydroxy-2-methylbutyric acid,Plasma,1.1
2-Naphthol,Plasma,494.4
2-Pentenoic acid,Plasma,142.5
"2-Propanone, bis(1-methylethyl)hydrazone",Plasma,831.2
2-Pyrrolidinone,Plasma,114.7
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",Plasma,20.3
"2,5-Di-tert-butylhydroquinone",Plasma,0.0
"2,5-Dimethoxy-4-methylamphetamine",Plasma,247.3
"2,5-Dimethoxybenzonitrile",Plasma,12.2
"2,5-Dimethoxyphenol",Plasma,20.6
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",Plasma,21.8
"2',2,3,6'-Tetramethoxychalcone",Plasma,0.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,Plasma,337.2
3-Aminobenzoic acid,Plasma,759.9
3-Hydroxybutyric acid,Plasma,43.5
3-Indolepropionic acid,Plasma,694.3
"3-Methoxyamphetamine, 4-Trimethylsilyloxy, N,N-bis(Trimethylsilyloxy)-",Plasma,0.0
3-Methyladenine,Plasma,191.5
"3-Methylpiperazine-2,5-dione, (R)-",Plasma,2745.4
3-Ureidopropionic acid,Plasma,288.6
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",Plasma,3.2
"3,4-Dihydroxymandelic acid, ethyl ester",Plasma,0.0
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",Plasma,0.6
"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",Plasma,17.3
"3,5-di-tert-Butyl-4-hydroxyacetophenone",Plasma,0.0
3'-Hydroxyacetophenone,Plasma,188.5
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",Plasma,2251.8
4-Cumylphenol,Plasma,702.6
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,Plasma,6.3
4-Hydroxybenzaldehyde,Plasma,31.6
4-Methylvaleric acid,Plasma,574.9
4-Pyridinol,Plasma,384.0
5-(2-Aminopropyl)-2-methylphenol,Plasma,241.4
5-Aminovaleric acid,Plasma,16.1
"5-Androsten-17alpha-methyl-3beta,17beta-diol",Plasma,46.4
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",Plasma,316.2
5-Ethyluracil,Plasma,0.0
5-Hydroxytryptophan,Plasma,380.3
"5,6-Dimethyl-4-phenyl-3-cyanopyridine-2(1H)-thione",Plasma,0.0
"5alpha-Pregnane-3,20-dione",Plasma,211.7
6-Hydroxyflavone-beta-D-glucoside,Plasma,4.6
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",Plasma,6.0
"6,8-Dioxapentadecane",Plasma,353.7
7-(Trimethylsilyl)amino-4-methylcoumarin,Plasma,47.0
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",Plasma,234.0
9-Octadecenoic acid,Plasma,354.2
"9,12-Octadecadienoic acid",Plasma,579.7
"9H-Fluorene, 9-methylene-",Plasma,373.7
"9H-Purine, 9-(trimethylsilyl)-2,6,8-tris[(trimethylsilyl)oxy]-",Plasma,0.0
"Acetamide, 2,2,2-trifluoro-",Plasma,5.8
"Acetamide, N,N-diethyl-",Plasma,43.7
"Acetin, bis-1,3-trimethylsilyl ether",Plasma,452.5
"Acetohydrazide, 2-(2-isopropyl-5-methylphenoxy)-N2-benzylideno-",Plasma,522.6
Albizziin,Plasma,548.5
Alloxanic acid,Plasma,101.0
alpha-Tocopherol,Plasma,328.7
Ammeline,Plasma,10.7
Arabinaric acid,Plasma,461.1
"Arabinofuranose, 1,2,3,5-tetrakis-O-",Plasma,16.2
"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-",Plasma,21.2
"Benzene, 1,3-bis(1,1-dimethylethyl)-",Plasma,5.7
"Benzene, 3-cyclohexen-1-yl-",Plasma,53.2
"Benzene, 4-ethenyl-1,2-dimethoxy-",Plasma,127.1
Benzeneacetamide,Plasma,0.1
Benzeneacetic acid,Plasma,12.8
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-",Plasma,99.6
beta-D-Glucopyranose,Plasma,31.9
beta-Hydroxypyruvic acid,Plasma,2.5
5-Hydroxyhexanoic acid,Plasma,35.1
Bis(trimethylsilyl)acetylene,Plasma,121.2
Boric acid,Plasma,0.0
"Butanal, 2,3,4-tris[(trimethylsilyl)oxy]-, O-methyloxime, [R-(R*,R*)]-",Plasma,68.8
Butylmethylamine,Plasma,1503.3
Campesterol,Plasma,157.3
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)-",Plasma,142.5
"Cetaben, N,O-bis(trimethylsilyl)-",Plasma,165.6
"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate",Plasma,469.1
"Cholesta-3,5-dien-7-one",Plasma,2378.1
"Cholesta-3,5-diene ",Plasma,32.3
Cholesterol,Plasma,8.1
Cinnamic acid,Plasma,186.5
Citric acid,Plasma,0.0
Cyclo(L-prolyl-L-valine),Plasma,65.5
Cyclohexanol,Plasma,982.0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy-",Plasma,770.3
"D-(-)-Lyxose, tetrakis",Plasma,0.0
"D-(-)-Ribofuranose, tetrakis",Plasma,0.0
D-Arabinose,Plasma,3.9
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",Plasma,0.0
D-Leucylglycylglycine,Plasma,60.2
D-Proline,Plasma,0.0
D-Ribose,Plasma,74.5
D-Threitol,Plasma,25.3
"D-Xylofuranose, 1,2,3,5-tetrakis-O-",Plasma,484.1
Delorazepam,Plasma,6.0
Dimethyl fumarate,Plasma,9.9
"Dimethyl hexopyranosiduronate, alpha-D-",Plasma,225.2
Diphenyl ether,Plasma,730.9
DL-Ornithine,Plasma,539.3
DL-Phenylalanine,Plasma,818.2
"DL-Proline, 5-oxo-",Plasma,46.2
Dobutamine,Plasma,9.1
"Dodecanamide, N-(2-hydroxyethyl)-",Plasma,1734.8
"Dodecanoic acid, 1-methylethyl ester",Plasma,641.9
Dodecanoic acid,Plasma,4.6
Dopamine,Plasma,193.5
Eicosapentaenoic acid,Plasma,13.8
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",Plasma,0.0
Ethyl cis-2-trimethylsilyl-cyclopropane-1-carboxylate,Plasma,8.3
Gln-Ala,Plasma,0.0
Glucose,Plasma,8.3
Hexanedioic acid,Plasma,238.7
Indole-3-carboxaldehyde,Plasma,1007.3
Isonicotinic Acid,Plasma,751.3
Isoxaben,Plasma,85.1
Itaconic acid,Plasma,16.3
Ketamine,Plasma,335.3
L-Glutamic acid,Plasma,30.1
L-Glutamine,Plasma,489.5
l-Histidine ethyl ester,Plasma,49.6
L-Leucine,Plasma,7.1
L-Lysine,Plasma,0.0
L-Norleucine,Plasma,0.0
L-Threitol,Plasma,33.0
Lactic Acid,Plasma,109.7
Metanephrine,Plasma,553.9
"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate",Plasma,0.0
Methyl isovanillate,Plasma,0.9
Mirin,Plasma,551.9
"N-(Trifluoroacetyl)-N,O,O'-tris(trimethylsilyl)normetanephrine",Plasma,35.0
N-Acetyl-L-glutamic acid,Plasma,545.5
N-Acetyltyrosine,Plasma,15.7
N-Isobutyrylglycine,Plasma,111.8
Naphthofluorescein,Plasma,90.0
Niacin,Plasma,16.8
Niacinamide,Plasma,29.1
Nonanal,Plasma,903.0
Nonanoic acid,Plasma,0.0
Norketamine,Plasma,30.3
"O-Methyl-N,N'-diisopropylisourea ",Plasma,0.0
Octopamine,Plasma,701.1
Ornithine,Plasma,58.4
p-Hydroxydiisopropylbenzene,Plasma,297.0
Palmitelaidic acid,Plasma,7.4
Palmitic Acid,Plasma,125.0
Pentadecanoic acid,Plasma,18.1
"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",Plasma,7.8
Pentylone,Plasma,8.1
"Phenol, 3,5-bis(1,1-dimethylethyl)-",Plasma,182.1
Phenylpropanolamine,Plasma,0.0
Phlorizin,Plasma,51.1
Phloroglucinol,Plasma,93.4
Phthalazin-1-one,Plasma,0.0
"Pregn-16-en-20-one, 3,18-bis(acetyloxy)-14,15-epoxy-, (3beta,5alpha,14beta,15beta)-",Plasma,686.1
"Propanoic acid, 2-oxo-",Plasma,0.0
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",Plasma,1.2
"Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",Plasma,0.0
Pyrrole-2-carboxylic acid,Plasma,27.2
Quazodine,Plasma,673.9
"Quinolin-4-one, 1-[2-(3,4-dimethoxyphenyl)ethyl]-octahydro-",Plasma,8.6
"Ribonic acid, 2,3,4,5-tetrakis-",Plasma,0.0
S-Methyl-L-cysteine,Plasma,435.6
Salsoline,Plasma,119.8
Succinic anhydride,Plasma,10.4
Tetradecanenitrile,Plasma,970.3
"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",Plasma,265.6
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",Plasma,337.7
Trimethylsilyl 3-((trimethylsilyl)thio)propanoate,Plasma,126.3
Trimethylsilyl oct-2-enoate,Plasma,25.1
L-Tyrosine,Plasma,45.2
Uridine,Plasma,1855.2
Vanillylmandelic acid,Plasma,4.6
Xylose,Plasma,1.9
Comt,Cortex,
Tpd52l2,Cortex,
Dlg3,Cortex,168.8
Heatr6,Cortex,
Cfp,Cortex,2.0
Tulp3,Cortex,494.0
Ddt,Cortex,63.1
Folh1,Cortex,0.0
Ppm1j,Cortex,0.0
Ccdc97,Cortex,9.3
Shh,Cortex,0.2
Plekha3,Cortex,245.6
Kdelr1,Cortex,333.6
Atg4d,Cortex,217.2
Arrdc2,Cortex,18.7
Pnkp,Cortex,3.1
Plag1,Cortex,0.0
Etv3,Cortex,278.9
St8sia6,Cortex,187.1
Nosip,Cortex,143.8
Bicd1,Cortex,9.6
Ess2,Cortex,0.0
Ercc1,Cortex,112.0
Rpl8,Cortex,356.6
Hmox2,Cortex,297.4
Etv1,Cortex,201.5
Emg1,Cortex,4.2
Utp20,Cortex,382.3
9330159F19Rik,Cortex,737.4
Gab2,Cortex,298.4
Tmem242,Cortex,293.6
Rasa4,Cortex,
