0,1,2,3,4,5,6,7,8,9,10,11
ID,939.0,934.0,935.0,936.0,937.0,938.0,940.0,941.0,942.0,943.0,UNK8
ENSMUSG00000027374-P,6.6229882298119955,6.405062709152161,6.615488087556025,6.359462826882996,6.731443787784425,6.659604391096504,6.442986421406114,6.825285165053963,6.575085749865443,6.844618859895456,
ENSMUSG00000042626-P,4.321549492049377,3.852060334742067,5.307449543185963,4.942038178517604,5.701403726240479,5.237756819550208,3.810514593565415,4.977680582447654,4.298104939536926,4.252640047634348,
ENSMUSG00000055681-P,7.816877636412499,7.848775387248864,7.813033015219128,8.098378958470615,7.988953557785727,7.199808504322534,7.434671401315007,7.597582104243076,7.881908069644026,7.838328791566402,
ENSMUSG00000028412-P,6.360353661778437,6.842077310475394,6.348901173749178,5.896719670711514,6.316120126028523,6.236194606635513,6.958346789015887,6.241576125946,6.560138125621913,6.534500861155465,
ENSMUSG00000054484-P,5.316612880481493,6.155926447274194,5.043665381412245,5.024242728639026,4.943465455302347,4.467377558871165,5.124320178459227,4.451172027377437,5.0631190143554665,4.700947400377628,
ENSMUSG00000024425-P,10.183800942958069,10.358663129128578,10.20318773482849,9.934885311451852,10.085541281076145,10.380992798595482,10.384870739777805,9.764368204662478,9.939278230770716,9.770732416319294,
ENSMUSG00000032216-P,10.107948076301742,10.327660119583152,9.469733113266724,9.086207746032446,9.999748644781958,9.977857887701555,10.288956058678057,10.017771273042875,10.416836928576156,10.344391847531782,
ENSMUSG00000025979-P,7.461641170449312,7.092123367537143,7.599934293538317,7.798938682665896,7.672961357874305,7.866268450901901,8.021682252693351,7.874260836503107,7.35876785617645,7.238929229176315,
ENSMUSG00000051343-P,4.9643489021390526,6.217355565011174,5.043665381412245,5.024242728639026,5.671619863072131,5.607418061891334,5.731258768633309,5.417812516162077,5.0631190143554665,5.0424752552067345,
ENSMUSG00000035443-P,8.133095424311843,8.333338212475585,8.624707318395737,8.486953234967084,8.476206920526254,8.729105437284622,8.305345063711192,8.234914748730626,8.208615782460724,8.324456786242296,
ENSMUSG00000028991-P,5.813972531635062,6.332883333404499,6.2267499791404335,6.632728042457236,6.064363292374095,6.028631865276134,6.553856463440599,5.85806032627422,6.2040681132011395,6.445306768518016,
ENSMUSG00000036948-P,5.520318109015473,6.155926447274194,6.798145964744758,6.001904191842039,6.774113126984875,6.843889094147255,6.399110403013428,6.441387448538115,6.279013089628651,6.13893452079274,
ENSMUSG00000033900-P,6.571530635196595,6.571135376502181,6.3874232372913085,6.851166333688574,6.595297338780084,6.200609772851496,6.820995566065074,7.343187726400538,7.350103907851755,7.198560098846078,
ENSMUSG00000041936-P,1.4472065861190857,3.744884634769628,5.753228359186448,5.345294605051995,5.814746626998824,5.945081688631868,5.35617194354144,5.214466084194152,4.676324781005206,5.159263134006526,
ENSMUSG00000034584-P,4.497289534456298,1.6171983216374568,3.588413176024308,4.028615856195515,1.644524637198008,0.9398481031782112,2.417802590081342,3.410658846623913,4.3684340633204695,3.222863846480197,
ENSMUSG00000068921-P,6.635570879825462,5.632064439781246,5.782429735667016,5.852400307614175,6.513712606035222,6.218511901798136,6.5802920199342525,6.301543691787303,5.975307404046377,5.749456405487739,
ENSMUSG00000049670-P,5.04201912921567,5.046608861899695,5.181577911249507,5.783258962668004,5.173383165887978,5.010023058549755,5.445161808589668,4.8629553682010584,5.434918702122314,4.915393872976637,
ENSMUSG00000044224-P,4.702576481501708,5.0007574461974125,4.891162234118836,5.939718030230672,4.543972575687705,4.526058171975563,5.6336616311672145,5.837951504031949,6.062746991028016,6.248448553326723,
ENSMUSG00000030216-P,7.138225178148573,6.761882606904552,6.329247423936927,6.50970779403364,6.354117710036407,6.522217413727954,6.958346789015887,6.751954012747458,6.940898759950688,6.945642350481263,
ENSMUSG00000071072-P,7.4545572532006945,7.092123367537143,7.378780750422187,7.612211160859154,7.237588588812777,7.252890870934083,7.491491426312971,7.492159127041547,7.458869182813468,7.341363895940468,
ENSMUSG00000021243-P,6.672673484906375,6.720049179113472,7.462354266180769,7.302045855505167,6.041257694906058,6.889300258386517,6.322881482060759,7.579529040479794,6.905856790644351,7.128661778450114,
ENSMUSG00000016495-P,5.7225717490914505,5.747617500270559,4.994600610353493,4.762084009432767,5.545926290761863,5.165767165153738,5.88761719311416,5.471009825516781,5.297472671066822,5.26730081503223,
ENSMUSG00000026803-P,5.285013906952614,5.905252921727676,5.723423689788241,5.874730167948002,5.512714021628471,5.901419157193912,6.028674415714707,6.271871465536351,6.041378893527714,6.7359850352559345,
ENSMUSG00000036188-P,5.920637492712868,4.904436798809246,6.4433437939658145,6.001904191842039,5.512714021628471,5.945081688631868,6.191862266846603,6.162931855610215,5.882224354039638,5.9246719765045155,
ENSMUSG00000068284-P,6.4197577533265235,5.8020989910440015,5.091116240655791,6.022051183825807,5.255985743248763,5.403427303357233,5.866291291383287,6.616861689478417,6.384600669736601,6.490593004100329,
ENSMUSG00000033237-P,5.920637492712868,6.001520874228293,5.459827368535989,6.099938259092898,6.462451201305003,6.370356753075455,6.526927452925765,6.301543691787303,5.782718799196082,6.13893452079274,
ENSMUSG00000063894-P,4.702576481501708,4.43815110849776,4.132832161798551,4.4414684486850105,4.083073932513149,4.689008850126846,4.056309034141006,4.451172027377437,4.3684340633204695,4.776027546772013,
ENSMUSG00000027536-P,2.4106095149466364,2.6251459767468943,3.449675285104147,0.0,3.0776820435059644,3.4726942555145923,2.990901167612543,3.297408618726716,3.883488798682337,3.222863846480197,
ENSMUSG00000069727-P,0.0,3.042163567535062,2.4360270815356015,3.037322543347878,1.0449005473594477,0.9398481031782112,3.399969917711489,3.5156624624613326,1.5682857555401204,2.99040787202365,
ENSMUSG00000042118-P,3.888924901803752,1.6171983216374568,2.1072261594039285,3.562485519943336,3.4017693127773,2.2244432010631345,4.559891798095986,4.022756145667588,3.147646225708344,3.4230107876057687,
ENSMUSG00000094002-P,1.4472065861190857,0.0,1.680660685039108,0.9269160351229908,0.0,1.9088047473436207,0.0,0.8502888279616356,0.9875105484522038,0.0,
ENSMUSG00000039253-P,7.224044383251313,7.207628152726912,6.998087917929735,6.949117315711156,7.316692394232792,6.933325544477558,7.9062657702471775,7.069047583252809,7.296998287804286,7.252138427119792,
ENSMUSG00000031916-P,6.165884242307896,6.217355565011174,6.247840314815037,6.8169802460896545,6.335244011574411,6.337967644511268,6.540454788602951,6.2568033162489805,5.560401671877235,6.248448553326723,
ENSMUSG00000025477-P,6.767187701239552,6.691470750376755,6.348901173749178,7.079803952557726,6.882088528746082,7.027729122823676,6.593330340325236,6.519217707550713,6.350256337756722,6.5979543869599,
ENSMUSG00000036371-P,9.561497409289784,9.81124552927032,9.656783473764458,9.810092013446708,9.872983320660614,9.61869556894271,9.648936546601414,9.873351437015607,9.927678814663365,9.912668294219024,
ENSMUSG00000094595-P,4.923887268841653,2.848670211699394,0.0,1.4866706657115965,1.644524637198008,2.2244432010631345,1.8504550266253927,3.410658846623913,2.5640862732757217,2.713165506010181,
ENSMUSG00000041126-P,7.918195347595182,7.948756495498348,7.820090992093833,7.80476518079776,8.22256673335395,8.248153693443252,8.289410172492703,7.960490298244009,8.093944134067621,7.793857961333414,
ENSMUSG00000034064-P,6.755706536565383,7.013493463172993,7.310257662816774,6.099938259092898,7.237588588812777,6.711093796038001,6.48556734883563,6.194905824038242,6.6045242579786025,6.618500169311961,
ENSMUSG00000004591-P,7.018436954462907,6.53941508874529,6.069797048200696,7.010908171459212,5.7305851300136235,6.606209113007688,6.428508841726254,7.446406395300333,7.392912534133613,7.303798025795707,
ENSMUSG00000035295-P,1.4472065861190857,3.042163567535062,1.0723621528571825,2.203147957548002,2.88349271729182,3.2117810542972003,2.1618399888854016,2.726838355924407,2.301892742392315,1.9179260834722285,
ENSMUSG00000085558-P,3.611664809697399,2.848670211699394,3.449675285104147,3.037322543347878,3.2488069851981782,4.275493209667935,2.417802590081342,3.7913753794272904,3.5619819391917837,3.896656719144944,
ENSMUSG00000057421-P,6.9394510203567386,6.662314749479658,6.549074361566092,6.565682240695157,6.153253931343048,6.321496264090243,6.729474936933299,6.942924935066531,6.845493036213632,6.5979543869599,
ENSMUSG00000022781-P,7.475705500937797,7.448687145191091,6.894908420027317,7.358594646628449,6.8690253459961905,6.98653263449594,7.6117014555427875,7.874260836503107,7.917529407672716,7.73861777287988,
ENSMUSG00000030060-P,4.321549492049377,3.852060334742067,4.132832161798551,4.610664411920954,5.295578618849955,4.131743603028822,3.1405197238510687,4.1586681136641985,3.976492875004384,3.7553763845397103,
ENSMUSG00000015112-P,5.768995847214712,5.978049389447168,5.630127004574053,6.451473653442934,6.236984059880915,6.354253090518008,6.258858687197653,6.581015167663808,6.2040681132011395,6.717056660514422,
ENSMUSG00000042426-P,4.882258028670256,5.978049389447168,5.946217345326749,5.874730167948002,6.65739802656506,6.028631865276134,6.291225199696001,6.226186501495635,6.019689543979886,6.080893600935071,
ENSMUSG00000027642-P,8.728141380951937,9.067587186423504,8.892499282556592,8.836085142709807,8.72122483232432,8.524857061315886,8.69525403268775,8.462107459084688,8.367304770874213,8.506338087489445,
ENSMUSG00000105382-P,2.154969169385692,2.360525538656084,1.680660685039108,0.9269160351229908,0.0,0.0,0.0,2.5403176978191047,2.978071989188756,1.256646745267199,
ENSMUSG00000024081-P,6.1128758334429625,5.7751154081548215,5.782429735667016,6.696795930261391,5.578391154308508,5.809917941544584,6.157160041336223,7.292369432611691,6.589880090019639,6.945642350481263,
ENSMUSG00000079442-P,4.795212770799635,4.746707120183241,5.661901008214602,6.343540569975755,5.255985743248763,5.607418061891334,5.228277931859503,5.390459717457241,5.0200728362489775,5.214293052212603,
ENSMUSG00000003184-P,5.674603971033879,6.405062709152161,6.631624570874712,6.793731021155078,6.513712606035222,6.56482441205868,6.526927452925765,6.730298922738651,6.083803214208118,6.300238100600774,
ENSMUSG00000005469-P,8.046230945597916,8.086826737304678,8.374440014273704,8.748108275954948,8.514461091010855,8.072273401205646,8.562324285570956,8.19199113184869,8.2650117293933,8.116292272631577,
ENSMUSG00000030094-P,4.653927843638256,5.091047813418894,5.043665381412245,4.942038178517604,4.892733509557958,5.494404734686569,5.731258768633309,5.3341473795355485,4.9757026692765285,6.050973347241968,
ENSMUSG00000024941-P,6.405134466273811,6.802537107158998,7.471348276491703,7.040838685687671,7.672961357874305,7.087398759363877,6.656810915766643,6.568865629125391,6.845493036213632,7.142914994519532,
ENSMUSG00000049295-P,6.7324664111731005,6.829017283036358,7.320248200543911,6.927917918114813,6.801873991396523,6.922444532036529,6.948233297676841,7.144666592557083,7.083619862392183,7.024740167738741,
ENSMUSG00000049097-P,3.268131666090232,0.0,2.1072261594039285,2.203147957548002,3.0776820435059644,4.205408060991335,2.8239513059645196,3.410658846623913,2.301892742392315,2.99040787202365,
ENSMUSG00000070348-P,6.000631969106703,6.069727602258707,5.307449543185963,6.118770299801592,5.371646562501183,6.354253090518008,6.291225199696001,5.3341473795355485,5.833329293702817,5.749456405487739,
ENSMUSG00000046711-P,1.844061592155304,2.360525538656084,1.0723621528571825,0.9269160351229908,1.644524637198008,0.9398481031782112,1.4528199824800077,0.0,2.301892742392315,0.0,
ENSMUSG00000034647-P,7.713848883643067,6.571135376502181,6.4433437939658145,7.87290726347126,6.933189610126316,7.455179146665931,6.752905120196309,9.005705115032068,8.706290607053957,8.597130529303119,
ENSMUSG00000002319-P,6.476812262239597,6.473802296145793,6.754603500368547,5.685593241710341,6.513712606035222,5.923415595025229,6.139490805072494,6.568865629125391,6.450929785968784,6.325451983947782,
ENSMUSG00000020108-P,6.789879507469941,7.990409824549608,7.407179923485969,6.828465852322095,6.882088528746082,7.320759416054424,6.322881482060759,7.299739706011485,6.833111176152505,7.040052337320204,
ENSMUSG00000026273-P,5.003706643086155,5.216698241120791,5.423215024556173,4.854865093623743,4.840152365914312,4.8810828168733815,5.683285338375812,5.4446563537551675,4.83376542989838,4.847392928297673,
ENSMUSG00000022246-P,6.6604116659591535,6.632557348477747,6.934470489462872,6.721647112875435,6.316120126028523,6.82063599357392,6.968389876638373,6.531790781131416,6.332772628629253,6.445306768518016,
ENSMUSG00000020308-P,6.21701381247031,5.854597709358996,6.2053467502856705,6.155712582389329,6.8950344888103166,5.966427213654334,6.139490805072494,6.493737984718577,6.498749040491763,6.697876637342029,
