,LPS944_160124,LPS945_160124,LPS946_160124,LPS947_160124,LPS948_160124,LPS949_160124,LPS950_160124,LPS951_160124,LPS952_160124,LPS953_160124,LPS955_160124,LPS956_160124,LPS957_160124,LPS958_160124,LPS959_160124,LPS960_160124,LPS961_160124,LPS962_160124,LPS963_160124,LPS934_150124,LPS935_150124,LPS936_150124,LPS939_150124,LPS940_150124,LPS941_150124,LPS942_150124,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124,DSS107_190124,DSS901_190124,DSS902_190124,DSST1.5_190124,DSST1.6_190124,DSST1.7_190124,DSST1.8_190124,pls_116_12012022,pls_118_a_12012022,pls_119_13012022,pls_89_14012022,pls_120_13012022,pls_88_13012022,DSS85_230124,DSS87_230124,DSS90_230124,DSS117_REP_310124,DSS122_230124,DSS906_230124,DSS907_230124,DSST3.6_230124,DSST3.7_230124,DSST3.8_230124,pls_129_12012022,pls_127_a_12012022,pls_70_a_12012022,pls_97_13012022,pls_123_13012022,pls_96a_14012022,pls_128_rep_14012022,pls_126_14012022,pls_124_14012022,pls_125_13012022,DSS91_REP_310124,DSS94_250124,DSS95_250124,DSS125_250124,DSS126_250124,DSS127_250124,DSS129_250124,DSS912_REP_250124,DSST5.5_REP_250124,DSST5.6_REP_250124,DSST5.8_250124,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124,VECPAC_3352_290124,VECPAC_3355_290124,VECPAC_3664_290124,VECPAC_3665_290124,VECPAC_3689_290124,VECPAC3296_300124,VECPAC3303_300124,VECPAC3304_300124,VECPAC3306_300124,VECPAC3318_300124,VECPAC3328_300124,VECPAC3330_300124,VECPAC3334_300124,VECPAC3356_300124,VECPAC3370_300124
D-Proline,,0.588295174,,,,,,,0.139552024,0.633513512,,,0.545401739,,,0.125201482,0.325401555,0.131221503,0.258306394,0.258081927,0.638808326,,-0.232877829,,0.242508359,-0.366705257,-0.281887472,-0.22374073,,0.207720783,,,-0.216130076,,,,,,,,,,,,,,-0.176097365,-0.347672221,-0.229292585,-0.317237322,,,,,0.618286715,,,,,,,,0.125979,-0.355812326,,0.462837371,,0.367578969,-0.258575515,-0.257733816,,,2.173958326,,,6.29555069,,8.789288417,,,,,,0.555722571,,0.445518958,0.857725001,0.525847959,0.258334852,0.36390313,,0.461642536,,0.529427067,0.663563953,,-0.162351166,0.11565004,,0.147935735,0.355325812,0.218983224,-0.261326531,0.102632405,-0.002914321,0.215541267,0.29478814,0.006232583,0.127985237,0.213362407,0.288434683,0.189529379,,0.317518554,0.187691226,,0.02588382
"D-Psicofuranose, pentakis",1.126199977,0.100872347,3.168776158,1.112933587,1.345313611,0.523534314,0.956854198,0.94432078,0.841858338,0.873677183,-0.293402271,1.041070805,1.547346884,0.557632687,1.236617302,0.281187566,0.564280513,1.101343706,0.534314187,1.494785146,1.606820787,1.250969137,1.241033757,1.561706848,2.28320357,0.728167429,-0.540251738,-0.834935654,-0.73290852,-0.850172562,-0.907542279,-0.716844694,-0.286531812,-0.719725354,-0.771682286,,,,-1.080877795,-1.191026315,,0.79510953,,1.164226002,1.2976121,,-0.86426223,-1.164297994,-1.145953489,0.36866319,-0.921680838,-0.592341296,-0.791112434,0.341157397,0.126070463,-1.021699911,-0.961008368,-0.325028752,1.902354678,1.552987767,2.764722368,1.718441938,-1.136204701,-1.123895585,-0.780884115,-0.868303492,-0.85172842,-0.786966745,-0.652540789,-1.144620437,-0.785475191,-0.902768558,-0.977887085,-0.039196037,-0.810931237,-1.252804841,0.680494677,,0.377608307,0.682830486,-0.915202403,0.169513825,0.068287604,0.590044188,1.376877361,-0.33102783,1.052007194,1.11381581,,1.234665693,0.463857144,0.783575543,0.263798896,-0.238839229,0.130587434,0.423545436,-0.008005524,0.242702147,0.793510019,-0.432345282,0.012962897,,0.092026661,-0.155732514,-0.326487192,,-0.677704459,0.009840676,0.838212457,-1.234149761,0.466933787,1.310084355,0.036277974,0.076860664,-0.161503688,0.000605587,-0.183747044
D-Ribose,,,,,,,,,,,,-0.38933412,,,,,,,,-0.38611951,,,,,,,-0.33767074,-0.3089975,-0.03013466,,0.00659846,-0.1633319,,-0.18082125,-0.32030913,1.04381589,,-0.14463232,0.88287739,,4.23958535,2.4627311,4.13956528,3.58660385,1.99523463,2.03667162,-0.29699412,,,,-0.19812362,,,,,,,0.44630374,,2.26634801,3.13730122,2.55745869,-0.23620208,,-0.14990791,-0.25002778,,,,,-0.39210888,,-0.32032743,,-0.37781209,,,-0.38115148,-0.3637054,0.46585465,0.06353425,0.25426703,0.17856345,,,,,,,,-0.39382542,,-0.39412786,,,,,,,-0.3174876,,,-0.11620633,-0.22696165,,-0.39271348,,,-0.32232845,,,-0.25481193,,-0.17484366,-0.28760815,,-0.16732895
D-Threitol,-0.51265109,-0.45479713,-0.37024479,-0.31792425,-0.4824143,-0.32180996,-0.33696379,-0.42786122,-0.53464164,,-0.43518052,-0.40539422,-0.59169419,,-0.41553582,-0.59615031,-0.45956443,-0.53218431,-0.41833436,-0.3596984,-0.42083291,-0.38593737,-0.50343886,-0.41182812,-0.45903639,-0.41226306,-0.5786182,-0.6151999,,,,,,,,1.56500746,4.15543898,1.49299964,1.07225415,3.13406063,0.69210836,1.45019752,,1.43659801,0.67300012,1.16822717,,0.10180239,,0.36485362,0.189801,1.28769714,2.56220724,1.01946937,0.69315869,3.29907365,2.66616815,0.39209721,1.50850863,0.63865392,1.02695308,0.62783406,-0.0455114,0.10507445,-0.02447806,-0.31351698,-0.03317402,-0.54409458,-0.15190986,-0.30845696,-0.05714836,,0.93852699,1.69449621,0.85694323,4.34748651,1.7259249,1.33508061,2.16216001,0.34403588,0.47218557,0.47923571,0.17090948,,-0.5708035,-0.57345912,,-0.54997845,-0.54461079,,,-0.48814417,,-0.5105024,,-0.495248,,-0.45014421,-0.43905248,-0.51972754,,,-0.50837158,,,,-0.49860561,-0.47612929,,-0.57284707,,,-0.57570612,-0.5506639,,,-0.53535202
"D-Xylofuranose, 1,2,3,5-tetrakis-O-",-0.37720353,-0.38167349,-0.37699345,-0.37263946,-0.3699736,-0.37436225,-0.38191104,-0.37260555,-0.38183866,-0.37788859,-0.38462282,-0.3753345,-0.37839838,-0.38436232,-0.38492806,-0.38735618,-0.38263969,,,-0.37924361,-0.39853449,-0.37727293,-0.37638381,-0.37846142,-0.37567702,-0.37169966,0.15575063,-0.15119369,-0.25903672,0.05848594,0.39240108,0.39362698,0.34700646,-0.17459928,-0.25067341,1.40691999,1.26471352,3.32652691,-0.02745853,2.45233261,,,,,0.30951866,-0.33980019,,0.141321,,-0.30417458,-0.16934624,-0.31943027,3.01713295,3.59336128,0.91609469,2.49553401,6.49178972,-0.12955729,-0.31431146,-0.33711124,,,-0.39584295,,-0.24886366,,-0.1566049,-0.35206743,-0.01076376,-0.15343601,-0.05499634,-0.21146308,2.94383922,,0.64309474,0.90610936,4.28633787,1.13563821,1.77705847,-0.31102555,-0.16644506,-0.35414778,-0.34423597,-0.37819621,-0.39782941,-0.38799185,,-0.39790584,,-0.38479401,-0.38078094,-0.3831286,-0.39212908,-0.3894223,-0.38871149,,-0.38733808,-0.389023,-0.37968314,-0.39047216,-0.39883835,-0.37867587,-0.38482139,-0.38389384,-0.38683575,-0.39476644,-0.38590487,-0.38354228,-0.39716809,-0.3794548,-0.38023756,-0.398178,-0.38785773,-0.38619073,-0.39816735,-0.37977139,
Decanoic acid,1.7815097,0.9917214,1.5257611,1.0790491,0.7772659,0.9238496,0.8344243,1.0350644,1.13501,1.2919105,0.9491712,1.5653225,1.3073042,0.767857,1.1899376,1.0300904,0.6635621,0.6577313,1.5593095,1.3618826,1.1523007,0.7253493,1.0902665,1.3963218,1.4895227,1.8100392,-0.7048183,-0.5891145,-0.7208743,-0.6817363,-0.494687,-0.2566389,-0.6567388,-0.7694654,-0.6097231,,,-1.0752466,,,,,,,,,-0.8049747,-0.5967074,-0.7196782,-0.5268241,-0.5386917,-0.3627348,,-1.0758948,,,,,,,,,-0.8238929,-0.7768936,-0.7667033,-0.8276479,-0.6450257,-0.7207357,-0.841474,-0.8666997,-0.7337959,-0.8275717,-1.0757608,,,,-1.075577,,,,,,,0.6058324,1.0799792,1.2574179,1.6177867,0.9849008,2.2378623,0.8348817,0.7426331,0.7726452,0.8262401,0.9161164,0.7133393,0.6169845,1.187878,0.6708311,0.9031586,0.4543658,0.7553745,0.4864907,0.5973182,0.3238354,0.3278078,0.4004977,0.2791408,0.3556593,0.5075708,0.6215279,0.8167967,0.9311166,1.0840428,0.7071911,0.7263223,0.8598478,-0.1635586
Dehydronorketamine,0.337199644,-0.197285676,0.361650564,0.217197536,0.394141361,0.020757844,-0.131532464,-0.225102193,-0.286061102,-0.415700998,-0.364910207,0.180072153,0.285607945,0.084595346,0.074230277,-0.008021067,-0.099359313,-0.259331596,-0.14949705,-0.166077221,0.159374451,,-0.428789721,0.069340456,-0.324003921,0.54934831,-0.66006022,-0.781426804,-0.688498253,-0.782439674,,-0.097147999,-0.700759414,,-0.543656597,,,,,,,,,,,,-0.61838957,-0.650638288,-0.698744515,-0.777335681,-0.086088892,-0.416205947,,,,,-0.691348099,,,,0.804553787,0.787916259,-0.64435093,-0.72142078,-0.387703969,-0.500779133,-0.719683499,-0.516962548,-0.159824084,-0.737895379,-0.669928273,-0.629532009,-0.655959187,-0.670869835,-0.673825087,-0.710818363,,-0.573301743,-0.3905014,0.920509788,0.056108879,0.248571786,1.009747719,5.112828654,,-0.144427856,,,0.268425577,1.001005323,2.334677835,0.665000189,0.496741908,0.039549844,2.211145458,0.301328789,1.507909192,0.550420058,2.698985313,0.713252104,2.122015164,2.878981316,3.384428761,0.378037162,0.732415325,-0.199218549,1.515900679,0.205201226,2.522359186,3.246967526,0.291382003,,-0.334242123,0.308442746,,1.983909031,0.928714524
Delorazepam,0.19301711,-0.69772519,-0.170629533,0.21597086,0.325003671,0.167190649,0.147494249,0.11407039,0.277773035,0.520002841,-0.433028761,0.185019187,1.63057574,1.126840898,1.940998192,-0.088170918,-0.195035756,0.968232578,0.62322608,-0.809435295,0.127810157,-0.14463832,-0.032170057,1.421464746,0.841258653,0.510825803,,-1.001680754,,0.502891532,,,-1.004397093,,,-0.615320838,,-0.707548494,0.25524571,-0.859886854,2.313921812,2.647432715,3.191078191,1.57724831,1.959688697,1.994682625,,,-1.018812649,-0.93044465,,,-0.982385401,-0.436900187,-0.568099825,-0.88185621,,-0.11787265,1.928574692,2.226304581,2.668994865,1.048389857,-0.280011298,-0.900255712,-1.019132198,-0.339712579,-1.049676423,0.034936147,-0.099748637,-0.895075848,-1.00506826,-0.416241551,-0.884682029,-0.725844272,,-0.221627054,-0.822948871,-0.780874699,-0.819085179,0.53412409,-0.235289929,-0.207883769,0.667974662,-0.204466348,0.074827798,-0.40793809,2.940379752,1.691918539,0.009175568,0.033748075,-0.001991703,-0.021577945,,-0.302882756,-0.18484353,-0.231514464,-0.105930568,-0.117625044,-0.214827225,-0.370019934,-0.662991441,-0.338852951,-0.251376082,-0.414119827,-0.452967773,-0.682082125,-0.280781075,0.081340807,0.108641234,0.259415652,0.126948856,1.762263154,-0.216873036,-0.227869029,0.462823498,-0.240654685,-0.175410408
Deoxycholic Acid,,2.741739694,,-0.340299052,,-0.17444534,,-0.195468,-0.37321833,,1.016867881,,-0.337510912,,,3.716908983,,,-0.204317385,,,,,-0.310161967,-0.291954268,-0.286350799,,-0.408813355,-0.393421475,,2.601013359,,-0.405418519,-0.417062563,-0.37230023,-0.276681871,-0.34712944,-0.32979909,4.672794044,,-0.248311529,-0.083687603,-0.138390183,0.083633234,-0.105770471,,,-0.421400801,0.058880232,-0.409076911,0.053659252,-0.356312673,,,,,,0.211752177,,,,,-0.413629521,,-0.399010961,-0.414583271,,,-0.411060017,-0.405860887,,-0.350968456,,,0.775798369,-0.372735082,,-0.354933293,-0.379956318,,,-0.328774,,-0.265145438,0.437141527,,3.638749131,1.773727095,-0.098385317,-0.379416859,0.524067037,-0.008417962,0.265203793,-0.08441449,-0.310707189,0.176372652,-0.139465264,,-0.212680213,0.119251651,1.279484167,-0.249586424,-0.138385215,-0.130384635,-0.092856704,0.950085244,-0.208443657,0.16032779,0.383545367,-0.021561791,0.450783107,0.081945405,,-0.254672434,0.478169262,-0.252415188,-0.07552953
