Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
Ing2,Uqcr11,,
Inppl1,Pmm1,,
Insc,Zbtb3,,
Insl5,Vps72,,
Irf8,Ripk4,,
Irs2,Pctp,,
Irx1,Tinagl1,,
Itga11,Zfp628,,
Itga5,Polg2,,
Jcad,Zbtb3,,
Jmjd7,Pkia,,
Katnal1,Vstm4,,
Kcnk6,Pllp,,
Kctd1,Rusc2,,
Klf8,Slc25a53,,
Lca5,Lgals1,,
Ly6e,Sdccag8,,
Macroh2a1,Smarcc1,,
Mad2l1bp,Xk,,
Mageh1,Rap2a,,
Mageh1,Scap,,
Mageh1,Sfr1,,
Map10,Prkcsh,,
Map1lc3b,Sdccag8,,
Map4k2,Rap1gds1,,
Mapk8ip2,Ssc4d,,
Mapt,Vwa5a,,
Marchf10,Or8b53,,
Marchf10,Tshr,,
Me2,Slc1a3,,
Med23,Nek8,,
Med23,Senp2,,
Mesd,Xlr4b,,
Metap2,Zfp386,,
Mfsd6,Rom1,,
Mkrn1,Rusc2,,
Mkrn3,Mrm3,,
Mllt11,Rpl12,,
Mllt11,Tubb3,,
Mlx,Zfp386,,
Mob2,Zbtb34,,
Mon1b,Prkaca,,
Morrbid,Rhou,,
Mpp7,Pcdhga5,,
Mrm2,Snora57,,
Mrps18c,Strap,,
Nanp,Ppp1r3c,,
Nat10,Rps12,,
Ncbp2,Vps72,,
Nckipsd,Upb1,,
Ngef,Tceal6,,
Nhsl1,Rps29,,
Nr2f6,Pantr1,,
Nr2f6,Rps29,,
Nsun4,Ptk7,,
Or8b53,Tmem42,,
Osbpl8,Tspo,,
Osgepl1,Ptpn6,,
Pacsin1,Rps5,,
Pacsin1,Timm17a,,
Pank3,Polg2,,
Pantr1,Snap47,,
Pantr2,Rbpj,,
Pcdhb18,Slc1a4,,
Pcdhb7,Tubb3,,
Pdia5,Strap,,
Pdlim3,Zbtb8a,,
Pea15a,Pllp,,
Penk,Tspo,,
Pfdn1,Tspo,,
Phex,Poln,,
Pigb,Uck1,,
Poglut1,Smim43,,
Poln,Spaca6,,
Polr2j,Zfand2b,,
Prkcd,Vwa5b2,,
Prr18,Tmem62,,
Psmd10,Sc5d,,
