Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
Hkdc1,Ktn1,,
Hmmr,Ppil3,,
Hps6,Mrps18a,,
Hs3st3b1,Pomgnt1,,
Hsd17b2,Tomm34,,
Hspg2,Ofd1,,
Hspg2,Poglut1,,
Id1,Pkd2l1,,
Id2,Tubgcp2,,
Ide,Rbms2,,
Ifi30,Klf8,,
Ift172,Npas3,,
Igdcc4,Zfp27,,
Igf2bp2,Polr1c,,
Igf2bp2,Prxl2c,,
Ilvbl,S100a9,,
Ints10,Lrrc43,,
Ints10,Rasgef1c,,
Itga11,Spmip6,,
Jrkl,Nfe2l2,,
Junb,Niban1,,
Kif1b,Lrguk,,
Kif21b,Slc35g1,,
Klf8,Lrrc75b,,
Kras,Zmat3,,
Lactb2,Mtf1,,
Las1l,Poln,,
Lgr4,Prkcd,,
Lgr4,Usp13,,
Lrguk,Smarcc1,,
Lrp2bp,Zfp280b,,
Lrrc8c,Tmem88b,,
Mall,Pura,,
Mall,Sec62,,
Mall,Slc27a1,,
Mall,Tmem229b,,
Mall,Zbtb7a,,
Mef2a,Spink8,,
Mkrn3,Zbtb34,,
Mospd3,Zbtb34,,
Mpi,Tomm40,,
Mpp2,Niban3,,
Mpp2,Rap1gds1,,
Mrpl17,Ttll6,,
Mrps24,Rom1,,
Mrps24,Ttll6,,
Mterf4,Pus7l,,
Mtor,Spink8,,
Myof,Prkcd,,
Myof,Spink8,,
Nalf1,Rpl18a,,
Nicol1,Spink8,,
Nipbl,Prkaca,,
Nop16,Slc1a5,,
Nsun4,Prkaca,,
Ofd1,Oxsm,,
Ofd1,Usp43,,
Olfm2,Samsn1,,
Osgepl1,Tomm40,,
Pacsin1,Rassf4,,
Pak2,Smarca1,,
Pank2,Smurf1,,
Parp3,Pllp,,
Pcdhb18,Tmem204,,
Pebp4,Zmat3,,
Pfas,Rbm14,,
Phactr2,Prkaca,,
Pheta1,Pomt2,,
Pheta1,Rspo1,,
Pheta1,Slc35g1,,
Pheta1,Tmem231,,
Pigyl,Zbtb43,,
Plppr3,Zfp513,,
Polr1c,Rpl12,,
Ppfibp1,Ring1,,
Ppp1r3c,Rplp1,,
Ppp1r3c,Sema6a,,
Ppp5c,Usp13,,
Prkaca,Ptges2,,
Prkaca,Qser1,,
Prkaca,Smc6,,
Prkaca,Srcin1,,
Prkaca,Usp9x,,
Prkaca,Ylpm1,,
Prkaca,Zhx1,,
Psmg3,Ptges2,,
Psmg3,Zfp654,,
Qrfpr,Slc16a7,,
Qrfpr,Zfp358,,
Rab1b,Rassf2,,
Rab5a,Zbtb3,,
Rabepk,Tpgs1,,
Rad50,Tmem217rt,,
Rbm14,Stag2,,
Rgs7,Sdccag8,,
Rimklb,Tmem229b,,
Ro60,S100a3,,
Rora,Zfp41,,
Rps12,Smyd2,,
S100a3,Tmem62,,
Slc66a2,Smurf1,,
Smarca1,Snora35,,
Smarca1,Tet1,,
Spink8,Wbp11,,
Sppl3,Tmem88b,,
St8sia2,Tpst1,,
Sympk,Zfand2b,,
Tnrc18,Utp4,,
Tspo,Zswim5,,
UNKNOWN,Vwa3a,,
