Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
Gm18284,Gm4117,,
Gm1976,Zfp804b,,
Gm23751,Zbtb43,,
Gm26592,Ndufa10,,
Gm26691,Qsox1,,
Gm28523,Mkrn3,,
Gm3364,Gm37963,,
Gm3364,Mrpl30,,
Gm37033,Vwa5a,,
Gm37124,Kpna4,,
Gm37390,Gm42600,,
Gm3764,Id2,,
Gm37678,Sc5d,,
Gm37745,Kifc3,,
Gm37745,Map10,,
Gm37834,Pank2,,
Gm37941,Morrbid,,
Gm38104,Id2,,
Gm38299,Rbpms2,,
Gm4117,Pex3,,
Gm4117,Rab36,,
Gm42679,Inppl1,,
Gm42853,Pank2,,
Gm42853,Rps29,,
Gm42941,Ndufa10,,
Gm42989,Vstm4,,
Gm43009,Xlr4b,,
Gm43066,Zfp523,,
Gm43133,Rassf10,,
Gm43133,Txlng,,
Gm43176,Ppp1r3c,,
Gm43176,Rpl12,,
Gm43187,Mall,,
Gm43417,Rap1gds1,,
Gm43663,Hadhb,,
Gm43677,Parp12,,
Gm43751,Zswim4,,
Gm43800,Rbm14,,
Gm4804,Zmynd10,,
Gm5909,Usp13,,
Gm8186,Ube2q2,,
Gne,mt-Nd4,,
Gopc,Id2,,
Gopc,Pfdn2,,
Gprin2,Mcrip2,,
Grhpr,Rap1gds1,,
Grhpr,Rps29,,
Gria4,Rimklb,,
Grin2c,Zpbp,,
Gxylt2,Serpinb1b,,
H1f10,Zdhhc15,,
H2bc27,Rassf10,,
Habp4,Plppr3,,
Habp4,Rps29,,
Hmgb2,Noxred1,,
Hopx,Sdccag8,,
Hs3st3b1,Pepd,,
Hspg2,Rab40c,,
Hspg2,Slc7a11,,
Hspg2,Yars1,,
Htr6,Zpbp,,
Hycc1,Ssc4d,,
Id2,Paxbp1,,
Id2,Rad54l2,,
Id2,Ttc8,,
Igdcc4,Ppm1j,,
Igf2bp2,Or52b2,,
Ing2,Phip,,
Inppl1,Mitd1,,
Ip6k2,Zfp867,,
Iqgap3,Zswim4,,
Iqsec3,Prss3b,,
Irf2bp2,Steap3,,
Jrkl,Pum1,,
Junb,Trp53bp2,,
Kcnh2,Pdgfrb,,
Kctd12b,Syt6,,
Kdm3b,Mall,,
Kdm3b,Tcf20,,
Kif9,Plppr3,,
Kif9,Rps29,,
Knstrn,Ormdl1,,
Kpna4,Slc7a14,,
Krtcap2,Mall,,
Krtcap2,Plppr3,,
Lgals1,Paxbp1,,
Loxl1,Nudt2,,
Lrp4,Pank2,,
Lrrc17,Mdh1,,
Lrrc17,Tet1,,
Mad2l1bp,Myct1,,
Maf,Mier3,,
Mall,Med12l,,
Mall,Msi2,,
Mall,Vps39,,
Manea,Sdccag8,,
Mcrip2,Samd5,,
Med18,Rps29,,
Med18,S100a9,,
Mfn2,S100a9,,
Mib1,S100a9,,
Mlx,Sdc1,,
Mrap,Prdm10,,
Mrgbp,Rimklb,,
Mrln,Tubb2a,,
Mrpl30,Skic3,,
Mtm1,Zmat3,,
Muc3a,Plppr3,,
Mxra7,Nkiras2,,
Myct1,Sbf2,,
Myzap,Tstd3,,
Ndufb5,Prdm10,,
Ndufv3,Rps29,,
Nek8,Tprkb,,
Neu2,Plppr3,,
Neu2,Sh3d19,,
Neu2,Tubb3,,
Niban3,Rpl31,,
Niban3,Rxrb,,
Niban3,Tsen34,,
Nkain2,Rbpms2,,
Nkain2,S100a9,,
Nkiras2,Pcsk5,,
Nptn,Prss16,,
Nudt16l1,Rpl12,,
Nudt22,Sdccag8,,
Nudt6,Sema4f,,
Ormdl1,Sntg1,,
Osgepl1,Scaf4,,
Pantr1,Soat1,,
Paxbp1,Plppr3,,
Paxbp1,Rps18,,
Pepd,Rnaset2b,,
Pja2,Uck1,,
Plppr3,Sdr39u1,,
Plppr3,Tmem242,,
Pnkp,Vps72,,
Pnldc1,Zfp469,,
Polr1a,Tent4a,,
Ppil6,S100a9,,
Prickle3,Prss16,,
Prkab1,Rit2,,
Prss3b,Zbtb8a,,
Psd3,S100a9,,
Psmg3,Rab40c,,
Psmg3,Tnfrsf19,,
Psmg3,Yars1,,
Ptx4,Zfp677,,
Rab27a,Zfand2b,,
Rad54l2,Samd10,,
Rarb,Slc35g1,,
Rasa4,Smarca1,,
Rassf10,Tmem104,,
Rbms2,Rps13-ps5,,
Rbpms2,Ttc8,,
Rbpms2,Zfp523,,
Rfx1,Rps18,,
Rimklb,Slc2a4rg-ps,,
Rimklb,Tubg2,,
Rimklb,Zranb2,,
Rom1,Tubb3,,
Rpap2,Tanc1,,
Rps12,Vash2,,
Rps29,Ywhah,,
S100a3,Slc2a4rg-ps,,
S100a3,Zpr1,,
S100a9,Tmem104,,
Samd10,Tfip11,,
Samd10,Xpnpep1,,
Sbk2,Zbtb34,,
Senp7,Tnrc18,,
Sigirr,Smc1a,,
Sigirr,Trpc4ap,,
Sirt2,Tcf20,,
Slc1a2,Slc1a5,,
Slc7a14,Smc1a,,
Smco3,Tanc1,,
Smco3,Zfp523,,
Smim43,Star,,
Sntb2,Wbp1,,
Srcin1,Srprb,,
Svil,Zmynd12,,
Tcf20,Tnrc18,,
Trpc4ap,Zbtb45,,
Tspan14,Vps13d,,
Tstd3,Vps13d,,
Upb1,Zdhhc20,,
Zdhhc15,Zfp869,,
