Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
Cdkn1c,Chia1,,
Cebpz,Chia1,,
Cebpz,Gm42722,,
Cebpz,Tspan33,,
Celf1,Cnnm4,,
Celf1,Gprc5c,,
Cep41,Samd14,,
Cep41,Zim1,,
Cep57,Fli1,,
Cep57,Snx7,,
Cep63,Pold1,,
Cep63,Pomgnt1,,
Cep78,Rps6-ps1,,
Cep78,Slfn8,,
Cep95,Gm42722,,
Cep95,Prmt8,,
Cfap46,Gm37397,,
Cfap46,Lamtor4,,
Chia1,Map9,,
Chia1,Zfp638,,
Chia1,Zfp975,,
Chmp2a,Rnf187,,
Ckmt1,Eea1,,
Ckmt1,Enpp5,,
Ckmt1,Gtpbp4,,
Ckmt1,Pdap1,,
Ckmt1,Pi4ka,,
Ckmt1,Smc6,,
Ckmt1,mt-Nd2,,
Clcn2,Fam241a,,
Clcn2,Galnt13,,
Clcn2,Rgs2,,
Clcn2,Strip2,,
Cldn22,Cyria,,
Cldn22,Ttc39c,,
Clec12a,Cxxc4,,
Clec12a,Fgfr1op2,,
Clec12a,Mpp7,,
Clec12a,Poglut1,,
Clec12a,Rab5a,,
Clec12a,Slc22a17,,
Cmas,Evi5,,
Cmas,Mpp7,,
Cmas,Nfyb,,
Cmas,Rab5a,,
Cmas,Slc22a17,,
Cmas,Zfp638,,
Cnih2,Qrich1,,
Cnnm4,Spr,,
Cntnap3,Gin1,,
Cntnap3,Rit1,,
Cntnap4,Mrln,,
Cog8,Firre,,
Col27a1,Dhx9,,
Col27a1,Lgr4,,
Col27a1,Ube2m,,
Col6a3,Poglut1,,
Cope,Gm37735,,
Cope,Lrch1,,
Cope,Slco5a1,,
Copg1,Gtpbp4,,
Copg1,Ncaph2,,
Copg1,Slc5a5,,
Coro1c,Uros,,
Coro7,Nup214,,
Cpped1,Klf3,,
Cpped1,Pdlim5,,
Cracr2b,Epor,,
Crybb3,Strada,,
Csnk1a1,Irf8,,
Cspg5,Irx1,,
Cstf2,Gm20712,,
Ctnna1,Rmnd5b,,
Cxadr,Ddb1,,
Cxadr,Rpl37,,
Cxadr,Zfp36l2,,
Cxadr,Zfp760,,
Cxxc4,Fam241a,,
Cxxc4,Mkrn1,,
Cxxc4,Tiam2,,
Cyp4f15,Psmd8,,
Cyren,Zfp512,,
Cyyr1,Prmt8,,
Dbndd1,Fam13b,,
Dbndd1,Ppp1r13b,,
Dbpht2,Idnk,,
Dbpht2,Phf12,,
Dctn2,Ptk2b,,
Dctn2,Sc5d,,
Dcun1d4,Gm5141,,
Dcun1d4,Opa1,,
Ddb1,Gm7467,,
Ddb1,Tspyl5,,
Ddb2,Eeig1,,
Ddit4,Szt2,,
Ddx31,Iba57,,
Ddx46,Nsg2,,
Derl1,Pmm2,,
Derl1,Tubgcp2,,
Dgki,Poglut1,,
Dgki,Ube2v2,,
Dgki,Uros,,
Dhx36,Wdsub1,,
Dlg4,Gm7467,,
Dlgap4,Fbxl16,,
Dlx1,Ruvbl1,,
Dlx5,Kpna3,,
Dlx5,Nipbl,,
Dlx5,Rif1,,
Dlx5,Slc11a2,,
Dlx5,Zfp638,,
Dnajc13,Rgl2,,
Dnajc7,Gm20712,,
Dnajc7,Rbmx,,
Dnajc7,Slc36a1,,
Dnase1l1,Gm9930,,
Dnase1l1,Ip6k1,,
Dnase1l1,Spryd3,,
Dock3,Rnasel,,
Dock3,Slc25a13,,
Dock3,Zswim5,,
Dok1,Me2,,
Dpp10,Kdm3b,,
Dpp10,Ncmap,,
Dpysl4,Pld5,,
Dpysl4,Rad51ap2,,
Dpysl4,Rundc1,,
Drc3,Mir9-3hg,,
Dscam,Ube2v2,,
Dstn,Plekhj1,,
Dtx2,Ndfip1,,
Dtx4,Rmnd5b,,
Dtx4,Thra,,
Dusp1,Osbpl6,,
Dusp28,Ndufs6,,
Dync1h1,Gm7467,,
Dync1li1,Gm43513,,
Dync2i2,Gm4924,,
Dync2i2,Hapln3,,
Dync2i2,Nkx2-9,,
Dync2li1,Gm19967,,
Dynll1,Rbm8a,,
Dynlt2b,Gm20712,,
Ebf1,Nek8,,
Eea1,Ipo13,,
Eef1a1,Gm7467,,
Eif1b,Serp2,,
Eif3g,Tiam2,,
Eif3g,Trim26,,
Emc10,Fam174c,,
Emc3,Prss22,,
Emcn,Ruvbl1,,
Emd,Ndufs3,,
Emd,Opa1,,
Emd,Ptk2b,,
Emd,Telo2,,
Emd,Trim68,,
Erbin,Gm20712,,
Erbin,Spryd3,,
Exoc1,Rab29,,
Exoc1,Slc25a30,,
Exoc1,Tob2,,
Faf2,Nsmf,,
Fam13b,Pdlim3,,
Fam241a,Mpp7,,
Fam241a,Poglut1,,
Fam8a1,Fchsd2,,
Fam8a1,Hip1,,
Fastk,Jcad,,
Fastk,Kras,,
Fastk,Pnck,,
Fastk,Rarb,,
Fastk,Rps6ka3,,
Fastk,Slc5a5,,
Fastk,Wdr17,,
Fbxl16,Rpp30,,
Fbxl16,Sh2b3,,
Fcf1,Phf12,,
Fcho2,Mapk8ip2,,
Fcho2,Smyd4,,
Fgfr1op2,Nptn,,
Fgfr1op2,Trim26,,
Fgl2,Gm13375,,
Fgl2,Irx1,,
Fkbp4,Ubc,,
Fli1,Krcc1,,
Fli1,Ptges3,,
Fmnl2,Ube3c,,
Fndc3a,Pnck,,
Fntb,Mtmr2,,
Fntb,Ube2v2,,
Fsbp,Htr1d,,
Fundc2,Nid2,,
Fxr1,Gemin6,,
Gab2,St6galnac4,,
Gab2,Tgfb1i1,,
Ganab,Gm20712,,
Ganab,Laptm4b,,
Ganab,Smyd4,,
Gas6,Grb2,,
Gas6,Naa40,,
Gas6,Saraf,,
Gas6,Slc36a1,,
Gemin6,Tsc22d1,,
Gemin6,UNKNOWN,,
Gemin7,Ripply3,,
Gin1,Syne2,,
Glod4,Hapln3,,
Glod4,Pld5,,
Glod4,Pnoc,,
Glod4,Rad51ap2,,
Gm13375,Pebp4,,
Gm13375,Slain2,,
Gm13375,Sulf2,,
Gm14798,Mllt11,,
Gm15408,Rbmx,,
Gm15446,Meis2,,
Gm15564,Tbc1d2,,
Gm15675,Rsrp1,,
Gm16339,Lama1,,
Gm17322,Parp3,,
Gm17530,Pdlim3,,
Gm19817,Polr3c,,
Gm19817,Vav3,,
Gm19967,Sc5d,,
Gm20045,Lurap1,,
Gm20045,Pold1,,
Gm20712,Lgr4,,
Gm20712,Opa1,,
Gm20712,Phf1,,
Gm20712,Ptk2b,,
Gm20712,Suclg2,,
Gm20712,Thra,,
Gm20712,Ubl3,,
Gm20712,Zfp768,,
Gm25517,Gm42727,,
Gm25517,Trappc3,,
Gm26814,Ppfibp1,,
Gm26814,Slc2a2,,
Gm26814,Tmem259,,
Gm3294,Gm42636,,
Gm3294,Pold1,,
Gm37204,Trim26,,
Gm37569,Pold1,,
Gm37735,Ndufa8,,
Gm42600,Hcn3,,
Gm42636,Nkrf,,
Gm42636,Pkia,,
Gm42722,Mansc4,,
Gm42722,UNKNOWN,,
Gm42722,Ube2q2,,
Gm42722,Ylpm1,,
Gm42722,Zfp638,,
Gm42869,Sc5d,,
Gm43513,Nkx2-9,,
Gm43672,Inpp5a,,
Gm5141,Nkx2-9,,
Gm7467,Hk1,,
Gm7467,Igfbp2,,
Gm7467,Mfge8,,
Gm7467,Nedd4,,
Gm7467,Scyl1,,
Gm7467,Tkt,,
Gm7467,Ubc,,
Gm7467,Wbp11,,
Gm9930,Stk33,,
Gm9930,Topbp1,,
Gmppa,Ncoa5,,
Gng7,Mrln,,
Gnl3l,Hdgfl3,,
Gpaa1,Slc5a5,,
Gpaa1,Zim1,,
Gpr19,Kcnip3,,
Gpr19,Pdlim3,,
Gpr65,Gtf3c1,,
Gpr65,Psmc5,,
Gpr65,Stk19,,
Grpel1,Npat,,
Gsta3,Mrnip,,
Gsta3,Mrpl58,,
Gsta3,Slco5a1,,
Gsta3,Uqcc5,,
Gsta4,Zfp142,,
Gxylt1,Wdsub1,,
Hapln3,Hkdc1,,
Heatr3,Rbmx,,
Hes6,Nfyb,,
Hey1,Slc25a13,,
Hey1,Zswim5,,
Hic2,Sema6a,,
Hip1,Mesd,,
Hk1,Nit2,,
Hmcn1,Tax1bp3,,
Hmgb2,Zfp87,,
Hook2,Tpbg,,
Hook2,Zfp512b,,
Htr1d,Olfm2,,
Htr6,Limch1,,
Htr6,Rbm27,,
Ibtk,Irs2,,
Icosl,Ofd1,,
Id1,Slco5a1,,
Idnk,Plscr2,,
Idnk,Pycr2,,
Ift46,Ndn,,
Igfbp2,Mapk8ip2,,
Igfbp2,Rbmx,,
Igfbp2,Slc36a1,,
Igfbp6,Nptn,,
Ilkap,Polr1b,,
Imp3,Rgs2,,
Imp3,Tspyl5,,
Impdh2,Mrps34,,
Inha,Nop16,,
Insl5,Tmem62,,
Insyn2a,Silc1,,
Ints10,Nckipsd,,
Ints11,Pdia5,,
Ip6k1,Pcmtd1,,
Ip6k2,Ttf1,,
Ipo13,Serbp1,,
Ipo13,Shfl,,
Iqgap2,Sostdc1,,
Irf3,Sugp1,,
Irs2,Nsmf,,
Irs2,Psma4,,
Isl1,Mpp7,,
Itch,Pabpn1,,
Itpr3,Tmem80,,
Jcad,Poglut1,,
Kat8,Mrm3,,
Kat8,Thop1,,
Kcmf1,Sugp1,,
Kcnab1,Poglut1,,
Kcnab1,Ube2v2,,
Kcnk5,Pabpn1,,
Kcnk6,Rnasel,,
Kctd1,Rpn2,,
Kctd10,Map3k8,,
Klhdc3,Slc11a2,,
Kmt5b,Poglut1,,
Kpna3,Zfp346,,
Kpna4,Nkx2-9,,
Laptm4b,Nsg2,,
Laptm4b,Zfp768,,
Lca5l,Recql5,,
Leprotl1,Tob2,,
Lmo2,Nfyb,,
Lmtk2,Zswim5,,
Loxl1,Niban1,,
Lrch1,Spmip6,,
Lrguk,Rps5,,
Lrrc75b,S100a13,,
Lrrc8a,Spns2,,
Lrrc8a,Ttc39c,,
Lrrc8b,Pdcd4,,
Lrrc8b,Strada,,
Lrrc8b,Tspan9,,
Lrrc8c,Ubr7,,
Lrrk1,Nod1,,
Luc7l2,Map3k8,,
Mafa,Mpp7,,
Mafg,Plekhj1,,
Map3k8,Nckipsd,,
Mapk8ip2,Pcgf5,,
Mapk8ip2,Sytl2,,
Mapt,Nfyb,,
Mcfd2,Prlr,,
Mcrs1,Ruvbl1,,
Mcrs1,Slc25a13,,
Meaf6,Mthfr,,
Med23,Zmat5,,
Med25,Pomgnt1,,
Mesd,Yars1,,
Mfge8,Smyd4,,
Mfsd3,Pea15a,,
Mir9-3hg,Nsmf,,
Mkrn1,Mpp7,,
Mllt11,Zfp219,,
Mob2,Ptk2b,,
Mob2,Tatdn2,,
Mon1b,Tmem161b,,
Mon1b,Zfp1007,,
Mpi,Polr2j,,
Mpnd,Psmd10,,
Mpp2,Tspoap1,,
Mpp2,Wdsub1,,
Mpp7,Nmnat3,,
Mpp7,Pdia5,,
Mpp7,Tiam2,,
Mpp7,Trim26,,
Mrnip,Trpc4ap,,
Mrnip,Vps37d,,
Mrps24,Snai3,,
Mtmr2,Zfp142,,
Mtrex,Podxl2,,
Naa40,Zfp654,,
Ndufs6,Ptges2,,
Nedd4,Podxl2,,
Nek8,Podxl2,,
Nek8,Sema3b,,
Nek8,Ttc39c,,
Net1,Sfr1,,
Net1,Slc35e2,,
Neu2,Nprl2,,
Nfyb,Pnck,,
Nfyb,Rad51ap1,,
Nfyb,mt-Nd1,,
Nit2,Rpp30,,
Nkrf,Smpdl3b,,
Nkx2-9,Pcgf5,,
Nmnat1,Zfp322a,,
Nop56,Pdcd4,,
Nop56,Strada,,
Npat,Sec62,,
Npat,Ube3c,,
Nsg2,Ric8a,,
Opa1,Podxl2,,
Osbpl10,Rufy3,,
Osbpl6,Zhx1,,
Pak2,Plekhj1,,
Pawr,Wdr17,,
Pcmtd1,Stip1,,
Pdcd4,Rps3a3,,
Pdcd4,Synj2bp,,
Pdzd11,Rhob,,
Pea15a,Rnasel,,
Phex,Sesn3,,
Phf1,Slc36a1,,
Phf1,Zfp142,,
Phf12,Tkt,,
Phf12,Zfp346,,
Pkia,Rnf187,,
Plcg1,Usp33,,
Plekhj1,Pten,,
Plekhj1,Usf3,,
Pnck,Xpc,,
Podxl2,Pomgnt1,,
Podxl2,Pthlh,,
Podxl2,Suclg2,,
Poglut1,Rarb,,
Poglut1,Slc36a1,,
Poglut1,Slc5a5,,
Polg2,Serpinb8,,
Por,Prnp,,
Ppfibp1,Samd14,,
Ppfibp1,Slc5a5,,
Ppfibp1,Spr,,
Prlr,Ptger1,,
Prmt8,Setbp1,,
Prmt8,Wbp4,,
Prpf6,Sfr1,,
Prpf6,Stk19,,
Prss22,Zfp346,,
Pthlh,Shfl,,
Pthlh,Zim1,,
Ptk2b,Spryd3,,
Pura,Slc35e2,,
Pura,Trim26,,
Qrich1,Zbtb11os1,,
Rad50,Stx3,,
Rad51ap1,Sp4,,
Rai14,Vps35l,,
Rai14,Vti1b,,
Ralgapa2,Trim26,,
Ralgapa2,Tubb2b,,
Rbm20,Tbp,,
Rbm27,Trim26,,
Recql5,Snap47,,
Reep2,Trpc3,,
Retreg3,Tmem42,,
Rgs20,Sc5d,,
Ric8a,Zfp322a,,
Rnasel,Stk19,,
Rnasel,Tcf15,,
Rnf187,Samd14,,
Ruvbl1,Zfp758,,
Samd14,Suz12,,
Scn4b,Zswim5,,
Sec62,Sfr1,,
Sema3b,Stk33,,
Sema3g,Tec,,
Sema6a,Thop1,,
Serp2,Stxbp3,,
Sh2b3,Trpc5,,
Shoc2,Tubb2b,,
