Matt Node 1,Matt Node 2,Ananya Node 1,Ananya Node 2
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",G2e3,"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl-P",G2e3-C
"L-Lysine, ethyl ester ",Micall2,"L-Lysine, ethyl ester-P",Micall2-C
