,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",18279.99498,1501765.113,1421556.305,19577.03803,2201737.424,408833.003,1153122.312,3411965.867,159261.9467,95989.41343,74564.38744,0,0
"2,5-Piperazinedione, 3-(phenylmethyl)-",0,0,0,7067222.91,0,0,0,0,0,0,0,0,15263188.57
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",0,0,0,1095.582263,0,0,0,0,0,0,0,0,0
"2,5-Piperazinedione, 3-methyl-6-(phenylmethyl)-",0,0,0,589608.9553,0,0,0,0,0,26152190.04,971556.692,14644085.15,0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",12.83884229,13.93592773,38.52080352,0,10.07642887,13.20289912,0,0,0,43.86953144,29.50904543,0,0
"2,6-Dimethoxybenzylamine",236107.2217,1912078.668,52662.2534,2747799.688,959749.5861,207224.17,1025171.103,787450.0712,87708.50455,0,0,0,0
"2,6-Dimethoxyhydroquinone",109762.7852,151853.6284,269357.8079,38843.74714,109644.5997,159772.4529,199707.8147,248798.5792,112421.1109,518692.8754,421965.4337,324943.7317,42074.3088
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",26939.97374,2012.81434,279548.6512,426355.5034,353572.1001,56137.12578,4814.067807,155244.3808,611727.8047,387956.7255,160634.4326,273760.1634,214953.3867
"2,6,10-Trimethyltridecane",3310588.416,0,0,0,0,0,298099.5199,2645053.044,0,0,0,0,0
2'-Deoxyribolactone,23.7205682,0,133313.0937,106470.8787,0,0,445945.0664,0,2587.926909,7559685.972,4149343.676,3834378.595,0
"2',2,3,6'-Tetramethoxychalcone",6259045.426,6916455.111,15122917.51,2306340.153,8476218.992,11175718.23,9162386.824,8031686.752,7104311.395,0,0,0,9714485.584
3-(2-Hydroxyethyl)imidazole-2-thione,162831.4279,47395.19375,94916.84458,139149.7771,78854.07874,112283.8385,184700.6192,111813.3754,114378.8589,3718.909986,2323.694063,2766.580378,27003.57211
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",5038076.718,10244719.59,864452.1266,58964458.55,1294025.76,1574202.848,4448634.207,0,6214893.509,58386379.36,39336654.26,82477371.5,48331533.54
3-Amino-2-piperidone,790592.601,1536383.678,1399735.572,15151364.5,433580.4773,382480.3307,418157.1762,2882163.473,3644796.905,102926755.1,61038003.12,44519646.3,936408.0986
3-Amino-5-morpholinomethyl-2-oxazolidinone,0,0,4463042.729,0,3605913.918,1945505.305,0,0,0,1097471.694,787941.8931,1392381.35,2301551.433
3-Aminobenzoic acid,9668695.042,17795261.66,12173753.49,1838789.202,9650341.825,11813357.11,12030450.25,16289698.52,8614698.84,20955248.03,23226909.78,23538628.76,52964539.17
3-Aminobutanoic acid,0,1082521.239,0,4930177.496,0,0,0,0,0,342602.7374,462484.2398,370494.5914,694634.4685
"3-Buten-2-one, 3-trimethylsilyloxy-",4047754.511,4109620.398,3732589.3,2497060.489,2799456.993,4062088.139,2941974.006,3782563.408,4365176.169,4029192.359,4379002,3699790.971,3263579.906
"3-Buten-2-one, 4-(4-methoxyphenyl)-",4336024.389,3965813.643,11716329.85,1043710.163,4803512.896,5308767.034,6240401.741,10206055.84,5723072.191,24449202.49,19121624.38,21156971.4,262684.6382
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",558807184.2,977006717.3,400973122.1,2612106267,164513169.8,209089314,324166343.6,1096321365,735471081.2,12038127647,9693261937,7724930555,245156877.2
3-Ethylphenol,69323.45076,64767.46574,119651.3179,45822.24852,64841.90038,63323.97201,41284.00587,52505.96362,222677.4951,0,68654.12936,0,0
3-Hexenedinitrile,117114.1783,232324.6007,599755.6366,231694.8385,548367.8534,570960.5767,179549.3057,461402.7538,101730.445,553143.1391,554521.5122,591189.5725,492137.97
"3-Hydroxy-2,3-dihydromaltol",0,9563.300461,0,316775.6492,0,3015.001515,17261.29391,8726.078123,0,96644.33082,86514.72431,87393.99766,2323.143016
3-Hydroxybutyric acid,132413940,152095346.6,161624416.6,182325775.2,253625769.2,126798312.3,187285207.4,205652876,139945130.3,584129755.2,416595171.5,420621176.5,164250108.1
3-Hydroxyisovaleric acid,12422.36999,21826.70404,13608.27894,11155.52107,13761.17553,11073.44508,14660.06697,13557.2388,19331.08206,1996.389487,946.0074857,0,351.5664635
3-Indoleacetic acid,0,25971.82471,17250.77272,189473.3927,0,0,29135.37776,102497.6086,59505.30544,0,0,0,0
3-Indolepropionic acid,30444.28378,9765.77622,6270.860587,142683.0446,9885.432062,7905.591946,14521.48314,105568.0978,24549.66208,0,0,0,0
"3-Methoxyamphetamine, 4-Trimethylsilyloxy, N,N-bis(Trimethylsilyloxy)-",281772913.9,278751613.7,118514647.6,268632832.9,128960238.1,201576751.3,297484224.8,340447039.2,327474930.1,0,0,0,0
3-Methoxysalicylic acid,79165674.46,0,159722556.1,12319831.85,12014424.9,46243100.37,0,143819391.4,47309965.32,0,0,0,263388.6912
"3-Methyl-1-(tetrahydropyrrolo[1,2-c]oxazol-3-ylidene)-butan-2-one",379465.028,1100156.757,206639.5075,4522254.103,130488.376,117166.4002,335865.5586,1938494.55,621634.4639,1276583.224,723481.0768,455253.6411,0
3-Methyl-2-butanol,62363.10192,0,34623.78301,64104.61162,32440.45659,68260.1924,0,4911.172198,67285.32499,0,0,237135.5453,160800.368
"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",2577033.85,8646575.458,0,5405095.069,7969911.902,5532824.157,13855302.03,11932334.94,6296598.959,0,0,0,11246340.59
3-Methyladenine,5078.658804,11910.57922,7075.805102,18241.87684,0,5198.112628,4802.503568,13073.0849,2567.288733,6168.769883,3369.842949,0,0
"3-Methylpiperazine-2,5-dione, (R)-",140948.2842,807397.5597,256122.6868,2530516.561,73070.86576,82630.92874,144056.8375,922692.5112,257332.2186,14961830.98,13762776.66,6506312.159,0
3-Methylvaleric acid,52285.03575,59352.62735,43366.01072,0,22243.23659,25432.60193,51704.2389,18780.80657,74310.46905,1460.167531,194.9715608,929.6928013,0
3-Nonen-1-ol,0,3582240.459,4718313.428,0,0,3213482.994,0,3425218.592,3784317.785,24418649.72,36983712.54,0,0
3-Ureidopropionic acid,0,0,67.04688191,0,135.7063316,0,0,0,0,11.50673601,16.8716754,23.27636953,30.69466746
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",2061538.048,2649892.964,4250730.703,505670.7318,2317815.313,3578459.898,3617927.189,4421087.692,2092010.561,9599492.123,7527128.06,7224795.934,655962.1236
"3,4-Dihydroxymandelic acid, ethyl ester",0,30708.95867,0,0,0,0,0,0,0,0,0,0,0
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",0,0,0,20681181.53,100873030.5,0,0,0,0,5179161.872,4714458.043,4234239.56,1920440.986
"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",428.0084669,0,1844.656055,0,0,350.3394208,544.8517702,2026.1561,0,0,122.6626079,114.8989049,8.160339581
"3,5-Di-tert-butyl-2-trimethylsilyloxybenzaldehyde",39626.0217,0,38381.59342,94922.33622,30918.20531,25112.41139,0,0,149425.9449,319878.4814,244780.8651,0,0
"3,5-di-tert-Butyl-4-hydroxyacetophenone",206246.5108,1125877.531,0,240231.0173,123623.3539,122518.4618,0,0,117687.0251,0,141820.9709,0,153260.5795
"3,5-Dimethyl-1,4-diallylpyrazole",3169644.776,3500127.211,2436562.463,7730553.194,3628417.586,4059271.624,3440896.909,2095953.671,4205974.474,0,0,0,38227.34924
"3,5-Dimethylpyrazole",38942.40691,44253.91799,49296.9379,0,43503.69965,47057.30668,0,43594.17067,47483.5204,325163.9211,0,221003.4807,0
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,88444.42519,78781.20838,0,0,13971.74596,16470.43283,0,102033.6742,58463.64647,290707.4342,0,328220.8662,300682.8994
3'-Hydroxyacetophenone,11564.7416,44233.60602,8733.790781,2791.428246,5862.267532,11267.13283,6581.8335,11846.80843,10845.62167,41686.99319,99811.59926,22637.14017,14568.84954
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",111.6676741,1046.643118,1500.095749,0,365.0400713,989.6872174,658.9724879,2165.866021,277.7570931,836.7871814,4227.655429,370.5161379,77.80738988
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",148.1113851,426.8923335,536.9904622,347.1352044,316.5929362,230.4406095,299.0372462,464.1368366,306.7056815,514.017361,1042.60381,385.6796935,886.9992083
4-(Methoxycarbonyl)phenol,172241.9924,33588.33785,71417.10249,125783.9704,243759.4719,134352.369,195614.9605,197541.338,97117.21462,34589.95464,14948.92631,7095.826112,68072.60468
"4-(tert-Butylamino)-6-ethylamino-5H-1,3,5-triazin-2-one",9041.516935,13283.09567,2347.465231,2043.24837,6506.451318,12460.69911,9812.443229,4265.431006,5163.302646,84252.3791,7605.412116,0,0
4-(Trimethylsilyoxy)-3-penten-2-one,1792922.007,3584524.404,3168381.62,1684775.178,2981502.42,3417255.747,3977649.429,3633136.615,3134871.629,4916553.065,5375317.27,4531813.179,1692653.469
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",836259.1091,347667.7285,863617.3097,424990.4216,832155.3846,904975.0096,660825.2498,637454.6733,653123.7859,0,0,0,0
4-Cumylphenol,0,0,23033.90229,76896.98223,0,0,17985.24817,31734.22262,27912.85695,0,0,53287.28394,46852.99452
