node1,node2
Scaf4-T,Adipoyl-L-carnitine-F
Larp4-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Larp4-T,Trimethylolpropane-F
Sncg-T,Trimethylolpropane-F
Msrb2-T,Aconitic acid-F
Rhebl1-T,L-Glutamic acid-F
Zfp523-T,alpha-Hydroxyisobutyric acid-F
Mib1-T,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene-F"
Mib1-T,3-Amino-5-methylisoxazole-F
Mib1-T,Mevalonolactone-F
Mib1-T,Urea-F
Iws1-T,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether-F"
Csnk2b-T,Ethanolamine-F
Csnk2b-T,Salsoline-F
Dcp2-T,"1,2-Cyclohexanediol, (Z)-F"
Dcp2-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Dcp2-T,Adipoyl-L-carnitine-F
Dcp2-T,Isopropylamine-F
Tmem138-T,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether-F"
Naa40-T,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]-F"
Naa40-T,L-Glutamic acid-F
Efemp2-T,L-Glutamic acid-F
Drap1-T,"2,5-Dimethoxybenzhydrazide-F"
Drap1-T,Aceturic acid-F
Drap1-T,"Benzoic acid, methyl ester-F"
Drap1-T,Butanedioic acid-F
Drap1-T,Diethylamine-F
Drap1-T,"Erythrono-1,4-lactone-F"
Xpnpep1-T,"2,4,6-Cycloheptatrien-1-one-F"
Btbd1-T,2-Pyrrolidone-5-carboxylic acid-F
Flnb-T,DL-Glyceraldehyde-F
Flnb-T,Hydracrylic acid-F
Flnb-T,Methyl lactate-F
Flnb-T,N-Acetylaminoethanol-F
Sp4-T,"2',5'-Dimethoxypropiophenone-F"
Sp4-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Sp4-T,Aceturic acid-F
Sp4-T,"Cyclohexanone, 3,3,5-trimethyl-F"
Sp4-T,Trimethylolpropane-F
Rps26-T,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether-F"
Rps26-T,"Benzoic acid, methyl ester-F"
Rps26-T,"Erythrono-1,4-lactone-F"
Sigirr-T,2-Amino-4-methylbenzophenone-F
Sigirr-T,L-Glutamic acid-F
Eps8l2-T,L-Glutamic acid-F
Rab40c-T,Ethanolamine-F
Gdap1-T,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]-F"
Gdap1-T,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol-F"
Gdap1-T,Adipoyl-L-carnitine-F
Gdap1-T,Cyclobutylamine-F
