CSF_node,Total_degree,STM_degree,RBN_degree,CPX_degree,CTX_degree,CSF_degree
"L-Histidine, N,1-bis(tert-butyldimethylsilyl)--F",16,4,4,1,6,1
L-Leucine-F,4,1,0,0,1,2
L-Lysine-F,30,25,2,0,2,1
L-Threonine-F,107,6,7,0,92,2
L-Tyrosine-F,7,3,1,2,1,0
L-Valine-F,6,0,0,1,3,2
Leucylglycine-F,4,2,0,2,0,0
Levulinic acid-F,7,1,1,1,3,1
Malic acid-F,9,1,2,0,1,5
Methanesulfonic acid-F,10,4,0,0,2,4
Methylthiouracil-F,10,0,0,0,1,9
Mevalonolactone-F,9,2,2,1,1,3
Monocaproin-F,9,5,0,1,2,1
Myristic acid-F,9,6,2,0,0,1
"N,N-Dimethyl-2-aminoethanol-F",3,2,0,0,0,1
N-Acetylaminoethanol-F,13,4,0,0,7,2
N-Acetylaspartic acid-F,6,5,0,0,0,1
N-Caffeoyl-O-methyltyramine-F,10,1,2,0,0,7
N-Ethylamphetamine-F,16,0,0,4,11,1
N-Isobutyrylglycine-F,1,0,0,1,0,0
Niacin-F,10,2,1,0,2,5
Niacinamide-F,9,6,0,0,2,1
Nonanoic acid-F,19,0,0,4,14,1
Norketamine-F,11,1,0,1,0,9
Octanoic acid-F,59,13,2,0,42,2
Oleamide-F,9,2,1,5,1,0
Oxalic acid-F,19,5,4,3,6,1
Palmitic Acid-F,26,24,0,2,0,0
Pentanedioic acid-F,3,0,0,1,1,1
Pentanoic acid-F,12,8,0,1,3,0
Phenol-F,28,14,1,1,10,2
Pinosylvin-F,8,3,0,0,2,3
Pipecolic acid-F,11,5,1,1,2,2
"Propanoic acid, 3-[(tert-butyldimethylsilyl)oxy]-2-methyl--F",11,3,1,1,3,3
"Propanoic acid, dimethyl(isopropyl)silyl ester-F",16,7,3,1,1,4
Propanoic acid-F,7,4,0,0,0,3
Salsoline-F,15,1,1,6,6,1
Stearic acid-F,14,4,2,4,4,0
Supraene-F,15,7,3,0,4,1
Synephrine-F,20,7,6,1,5,1
Tetrahydro-solasodine triacetate-F,5,2,0,0,2,1
Thymol-F,11,7,2,0,1,1
Triethyl citrate-F,7,0,1,1,0,5
Trimethylolpropane-F,32,3,1,0,25,3
Uracil-F,9,4,1,0,0,4
Urea-F,11,2,4,1,4,0
Vanillylmandelic acid-F,7,2,0,0,2,3
Xylazine-F,7,1,1,1,1,3
"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester-F",12,1,2,0,4,5
m-Toluic acid-F,19,2,6,4,7,0
