node1,node2
Tomm70a-S,Synephrine-F
Tomm70a-S,Xylazine-F
Adcy5-S,Xylazine-F
Atp5po-S,"2',5'-Dimethoxypropiophenone-F"
Atp5po-S,Aceturic acid-F
Atp5po-S,alpha-Hydroxyisobutyric acid-F
Atp5po-S,Cyclooctylamine-F
Calcoco1-S,Uracil-F
Cenpq-S,"2,4-Di-tert-butylphenol-F"
Ptk7-S,"Oxymorphone, bis(trimethylsilyl) ether-F"
Lpin2-S,Phytanic acid-F
Lpin2-S,Tetrahydro-solasodine triacetate-F
Msh2-S,Aceturic acid-F
Msh2-S,Azelaic acid-F
Mapre2-S,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--F"
Pfdn1-S,"1-Octanol, 2-butyl--F"
Ttc39c-S,"2,4,4'-Trihydroxybenzophenone-F"
Ttc39c-S,"Oxymorphone, bis(trimethylsilyl) ether-F"
Ttc39c-S,"Propanoic acid, dimethyl(isopropyl)silyl ester-F"
Ttc39c-S,Xylazine-F
Atat1-S,Azelaic acid-F
Atat1-S,Lactic acid-F
Tmx3-S,"2-Cyclohexen-1-one, 3-methyl--F"
Tmx3-S,Butanedioic acid-F
Tmx3-S,Hydracrylic acid-F
Tmx3-S,Lignoceric acid-F
Tmx3-S,Myristic acid-F
Tmx3-S,Pipecolic acid-F
Tmx3-S,Suberic acid-F
Lipo3-S,8-Methylnonanoic acid-F
Lipo3-S,"Benzene, 1,4-dimethoxy-F"
Mob2-S,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate-F"
Erlin1-S,Glycerol-F
Erlin1-S,Methyl lactate-F
Gnl3l-S,Butanedioic acid-F
Gnl3l-S,Myristic acid-F
Gnl3l-S,Pipecolic acid-F
Myo1a-S,"1-(2,4-Dimethoxyphenyl)-propan-2-one-F"
Myo1a-S,2-Ethylhexanoic acid-F
Adgra1-S,"2,4,6-Cycloheptatrien-1-one-F"
Ric8a-S,"2,5-Dimethoxybenzonitrile-F"
Ric8a-S,alpha-Hydroxyisobutyric acid-F
Ric8a-S,Lignoceric acid-F
Cct8-S,"Erythrono-1,4-lactone-F"
Rps6ka6-S,Mevalonolactone-F
Fbxl16-S,"2,4,4'-Trihydroxybenzophenone-F"
Faf2-S,2-Ethylhexanoic acid-F
Faf2-S,N-Acetylaspartic acid-F
Faf2-S,Norephedrine-F
Zfp142-S,DL-Glyceraldehyde-F
Zfp142-S,"L-Histidine, N,1-bis(tert-butyldimethylsilyl)--F"
Zfp142-S,Pentanoic acid-F
Stk25-S,4-Methylvaleric acid-F
Mcm6-S,DL-Glyceraldehyde-F
Rgs2-S,"Oxymorphone, bis(trimethylsilyl) ether-F"
Rgs2-S,Xylazine-F
Mrc1-S,2-Hexanol-F
Abi2-S,Methyl lactate-F
Abi2-S,Norephedrine-F
Ddx31-S,"Oxymorphone, bis(trimethylsilyl) ether-F"
Rbms1-S,"2,4,4'-Trihydroxybenzophenone-F"
Wdsub1-S,"1,2-Cyclohexanediol, (Z)-F"
Wdsub1-S,2-Furoic acid-F
Ccdc34-S,"2,4-Di-tert-butylphenol-F"
Ccdc34-S,DL-Glyceraldehyde-F
Tyro3-S,Uracil-F
Polr1b-S,2-Ethylhexanoic acid-F
Polr1b-S,Uracil-F
Nop56-S,"Benzoic acid, methyl ester-F"
Cpxm1-S,Urea-F
Pkia-S,Aconitic acid-F
Dhx35-S,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine-F"
Dhx35-S,2-Furoic acid-F
Dhx35-S,Isopropylamine-F
Trpc3-S,Benzenepropanoic acid-F
Kcnab1-S,Xylazine-F
Casq2-S,Crotonic acid-F
Casq2-S,"L-Histidine, N,1-bis(tert-butyldimethylsilyl)--F"
Stxbp3-S,"Oxymorphone, bis(trimethylsilyl) ether-F"
Stxbp3-S,Xylazine-F
Ddx20-S,Xylazine-F
Pmvk-S,Aceturic acid-F
Pmvk-S,Butanedioic acid-F
Pmvk-S,Ethanolamine-F
Polr3c-S,L-Glutamic acid-F
Nfx1-S,Allylescaline-F
Cachd1-S,L-Glutamic acid-F
Mrpl37-S,Aceturic acid-F
Mrpl37-S,Palmitic Acid-F
