ID,101,100,102,896,897,T0.5,T0.6,T0.7,T0.8,UNK12,939,934,935,936,937,938,940,941,942,943,UNK8,29,3297,3353,3354,3675,3678,3679,3681,3687,3680,UNK5,UNK6,UNK11
ENSMUSG00000000326-C,7.119058668855816,7.351824631997019,6.844359256029119,6.987224935519179,6.9590417194514576,6.876388114449808,7.128501061041534,6.816404410561486,6.815958657317895,,7.370780748426784,7.028629552994313,,6.627640855690067,6.9000625784282255,7.466219252213952,7.189479453766316,,,6.812187383856947,6.376770227494831,6.903380042602183,6.6263294369063175,6.925812637260005,6.813710493729268,6.860710527994718,,,7.000648940304913,6.797635885813579,6.8806115142289554,6.469327377181778,6.163750497874961,
ENSMUSG00000000827-C,6.095409897585464,5.678914279734958,6.241528092247083,6.10933303827233,5.955568965857139,5.915809403712013,6.1846673903767755,5.724184104635114,6.026103746009668,,6.372699991629672,6.653429004663466,,6.354506408712426,5.885576709257968,6.314527637390168,6.320410688967,,,6.436457459027397,6.4896196945628715,5.792022289093289,5.305457830624016,5.794693770246104,6.000419745303487,5.715499280408787,,,5.817842524086916,5.736376544018484,5.725910229190757,6.337635682737065,4.46052582652635,
ENSMUSG00000000881-C,8.554253729971105,8.768273153920267,8.644444884638423,7.806238248507494,8.336210872528117,8.528482060194255,8.331453224979452,8.605749603982874,8.515741818650108,,9.040286049287952,8.889997545122108,,9.088903631563587,9.185373410370593,9.150893115345788,9.05519232191917,,,8.96730900599604,9.109873395639273,8.323649301985347,8.289726689663107,8.256276270180248,7.815068597204282,7.726086817157924,,,8.610178296865705,8.522555729004257,8.820526448621328,8.453533484007325,8.304923414437836,
ENSMUSG00000000976-C,5.326297240154299,5.461207771779612,4.694204739759362,5.499053189622769,5.36712533199982,4.646706835650986,5.1359318331393675,4.54479128052225,5.029788150157312,,4.356974111377557,5.714079731355354,,4.972823382048754,5.299435004031162,5.259169758845276,5.368619331410525,,,5.132480833986183,5.038874041043755,4.939089677289372,4.531582777984604,4.3216503643472075,5.399324394390804,5.441262833161149,,,4.8904275518483145,4.686475659348247,4.277280327333589,3.703135021136939,4.580585737446978,
ENSMUSG00000001128-C,4.200634153951173,3.181526091046473,3.265291998573044,2.9641894307294048,3.5100788664663383,3.5262732991065455,1.712571527584626,3.5074880852801837,3.922871459374952,,2.2922982217170365,3.836809399741955,,3.5996739263906603,3.442207073065027,2.937387202743914,4.039144331588991,,,3.659499454058248,4.040370727438164,3.7780773780277177,3.3617092928764207,3.2108868858509947,3.713582110297556,4.372160124747886,,,1.541336626495835,3.321904809563751,3.912970404851044,0.0,4.025460034672541,
ENSMUSG00000001521-C,4.019154570446448,4.310064786369203,2.753466800942782,5.198506277052428,5.120075235611372,4.510633550458227,3.6307810679510832,4.4946112912842064,4.333940744587301,,4.512909815519537,3.560363063339314,,4.8296828663221545,3.82367468051064,4.390989664416049,4.830306502063456,,,4.550986184927251,4.858501443322066,3.701788008824327,4.439662999975433,4.3800415792698475,4.586526700192765,5.336899529548905,,,2.2694164769105942,3.965760067917714,3.912970404851044,4.184088675445754,4.890404164193962,
ENSMUSG00000001666-C,5.761510440637426,6.384059417281859,6.49220604402276,5.386231883212921,5.761930135269792,5.76446585468158,5.430711149982712,5.888646924206125,5.7857662384178505,,6.274407359333947,6.5161683114734315,,6.033717124436005,6.471324811191249,6.578564827849169,6.522382900724791,,,6.422545572628353,5.881485573556099,5.31697311520832,5.406033162232234,5.816000886225711,5.440167569237691,5.67326231975404,,,6.292430924220512,5.974389128696892,5.969527317729566,5.953740823634375,6.274715184249747,
ENSMUSG00000001773-C,1.0612255463732776,2.673957838819107,1.5432246700768597,2.138137563504853,2.292011360782609,1.3237104085262597,1.0967492717572764,2.3188822613527895,2.9386360600829815,,2.855466091184482,0.8722754939741469,,1.987732424191134,1.0680554872113692,1.2215959129652292,2.8082760478821935,,,1.4126867783113457,2.764530519215672,0.7711227158729893,0.0,1.7981578459377747,1.7755955644782335,2.01153025227296,,,0.0,2.1292630581191667,2.0858962887955266,2.976553207704254,0.0,
ENSMUSG00000002228-C,2.090890740391519,1.4822933651173062,0.0,0.0,0.0,1.3237104085262597,0.0,0.0,1.8073849903108583,,0.8316110494662632,2.3653396025461224,,3.194853116705421,0.0,0.0,0.8935808599904828,,,1.4126867783113457,0.0,0.0,0.0,0.8686232207515774,0.0,0.0,,,0.9674048923102424,1.426248509167121,0.0,0.0,0.0,
ENSMUSG00000002608-C,6.733493028539443,6.599540889878606,6.981813958254896,6.588776931516148,6.731038905655087,6.412325339329962,6.272292068551334,6.54774837314836,6.507836272997877,,6.900988539356202,7.168463853541081,,7.358758606605153,7.097811899742801,7.280931021098915,7.31135600087835,,,7.029688769622747,7.149931974132827,6.337095584792328,6.518131447834783,6.250936592430239,6.203862749065842,6.569779657848172,,,6.458351483223099,6.651922995399596,6.957969489765717,6.455274718805405,6.534640640614436,
