ID,29,3297,3353,3354,3675,3678,3679,3681,3687,3680,UNK5,UNK6,UNK11
ENSMUSG00000000326-C,6.903380042602183,6.6263294369063175,6.925812637260005,6.813710493729268,6.860710527994718,,,7.000648940304913,6.797635885813579,6.8806115142289554,6.469327377181778,6.163750497874961,
ENSMUSG00000000827-C,5.792022289093289,5.305457830624016,5.794693770246104,6.000419745303487,5.715499280408787,,,5.817842524086916,5.736376544018484,5.725910229190757,6.337635682737065,4.46052582652635,
ENSMUSG00000000881-C,8.323649301985347,8.289726689663107,8.256276270180248,7.815068597204282,7.726086817157924,,,8.610178296865705,8.522555729004257,8.820526448621328,8.453533484007325,8.304923414437836,
ENSMUSG00000000976-C,4.939089677289372,4.531582777984604,4.3216503643472075,5.399324394390804,5.441262833161149,,,4.8904275518483145,4.686475659348247,4.277280327333589,3.703135021136939,4.580585737446978,
ENSMUSG00000001128-C,3.7780773780277177,3.3617092928764207,3.2108868858509947,3.713582110297556,4.372160124747886,,,1.541336626495835,3.321904809563751,3.912970404851044,0.0,4.025460034672541,
ENSMUSG00000001521-C,3.701788008824327,4.439662999975433,4.3800415792698475,4.586526700192765,5.336899529548905,,,2.2694164769105942,3.965760067917714,3.912970404851044,4.184088675445754,4.890404164193962,
ENSMUSG00000001666-C,5.31697311520832,5.406033162232234,5.816000886225711,5.440167569237691,5.67326231975404,,,6.292430924220512,5.974389128696892,5.969527317729566,5.953740823634375,6.274715184249747,
ENSMUSG00000001773-C,0.7711227158729893,0.0,1.7981578459377747,1.7755955644782335,2.01153025227296,,,0.0,2.1292630581191667,2.0858962887955266,2.976553207704254,0.0,
ENSMUSG00000002228-C,0.0,0.0,0.8686232207515774,0.0,0.0,,,0.9674048923102424,1.426248509167121,0.0,0.0,0.0,
ENSMUSG00000002608-C,6.337095584792328,6.518131447834783,6.250936592430239,6.203862749065842,6.569779657848172,,,6.458351483223099,6.651922995399596,6.957969489765717,6.455274718805405,6.534640640614436,
ENSMUSG00000002633-C,1.935983705110964,1.9468263315634875,1.7981578459377747,1.145283945259697,0.0,,,2.2694164769105942,2.303760115630847,1.6615634406534388,1.838604035947166,3.8454156461999536,
ENSMUSG00000002733-C,5.828357164453947,6.246986546581152,5.636022909541209,5.9160689396445045,4.372160124747886,,,5.8893404910648375,6.133116708420134,5.969527317729566,5.761564928515125,4.980470202450622,
