ID,External ID,Name,Tissue,Feature Type,Direction of Change (LPS & DSS),Median BiBC Percentile,Degree,Degree Percentile,Feces-Degree,Feces-Degree Percentile,Plasma-Degree,Plasma-Degree Percentile,Plexus-Degree,Plexus-Degree Percentile,Cortex-Degree,Cortex-Degree Percentile,Striatum-Degree,Striatum-Degree Percentile,Remaining-Brain-Degree,Remaining-Brain-Degree Percentile,"BiBC, Feces-Choroid Plexus, via Plasma","BiBC, Feces-Choroid Plexus, via Plasma (%ile)","BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics",Median BiBC Percentile,Subnetwork,Frustration,Total # of Inputs,# Inputs Indicating Up,# Inputs Indicating Down,"Mean Abundance, VECPAC, CRE-","Mean Abundance, VECPAC, CRE+","Mean Abundance, LPS, CTRL","Mean Abundance, LPS, 2.5h","Mean Abundance, DSS, CTRL","Mean Abundance, DSS, T1","Log2 Mean Fold Change, VECPAC","Log2 Mean Fold Change, LPS","Log2 Mean Fold Change, DSS",Actual Direction of Change in DSS,Predicted Direction Matches Actual Direction?,"Median Abundance, VECPAC, CRE-","Median Abundance, VECPAC, CRE+","Median Abundance, LPS, CTRL","Median Abundance, LPS, 2.5h","Median Abundance, DSS, CTRL","Median Abundance, DSS, T1",Minimum Median Control Abundance,Coefficient of Variation (Medians)
441,ENSMUSG00000015932,Dstn,Choroid Plexus,Gene,Down,67.0%,48,96.9%,0,0.0%,1,78.8%,45,98.3%,1,60.6%,1,64.7%,0,0.0%,157.8,50.7%,39.4,42.3%,324.4,66.9%,112.2,52.2%,29.9,39.0%,296.2,63.6%,112.4,50.5%,1326.7,80.8%,1229.8,85.9%,1084.3,83.2%,809.1,67.0%,1083.5,74.1%,712.6,72.0%,2605.2,71.0%,67.0%,gene_P_1,,,,,8.572E+00,9.006E+00,7.995E+00,7.378E+00,9.189E+00,8.639E+00,0.071,-0.116,-0.089,Down,True,8.802E+00,9.005E+00,8.203E+00,7.416E+00,9.182E+00,8.629E+00,8.203E+00,0.057
442,ENSMUSG00000040612,Ildr2,Choroid Plexus,Gene,Down,74.3%,52,97.5%,4,93.8%,1,78.8%,47,98.4%,0,0.0%,0,0.0%,0,0.0%,1688.2,95.4%,938.7,91.2%,1088.0,92.4%,1076.3,95.4%,723.6,87.2%,595.4,80.2%,475.4,82.1%,690.5,65.0%,703.0,74.3%,474.6,65.2%,500.8,55.9%,482.7,52.6%,448.8,61.6%,1432.3,53.4%,74.3%,gene_P_1,,,,,7.499E+00,7.847E+00,8.023E+00,7.804E+00,8.054E+00,7.619E+00,0.065,-0.040,-0.080,Down,True,7.500E+00,7.852E+00,8.053E+00,7.867E+00,8.128E+00,7.568E+00,7.500E+00,0.043
443,ENSMUSG00000067795,4930444P10Rik,Choroid Plexus,Gene,Down,7.4%,2,16.1%,0,0.0%,0,0.0%,0,0.0%,1,60.6%,0,0.0%,1,79.7%,,,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,0.0%,,,28.1,23.0%,2.4,14.9%,19.5,22.6%,50.0,14.9%,7.4%,,,,,,2.625E+00,3.288E+00,3.144E+00,2.994E+00,2.997E+00,2.768E+00,0.325,-0.071,-0.114,Down,True,3.223E+00,3.125E+00,2.987E+00,2.959E+00,3.244E+00,2.615E+00,2.987E+00,0.045
444,ENSMUSG00000021010,Npas3,Choroid Plexus,Gene,Up,30.0%,4,39.1%,1,80.7%,0,0.0%,1,50.1%,1,60.6%,0,0.0%,1,79.7%,,,3.7,26.7%,247.9,61.3%,190.7,61.6%,0.0,0.0%,7.2,23.8%,2.9,20.6%,,,25.1,30.4%,0.0,0.0%,227.1,43.1%,80.7,29.7%,146.2,41.8%,454.0,31.3%,30.0%,,,,,,4.314E+00,4.103E+00,4.124E+00,4.484E+00,3.146E+00,3.935E+00,-0.072,0.121,0.323,Up,True,4.413E+00,4.153E+00,4.311E+00,4.369E+00,3.140E+00,3.899E+00,3.140E+00,0.179
445,ENSMUSG00000004285,Atp6v1f,Choroid Plexus,Gene,Up,56.4%,17,82.6%,0,0.0%,3,89.0%,13,93.8%,0,0.0%,1,64.7%,0,0.0%,214.0,55.8%,144.4,57.1%,171.8,51.3%,143.8,56.5%,30.4,39.0%,7.1,23.6%,15.7,29.6%,1154.1,77.7%,680.0,73.4%,276.8,52.4%,883.0,69.7%,454.2,51.1%,370.8,56.4%,1708.0,58.4%,56.4%,gene_P_0,,,,,9.701E+00,9.628E+00,9.901E+00,1.002E+01,9.889E+00,9.919E+00,-0.011,0.017,0.004,Up,True,9.665E+00,9.649E+00,9.901E+00,1.009E+01,9.946E+00,9.894E+00,9.665E+00,0.015
446,ENSMUSG00000044927,H1f10,Choroid Plexus,Gene,Up,0.0%,9,67.8%,8,98.0%,0,0.0%,1,50.1%,0,0.0%,0,0.0%,0,0.0%,,,0.0,0.0%,559.5,78.6%,288.3,72.6%,0.0,0.0%,440.8,72.2%,203.5,60.7%,,,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0%,,,,,,3.528E+00,2.481E+00,2.933E+00,3.433E+00,2.035E+00,3.594E+00,-0.508,0.227,0.820,Up,True,3.502E+00,2.688E+00,3.218E+00,3.190E+00,2.340E+00,3.493E+00,2.340E+00,0.201
447,ENSMUSG00000027782,Kpna4,Choroid Plexus,Gene,Down,62.3%,8,64.0%,3,91.3%,1,78.8%,1,50.1%,0,0.0%,1,64.7%,2,94.5%,9.5,23.3%,6.4,28.3%,169.9,51.1%,83.4,47.6%,118.0,53.3%,519.2,77.1%,274.6,70.1%,853.7,70.5%,588.8,70.5%,1047.9,82.6%,317.0,48.3%,636.5,58.6%,959.7,80.6%,1913.1,62.3%,62.3%,gene_P_2,,,,,5.814E+00,6.255E+00,5.694E+00,5.527E+00,6.142E+00,5.966E+00,0.106,-0.043,-0.042,Down,True,5.838E+00,6.437E+00,5.732E+00,5.751E+00,6.082E+00,6.058E+00,5.732E+00,0.031
448,ENSMUSG00000038064,Cldn22,Choroid Plexus,Gene,Up,68.4%,8,64.0%,0,0.0%,3,89.0%,2,69.1%,0,0.0%,3,88.2%,0,0.0%,201.6,54.9%,306.1,73.5%,3.1,22.3%,127.1,54.7%,995.1,91.7%,392.7,70.0%,395.1,77.8%,372.0,50.6%,566.6,70.1%,1469.1,88.6%,583.3,58.1%,866.7,68.4%,325.4,54.0%,1775.4,59.4%,68.4%,gene_P_0,,,,,2.835E+00,2.367E+00,2.762E+00,3.735E+00,2.986E+00,3.539E+00,-0.260,0.435,0.245,Up,True,2.863E+00,2.494E+00,3.015E+00,4.217E+00,3.279E+00,4.214E+00,2.863E+00,0.069
449,ENSMUSG00000005575,Ube2m,Choroid Plexus,Gene,Down,42.7%,6,54.4%,0,0.0%,0,0.0%,4,83.2%,1,60.6%,1,64.7%,0,0.0%,83.9,42.5%,94.5,52.4%,61.3,39.8%,57.7,42.7%,23.2,36.8%,68.0,38.5%,37.5,36.7%,104.2,33.0%,139.7,44.8%,84.1,37.4%,988.2,72.6%,821.2,66.7%,545.9,65.9%,2355.4,68.3%,42.7%,gene_P_13,,,,,6.778E+00,7.101E+00,7.079E+00,7.041E+00,7.082E+00,6.674E+00,0.067,-0.008,-0.086,Down,True,6.941E+00,6.986E+00,7.093E+00,7.042E+00,7.013E+00,6.595E+00,6.941E+00,0.011
450,ENSMUSG00000029034,Ints11,Choroid Plexus,Gene,Up,27.8%,3,28.4%,1,80.7%,0,0.0%,1,50.1%,0,0.0%,1,64.7%,0,0.0%,0.0,0.0%,0.0,0.0%,665.0,82.4%,7.1,25.1%,0.0,0.0%,616.8,81.3%,331.0,74.3%,0.0,0.0%,0.0,0.0%,0.0,0.0%,66.5,29.0%,198.2,39.2%,60.6,31.7%,325.4,27.8%,27.8%,gene_P_3,,,,,4.614E+00,4.379E+00,4.223E+00,4.651E+00,4.519E+00,4.975E+00,-0.076,0.139,0.139,Up,True,4.455E+00,4.324E+00,4.276E+00,5.001E+00,4.677E+00,5.035E+00,4.276E+00,0.045
451,ENSMUSG00000034768,Asb16,Choroid Plexus,Gene,Down,28.0%,3,28.4%,1,80.7%,1,78.8%,0,0.0%,0,0.0%,1,64.7%,0,0.0%,,,,,0.0,0.0%,0.0,0.0%,,,222.0,56.1%,223.0,63.8%,,,,,,,,,,,,,,,28.0%,,,,,,3.752E+00,3.880E+00,3.745E+00,3.493E+00,4.206E+00,3.748E+00,0.048,-0.101,-0.166,Down,True,3.981E+00,4.206E+00,3.736E+00,3.353E+00,4.203E+00,3.836E+00,3.736E+00,0.059
452,ENSMUSG00000017802,Retreg3,Choroid Plexus,Gene,Down,8.2%,2,16.1%,0,0.0%,0,0.0%,0,0.0%,1,60.6%,1,64.7%,0,0.0%,,,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,0.0%,,,3.9,16.4%,410.3,49.7%,21.4,23.1%,435.6,30.8%,8.2%,,,,,,3.535E+00,4.056E+00,3.567E+00,3.097E+00,3.912E+00,3.707E+00,0.199,-0.204,-0.078,Down,True,3.543E+00,4.018E+00,3.336E+00,3.552E+00,3.881E+00,3.528E+00,3.336E+00,0.077
453,ENSMUSG00000032050,Rdx,Choroid Plexus,Gene,Down,51.1%,51,97.2%,1,80.7%,0,0.0%,49,98.5%,0,0.0%,1,64.7%,0,0.0%,197.7,54.3%,14.9,33.8%,120.7,46.6%,75.3,46.4%,101.6,51.1%,484.5,75.2%,298.9,72.2%,262.9,43.2%,18.3,28.4%,127.6,42.1%,575.8,57.9%,1101.4,74.6%,618.3,68.8%,2295.5,67.4%,51.1%,gene_P_1,,,,,8.489E+00,8.569E+00,8.700E+00,8.357E+00,8.759E+00,8.574E+00,0.014,-0.058,-0.031,Down,True,8.526E+00,8.470E+00,8.551E+00,8.290E+00,8.808E+00,8.649E+00,8.526E+00,0.018
454,ENSMUSG00000050856,Atp5me,Choroid Plexus,Gene,Up,65.8%,15,80.2%,0,0.0%,0,0.0%,14,94.1%,0,0.0%,1,64.7%,0,0.0%,149.2,49.5%,9.0,30.3%,90.8,43.1%,16.0,30.5%,377.0,75.9%,380.1,68.9%,283.0,71.2%,297.5,44.8%,58.7,36.5%,548.3,67.3%,689.4,61.4%,1562.4,83.0%,544.9,65.8%,2796.7,72.9%,65.8%,gene_P_0,,,,,1.041E+01,1.036E+01,1.063E+01,1.092E+01,1.055E+01,1.076E+01,-0.008,0.039,0.028,Up,True,1.045E+01,1.036E+01,1.049E+01,1.098E+01,1.047E+01,1.075E+01,1.045E+01,0.002
455,ENSMUSG00000028051,Hcn3,Choroid Plexus,Gene,Up,43.9%,7,59.9%,1,80.7%,2,85.2%,3,78.3%,0,0.0%,1,64.7%,0,0.0%,71.4,40.2%,24.8,38.1%,15.9,28.3%,19.6,31.9%,580.3,83.4%,453.3,73.7%,509.6,83.9%,279.4,43.9%,198.0,49.1%,995.6,81.7%,142.6,36.9%,686.2,60.5%,45.0,29.0%,873.8,42.9%,43.9%,gene_P_4,,,,,1.170E+00,6.320E-01,8.019E-01,1.123E+00,4.961E-01,1.463E+00,-0.888,0.486,1.560,Up,True,1.070E+00,5.812E-01,0.000E+00,1.479E+00,0.000E+00,9.960E-01,0.000E+00,1.732
456,ENSMUSG00000056952,Tatdn2,Choroid Plexus,Gene,Up,64.8%,7,59.9%,0,0.0%,4,91.1%,1,50.1%,1,60.6%,1,64.7%,0,0.0%,218.6,58.9%,2459.8,98.1%,219.0,57.0%,1114.2,95.7%,220.2,65.5%,0.0,0.0%,88.6,46.8%,521.6,58.4%,3212.1,97.2%,566.8,68.4%,923.5,70.8%,696.7,60.9%,473.7,62.8%,2093.8,64.8%,64.8%,,,,,,6.121E+00,6.053E+00,6.416E+00,6.549E+00,6.147E+00,6.466E+00,-0.016,0.030,0.073,Up,True,6.257E+00,6.130E+00,6.413E+00,6.581E+00,6.088E+00,6.605E+00,6.088E+00,0.026
457,ENSMUSG00000047547,Cltb,Choroid Plexus,Gene,Up,51.4%,6,54.4%,1,80.7%,0,0.0%,2,69.1%,3,85.2%,0,0.0%,0,0.0%,0.0,0.0%,48.3,44.9%,615.9,80.9%,357.1,76.3%,0.0,0.0%,354.3,67.6%,109.0,49.7%,0.0,0.0%,141.7,45.0%,0.0,0.0%,757.4,64.1%,563.1,55.9%,278.0,51.4%,1598.6,56.6%,51.4%,gene_P_1,,,,,8.033E+00,7.824E+00,8.169E+00,8.652E+00,8.397E+00,8.624E+00,-0.038,0.083,0.038,Up,True,8.008E+00,7.839E+00,8.136E+00,8.607E+00,8.569E+00,8.691E+00,8.008E+00,0.036
458,ENSMUSG00000027598,Itch,Choroid Plexus,Gene,Down,84.7%,34,93.7%,1,80.7%,1,78.8%,27,97.0%,2,77.6%,1,64.7%,2,94.5%,184.0,52.5%,239.5,68.2%,384.5,69.5%,386.0,77.9%,526.0,81.7%,820.4,86.9%,794.1,91.0%,1582.3,84.4%,1330.6,87.6%,1872.7,92.2%,1730.9,84.7%,1673.3,84.6%,2637.5,97.8%,6041.6,91.3%,84.7%,gene_P_1,,,,,5.132E+00,5.624E+00,5.169E+00,5.004E+00,5.528E+00,5.314E+00,0.132,-0.047,-0.057,Down,True,5.081E+00,5.599E+00,5.261E+00,5.365E+00,5.387E+00,5.080E+00,5.081E+00,0.029
459,ENSMUSG00000060227,Golm2,Choroid Plexus,Gene,Down,45.5%,60,98.5%,2,87.8%,0,0.0%,56,98.8%,1,60.6%,1,64.7%,0,0.0%,60.0,37.7%,17.1,34.9%,238.3,60.8%,166.1,58.7%,12.4,31.6%,313.0,64.6%,141.9,54.8%,107.6,33.7%,31.2,32.0%,29.2,30.0%,268.8,45.5%,373.6,48.1%,253.6,50.2%,896.0,43.3%,45.5%,gene_P_1,,,,,6.626E+00,7.069E+00,6.915E+00,6.274E+00,7.449E+00,6.709E+00,0.093,-0.140,-0.151,Down,True,6.712E+00,7.050E+00,6.924E+00,6.299E+00,7.406E+00,6.672E+00,6.712E+00,0.051
460,ENSMUSG00000024576,Csnk1a1,Choroid Plexus,Gene,Down,90.7%,37,94.6%,2,87.8%,1,78.8%,25,96.8%,7,92.6%,1,64.7%,1,79.7%,291.4,65.6%,1194.1,93.6%,819.3,87.7%,852.1,92.0%,319.3,72.4%,494.8,75.7%,403.6,78.4%,702.0,65.4%,2069.1,93.7%,688.6,73.4%,2463.2,91.5%,2342.3,90.7%,1964.4,94.7%,6769.9,93.3%,90.7%,gene_P_2,,,,,8.162E+00,8.335E+00,8.338E+00,8.101E+00,8.544E+00,8.461E+00,0.030,-0.042,-0.014,Down,True,8.162E+00,8.321E+00,8.385E+00,8.244E+00,8.445E+00,8.553E+00,8.162E+00,0.018
461,ENSMUSG00000030697,Ppp4c,Choroid Plexus,Gene,Up,36.8%,5,47.4%,2,87.8%,2,85.2%,0,0.0%,1,60.6%,0,0.0%,0,0.0%,24.6,28.9%,1122.4,92.9%,689.9,84.0%,647.4,87.4%,10.7,30.4%,28.3,31.5%,37.6,36.8%,513.1,58.1%,1642.9,91.1%,207.7,48.9%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,36.8%,,,,,,4.505E+00,4.045E+00,4.509E+00,4.615E+00,4.541E+00,4.968E+00,-0.155,0.034,0.130,Up,True,4.676E+00,4.158E+00,4.278E+00,4.741E+00,4.321E+00,5.371E+00,4.278E+00,0.049
462,ENSMUSG00000024191,Bnip1,Choroid Plexus,Gene,Up,17.1%,6,54.4%,0,0.0%,1,78.8%,0,0.0%,5,90.2%,0,0.0%,0,0.0%,0.0,0.0%,731.8,87.6%,6.2,23.9%,337.8,75.4%,0.0,0.0%,,,0.0,0.0%,0.0,0.0%,1797.5,92.1%,0.0,0.0%,52.9,26.9%,10.3,17.5%,2.5,16.7%,65.8,16.0%,17.1%,,,,,,4.098E+00,3.892E+00,4.224E+00,4.356E+00,4.573E+00,4.985E+00,-0.075,0.044,0.125,Up,True,4.025E+00,4.117E+00,4.181E+00,4.430E+00,4.544E+00,4.990E+00,4.025E+00,0.063
463,ENSMUSG00000030286,Emc3,Choroid Plexus,Gene,Up,81.8%,11,73.5%,1,80.7%,1,78.8%,7,89.8%,1,60.6%,1,64.7%,0,0.0%,219.8,59.1%,653.3,85.9%,648.1,81.8%,668.1,88.3%,222.7,65.7%,333.0,66.1%,303.1,72.5%,414.2,52.6%,1301.9,87.0%,435.3,63.1%,2177.9,89.2%,2059.4,88.5%,810.8,76.7%,5048.1,87.5%,81.8%,gene_P_2,,,,,7.062E+00,6.853E+00,7.517E+00,7.724E+00,7.182E+00,7.282E+00,-0.043,0.039,0.020,Up,True,7.041E+00,6.820E+00,7.401E+00,7.707E+00,7.196E+00,7.217E+00,7.041E+00,0.025
464,ENSMUSG00000031970,Dbndd1,Choroid Plexus,Gene,Up,51.8%,6,54.4%,0,0.0%,0,0.0%,3,78.3%,1,60.6%,2,80.9%,0,0.0%,220.4,59.3%,0.8,22.0%,12.5,27.0%,5.8,24.4%,106.5,51.8%,216.2,54.4%,185.9,59.0%,386.0,51.4%,9.3,25.4%,142.3,43.2%,1172.1,76.7%,1592.4,83.6%,727.0,72.4%,3491.5,78.8%,51.8%,gene_P_0,,,,,3.352E+00,3.105E+00,3.192E+00,3.578E+00,2.683E+00,2.992E+00,-0.111,0.165,0.157,Up,True,3.661E+00,3.111E+00,3.244E+00,2.780E+00,2.857E+00,2.800E+00,2.857E+00,0.124
465,ENSMUSG00000091475,Cerox1,Choroid Plexus,Gene,Up,23.5%,5,47.4%,1,80.7%,2,85.2%,1,50.1%,0,0.0%,0,0.0%,1,79.7%,155.9,50.5%,68.9,48.7%,5.3,23.5%,17.9,31.2%,15.8,33.8%,2.7,20.8%,3.4,21.1%,96.1,32.2%,54.4,35.8%,18.8,27.3%,11.9,18.7%,1.3,14.4%,21.4,23.0%,34.6,14.1%,23.5%,gene_P_13,,,,,2.552E+00,2.288E+00,2.037E+00,2.488E+00,1.502E+00,1.911E+00,-0.158,0.289,0.348,Up,True,2.934E+00,2.755E+00,2.095E+00,3.190E+00,1.294E+00,2.174E+00,1.294E+00,0.389
466,ENSMUSG00000026509,Capn2,Choroid Plexus,Gene,Down,0.0%,1,5.3%,0,0.0%,0,0.0%,1,50.1%,0,0.0%,0,0.0%,0,0.0%,,,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0%,,,,,,6.280E+00,6.329E+00,6.709E+00,6.648E+00,6.594E+00,6.488E+00,0.011,-0.013,-0.023,Down,True,6.308E+00,6.356E+00,6.797E+00,6.781E+00,6.621E+00,6.562E+00,6.308E+00,0.038
467,ENSMUSG00000035762,Tmem161b,Choroid Plexus,Gene,Down,64.2%,48,96.9%,0,0.0%,0,0.0%,45,98.3%,2,77.6%,1,64.7%,0,0.0%,101.0,44.2%,242.5,68.7%,261.3,62.9%,255.8,69.9%,57.9,45.4%,251.1,61.2%,157.5,56.2%,171.6,37.7%,429.4,64.2%,149.9,43.8%,2985.5,93.8%,2770.2,93.5%,1952.3,94.6%,7708.0,94.9%,64.2%,gene_P_1,,,,,4.888E+00,5.210E+00,4.945E+00,4.372E+00,5.336E+00,5.206E+00,0.092,-0.178,-0.036,Down,True,5.341E+00,5.412E+00,5.436E+00,4.545E+00,5.379E+00,5.202E+00,5.341E+00,0.009
468,ENSMUSG00000099689,Zfp383,Choroid Plexus,Gene,Down,44.8%,6,54.4%,3,91.3%,1,78.8%,2,69.1%,0,0.0%,0,0.0%,0,0.0%,217.7,58.5%,156.2,58.3%,380.9,69.4%,255.5,69.9%,0.2,19.7%,139.0,47.0%,76.6,44.8%,371.1,50.5%,188.6,48.0%,1.3,20.6%,120.6,35.0%,42.8,24.7%,34.8,26.8%,198.2,23.2%,44.8%,gene_P_0,,,,,2.761E+00,3.027E+00,3.510E+00,2.934E+00,3.928E+00,3.050E+00,0.132,-0.259,-0.365,Down,True,3.235E+00,3.223E+00,3.506E+00,2.859E+00,3.881E+00,3.825E+00,3.235E+00,0.092
469,ENSMUSG00000034377,Tulp4,Choroid Plexus,Gene,Down,97.0%,44,96.3%,4,93.8%,2,85.2%,24,96.6%,12,95.3%,2,80.9%,0,0.0%,102.2,44.3%,1414.2,95.1%,2081.0,98.1%,1861.3,98.6%,324.0,72.7%,717.6,84.5%,534.4,84.7%,778.2,69.0%,4483.6,98.7%,1479.9,88.8%,7784.1,99.6%,4580.6,98.4%,2385.6,97.0%,14750.3,99.3%,97.0%,gene_P_2,,,,,6.259E+00,6.876E+00,6.101E+00,5.756E+00,6.885E+00,6.380E+00,0.136,-0.084,-0.110,Down,True,6.382E+00,6.911E+00,6.264E+00,5.949E+00,7.050E+00,6.191E+00,6.264E+00,0.065
470,ENSMUSG00000039715,Dync2i2,Choroid Plexus,Gene,Up,76.8%,5,47.4%,1,80.7%,0,0.0%,0,0.0%,0,0.0%,3,88.2%,1,79.7%,,,,,,,0.0,0.0%,1305.2,94.6%,1728.1,97.0%,778.9,90.7%,,,,,2177.0,93.5%,73.8,30.1%,136.2,34.7%,811.5,76.8%,1021.5,46.3%,76.8%,,,,,,5.439E+00,5.031E+00,5.664E+00,5.822E+00,5.640E+00,5.897E+00,-0.112,0.040,0.064,Up,True,5.571E+00,4.962E+00,5.539E+00,5.885E+00,5.818E+00,6.056E+00,5.539E+00,0.027
471,ENSMUSG00000098113,Gm2445,Choroid Plexus,Gene,Up,73.9%,4,39.1%,0,0.0%,0,0.0%,1,50.1%,2,77.6%,0,0.0%,1,79.7%,,,215.0,64.3%,219.0,57.7%,222.0,65.5%,,,,,,,,,370.0,59.1%,,,2387.7,90.9%,1499.2,82.3%,1254.8,87.5%,5141.6,88.0%,73.9%,,,,,,1.127E+00,6.591E-01,1.257E+00,1.767E+00,6.264E-01,7.752E-01,-0.774,0.491,0.308,Up,True,9.403E-01,4.193E-01,1.165E+00,1.420E+00,0.000E+00,9.960E-01,0.000E+00,0.881
472,ENSMUSG00000007379,Dennd2c,Choroid Plexus,Gene,Down,0.0%,2,16.1%,1,80.7%,0,0.0%,1,50.1%,0,0.0%,0,0.0%,0,0.0%,0.0,0.0%,0.0,0.0%,2.1,21.4%,1.8,20.4%,0.0,0.0%,0.2,17.9%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0%,gene_P_3,,,,,6.337E-01,8.312E-01,8.921E-01,3.071E-01,1.334E+00,6.384E-01,0.392,-1.539,-1.063,Down,True,4.213E-01,4.193E-01,4.510E-01,0.000E+00,1.430E+00,0.000E+00,4.213E-01,0.748
473,ENSMUSG00000087083,Gm15083,Choroid Plexus,Gene,Down,19.5%,3,28.4%,1,80.7%,1,78.8%,1,50.1%,0,0.0%,0,0.0%,0,0.0%,4.6,20.3%,0.0,0.0%,2.2,21.6%,1.3,19.5%,7.1,28.3%,46.6,34.4%,44.6,38.5%,29.7,24.9%,0.0,0.0%,29.9,30.2%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,19.5%,,,,,,6.485E-01,1.699E+00,2.183E+00,1.920E+00,1.714E+00,9.680E-01,1.390,-0.186,-0.824,Down,True,0.000E+00,2.139E+00,2.282E+00,1.891E+00,1.767E+00,9.092E-01,0.000E+00,0.887
474,ENSMUSG00000023064,Sncg,Choroid Plexus,Gene,Up,31.8%,3,28.4%,1,80.7%,0,0.0%,1,50.1%,0,0.0%,1,64.7%,0,0.0%,0.0,0.0%,0.0,0.0%,385.5,69.7%,144.7,56.7%,553.5,82.8%,1050.9,91.1%,749.9,90.3%,0.0,0.0%,0.0,0.0%,504.2,65.8%,89.4,31.8%,58.7,26.6%,28.1,24.8%,176.2,22.2%,31.8%,,,,,,5.984E+00,5.739E+00,5.541E+00,5.924E+00,5.625E+00,5.798E+00,-0.060,0.096,0.044,Up,True,5.895E+00,5.847E+00,5.480E+00,5.939E+00,5.616E+00,6.035E+00,5.480E+00,0.037
475,ENSMUSG00000030554,Synm,Choroid Plexus,Gene,Down,39.7%,26,90.6%,0,0.0%,0,0.0%,25,96.8%,0,0.0%,1,64.7%,0,0.0%,58.4,37.2%,8.5,29.9%,16.6,28.5%,8.2,25.6%,78.7,48.2%,54.5,36.5%,49.7,39.7%,171.2,37.6%,28.3,31.1%,151.2,43.9%,403.1,52.0%,531.9,54.6%,194.8,45.8%,1129.8,48.4%,39.7%,gene_P_1,,,,,7.160E+00,7.436E+00,7.099E+00,6.522E+00,6.921E+00,6.698E+00,0.055,-0.122,-0.047,Down,True,7.237E+00,7.413E+00,7.114E+00,6.264E+00,6.999E+00,6.804E+00,6.999E+00,0.017
476,ENSMUSG00000037221,Mospd3,Choroid Plexus,Gene,Up,19.5%,4,39.1%,0,0.0%,0,0.0%,2,69.1%,1,60.6%,0,0.0%,1,79.7%,215.0,56.6%,0.2,19.5%,1.2,20.0%,0.3,16.3%,0.0,0.0%,0.0,0.0%,0.0,0.0%,367.0,48.1%,0.6,19.5%,0.0,0.0%,925.5,70.9%,918.3,69.9%,615.7,68.6%,2459.5,69.6%,19.5%,gene_P_0,,,,,5.384E+00,5.048E+00,5.921E+00,6.180E+00,5.469E+00,5.612E+00,-0.093,0.062,0.037,Up,True,5.279E+00,5.218E+00,5.834E+00,6.141E+00,5.477E+00,5.713E+00,5.279E+00,0.051
477,ENSMUSG00000006005,Tpr,Choroid Plexus,Gene,Down,66.3%,72,99.1%,0,0.0%,1,78.8%,68,99.2%,1,60.6%,2,80.9%,0,0.0%,134.4,47.8%,155.7,58.1%,283.3,64.4%,253.7,69.6%,107.8,52.1%,185.1,51.7%,151.1,55.5%,560.6,59.9%,559.5,69.8%,514.9,66.3%,1203.5,77.4%,1402.6,80.3%,601.0,68.0%,3207.1,76.6%,66.3%,gene_P_1,,,,,8.096E+00,8.624E+00,8.245E+00,7.721E+00,8.566E+00,8.057E+00,0.091,-0.095,-0.088,Down,True,8.409E+00,8.551E+00,8.067E+00,7.701E+00,8.848E+00,7.955E+00,8.067E+00,0.046
