Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000000326-C,"(2,5-Dimethoxyphenyl)acetone",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,0.0,3
ENSMUSG00000000326-C,(4-Fluorophenyl)phenylmethanol,nan,nan,0
ENSMUSG00000000326-C,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"3,4,5-Trimethoxyamphetamine",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,Oxypeucedanin,nan,nan,0
ENSMUSG00000000326-C,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",1.0,0.0,3
ENSMUSG00000000326-C,"1-(2,4-Dimethoxyphenyl)-propan-2-one",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",-0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1.0,0.0,3
ENSMUSG00000000326-C,1-(Cyclohexylmethyl)-4-piperidinylamine,nan,nan,2
ENSMUSG00000000326-C,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"1,2,4-Butanetriol, (S)",nan,nan,0
ENSMUSG00000000326-C,"1,2-Benzenedicarboxylic acid, butyl octyl ester",nan,nan,0
ENSMUSG00000000326-C,"1,2-Bis(trimethylsiloxy)cyclohexene",nan,nan,2
ENSMUSG00000000326-C,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",nan,nan,2
ENSMUSG00000000326-C,"1,2-Cyclohexanediol, (Z)",1.0,0.0,3
ENSMUSG00000000326-C,"1,3-Butanediamine",nan,nan,0
ENSMUSG00000000326-C,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"1,3-Propanediol",nan,nan,0
ENSMUSG00000000326-C,10-Undecynoic acid,nan,nan,0
ENSMUSG00000000326-C,"13-Docosenamide, (Z)",nan,nan,0
ENSMUSG00000000326-C,1-Butanol,nan,nan,2
ENSMUSG00000000326-C,"1-Heptanol, 2-propyl-",nan,nan,0
ENSMUSG00000000326-C,1-Hexacosanol,nan,nan,0
ENSMUSG00000000326-C,1-Octadecanol,nan,nan,2
ENSMUSG00000000326-C,"1-Octanol, 2-butyl-",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",nan,nan,1
ENSMUSG00000000326-C,"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",nan,nan,0
ENSMUSG00000000326-C,"2(5H)-Furanone, 4-(hydroxymethyl)",-0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2-(Ethylamino)ethanol, N-acetyl",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,2-(Methylamino)ethanol,0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2,2'-Bipyridine",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",0.0,1.0,3
ENSMUSG00000000326-C,"2,3-Dihydroxybutanoic acid",0.8660254037844387,0.33333333333333326,3
ENSMUSG00000000326-C,"2',3'-Di-O-acetyladenosine",nan,nan,2
ENSMUSG00000000326-C,"2,4,4'-Trihydroxybenzophenone",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2,4,6-Cycloheptatrien-1-one",nan,nan,2
ENSMUSG00000000326-C,"2,4-Dihydroxyacetophenone",nan,nan,0
ENSMUSG00000000326-C,"2,4-Dimethoxybenzaldoxime",nan,nan,0
ENSMUSG00000000326-C,"2,4-Di-tert-butylphenol",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2,4-Imidazolidinedione, 5,5-dimethyl",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",nan,nan,2
ENSMUSG00000000326-C,"2,5-Dimethoxybenzhydrazide",-1.0,0.0,3
ENSMUSG00000000326-C,"2,5-Dimethoxybenzonitrile",-0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2,5-Dimethoxyphenol",-0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2',5'-Dimethoxypropiophenone",-1.0,0.0,3
ENSMUSG00000000326-C,"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",nan,nan,1
ENSMUSG00000000326-C,"2-Allyl-1,4-dimethoxybenzene",0.0,1.0,3
ENSMUSG00000000326-C,2-Amino-4-methylbenzophenone,-1.0,0.0,3
ENSMUSG00000000326-C,2-Aminoquinolin-8-ol,nan,nan,1
ENSMUSG00000000326-C,2-Butanol,nan,nan,0
ENSMUSG00000000326-C,2-Buten-1-ol,nan,nan,2
ENSMUSG00000000326-C,"2-Butene-1,4-diol",nan,nan,2
ENSMUSG00000000326-C,2-Butenedioic acid,-0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",-1.0,0.0,3
ENSMUSG00000000326-C,2-Butoxyethanol,0.5,0.6666666666666666,3
ENSMUSG00000000326-C,2-Cyanobenzaldehyde,nan,nan,0
ENSMUSG00000000326-C,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2-Cyclohexen-1-one, 3-methyl-",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,2-Decanol,0.5,0.6666666666666666,3
ENSMUSG00000000326-C,2-Ethyl-1-butanol,nan,nan,2
ENSMUSG00000000326-C,2-Ethylhexanoic acid,0.8660254037844387,0.33333333333333326,3
ENSMUSG00000000326-C,2-Ethylhexanol,nan,nan,0
ENSMUSG00000000326-C,"2-Furancarbodithioic acid, methyl ester",nan,nan,0
ENSMUSG00000000326-C,2-Furoic acid,0.5,0.6666666666666666,3
ENSMUSG00000000326-C,2-Hexanol,-1.0,0.0,3
ENSMUSG00000000326-C,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",nan,nan,2
ENSMUSG00000000326-C,"2-Hydroxy-2',4',6'-trimethoxychalcone",nan,nan,0
ENSMUSG00000000326-C,2-Hydroxy-3-methylbutyric acid,0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",nan,nan,0
ENSMUSG00000000326-C,2-Isopropyl-5-methyl-1-heptanol,nan,nan,0
ENSMUSG00000000326-C,"2-Methyl-1,3-butanediol",0.5,0.6666666666666666,3
ENSMUSG00000000326-C,2-Methyl-3-pentanol,nan,nan,2
ENSMUSG00000000326-C,"2-Methylcyclohexanol, (Z)",0.8660254037844387,0.33333333333333326,3
ENSMUSG00000000326-C,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",nan,nan,2
ENSMUSG00000000326-C,2-Naphthol,0.5,0.6666666666666666,3
ENSMUSG00000000326-C,2-Norbornanemethanol,nan,nan,1
ENSMUSG00000000326-C,"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",nan,nan,0
ENSMUSG00000000326-C,2-Pentadecanone,0.5,0.6666666666666666,3
ENSMUSG00000000326-C,"2-Pivaloyl-1,3-indandione",nan,nan,0
ENSMUSG00000000326-C,2-Propyl-1-pentanol,1.0,0.0,3
ENSMUSG00000000326-C,2-Pyrrolidone-5-carboxylic acid,0.0,1.0,3
ENSMUSG00000000326-C,"2-Thiophenecarboxylic acid, 4-cyanophenyl ester",nan,nan,0
