NAME,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"(2,5-Dimethoxyphenyl)acetone",15.908035472251042,15.444118686895859,15.662682603259597,15.788907970094375,16.696195419422576,15.53459923470448,15.481194353381854,16.047987391250597,16.43264256436115,15.657098856806401,16.081098131478914,15.883284701297507,15.079947167150761,16.93075165034596
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",17.947357381855884,19.369237554133708,20.704218823619062,18.916760308268547,19.599295417934766,18.10828358014644,18.23845861032338,18.816714495781042,18.129169960814533,19.378245670806074,20.346946688363023,20.021965821995007,18.67680365166554,19.431172090320043
(4-Fluorophenyl)phenylmethanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.116493207671,0.0,0.0,0.0,0.0,0.0,16.718149764521375
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",25.68288012087905,27.98024265729247,27.384291263738316,27.335292778554763,28.45698751702994,27.252986353145282,27.92583676075515,27.6261899123108,26.3900754817137,23.584959239926413,27.450375559422117,30.208153608262784,27.679071515574858,26.03099906795557
"3,4,5-Trimethoxyamphetamine",22.49472566347611,9.931737920498888,23.893358670185332,23.657035274701315,23.80469658958274,24.469656151895567,25.17332150303924,24.474219725933477,17.43478106693641,10.678243053855681,24.336115632023393,0.0,16.472306306853884,12.973315655000677
Oxypeucedanin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0.0,24.224541881013582,26.948324187096834,25.41071581901945,26.218900153997268,0.0,24.194616617578447,24.468783976199493,0.0,26.735922892089505,27.606518766994164,23.441203317718884,0.0,23.756622210678675
"1-(2,4-Dimethoxyphenyl)-propan-2-one",15.951960261308294,18.57988447126233,18.410683162580494,18.449974447111323,18.722213780211515,18.424822958437606,0.0,18.680562271837122,18.501921549780175,17.949115942978995,18.458383807794775,14.712459681519245,18.198788352428462,16.136697143628083
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",25.71450115204259,25.10514759763008,24.484983159192087,24.958784039801927,25.032127244995568,25.57755239006384,25.571858144082277,26.115913493129195,25.98456477347379,25.076848232924846,25.368574555746985,24.98304259063016,24.7826155736911,25.668366054296584
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",16.518110015860415,21.678890124720372,20.176687065648792,20.642303425283696,22.417512760300397,19.1465309371001,22.037705771852156,21.251325351616263,17.98375723043321,21.50800605617158,22.207445158249154,0.0,20.591075142169064,22.264622144176467
1-(Cyclohexylmethyl)-4-piperidinylamine,0.0,15.818511811929,15.795750685645311,0.0,13.937169534899105,15.362287443107215,9.312331904330229,12.779608531719932,0.0,13.227349895214237,13.763008422309337,0.0,14.539185054248389,11.906002463345883
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,19.02184667158839,18.9624169726117,19.045769753580128,18.83656676550094,19.003688430128726,18.563615801749215,18.322017900386804,19.085352974826247,19.52872712242319,18.098573422402744,18.53419702679633,18.50029780272618,18.053392279720846,18.32369064907201
"1,2,4-Butanetriol, (S)",0.0,0.0,0.0,0.0,0.0,0.0,17.37741569815235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Benzenedicarboxylic acid, butyl octyl ester",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.655429581511687,0.0
"1,2-Bis(trimethylsiloxy)cyclohexene",0.0,0.0,19.783517709732,0.0,17.9245474993162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.963091963826827
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",7.884782848453978,0.0,0.0,10.658401605110162,15.283557288017517,0.0,0.0,0.0,10.591241515433017,0.0,0.0,0.0,0.0,0.0
"1,2-Cyclohexanediol, (Z)",17.35592199660851,16.832809196459362,17.104833882802126,16.890635784440857,17.469214155626783,17.1950020848116,17.209127257343837,17.78009784560411,17.24639821279154,16.707043498578496,17.080011325170037,18.521995442255854,18.336214747703615,0.0
"1,3-Butanediamine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.969796330936475,0.0,0.0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",28.502908024574488,28.18560238743354,28.261829225927112,27.819369391044248,27.996975855264477,27.885941891604983,27.385443638776355,28.19005206315088,29.46857247584472,28.1590514797743,28.19748787072684,27.863248858103855,26.629885833487375,27.691374178106347
"1,3-Propanediol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-Undecynoic acid,0.0,0.0,0.0,0.0,0.0,16.763521497823707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"13-Docosenamide, (Z)",0.0,0.0,0.0,0.0,0.0,16.309859343365932,0.0,0.0,0.0,16.347456353134984,17.326800437966302,0.0,0.0,0.0
1-Butanol,27.265597465754723,0.0,0.0,27.011997799594788,26.97288196819083,26.679178393276228,26.0942122174271,0.0,0.0,0.0,0.0,26.671352649660697,0.0,26.560272416348717
"1-Heptanol, 2-propyl-",0.0,0.0,0.0,0.0,0.0,20.988819181574375,20.481554705862724,20.64162584623271,20.971425390370637,20.15132068901116,20.473777693934032,0.0,0.0,0.0
1-Hexacosanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-Octadecanol,8.558185747995664,0.0,10.37694339772258,0.0,9.720910375946161,9.77293512777173,10.993141441012776,9.422375180348816,11.269155034726124,9.776850058099054,0.0,0.0,8.931571113561956,0.0
"1-Octanol, 2-butyl-",26.575422464346342,25.811077700122166,25.92655704101022,25.679924448735477,26.17528682990168,25.091744045004145,25.185715357457912,25.697399707886206,26.983045364878507,25.44061030510432,25.087498557355833,24.247566692897298,23.17046011281169,24.970050255034607
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",0.0,0.0,0.0,0.0,34.213805363192236,0.0,0.0,0.0,36.238666376240154,37.02364433176335,0.0,0.0,37.291584012843366,0.0
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.970848453774321,0.0,0.0,0.0,0.0
"2(5H)-Furanone, 4-(hydroxymethyl)",18.413832689895663,19.15331049945065,18.95586966416129,18.608049367641822,19.53421640928675,18.691257603429857,19.02406965448606,19.15232284348532,18.309629512598377,18.954706192053898,19.63885146280124,19.45077951702722,18.70340050511713,19.337334008869725
"2-(Ethylamino)ethanol, N-acetyl",32.29790990707643,31.797880865514156,31.592763515222668,31.40557114168097,31.63735733030583,31.479774844397568,31.555504531018137,31.76665646156414,32.400101058781104,31.22380330129278,31.458504607016312,31.472827124880695,31.247243051936696,31.41041637883138
2-(Methylamino)ethanol,26.804904607936297,26.473431793707505,26.14336765828047,26.25785703056313,26.133187576931025,26.488984407958995,26.41249041977524,26.66781300995909,27.236451847424643,26.12180794536348,18.164955312365983,26.3344012018612,25.198758295932564,26.097112526477698
"2,2'-Bipyridine",21.97677005788077,21.564797383153447,21.172046165247366,21.128822549804152,21.44143489404561,21.084790877216403,21.08203641413786,21.52558425326391,21.69263280444796,20.70903306076998,20.88010854352021,21.344121020395104,20.793507786307142,21.427185186320216
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",15.060107812287416,18.40604984481542,17.682292295293593,17.4654087480925,18.49229188886258,17.417254757382075,18.212568843956266,18.068392529657572,0.0,17.70097147236181,18.187786360069207,18.147624687808584,18.16389647872574,17.511750490649586
"2,3-Dihydroxybutanoic acid",31.017934656951144,0.0,31.67922036974025,31.564554971724114,31.907912638473007,31.264972246470105,0.0,31.506929433757527,30.96458918867956,31.06547803362041,0.0,0.0,26.010287527187316,31.203653482425832
"2',3'-Di-O-acetyladenosine",0.0,0.0,0.0,7.967612982998407e-07,3.121626476332549e-05,0.0,4.801396748501166e-05,3.566514460720396e-05,0.0,0.0,8.368196447584346e-05,0.0,4.057098008481906e-06,4.57627150419361e-05
"2,4,4'-Trihydroxybenzophenone",20.893782470516,20.351698503865435,19.91827157275107,19.589393629845127,19.146696929624277,19.002812411233002,19.444247861401664,19.701331982887673,21.258042486383076,19.45613437470027,19.430402652494458,18.95638715116614,18.323244034339766,18.528991419864354
"2,4,6-Cycloheptatrien-1-one",22.711968180302915,0.0,25.006524174383312,0.0,24.26536793164708,0.0,0.0,0.0,27.432457097058755,21.659359700351917,23.150866504842355,23.726875525525795,24.59554541742265,23.685790528877398
"2,4-Dihydroxyacetophenone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.011487985504257
"2,4-Dimethoxybenzaldoxime",0.0,0.0,0.0,0.0,0.0,17.94011521236495,19.818057777171546,0.0,0.0,0.0,0.0,0.0,0.0,18.91891495453829
"2,4-Di-tert-butylphenol",23.79984620326532,23.163857182974297,23.048812308288806,23.122590455617043,23.06093292048476,0.0,0.0,0.0,19.82050752970741,0.0,0.0,23.099297468647137,22.658929950404566,22.749230637061192
"2,4-Imidazolidinedione, 5,5-dimethyl",23.083943219132163,21.08451629222383,20.395550852632724,20.81711782472671,19.274573920509507,20.369795357799262,19.297820953005818,20.747197743313908,22.83727865583102,18.65522603045292,19.085861938258358,17.62020445411259,18.964368077148805,12.110059282110075
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",21.89998636990409,20.605035965881573,19.48197912503269,18.27691008242552,0.0,20.42470922139825,18.751617332488216,21.261281860157556,21.473939753153072,18.082766152977555,17.18735768261774,17.59989594204168,19.753483631041767,0.0
"2,5-Dimethoxybenzhydrazide",23.027110821776255,24.55289092248875,25.347061641011383,24.89057707259965,25.92610975139087,23.4900294503373,24.776140743686877,25.329266059343094,24.375306213684027,25.24082104463623,25.83813155781874,24.85630763586475,0.0,25.26953354166716
"2,5-Dimethoxybenzonitrile",19.438786383710713,19.789720904898033,20.44151731139014,20.663182969748544,21.244156312686115,19.164252852779434,20.47107429638914,20.63470416169878,19.79289995070058,20.266279043551442,20.754185794790924,20.311804836553716,19.17791650372025,20.99568118375371
"2,5-Dimethoxyphenol",23.02325104616984,23.030157074122663,23.954666592741837,23.6998739239909,24.339097166250077,22.557684600542206,22.66768872526515,24.01831525045924,23.86543227971186,23.567515527226238,24.203270419032666,23.496147215886705,21.973341834140648,23.912588817758454
"2',5'-Dimethoxypropiophenone",25.056817605876155,25.251640472093257,25.644371911804715,25.8472018051817,26.45961529020105,24.45571852205572,25.749915290242143,25.61704680935054,24.799673380491278,25.39977288963408,25.996029564679876,25.14804863252033,24.856153754203145,25.962033935719315
