,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124
,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
N-Isovaleroylglycine,13994.41246,13461.53051,3523.812787,9599.874518,13910.11623,13751.82782,12195.61561,7229.749637,0,7923.717862,6733.987365,4314.573115,12886.9318,17502.00124,10573.15084,4703.486712,4063.857744,0,9877.022791
N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,140.3772198,77.79640907,19.9580198,82.73307815,53.49966715,25.37860185,120.7220069,82.34630005,77.94268038,104.1923469,37.64799998,49.68913695,38.64527295,73.20732476,83.25288758,42.71167099,69.33934512,32.41395557,39.82180095
n-Pentadecanol,52317.36025,113912.0121,318455.7309,20281.87037,61683.78341,218122.678,95776.21793,82260.12601,133484.7195,206802.4027,285390.0904,201126.1339,29420.06243,247554.5161,174318.3362,368408.5317,401500.6924,251777.0422,1058379.909
N-Valerylglycine,0,0,0,8356.397175,13551.49873,3086.606072,0,0,13961.3168,17351.41077,0,0,0,22664.48997,0,0,0,0,19373.3896
"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",43423.63434,52106.01012,49444.65879,19694.65828,63393.16827,0,76996.29353,91609.91859,72610.11552,0,43286.70446,57563.63831,69168.15438,145941.4715,0,98280.29223,66818.87928,124362.8171,86033.78777
"N,N-Diethyl-2-aminoethanol",39023.29691,39850.76839,23170.37982,37881.73591,38848.61944,33680.91171,27268.64159,40521.91013,32976.7552,39216.17645,34959.10994,34975.84648,38181.12724,34340.56135,41082.63174,39697.1948,41840.30965,43083.01869,45583.58749
"N,N-Dimethyl-2-cyclohexyloxyethylamine",639603.9177,0,1355195.198,0,0,1847721.731,1530963.804,1951333.876,1787975.343,3178671.17,1556439.932,1823523.363,1501693.63,1844314.859,0,1318597.313,1822995.984,1010128.251,1216361.138
"N,N'-Bis(trimethylsilyl)trifluoroacetamidine",549.9360312,0,808.2825619,262.7088546,0,0,0,906.550038,0,336.7847396,0,0,0,0,0,0,117.023545,0,157.3275456
"N,O-Bis(trimethylsilyl)carbamate",6584.812571,2816.01791,5392.422985,0,2183.546087,6285.823032,8745.774341,4080.729154,0,5015.236799,0,683.956629,1647.005102,5487.404931,4785.470068,0,0,4247.591373,4252.144133
Naphthofluorescein,1047660.216,0,0,0,0,0,2779194.913,2523923.832,0,538242.7475,2095177.223,0,0,0,0,0,0,0,1870541.574
