Name,Tissue,"BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics"
Hydantoic acid,Plasma,300.2,73.1%,,,35.3,37.4%,280.4,69.9%,,,51.3,39.8%,3121.0,95.3%,2143.4,94.0%,1792.7,91.7%,,,,,,,,
Hydracrylic acid,Plasma,509.7,82.4%,,,110.2,51.9%,1338.7,94.7%,,,549.4,84.9%,2107.7,90.2%,1022.7,82.4%,1991.2,92.5%,,,,,,,,
Hydroquinidine,Plasma,398.5,77.4%,,,72.1,45.6%,548.3,82.6%,,,115.2,50.8%,1490.3,82.8%,630.3,71.6%,865.5,79.1%,,,,,,,,
Hydroquinone,Plasma,83.0,50.8%,,,114.0,52.4%,0.4,20.5%,,,0.8,16.7%,988.0,74.0%,1021.0,82.3%,601.0,70.3%,,,,,,,,
Indole-3-carboxaldehyde,Plasma,1054.4,92.2%,,,161.4,58.1%,857.0,89.7%,,,156.6,56.0%,140.7,35.6%,141.4,45.0%,55.2,34.2%,,,,,,,,
Indole-3-lactic acid,Plasma,10681.3,99.9%,,,2737.6,99.5%,4640.1,99.6%,,,1691.5,98.0%,1836.2,88.2%,1960.8,93.2%,666.0,72.7%,,,,,,,,
Indole-5-carboxylic acid,Plasma,791.1,88.6%,,,360.9,76.5%,966.5,91.4%,,,573.4,85.5%,2758.9,94.2%,552.5,69.4%,963.9,80.8%,,,,,,,,
"Inosose-2, 1,3,4,5,6-pentakis-",Plasma,2511.7,98.3%,,,748.8,90.1%,714.4,86.9%,,,183.2,58.7%,737.1,67.7%,1548.8,89.8%,344.7,55.5%,,,,,,,,
Isofucosterol,Plasma,2984.5,99.1%,,,490.9,82.6%,874.3,90.0%,,,339.6,74.9%,3716.4,96.9%,5798.6,99.4%,2334.6,94.4%,,,,,,,,
Isopropyl palmitate,Plasma,3986.5,99.6%,,,1216.2,96.4%,3033.6,99.0%,,,1073.2,94.9%,9894.8,99.8%,9893.7,99.9%,7787.2,99.6%,,,,,,,,
Isoxaben,Plasma,73.0,49.4%,,,45.1,40.1%,132.7,54.7%,,,97.9,48.1%,104.2,33.1%,61.6,36.9%,111.6,40.4%,,,,,,,,
Itaconic acid,Plasma,16.8,34.8%,,,2.6,21.6%,10.5,30.2%,,,4.6,22.2%,152.2,36.3%,64.0,37.2%,64.4,35.3%,,,,,,,,
Ketamine,Plasma,269.2,70.9%,,,41.8,39.1%,182.9,59.7%,,,72.0,43.8%,482.3,56.6%,746.5,75.6%,548.5,67.3%,,,,,,,,
L-5-Oxoproline,Plasma,191.1,61.4%,,,10.7,27.5%,942.6,91.1%,,,333.8,74.6%,2052.2,89.7%,1146.7,84.5%,2915.9,96.5%,,,,,,,,
L-Alanine,Plasma,120.0,55.0%,,,51.1,41.2%,22.4,36.5%,,,9.4,26.3%,196.5,39.2%,232.1,51.6%,57.7,34.5%,,,,,,,,
L-Asparagine,Plasma,11.7,32.0%,,,12.3,28.7%,284.0,70.3%,,,115.7,51.0%,101.4,32.5%,18.1,28.3%,317.1,54.2%,,,,,,,,
L-Aspartic acid,Plasma,1159.4,93.3%,,,261.8,70.5%,2150.1,97.8%,,,790.3,90.9%,1040.2,75.1%,1257.0,86.1%,1211.0,85.8%,,,,,,,,
