Name,Tissue,"BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics"
Mrps5,Choroid Plexus,215.2,65.0%,219.0,57.4%,222.0,64.7%,9.8,29.7%,0.0,0.0%,0.3,15.8%,935.5,72.7%,529.6,68.4%,709.8,74.1%,1758.3,85.0%,1354.1,79.3%,1082.8,83.7%,4195.2,83.4%
Shc1,Choroid Plexus,1729.6,96.5%,693.8,84.1%,553.1,84.6%,484.6,80.2%,223.9,57.9%,188.4,59.2%,574.3,60.6%,2607.3,95.9%,850.4,78.9%,3083.7,94.4%,1866.2,86.8%,1557.8,91.5%,6507.7,92.7%
Cope,Choroid Plexus,12.4,32.3%,171.9,51.4%,2.4,21.3%,537.8,82.4%,727.8,84.7%,444.6,80.0%,3424.0,96.2%,13.5,26.8%,693.6,73.5%,266.6,45.3%,1011.6,72.3%,739.3,72.9%,2017.5,63.8%
Slc44a1,Choroid Plexus,1.0,22.4%,0.1,17.4%,0.0,0.0%,6.5,27.8%,1.4,19.5%,0.4,16.1%,30.0,25.0%,27.1,30.9%,18.7,27.2%,2948.0,93.5%,2796.0,93.7%,1616.0,92.1%,7360.0,94.3%
Tmem62,Choroid Plexus,727.6,87.5%,7.6,25.0%,181.2,60.6%,499.2,80.7%,225.4,58.2%,275.2,70.2%,664.4,64.2%,2475.0,95.5%,2456.1,94.9%,757.4,64.1%,986.2,71.5%,164.9,43.3%,1908.4,62.1%
Ndfip1,Choroid Plexus,52.0,45.7%,119.0,46.5%,40.6,38.9%,442.0,78.6%,365.3,68.5%,303.7,72.6%,1341.3,81.1%,371.6,60.3%,1317.3,87.0%,2545.6,91.9%,3859.5,97.2%,2366.9,96.9%,8771.9,96.3%
Nedd4,Choroid Plexus,1230.6,93.9%,971.5,90.7%,775.3,90.5%,853.8,89.7%,847.9,87.4%,502.5,83.6%,2174.4,91.1%,3628.8,97.6%,3017.6,96.6%,4673.7,97.8%,4331.0,98.1%,1996.7,94.9%,11001.4,98.0%
Mob4,Choroid Plexus,,,219.0,56.7%,222.0,65.1%,,,0.0,0.0%,0.0,0.0%,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Rab11fip5,Choroid Plexus,0.1,19.0%,11.7,26.3%,7.3,25.3%,0.2,19.6%,13.6,26.3%,4.8,22.5%,3.6,18.2%,0.7,19.6%,0.3,19.2%,34.1,23.9%,35.7,22.6%,42.2,28.4%,112.0,18.6%
Thyn1,Choroid Plexus,101.4,53.3%,411.4,71.3%,119.5,53.4%,39.6,41.6%,134.2,46.3%,39.8,37.3%,342.4,46.7%,169.7,46.8%,82.9,37.1%,1566.8,83.0%,838.6,67.5%,908.5,79.4%,3313.9,77.5%
Mtor,Choroid Plexus,0.4,20.8%,0.3,17.9%,0.2,15.2%,0.0,0.0%,1.1,19.1%,0.3,15.4%,80.5,30.9%,1.7,20.9%,4.0,22.7%,221.8,42.5%,308.9,45.1%,221.6,47.9%,752.3,38.3%
Trappc14,Choroid Plexus,808.8,89.1%,532.5,77.2%,471.0,81.6%,13.7,32.2%,15.1,26.9%,9.4,26.3%,698.2,65.3%,2689.3,96.2%,347.1,55.6%,5106.8,98.3%,2512.2,92.2%,1837.8,93.9%,9456.8,96.7%
Map9,Choroid Plexus,13.6,33.0%,70.3,41.0%,50.7,41.1%,73.3,47.5%,192.8,52.2%,146.8,55.1%,620.8,61.9%,93.4,40.4%,301.5,53.7%,1238.6,78.0%,1385.8,80.1%,876.7,78.7%,3501.2,78.9%
Agrn,Choroid Plexus,1129.4,93.0%,777.4,86.4%,807.1,91.2%,17.1,34.4%,7.2,23.8%,5.5,23.1%,48.3,27.6%,1852.6,92.3%,37.1,31.6%,3006.7,94.0%,827.7,67.1%,568.8,66.9%,4403.2,84.4%
Exph5,Choroid Plexus,1205.5,93.7%,28.0,32.5%,67.5,44.9%,866.2,89.9%,13.7,26.4%,23.6,33.2%,316.4,45.6%,201.7,49.4%,207.1,48.8%,787.5,66.1%,701.1,61.9%,552.4,66.1%,2040.9,64.2%
Dap3,Choroid Plexus,282.2,72.0%,220.2,58.8%,232.2,67.3%,2.5,24.6%,0.0,0.0%,0.0,0.0%,12.3,21.8%,492.5,67.4%,11.5,25.2%,442.4,53.4%,19.6,19.7%,29.8,25.4%,491.8,32.6%
Morn4,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,8.8%,0.0,9.0%,90.1,31.9%,95.4,31.0%,200.0,46.3%,385.5,29.3%
Dnajc21,Choroid Plexus,175.5,60.0%,219.9,58.7%,179.6,60.3%,53.9,44.5%,170.1,50.0%,125.8,52.6%,795.9,69.4%,773.8,76.8%,402.4,61.7%,682.9,61.3%,651.9,59.5%,415.1,59.6%,1749.9,59.2%
Wbp11,Choroid Plexus,2014.9,97.3%,2264.1,98.5%,1480.0,97.8%,826.3,89.2%,1766.1,97.0%,879.5,92.3%,7021.4,99.5%,6837.4,99.6%,3564.8,98.0%,11132.2,99.9%,8673.6,99.8%,7105.0,100.0%,26910.8,100.0%
Ptges3,Choroid Plexus,23.3,37.4%,0.0,0.0%,4.7,23.4%,7.0,28.3%,0.0,0.0%,1.8,18.5%,0.0,0.0%,241.7,52.6%,229.3,50.0%,4.6,16.7%,8.7,17.0%,0.0,7.1%,13.3,13.0%
Fcf1,Choroid Plexus,448.2,80.4%,7.7,25.2%,35.9,37.6%,444.5,78.8%,27.0,30.9%,176.4,57.7%,447.7,54.2%,542.2,69.1%,432.0,62.9%,871.4,69.4%,877.4,68.8%,611.9,68.5%,2360.8,68.4%
Plgrkt,Choroid Plexus,28.5,39.1%,642.1,81.6%,586.1,85.7%,15.8,33.9%,320.1,65.1%,195.3,59.9%,50.5,28.1%,53.4,35.8%,49.0,33.5%,408.1,52.3%,457.3,51.4%,864.6,78.1%,1730.0,58.8%
Ttf1,Choroid Plexus,837.7,89.7%,398.3,70.4%,418.9,79.1%,1747.9,97.0%,387.9,69.6%,491.0,83.0%,1768.3,87.2%,1029.8,82.5%,1952.2,92.4%,2609.2,92.1%,1857.5,86.8%,1115.1,84.5%,5581.8,89.8%
Ankmy2,Choroid Plexus,,,398.8,70.5%,369.3,77.0%,,,0.0,0.0%,0.0,0.0%,,,,,,,2249.0,89.7%,699.0,61.4%,404.0,58.4%,3352.0,77.8%
Usf3,Choroid Plexus,1414.8,95.2%,1294.8,94.5%,1261.4,96.5%,795.3,88.4%,837.7,87.2%,704.0,89.2%,1714.5,86.7%,1765.9,91.8%,708.7,74.0%,2579.2,92.0%,2574.1,92.7%,1475.9,90.3%,6629.2,93.0%
Arid2,Choroid Plexus,215.0,63.7%,219.0,57.0%,222.0,65.7%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,370.0,59.7%,0.0,9.0%,381.1,50.8%,12.5,18.2%,243.9,49.4%,637.5,36.0%
Zkscan8,Choroid Plexus,399.8,77.5%,504.7,76.1%,381.2,77.6%,0.0,0.0%,0.0,0.0%,12.4,27.8%,50.6,28.2%,1010.2,82.2%,1.1,20.3%,1564.6,83.0%,1491.5,82.1%,838.7,77.5%,3894.8,81.6%
Chmp4c,Choroid Plexus,219.5,66.0%,596.9,80.4%,526.7,84.0%,0.0,0.0%,5.1,22.4%,2.7,20.2%,0.0,0.0%,379.2,61.3%,0.0,9.0%,1182.7,77.0%,200.0,39.4%,129.5,39.8%,1512.2,54.5%
Zfp975,Choroid Plexus,415.5,78.6%,1314.3,94.7%,1134.9,95.8%,218.1,64.9%,1014.1,90.5%,855.5,91.8%,574.7,60.7%,867.5,79.2%,390.5,61.1%,870.4,69.4%,823.6,66.9%,423.2,60.1%,2117.2,65.0%
Bhmt2,Choroid Plexus,406.1,77.8%,215.3,56.2%,227.5,66.7%,48.9,43.5%,71.4,39.0%,56.6,40.9%,628.6,63.0%,754.4,76.0%,146.8,43.6%,1024.0,73.2%,403.7,49.3%,526.1,65.0%,1953.8,62.9%
Silc1,Choroid Plexus,0.0,0.0%,560.7,78.7%,590.5,85.9%,215.0,63.5%,549.3,78.3%,610.7,86.5%,367.0,48.8%,0.0,8.8%,369.0,58.6%,298.8,47.2%,178.1,37.9%,1009.8,81.9%,1486.8,54.3%
Fn3krp,Choroid Plexus,2213.8,97.6%,5082.1,99.9%,5007.6,100.0%,11.4,30.9%,844.6,87.2%,712.1,89.3%,294.1,44.5%,4687.4,98.8%,43.1,32.9%,2085.7,88.5%,1003.1,72.0%,645.7,69.6%,3734.4,80.1%
Cog8,Choroid Plexus,478.3,81.5%,345.2,68.3%,328.6,74.7%,271.2,69.6%,329.1,65.8%,265.1,69.4%,132.8,35.0%,557.3,69.6%,563.0,68.2%,1769.2,85.0%,1964.7,87.7%,1066.6,83.1%,4800.4,86.3%
Inpp5a,Choroid Plexus,4.6,27.2%,0.7,19.0%,0.7,17.4%,430.0,77.9%,444.1,72.9%,446.0,80.3%,3.2,18.0%,6.3,24.1%,738.2,75.3%,67.4,29.2%,1261.0,78.0%,912.1,79.5%,2240.4,66.7%
Serbp1,Choroid Plexus,240.3,68.3%,1785.5,97.5%,1155.6,96.0%,127.5,54.3%,668.7,83.2%,455.6,80.9%,1517.4,83.4%,658.0,72.9%,431.1,62.9%,3357.7,95.1%,2320.1,90.3%,1692.9,92.9%,7370.7,94.3%
Fsbp,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,286.7,70.5%,156.8,48.7%,162.7,56.7%,0.0,0.0%,0.0,8.8%,315.3,54.1%,94.9,32.6%,335.0,46.4%,93.1,35.8%,523.0,33.5%
H2az2,Choroid Plexus,0.0,0.0%,686.5,83.8%,298.6,73.4%,,,608.0,80.9%,164.7,57.0%,,,0.0,8.8%,,,0.0,7.1%,0.0,6.8%,758.0,73.5%,758.0,38.6%
Poglut1,Choroid Plexus,,,241.1,61.0%,59.1,43.2%,231.2,66.7%,1322.2,94.4%,1197.0,95.9%,,,,,478.7,65.3%,254.2,44.7%,1148.1,75.8%,249.0,49.8%,1651.3,57.4%
Pkn2,Choroid Plexus,915.1,91.0%,1056.3,92.0%,852.5,92.1%,253.1,68.6%,348.7,67.2%,250.6,68.3%,779.4,69.1%,1370.2,88.1%,479.1,65.3%,5847.6,99.0%,3733.1,96.9%,2485.9,97.4%,12066.6,98.7%
Wdr38,Choroid Plexus,,,0.0,0.0%,0.0,0.0%,,,0.0,0.0%,0.0,0.0%,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
4930412C18Rik,Choroid Plexus,51.6,45.6%,174.0,51.6%,111.5,52.1%,216.4,64.7%,226.5,58.4%,226.1,65.4%,367.0,47.9%,95.7,40.7%,378.3,60.3%,752.8,63.9%,530.4,54.6%,290.1,52.2%,1573.3,56.1%
Las1l,Choroid Plexus,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Pak2,Choroid Plexus,1327.2,94.6%,550.0,78.3%,667.1,88.1%,245.0,68.1%,159.1,48.9%,174.6,57.5%,1106.4,76.8%,1760.1,91.8%,450.5,63.8%,3798.2,96.6%,2194.4,89.4%,2532.0,97.5%,8524.6,95.9%
Hmces,Choroid Plexus,1985.5,97.3%,985.0,91.0%,963.5,94.1%,19.3,35.3%,19.7,28.8%,17.1,30.7%,1812.9,88.1%,3770.2,97.9%,628.9,71.5%,4877.2,98.0%,2450.1,91.7%,1644.2,92.4%,8971.6,96.6%
Slc25a13,Choroid Plexus,39.2,42.1%,384.7,69.6%,61.2,43.7%,938.8,91.0%,1139.2,92.2%,913.2,92.8%,265.7,43.4%,107.8,41.9%,1711.0,90.7%,1474.0,81.3%,3842.8,97.1%,1645.2,92.4%,6962.0,93.7%
Dhx29,Choroid Plexus,380.5,76.6%,4.1,22.7%,65.5,44.4%,65.6,46.7%,0.4,18.3%,12.1,27.4%,893.8,71.8%,1401.4,88.5%,579.2,68.9%,1166.5,76.6%,915.8,69.7%,604.1,68.1%,2686.5,71.8%
Rpn2,Choroid Plexus,1733.8,96.6%,2670.5,99.2%,2095.1,99.1%,266.6,69.4%,1693.1,96.6%,890.6,92.6%,505.4,58.0%,3019.4,97.0%,485.9,65.4%,5633.1,98.9%,3467.3,96.2%,2345.9,96.7%,11446.3,98.3%
Gm43339,Choroid Plexus,2522.2,98.4%,1077.4,92.3%,1209.4,96.3%,749.7,87.6%,552.2,78.6%,385.1,77.3%,1118.2,77.0%,1081.5,83.5%,598.7,69.8%,603.1,58.8%,311.3,45.2%,188.0,45.4%,1102.4,47.8%
Cebpz,Choroid Plexus,13.1,32.8%,196.4,54.2%,127.4,54.8%,146.6,56.4%,850.8,87.7%,703.8,89.1%,334.3,46.4%,91.0,40.1%,449.6,63.7%,1182.8,77.1%,2438.1,91.4%,1076.4,83.4%,4697.3,85.7%
St6galnac4,Choroid Plexus,19.9,35.8%,40.5,35.7%,21.0,32.6%,140.7,55.8%,226.3,58.4%,177.7,58.0%,20.2,23.4%,38.8,33.3%,351.4,55.9%,933.5,71.0%,1021.8,72.6%,1349.9,88.6%,3305.3,77.4%
Irf3,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,79.1,48.2%,49.6,35.1%,9.0,26.1%,0.0,0.0%,0.0,8.8%,203.2,48.2%,22.7,21.6%,33.6,22.2%,7.1,18.2%,63.4,15.7%
Prkaca,Choroid Plexus,234.1,67.8%,318.7,66.8%,260.4,70.3%,29.6,38.8%,53.5,36.3%,18.6,31.5%,495.3,57.6%,452.8,65.6%,114.0,40.6%,1177.1,76.9%,1071.4,74.0%,1956.2,94.6%,4204.7,83.5%
Xpc,Choroid Plexus,2.5,25.0%,535.4,77.4%,34.4,37.0%,105.7,51.6%,335.3,66.5%,173.0,57.3%,34.1,25.8%,23.2,29.6%,138.3,42.7%,412.8,52.4%,503.7,53.5%,320.8,53.7%,1237.3,50.2%
Scyl1,Choroid Plexus,62.3,47.7%,68.9,40.6%,43.5,39.4%,139.5,55.7%,52.6,36.1%,54.8,40.4%,387.8,51.5%,196.6,48.9%,422.3,62.5%,1219.6,77.6%,1170.8,76.5%,792.5,75.8%,3182.9,76.5%
Zfp219,Choroid Plexus,2.8,25.3%,0.0,0.0%,1.0,18.6%,2371.2,98.1%,818.3,86.9%,1273.7,96.4%,221.2,41.2%,80.1,39.2%,5470.6,99.3%,1269.4,78.5%,1939.5,87.5%,1117.4,84.6%,4326.3,84.1%
Ankrd34a,Choroid Plexus,,,,,,,218.6,64.9%,227.8,58.8%,227.1,65.7%,,,,,374.0,59.7%,12.8,19.3%,144.1,35.3%,18.0,22.0%,174.8,22.1%
Ccnd1,Choroid Plexus,415.2,78.5%,384.9,69.7%,387.8,78.0%,696.0,86.6%,468.2,74.6%,380.1,76.9%,67.0,30.0%,715.2,74.6%,1716.7,90.8%,977.0,72.1%,2860.2,94.0%,826.7,77.3%,4663.8,85.5%
Hmga1,Choroid Plexus,170.6,59.7%,752.5,85.9%,605.1,86.4%,0.0,0.0%,0.0,0.0%,5.4,22.9%,0.0,0.0%,2161.0,94.0%,0.0,9.0%,187.7,40.2%,31.5,21.9%,21.3,23.0%,240.5,24.9%
Ankrd12,Choroid Plexus,668.7,86.5%,790.4,86.8%,776.0,90.6%,1261.7,94.3%,697.6,84.0%,740.3,90.0%,3431.4,96.3%,1149.7,84.6%,2243.5,94.0%,1260.8,78.3%,1730.3,85.3%,758.5,73.6%,3749.6,80.4%
Ipo4,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,8.8%,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Ddit4,Choroid Plexus,0.0,0.0%,33.0,34.1%,30.6,36.2%,215.6,64.6%,246.6,60.8%,244.3,67.5%,367.0,49.8%,0.0,8.8%,370.3,59.5%,547.9,57.2%,580.5,56.6%,715.0,72.0%,1843.3,60.8%
Mterf4,Choroid Plexus,8.6,30.1%,11.0,26.1%,10.9,27.9%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,16.1,27.5%,0.0,9.0%,42.6,25.4%,176.5,37.8%,101.1,36.7%,320.2,27.5%
Rai14,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.1,15.0%,1341.8,94.8%,1647.1,96.1%,1685.3,97.9%,0.0,0.0%,0.0,8.8%,3076.6,96.7%,62.5,28.5%,261.6,43.2%,6.9,18.1%,331.0,27.9%
Tpgs1,Choroid Plexus,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Cdr2l,Choroid Plexus,,,,,,,,,,,,,,,,,,,739.9,63.6%,699.6,61.8%,446.3,61.4%,1885.7,61.6%
Cep128,Choroid Plexus,,,,,,,,,,,,,,,,,,,,,,,,,,
Gm38037,Choroid Plexus,,,0.0,0.0%,0.0,0.0%,,,0.0,0.0%,0.0,0.0%,,,,,,,,,,,,,,
Thra,Choroid Plexus,412.0,78.2%,277.8,63.9%,211.0,63.6%,591.7,83.8%,586.7,79.9%,479.2,82.3%,462.6,55.2%,1059.9,82.9%,1496.8,89.1%,1732.1,84.7%,2615.4,92.9%,1357.1,88.6%,5704.6,90.3%
Hdac9,Choroid Plexus,,,305.5,65.7%,269.9,70.8%,,,72.5,39.2%,33.8,36.1%,,,,,,,,,,,,,,
Zswim5,Choroid Plexus,,,,,,,63.1,46.3%,121.0,45.1%,88.6,46.7%,,,,,108.3,40.0%,317.9,48.4%,402.0,49.3%,192.4,45.6%,912.3,43.7%
Mfsd2a,Choroid Plexus,247.0,69.3%,60.1,39.7%,59.7,43.5%,0.0,0.0%,0.0,0.0%,0.0,0.0%,734.0,67.0%,1260.5,86.2%,0.0,9.0%,1465.4,81.2%,638.5,58.6%,1544.1,91.2%,3648.0,79.6%
Gm42463,Choroid Plexus,221.0,66.4%,229.8,59.9%,227.2,66.7%,,,,,,,,,389.4,62.1%,,,125.0,35.5%,71.7,28.4%,65.9,32.7%,262.5,25.7%
Gm15408,Choroid Plexus,139.0,56.7%,367.7,68.9%,232.5,67.4%,69.4,47.1%,546.0,78.1%,383.9,77.1%,466.2,55.5%,238.7,52.1%,196.0,47.5%,1905.5,86.8%,1770.4,85.7%,1373.5,89.0%,5049.4,87.5%
Ilkap,Choroid Plexus,,,219.0,57.7%,222.0,65.9%,,,222.0,56.7%,223.0,64.7%,,,,,,,2230.0,89.6%,1398.0,80.3%,808.0,76.5%,4436.0,84.5%
Galnt15,Choroid Plexus,0.0,0.0%,666.8,82.8%,12.1,28.6%,,,,,0.0,0.0%,,,0.0,8.8%,,,43.6,25.5%,19.0,19.6%,227.6,48.2%,290.2,26.4%
Kin,Choroid Plexus,866.7,90.4%,1413.2,95.6%,1149.5,95.9%,10.5,30.1%,71.0,38.9%,62.5,41.8%,734.0,66.9%,1176.3,85.1%,152.5,44.1%,625.4,59.3%,536.1,54.8%,274.1,51.2%,1435.6,53.5%
Smyd2,Choroid Plexus,9.8,31.1%,0.4,18.1%,0.5,17.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,731.2,66.2%,62.2,36.9%,30.1,30.3%,253.6,44.6%,215.6,40.5%,479.1,62.9%,948.3,44.3%
Por,Choroid Plexus,33.9,40.4%,668.4,82.9%,46.2,40.2%,1356.5,94.8%,971.0,89.6%,729.6,89.8%,954.4,73.5%,477.7,66.8%,1379.5,87.7%,200.7,41.2%,440.5,50.6%,211.4,47.3%,852.6,42.4%
Tmem87a,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,8.8%,0.0,9.0%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Atf6b,Choroid Plexus,613.4,85.3%,711.2,84.6%,589.2,85.8%,218.6,65.0%,649.6,82.3%,395.4,77.8%,1254.0,79.4%,2019.4,93.4%,1108.8,84.1%,7309.6,99.5%,5842.9,99.0%,3827.9,99.5%,16980.4,99.5%
Rpl18a,Choroid Plexus,0.0,0.0%,238.1,60.7%,217.9,64.2%,0.0,0.0%,26.3,30.7%,15.9,29.9%,0.0,0.0%,0.0,8.8%,0.0,9.0%,103.0,33.7%,35.7,22.5%,51.2,29.8%,189.9,23.0%
Tet1,Choroid Plexus,235.6,68.0%,220.9,59.0%,225.2,66.4%,1.6,23.1%,0.0,0.0%,0.0,0.0%,1.3,17.5%,381.6,61.5%,0.4,19.4%,893.3,69.9%,190.1,38.6%,290.7,52.2%,1374.1,52.3%
Eid2b,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,,,,,,,,,0.0,8.8%,,,4.3,16.5%,3.7,15.5%,530.1,65.2%,538.2,33.7%
Iqcc,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,8.8%,0.0,9.0%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Arhgef7,Choroid Plexus,10.6,31.5%,60.3,39.8%,40.4,38.8%,,,,,,,,,73.4,38.1%,,,419.1,52.7%,61.2,27.0%,684.4,71.2%,1164.6,48.9%
Pcgf5,Choroid Plexus,241.5,68.6%,251.7,61.6%,243.8,68.3%,107.9,52.1%,695.5,83.7%,380.5,76.9%,31.9,25.4%,362.5,58.2%,255.6,51.1%,307.1,47.6%,463.4,51.7%,286.1,51.8%,1056.6,46.9%
Grpel1,Choroid Plexus,221.5,66.5%,712.7,84.6%,168.2,59.0%,277.4,69.9%,355.6,67.7%,237.8,66.9%,1565.7,84.0%,952.7,81.0%,990.6,81.6%,394.6,51.7%,362.1,47.7%,197.4,46.1%,954.1,44.6%
Cspg5,Choroid Plexus,0.0,18.7%,57.9,39.0%,37.3,38.0%,13.7,32.4%,238.8,59.9%,173.1,57.4%,113.3,34.1%,1.5,20.5%,93.0,38.3%,379.3,50.7%,928.9,70.2%,1264.2,87.6%,2572.4,70.5%
Klc1,Choroid Plexus,1666.1,96.4%,760.5,86.0%,764.0,90.4%,0.0,0.0%,123.8,45.4%,16.9,30.6%,0.0,0.0%,1951.7,93.2%,0.0,9.0%,986.8,72.6%,323.8,46.0%,287.2,51.9%,1597.8,56.5%
Msh2,Choroid Plexus,282.5,72.0%,252.1,61.6%,223.2,66.1%,62.2,46.1%,23.9,30.1%,16.2,30.1%,207.2,39.9%,449.8,65.4%,102.8,39.4%,1699.0,84.5%,754.9,63.8%,533.5,65.3%,2987.5,74.5%
Kcnk5,Choroid Plexus,0.0,0.0%,148.0,48.4%,126.5,54.6%,0.0,0.0%,257.2,61.7%,177.1,57.9%,,,2.9,22.0%,0.0,9.0%,410.8,52.4%,514.8,53.9%,238.0,48.8%,1163.7,48.9%
Psmd8,Choroid Plexus,65.7,48.1%,91.7,43.4%,36.3,37.8%,244.4,68.0%,289.7,63.2%,237.3,66.9%,1264.1,79.5%,279.5,55.0%,772.1,77.2%,1905.3,86.8%,2121.5,89.0%,2696.7,98.1%,6723.5,93.3%
Repin1,Choroid Plexus,2.9,25.7%,393.2,70.2%,371.7,77.0%,0.0,0.0%,152.1,48.4%,117.4,51.4%,0.0,0.0%,19.4,28.9%,0.0,9.0%,211.2,41.8%,143.7,35.2%,241.0,49.1%,595.9,34.8%
Cdkl3,Choroid Plexus,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastk,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,219.9,65.4%,238.4,59.8%,207.9,61.1%,,,0.0,8.8%,417.6,62.3%,426.3,52.9%,1357.2,79.5%,753.1,73.1%,2536.6,70.3%
Tubgcp2,Choroid Plexus,0.2,19.9%,,,0.0,0.0%,2113.8,97.7%,6.2,23.0%,831.6,91.6%,9.9,20.9%,11.7,26.2%,3098.4,96.9%,105.6,33.9%,289.6,44.1%,162.9,42.9%,558.1,34.1%
mt-Cytb,Choroid Plexus,0.0,0.0%,665.0,82.4%,7.1,25.1%,0.0,0.0%,51.9,35.7%,19.1,31.7%,367.0,49.0%,0.0,8.8%,0.0,9.0%,30.8,23.5%,26.3,20.9%,17.4,21.8%,74.5,16.7%
Adcy9,Choroid Plexus,751.7,88.1%,227.9,59.4%,359.0,76.4%,2444.8,98.2%,2366.4,98.4%,2408.4,99.1%,1246.0,79.0%,1344.7,87.8%,3219.3,97.2%,473.7,54.5%,707.0,62.1%,409.2,59.1%,1589.9,56.4%
1110004F10Rik,Choroid Plexus,109.9,54.2%,449.2,73.4%,306.8,73.8%,55.4,44.8%,161.5,49.3%,127.8,53.0%,253.0,42.6%,422.3,64.0%,228.5,49.8%,1170.1,76.7%,699.7,61.9%,350.0,55.4%,2219.9,66.3%
Ibtk,Choroid Plexus,4392.4,99.6%,5055.1,99.9%,4690.6,99.9%,1498.9,95.6%,4402.0,99.7%,3126.1,99.7%,718.7,65.7%,2978.9,96.9%,763.6,76.9%,1824.9,85.6%,1421.3,80.8%,1806.5,93.6%,5052.8,87.5%
Fam13b,Choroid Plexus,56.6,46.7%,688.5,83.9%,593.1,86.0%,970.8,91.5%,2165.9,98.1%,1759.4,98.3%,155.1,36.7%,101.0,41.5%,1784.5,91.6%,3808.0,96.7%,4185.4,97.7%,2597.2,97.7%,10590.5,97.7%
Ctdspl2,Choroid Plexus,27.9,38.7%,424.7,72.0%,332.5,75.0%,2.0,23.8%,385.7,69.6%,191.3,59.5%,60.5,29.3%,39.2,33.5%,9.8,24.8%,231.4,43.3%,135.9,34.6%,116.7,38.7%,484.0,32.3%
Pknox2,Choroid Plexus,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,0.0%,0.0,8.8%,0.0,9.0%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Btbd2,Choroid Plexus,246.1,69.2%,409.2,71.1%,336.1,75.3%,377.0,75.9%,300.3,63.9%,255.8,68.6%,444.6,54.0%,417.9,63.6%,548.7,67.4%,1366.2,80.0%,1529.5,82.6%,1466.7,90.2%,4362.4,84.3%
Bclaf1,Choroid Plexus,30.9,39.9%,110.0,45.6%,88.0,48.1%,158.6,57.3%,576.5,79.4%,462.6,81.3%,139.4,35.4%,62.9,37.1%,547.6,67.2%,1088.9,74.8%,2182.6,89.4%,638.8,69.4%,3910.3,81.7%
Gin1,Choroid Plexus,0.0,0.0%,0.2,17.5%,0.0,0.0%,347.5,74.3%,159.4,49.0%,127.7,53.0%,83.3,31.0%,0.1,17.9%,569.2,68.5%,884.2,69.8%,1782.5,85.8%,1180.6,85.7%,3847.4,81.1%
