ID,101,100,102,896,897,T0.5,T0.6,T0.7,T0.8,UNK12
ENSMUSG00000000290-S,,,,2.1878468093344487,1.5316181908280644,3.298004348180618,2.080992414088247,1.0244644241439549,0.8966708824695038,3.151454677338699
ENSMUSG00000000308-S,,,,7.965423438069078,7.80222020017785,8.013099974140927,7.437286166197515,8.048334507213658,7.780626885161573,8.134095772973465
ENSMUSG00000000530-S,,,,6.195946173639724,5.593278585226076,5.81306617174954,6.214038969790307,6.070154466255981,5.3139503095274065,5.862202199534592
ENSMUSG00000000732-S,,,,2.1878468093344487,1.939846798669194,2.70536152666095,1.6571770513440311,0.0,0.8966708824695038,2.5676535256117945
ENSMUSG00000000782-S,,,,3.0201464606670347,3.2494373180102527,1.6820721526231242,4.188393162374524,2.625509064456788,2.4083924121471316,3.151454677338699
ENSMUSG00000000792-S,,,,3.0201464606670347,4.171518637730202,3.8332251737724303,3.2654295374315025,3.042544284410344,3.6091572619433543,3.681254252786181
ENSMUSG00000000823-S,,,,5.969050566682266,6.187090248533806,5.349079761385718,6.05954187645579,5.802524540324048,5.7432902963036,5.623479227188019
ENSMUSG00000000826-S,,,,8.783946192592362,8.925011336809604,9.082619731988444,8.743375494509392,9.03142017731839,9.105400435220494,9.00438393553882
ENSMUSG00000001016-S,,,,6.286365108801842,6.129800781191336,6.228773530953256,6.171559037118847,6.587166567872407,6.2309672640563925,6.579332938184785
ENSMUSG00000001089-S,,,,7.162391201398027,7.223531632679203,7.5771578063264275,6.4094846537696055,7.114253973797595,7.294431825602897,7.586641896896014
ENSMUSG00000001098-S,,,,5.044667206815635,4.876098952759604,4.660936406967486,5.963211699267759,5.134579706307527,5.375141946360958,5.024232889743768
ENSMUSG00000001270-S,,,,11.740171510000328,11.664503506443976,11.810387994263976,11.915141048568604,11.794601395320106,11.41797996080886,12.022578245914552
ENSMUSG00000001300-S,,,,5.409037165835657,5.380543705089425,5.226763017384923,6.515187078054454,5.256684122455728,5.433843413489333,6.088032165892827
ENSMUSG00000001552-S,,,,5.996096692001416,5.75357196721431,6.1635857714445415,6.976492968534085,5.930355012261218,5.917951457070484,5.910284850410901
ENSMUSG00000001642-S,,,,3.0201464606670347,2.517968120511531,1.6820721526231242,2.408161705255035,1.6174904035785849,2.8140077179681233,2.305315480701963
ENSMUSG00000001763-S,,,,4.036539844336298,4.507645139005893,4.04108489557414,2.6746796934933665,4.631493946766409,4.045422674552221,4.302179206187867
ENSMUSG00000001946-S,,,,5.941487706502577,4.921819046364764,5.045654161258824,5.886493299990459,5.256684122455728,5.462322099446743,5.189223543972565
ENSMUSG00000001964-S,,,,6.308111331133143,6.205692104324972,6.228773530953256,6.833957166312,5.9784758302566035,6.263697532218725,5.979531420455248
ENSMUSG00000002012-S,,,,6.451794814887973,7.109618644717658,6.923437315344327,6.690897786628342,7.449117979273206,6.9367421276706835,7.292218857384274
ENSMUSG00000002031-S,,,,4.402727738483788,4.6228566908898525,4.945792591080952,4.803477457010396,4.904855646645649,4.792580061244942,5.0672829508884085
ENSMUSG00000002032-S,,,,5.409037165835657,5.09145606891933,4.660936406967486,4.858072558399522,5.047029067347918,5.3139503095274065,5.265143376514159
ENSMUSG00000002109-S,,,,3.9283702031886953,3.0983517460910273,3.7168667294892015,2.6746796934933665,3.042544284410344,2.1528517044067006,2.7895483404201227
ENSMUSG00000002210-S,,,,5.409037165835657,5.130922159841632,4.893144085689784,4.858072558399522,5.775540810837221,5.183183166298148,4.886792810729078
ENSMUSG00000002266-S,,,,0.0,3.0983517460910273,1.0734381410836893,1.6571770513440311,0.0,1.4454776237320806,0.9896395548137256
ENSMUSG00000002393-S,,,,4.555994926802841,5.169337309452549,4.945792591080952,5.777411652561857,5.369255652649587,4.792580061244942,4.979858597164796
ENSMUSG00000002459-S,,,,7.309798305172879,7.268462915203849,6.910250538136318,6.96410164011183,7.491190153382286,7.072251126787723,6.786746101206287
ENSMUSG00000002732-S,,,,2.5214694711790284,3.2494373180102527,2.437699225703303,0.0,1.6174904035785849,0.8966708824695038,1.571131973891716
ENSMUSG00000002797-S,,,,5.044667206815635,5.050879913235912,5.5323838392534155,5.0104586066119134,5.256684122455728,5.183183166298148,5.227682799663062
ENSMUSG00000002968-S,,,,6.371449832714428,6.620463497047351,6.665396667095856,5.98790392997914,6.829446786513649,6.247425214658924,6.28325003808987
ENSMUSG00000002996-S,,,,5.66640142861484,5.380543705089425,4.3840474789020325,5.659402799065397,4.690467266763643,4.7470084774202475,5.227682799663062
ENSMUSG00000003198-S,,,,3.811428095751732,3.732502121177352,3.451538611518439,3.683352025606547,3.8524636464395727,2.1528517044067006,2.5676535256117945
ENSMUSG00000003402-S,,,,6.329534626975396,6.346455629505572,6.828493763809077,6.613670850626392,6.587166567872407,6.542394903744575,6.968053779433193
ENSMUSG00000003436-S,,,,2.792247919928092,2.9295728265851197,2.931050521876692,4.188393162374524,2.849043379169408,3.6091572619433543,2.7895483404201227
ENSMUSG00000003500-S,,,,5.969050566682266,6.129800781191336,6.445371160715401,6.926275987743724,6.092191900359458,6.417058519099321,6.149420064349307
ENSMUSG00000003657-S,,,,1.7531052066154809,4.7295441425461515,4.596535307053573,4.271193757560183,3.5036083467238193,4.438449685700989,4.6804492949194545
ENSMUSG00000003808-S,,,,7.011506693136518,7.017863535333331,7.409218766718064,7.060374352062666,7.44055428489455,7.090610897133725,7.354369778701918
ENSMUSG00000004071-S,,,,8.28345483464016,8.374789057462763,8.464820094384852,8.382801701837998,8.125159769783387,8.281862139339555,8.53384872873628
ENSMUSG00000004266-S,,,,2.1878468093344487,3.5110943465210323,3.451538611518439,4.007008348682081,0.0,3.2656842343095707,2.981820100800717
ENSMUSG00000004508-S,,,,5.144743080073491,6.02895316096172,5.497539012643952,5.3136732009422945,4.904855646645649,4.7470084774202475,5.707519785720506
ENSMUSG00000004530-S,,,,7.7910813423838015,7.963933942374762,7.6661387049861585,7.296128000450852,7.44055428489455,7.722948405839837,7.571769733467076
ENSMUSG00000004929-S,,,,4.481395701641587,3.83164374781175,4.781707059287405,4.271193757560183,5.134579706307527,4.699950300997299,4.734867257060523
ENSMUSG00000004947-S,,,,3.9283702031886953,3.83164374781175,1.6820721526231242,4.858072558399522,3.8524636464395727,4.118819223500774,4.372518696933413
ENSMUSG00000005087-S,,,,3.39002549525068,1.939846798669194,2.70536152666095,4.561745944895255,2.0365428043664457,1.8420916757217696,1.571131973891716
ENSMUSG00000005268-S,,,,1.7531052066154809,0.0,0.0,1.6571770513440311,0.0,0.8966708824695038,2.305315480701963
ENSMUSG00000005506-S,,,,9.250579576127516,9.101762503834548,8.975909200528163,8.923764955624875,9.13058190761168,9.089513072730274,9.018162980393164
ENSMUSG00000006235-S,,,,4.626925670761378,4.315493310162991,3.7168667294892015,4.746734808989866,4.045535688217926,3.7076029991272086,1.9844312973810097
ENSMUSG00000006575-S,,,,9.178623229853454,9.048656529067632,9.137404308170884,8.881561603373777,9.2431963310763,9.271518233909823,9.227166133936349
ENSMUSG00000006587-S,,,,0.0,0.0,2.437699225703303,2.6746796934933665,2.0365428043664457,1.4454776237320806,2.305315480701963
ENSMUSG00000006673-S,,,,5.044667206815635,5.803275643832191,6.228773530953256,5.462044292425836,5.748042750713369,5.766314813340103,6.149420064349307
ENSMUSG00000006941-S,,,,7.999236525985677,7.908236896510743,8.371682258454673,7.735845665730882,7.868488725116597,8.212303532902014,8.113705030298751
ENSMUSG00000007888-S,,,,0.0,0.96017781974354,2.437699225703303,0.0,1.6174904035785849,1.8420916757217696,1.9844312973810097
ENSMUSG00000008489-S,,,,7.814061560298843,7.952965226262418,8.09696449102588,7.0719689842062925,7.961212241297775,8.080723770000276,8.159185486823358
ENSMUSG00000009894-S,,,,9.145788759848791,8.963776621749323,9.460517163596789,9.2283583762225,9.585675083249631,9.326773412494385,9.38011459133082
ENSMUSG00000010025-S,,,,5.144743080073491,5.130922159841632,4.305643998496876,5.71961349329045,4.133174301385899,4.600962596990739,3.788054490215815
ENSMUSG00000011306-S,,,,5.825647719890496,6.070141934904289,5.663911445350216,5.596569362094286,5.8550235361182015,5.958501814593637,5.812461618212615
ENSMUSG00000011752-S,,,,2.792247919928092,3.732502121177352,3.7168667294892015,2.6746796934933665,4.133174301385899,4.548799514711809,4.372518696933413
ENSMUSG00000012848-S,,,,9.178623229853454,9.152982839550765,9.034814859532991,9.1374799559457,8.999709221974191,8.89692029108794,9.186253931633328
ENSMUSG00000013698-S,,,,9.163791043393362,9.504295836898203,9.646956211397658,9.21011031032638,9.564155555925824,9.434910542547271,9.660468094402203
ENSMUSG00000013736-S,,,,4.820923400611872,5.050879913235912,4.305643998496876,4.423772008352842,4.854170744149985,5.4047912205442765,5.301655830271923
ENSMUSG00000014767-S,,,,4.137161815227484,4.24530123470215,4.134766250221858,5.938089482339241,4.80164013442276,4.548799514711809,4.302179206187867
ENSMUSG00000015133-S,,,,2.1878468093344487,1.939846798669194,1.0734381410836893,0.0,2.3608744879735837,2.1528517044067006,2.305315480701963
ENSMUSG00000015342-S,,,,4.991899588549008,4.921819046364764,4.596535307053573,5.496869708091795,4.133174301385899,4.118819223500774,4.6804492949194545
ENSMUSG00000015377-S,,,,6.219087704031037,5.4445920537266215,5.868662415205771,6.480806310168945,5.571045223435882,5.6223105400162705,5.503221411017754
ENSMUSG00000015405-S,,,,2.792247919928092,2.517968120511531,2.1088013333513045,0.0,2.3608744879735837,0.8966708824695038,0.0
ENSMUSG00000015668-S,,,,5.66640142861484,5.130922159841632,5.268698155077701,5.10378337839667,5.256684122455728,5.001060685730714,5.7609446770645105
ENSMUSG00000015843-S,,,,8.353100739493271,7.481907092667248,7.658272533398244,8.21516075824396,7.849206821968935,7.20457142143638,7.455055272298145
ENSMUSG00000015937-S,,,,7.759860321824114,7.419529978024022,7.390348075583331,7.771837797400765,7.491190153382286,7.668989514244413,7.615934044701167
ENSMUSG00000016087-S,,,,2.5214694711790284,3.0983517460910273,3.298004348180618,5.0104586066119134,2.3608744879735837,3.6091572619433543,3.151454677338699
ENSMUSG00000016386-S,,,,7.895322692499715,7.947449435950583,7.560372864980482,8.199389334861717,7.727768231534347,7.60017556321616,7.502879960416208
ENSMUSG00000016541-S,,,,7.895322692499715,8.033267223238123,7.943606383090593,7.806953815768561,8.065144954053736,8.174074128556558,8.362971174518623
ENSMUSG00000016833-S,,,,5.66640142861484,5.648712294233723,5.81306617174954,6.149840617149273,5.905679006818678,5.6223105400162705,6.1087863902294846
ENSMUSG00000016933-S,,,,6.685741501760474,6.578258976115604,6.463540120114827,6.44558617288255,6.2958204626854135,6.48802941030017,6.623269808448586
ENSMUSG00000017491-S,,,,6.600191559769663,6.578258976115604,6.40833204271381,7.793009809027679,6.706259891358322,5.696108675407122,6.088032165892827
ENSMUSG00000018411-S,,,,10.558099658185911,10.52012077374067,10.558960294849678,10.341741874321862,10.596347534830931,10.732389701984964,10.50179994030429
ENSMUSG00000018412-S,,,,5.941487706502577,5.621261669511126,5.841132086649372,5.6283281252163055,5.775540810837221,5.6223105400162705,5.707519785720506
ENSMUSG00000018574-S,,,,4.481395701641587,5.050879913235912,5.387651188492997,5.191436223004342,4.80164013442276,5.3139503095274065,5.534238621210172
ENSMUSG00000018809-S,,,,3.811428095751732,3.732502121177352,3.1261630962833884,2.408161705255035,4.368061320271338,3.886378258490339,2.305315480701963
ENSMUSG00000018858-S,,,,6.350644446931225,6.070141934904289,6.4269704642035235,5.426357382629078,6.474230735778307,6.2309672640563925,6.188940567323957
ENSMUSG00000018920-S,,,,1.127908297400936,0.0,2.1088013333513045,1.0544969576130625,2.3608744879735837,0.0,1.9844312973810097
ENSMUSG00000018995-S,,,,4.555994926802841,3.0983517460910273,3.8332251737724303,4.100549486834081,3.7452856327273945,3.6091572619433543,3.3032253887584098
ENSMUSG00000019146-S,,,,8.60665183639434,8.427248025434356,8.982224281228431,7.771837797400765,9.195641672969982,8.233112370794558,8.16910046099336
ENSMUSG00000019158-S,,,,6.685741501760474,7.017863535333331,7.15348767827996,6.480806310168945,6.677395481765519,6.996382376676788,7.21774762029843
ENSMUSG00000019188-S,,,,7.0635747178760715,6.714389295250783,7.10801083926455,6.792508879803185,6.880992311441046,6.956897399824481,7.21774762029843
ENSMUSG00000019820-S,,,,7.011506693136518,6.790299785395586,7.024804807185966,7.691435262354618,7.187733817473825,6.515468225693602,7.129098791598896
ENSMUSG00000019843-S,,,,7.341778116651056,7.435378914425463,6.828493763809077,7.735845665730882,7.499459336626558,7.408592268494638,6.786746101206287
