ID,29,3297,3353,3354,3675,3678,3679,3681,3687,3680,UNK5,UNK6,UNK11
ENSMUSG00000000290-S,2.0338951766726954,,2.730763956111838,0.0,0.93383544022554,0.0,,0.0,3.4524425764534112,,,,3.5264248645147855
ENSMUSG00000000308-S,7.275945034380096,,7.598588612428087,7.985668738705395,7.870667267137144,8.091473369693407,,8.038169949256611,8.078917117735399,,,,7.964177695876749
ENSMUSG00000000530-S,6.12651355185525,,6.300222095052725,5.817122358783129,5.932698193507975,5.596920486645692,,4.791544335231516,5.516039750261212,,,,5.981406046854218
ENSMUSG00000000732-S,2.283584776963501,,0.0,2.557411997091702,1.4960511452778953,1.0379601734005908,,2.8789038053543625,1.4102361720633363,,,,0.0
ENSMUSG00000000782-S,3.6561059190713583,,2.9571131184902772,0.0,0.0,2.871830727972633,,1.1834433053749518,2.931914989631088,,,,3.6414842490513726
ENSMUSG00000000792-S,3.1272577215430215,,2.462171818263361,3.429350237655874,4.394216070271924,3.877075871628951,,4.723757288584439,3.834150272397668,,,,3.748041214155024
ENSMUSG00000000823-S,5.223704731638238,,5.724384210357536,5.592045605093637,6.357920869954759,5.24284195416293,,5.089613881671589,5.128666110573363,,,,5.581185046561963
ENSMUSG00000000826-S,8.627986069712748,,8.503683160078829,8.608409292152176,8.873194466163127,8.898153101612724,,8.967441037987932,8.457898403876044,,,,8.587235489720971
ENSMUSG00000001016-S,5.975029419671034,,6.258333204791726,6.649026068746754,6.60728419947918,6.302791672549251,,5.863026295196434,5.99992456925054,,,,6.00308633410422
ENSMUSG00000001089-S,6.428192255368386,,6.885963132211077,6.6014189980678335,6.633977196141162,7.423227118226035,,7.6203079931577005,6.19208743143947,,,,6.947755362978011
ENSMUSG00000001098-S,4.926158650737429,,4.867419732677099,5.592045605093637,5.932698193507975,5.32095138689085,,5.2904044713803815,5.541938631553676,,,,5.844001570987064
ENSMUSG00000001270-S,11.526802817490957,,11.507483477236368,12.237469815879214,11.453250754673808,11.664574542231229,,11.331149104422073,11.500850429559591,,,,11.563575634774336
ENSMUSG00000001300-S,5.310653699035391,,6.320719102020575,4.75816323095898,5.773746614168172,4.595330173383305,,5.2904044713803815,4.066017137288901,,,,5.492001143695236
ENSMUSG00000001552-S,5.957172368707479,,5.754830404771721,3.8105137885224543,6.580087999326874,6.581938942123804,,5.765260051579519,6.539287108884348,,,,6.379716314227294
ENSMUSG00000001642-S,1.7317556595294306,,3.617785221001782,2.557411997091702,0.0,2.647685679165227,,1.8247124464825184,2.5785571736468036,,,,2.7526913945505695
ENSMUSG00000001763-S,4.811575731886079,,3.7445653320868697,4.922152486720532,3.0501157079257224,5.465524570466661,,4.791544335231516,4.646058765105474,,,,4.84509064912657
ENSMUSG00000001946-S,5.543884908119812,,4.810583895834582,5.382698311577523,4.1198759887056875,5.117126372157727,,3.4814869927558276,5.290186748781044,,,,3.401387628963793
ENSMUSG00000001964-S,6.388769165606801,,5.898109978110588,5.937036639979226,6.620692431742817,6.466394805300289,,6.570879805121432,6.697440433162147,,,,6.879067341656942
ENSMUSG00000002012-S,6.552326367692329,,6.399913509505079,6.695112222358144,7.240385060608935,6.8556427112386755,,7.26248800542526,6.997994738408251,,,,7.276274840376042
ENSMUSG00000002031-S,4.502434379161289,,4.163032644010453,5.974890978454992,5.452409420481078,5.358475437664702,,4.415414689294443,4.8670421343603385,,,,4.331450317938597
