ID,101,100,102,896,897,T0.5,T0.6,T0.7,T0.8,UNK12,939,934,935,936,937,938,940,941,942,943,UNK8,29,3297,3353,3354,3675,3678,3679,3681,3687,3680,UNK5,UNK6,UNK11
ENSMUSG00000000290-S,,,,2.1878468093344487,1.5316181908280644,3.298004348180618,2.080992414088247,1.0244644241439549,0.8966708824695038,3.151454677338699,2.288151693789969,,2.1273528570580367,1.252033481761931,1.9152733459730824,2.476400879738103,2.393995097696962,2.8638130617722606,0.8988096753164998,,,2.0338951766726954,,2.730763956111838,0.0,0.93383544022554,0.0,,0.0,3.4524425764534112,,,,3.5264248645147855
ENSMUSG00000000308-S,,,,7.965423438069078,7.80222020017785,8.013099974140927,7.437286166197515,8.048334507213658,7.780626885161573,8.134095772973465,8.288704806234668,,8.98645328186252,8.476197880641314,8.709517454189935,8.388065733180138,8.90312323980037,8.262654690338028,8.298398483774148,,,7.275945034380096,,7.598588612428087,7.985668738705395,7.870667267137144,8.091473369693407,,8.038169949256611,8.078917117735399,,,,7.964177695876749
ENSMUSG00000000530-S,,,,6.195946173639724,5.593278585226076,5.81306617174954,6.214038969790307,6.070154466255981,5.3139503095274065,5.862202199534592,5.128772682653203,,6.113227516804359,6.953933793464587,6.559477155905074,6.102558718089835,6.673592892213781,6.38226426273374,5.7244215983780675,,,6.12651355185525,,6.300222095052725,5.817122358783129,5.932698193507975,5.596920486645692,,4.791544335231516,5.516039750261212,,,,5.981406046854218
ENSMUSG00000000732-S,,,,2.1878468093344487,1.939846798669194,2.70536152666095,1.6571770513440311,0.0,0.8966708824695038,2.5676535256117945,2.288151693789969,,2.1273528570580367,2.363257137421632,0.9440719876953962,1.3343916999784502,0.0,1.7462107371414175,0.8988096753164998,,,2.283584776963501,,0.0,2.557411997091702,1.4960511452778953,1.0379601734005908,,2.8789038053543625,1.4102361720633363,,,,0.0
ENSMUSG00000000782-S,,,,3.0201464606670347,3.2494373180102527,1.6820721526231242,4.188393162374524,2.625509064456788,2.4083924121471316,3.151454677338699,0.0,,2.1273528570580367,2.363257137421632,3.701700061705504,3.633743324090162,2.6599555600955966,2.5133708470354534,3.1343429957332973,,,3.6561059190713583,,2.9571131184902772,0.0,0.0,2.871830727972633,,1.1834433053749518,2.931914989631088,,,,3.6414842490513726
ENSMUSG00000000792-S,,,,3.0201464606670347,4.171518637730202,3.8332251737724303,3.2654295374315025,3.042544284410344,3.6091572619433543,3.681254252786181,4.129964900373195,,4.287644323036166,3.215773920361264,4.14005191965989,2.972253538790306,3.66724484251118,3.9192043340289806,3.613396190469504,,,3.1272577215430215,,2.462171818263361,3.429350237655874,4.394216070271924,3.877075871628951,,4.723757288584439,3.834150272397668,,,,3.748041214155024
ENSMUSG00000000823-S,,,,5.969050566682266,6.187090248533806,5.349079761385718,6.05954187645579,5.802524540324048,5.7432902963036,5.623479227188019,5.912543735969186,,5.564555649271768,6.102378460546361,6.628464442318559,6.2540596133421005,6.1543278677599496,5.941080722734081,5.6518564477232065,,,5.223704731638238,,5.724384210357536,5.592045605093637,6.357920869954759,5.24284195416293,,5.089613881671589,5.128666110573363,,,,5.581185046561963
ENSMUSG00000000826-S,,,,8.783946192592362,8.925011336809604,9.082619731988444,8.743375494509392,9.03142017731839,9.105400435220494,9.00438393553882,9.362859321351396,,9.555203782220016,9.457254947907966,9.46912568330678,9.149315327388928,9.704134088507407,9.241718896324787,9.31581042160153,,,8.627986069712748,,8.503683160078829,8.608409292152176,8.873194466163127,8.898153101612724,,8.967441037987932,8.457898403876044,,,,8.587235489720971
ENSMUSG00000001016-S,,,,6.286365108801842,6.129800781191336,6.228773530953256,6.171559037118847,6.587166567872407,6.2309672640563925,6.579332938184785,6.876872820634467,,6.3698486335169635,5.916860337589944,6.472087015299897,6.282540124178769,6.410377500627191,6.5963441030053165,6.235522596653522,,,5.975029419671034,,6.258333204791726,6.649026068746754,6.60728419947918,6.302791672549251,,5.863026295196434,5.99992456925054,,,,6.00308633410422
ENSMUSG00000001089-S,,,,7.162391201398027,7.223531632679203,7.5771578063264275,6.4094846537696055,7.114253973797595,7.294431825602897,7.586641896896014,7.279851129236986,,7.6300509433525665,7.333470256910313,7.386389899333573,7.362661167022154,7.515294917966008,7.317901187531614,8.00019982125333,,,6.428192255368386,,6.885963132211077,6.6014189980678335,6.633977196141162,7.423227118226035,,7.6203079931577005,6.19208743143947,,,,6.947755362978011
ENSMUSG00000001098-S,,,,5.044667206815635,4.876098952759604,4.660936406967486,5.963211699267759,5.134579706307527,5.375141946360958,5.024232889743768,5.791298208795596,,5.965484165482666,5.6651563310553525,5.588609598366368,5.258573116166192,5.335176122998684,5.611177565255836,5.880766517524521,,,4.926158650737429,,4.867419732677099,5.592045605093637,5.932698193507975,5.32095138689085,,5.2904044713803815,5.541938631553676,,,,5.844001570987064
ENSMUSG00000001270-S,,,,11.740171510000328,11.664503506443976,11.810387994263976,11.915141048568604,11.794601395320106,11.41797996080886,12.022578245914552,11.229718378645767,,11.74786495822847,12.065370889819228,12.140645792514835,11.931069571027216,12.115345829497556,11.823444839933831,11.964645445634265,,,11.526802817490957,,11.507483477236368,12.237469815879214,11.453250754673808,11.664574542231229,,11.331149104422073,11.500850429559591,,,,11.563575634774336
ENSMUSG00000001300-S,,,,5.409037165835657,5.380543705089425,5.226763017384923,6.515187078054454,5.256684122455728,5.433843413489333,6.088032165892827,6.280119636155882,,4.804941818439524,5.151543247134289,4.976839260629534,5.567167749075203,5.1312959928625155,5.465016164281359,4.49909163489714,,,5.310653699035391,,6.320719102020575,4.75816323095898,5.773746614168172,4.595330173383305,,5.2904044713803815,4.066017137288901,,,,5.492001143695236
ENSMUSG00000001552-S,,,,5.996096692001416,5.75357196721431,6.1635857714445415,6.976492968534085,5.930355012261218,5.917951457070484,5.910284850410901,6.0875512652981865,,6.130675342801464,5.6651563310553525,6.172811908291399,6.282540124178769,6.132613146752592,6.395776029654818,5.9017800603685595,,,5.957172368707479,,5.754830404771721,3.8105137885224543,6.580087999326874,6.581938942123804,,5.765260051579519,6.539287108884348,,,,6.379716314227294
ENSMUSG00000001642-S,,,,3.0201464606670347,2.517968120511531,1.6820721526231242,2.408161705255035,1.6174904035785849,2.8140077179681233,2.305315480701963,2.7711353897760187,,2.1273528570580367,2.9834669963003715,1.5098994093134157,3.633743324090162,2.8844343943668056,3.3811519668481234,1.448400923237856,,,1.7317556595294306,,3.617785221001782,2.557411997091702,0.0,2.647685679165227,,1.8247124464825184,2.5785571736468036,,,,2.7526913945505695
ENSMUSG00000001763-S,,,,4.036539844336298,4.507645139005893,4.04108489557414,2.6746796934933665,4.631493946766409,4.045422674552221,4.302179206187867,5.384918260676893,,5.639599293909598,3.5914582317488906,5.098547262714951,4.3234523477983835,4.332886123538328,4.749662448503417,4.88407967019736,,,4.811575731886079,,3.7445653320868697,4.922152486720532,3.0501157079257224,5.465524570466661,,4.791544335231516,4.646058765105474,,,,4.84509064912657
ENSMUSG00000001946-S,,,,5.941487706502577,4.921819046364764,5.045654161258824,5.886493299990459,5.256684122455728,5.462322099446743,5.189223543972565,5.418062427099325,,5.401633731870477,5.778444887040087,5.695361937972607,5.741422528174508,5.4449680324798955,5.656782864836955,5.626833663545276,,,5.543884908119812,,4.810583895834582,5.382698311577523,4.1198759887056875,5.117126372157727,,3.4814869927558276,5.290186748781044,,,,3.401387628963793
ENSMUSG00000001964-S,,,,6.308111331133143,6.205692104324972,6.228773530953256,6.833957166312,5.9784758302566035,6.263697532218725,5.979531420455248,6.558010273316599,,6.649470962290994,6.482738823713279,6.805732382181406,6.798602989593108,6.564292650995283,6.929291796751583,6.492594758846733,,,6.388769165606801,,5.898109978110588,5.937036639979226,6.620692431742817,6.466394805300289,,6.570879805121432,6.697440433162147,,,,6.879067341656942
ENSMUSG00000002012-S,,,,6.451794814887973,7.109618644717658,6.923437315344327,6.690897786628342,7.449117979273206,6.9367421276706835,7.292218857384274,8.02927658247609,,7.730736433788912,7.673274013182639,7.410095276559935,7.051223095811381,7.336891240321102,6.803147571105655,6.91054947886507,,,6.552326367692329,,6.399913509505079,6.695112222358144,7.240385060608935,6.8556427112386755,,7.26248800542526,6.997994738408251,,,,7.276274840376042
ENSMUSG00000002031-S,,,,4.402727738483788,4.6228566908898525,4.945792591080952,4.803477457010396,4.904855646645649,4.792580061244942,5.0672829508884085,4.483083620511333,,5.081050642191776,4.53033944780547,4.645166924187268,5.042448151763603,5.296640131075937,5.412808901682653,5.0811702465615625,,,4.502434379161289,,4.163032644010453,5.974890978454992,5.452409420481078,5.358475437664702,,4.415414689294443,4.8670421343603385,,,,4.331450317938597
ENSMUSG00000002032-S,,,,5.409037165835657,5.09145606891933,4.660936406967486,4.858072558399522,5.047029067347918,5.3139503095274065,5.265143376514159,5.384918260676893,,5.864819091217013,4.245115061327776,4.534486340402758,4.78814269358917,5.174442227692159,5.587822654982696,5.3796475820574,,,3.5647214445767066,,2.730763956111838,5.542487313337272,5.511184948654782,5.395048190213982,,4.577807992608698,5.516039750261212,,,,3.6414842490513726
ENSMUSG00000002109-S,,,,3.9283702031886953,3.0983517460910273,3.7168667294892015,2.6746796934933665,3.042544284410344,2.1528517044067006,2.7895483404201227,2.7711353897760187,,2.7857626338523107,1.9120895180850064,3.219642216040465,3.340583355770886,2.393995097696962,3.268154397447143,2.15643154456857,,,3.249672519171508,,2.462171818263361,3.632483613356776,1.4960511452778953,3.527723964636152,,1.8247124464825184,4.135704510128141,,,,2.531845708469308
ENSMUSG00000002210-S,,,,5.409037165835657,5.130922159841632,4.893144085689784,4.858072558399522,5.775540810837221,5.183183166298148,4.886792810729078,5.573241057228696,,6.214883012351143,5.625326433022477,5.5321172659835725,5.656924444141009,5.409291109054036,5.587822654982696,5.3796475820574,,,4.346553644905618,,5.1681621226777805,4.470853549690538,4.997826682961504,3.2367343368957657,,4.23239580385111,4.782665778592098,,,,5.295167776962846
ENSMUSG00000002266-S,,,,0.0,3.0983517460910273,1.0734381410836893,1.6571770513440311,0.0,1.4454776237320806,0.9896395548137256,2.7711353897760187,,1.424693889909158,1.252033481761931,2.900655540153005,0.0,0.0,0.8358601519897243,0.0,,,1.7317556595294306,,0.0,0.0,1.4960511452778953,2.647685679165227,,2.267100056198125,1.4102361720633363,,,,0.9683651658544944
ENSMUSG00000002393-S,,,,4.555994926802841,5.169337309452549,4.945792591080952,5.777411652561857,5.369255652649587,4.792580061244942,4.979858597164796,5.244158150196533,,5.485393293004125,4.6141251428220995,4.843909861384497,5.169880954872204,5.672687736318112,5.358641234599949,5.549050874813313,,,4.771265774287663,,4.689719062854471,5.382698311577523,3.2005563966229316,5.282425224577362,,5.8311680533724175,5.022293542781934,,,,5.844001570987064
ENSMUSG00000002459-S,,,,7.309798305172879,7.268462915203849,6.910250538136318,6.96410164011183,7.491190153382286,7.072251126787723,6.786746101206287,6.7262329970251,,7.548017121493672,7.915448007797188,7.593815288899107,8.157631309310469,7.308120743278805,8.090549851687621,8.108104030119575,,,7.580055298594503,,6.800979888944573,5.542487313337272,6.170068076320719,7.063056596819725,,6.91278284573583,6.66245197021887,,,,7.459938523483751
ENSMUSG00000002732-S,,,,2.5214694711790284,3.2494373180102527,2.437699225703303,0.0,1.6174904035785849,0.8966708824695038,1.571131973891716,2.963016139970683,,3.1010766827490013,1.9120895180850064,1.9152733459730824,1.7148112798979178,3.4027555235717224,3.0115472012359445,3.393662872112152,,,2.0338951766726954,,1.702758687208357,3.429350237655874,1.4960511452778953,2.3821940123995207,,2.267100056198125,1.8018663846877352,,,,0.0
ENSMUSG00000002797-S,,,,5.044667206815635,5.050879913235912,5.5323838392534155,5.0104586066119134,5.256684122455728,5.183183166298148,5.227682799663062,5.6023698733953164,,5.71093169626494,6.102378460546361,5.7705423991131415,5.761795792703887,6.132613146752592,5.439148675192057,5.254543412253529,,,5.032306871552188,,4.922101096321734,5.592045605093637,4.956125560760151,5.854978310373385,,4.918251951624434,5.3790755402329875,,,,5.295167776962846
ENSMUSG00000002968-S,,,,6.371449832714428,6.620463497047351,6.665396667095856,5.98790392997914,6.829446786513649,6.247425214658924,6.28325003808987,6.433870671496067,,7.277414277613691,7.149141825818337,6.719819376624818,6.631527650669102,7.26884523343876,6.560800361676979,6.478676640636891,,,6.292363072242185,,6.360859643640615,6.365304035337602,6.095201813777458,6.203186394488812,,5.9545856661806,6.0727975457107,,,,6.311848468455198
ENSMUSG00000002996-S,,,,5.66640142861484,5.380543705089425,4.3840474789020325,5.659402799065397,4.690467266763643,4.7470084774202475,5.227682799663062,5.513157360875846,,4.804941818439524,4.693310841844703,4.534486340402758,5.859557779771281,4.944519304110731,5.182749538479859,5.286851112344599,,,4.8889664152867365,,5.454483089808373,4.922152486720532,4.727361932442791,5.072662984232062,,4.577807992608698,4.946755197476435,,,,5.185669107945933
ENSMUSG00000003198-S,,,,3.811428095751732,3.732502121177352,3.451538611518439,3.683352025606547,3.8524636464395727,2.1528517044067006,2.5676535256117945,3.86740710590036,,1.8183855359868224,2.9834669963003715,3.8006734726731857,3.340583355770886,3.4027555235717224,3.7611506373277046,3.50770887389526,,,2.9934846366391987,,3.324942028438717,1.3944241020711172,2.2145574969023034,2.3821940123995207,,3.636988544242049,2.10956561873228,,,,2.2709739498628103
ENSMUSG00000003402-S,,,,6.329534626975396,6.346455629505572,6.828493763809077,6.613670850626392,6.587166567872407,6.542394903744575,6.968053779433193,6.876872820634467,,7.4190509615355715,7.016858581189317,7.312843079467221,7.200480508693984,7.077535935627661,6.548755149390798,7.067565101712631,,,6.2780494205014445,,6.679272749815109,7.140368542837789,6.736068542546541,6.802178386100919,,6.385893945030639,6.988608662064148,,,,7.034530587643104
ENSMUSG00000003436-S,,,,2.792247919928092,2.9295728265851197,2.931050521876692,4.188393162374524,2.849043379169408,3.6091572619433543,2.7895483404201227,2.7711353897760187,,3.578907283604972,2.706436814589186,2.4905071181678275,1.7148112798979178,3.54105281817141,3.0115472012359445,3.613396190469504,,,2.0338951766726954,,2.131866773863022,4.241626294707207,1.8995793253129825,2.056572160784922,,3.77734814607362,3.0806798431326756,,,,1.5426266708737657
ENSMUSG00000003500-S,,,,5.969050566682266,6.129800781191336,6.445371160715401,6.926275987743724,6.092191900359458,6.417058519099321,6.149420064349307,6.206147315691499,,6.776829221030488,6.610638474618335,6.573541047483937,6.282540124178769,6.703358702265254,6.4485921061730265,6.7804465896283785,,,5.957172368707479,,6.101331683395605,5.382698311577523,5.911035204734716,6.243857381273236,,5.798590386948119,6.208351309848925,,,,6.146358206682464
ENSMUSG00000003657-S,,,,1.7531052066154809,4.7295441425461515,4.596535307053573,4.271193757560183,3.5036083467238193,4.438449685700989,4.6804492949194545,6.401091832480964,,4.087756923331383,3.5914582317488906,4.534486340402758,3.950101419671419,3.990626384747607,4.251959975632417,4.44285378614437,,,3.1272577215430215,,3.324942028438717,2.0900647630395706,3.681957824706388,7.932613253337815,,6.429100257947972,5.462804029597289,,,,5.4293271891108015
ENSMUSG00000003808-S,,,,7.011506693136518,7.017863535333331,7.409218766718064,7.060374352062666,7.44055428489455,7.090610897133725,7.354369778701918,7.457737765460796,,7.903082930022792,7.890461859498994,7.719298841881,7.147270562869582,7.732957037994541,7.252568330318763,7.314772988459074,,,6.57592108915288,,6.380518721432738,7.205502320163641,7.169169687422989,6.581938942123804,,6.89748154626835,7.01658565838696,,,,6.5948801223883
ENSMUSG00000004071-S,,,,8.28345483464016,8.374789057462763,8.464820094384852,8.382801701837998,8.125159769783387,8.281862139339555,8.53384872873628,8.587119611385704,,8.964728707890979,8.736688898940825,8.759585385556978,8.722836563224053,8.844221511384342,8.843587617000283,8.58490784747297,,,8.18952049708393,,8.036758662766534,8.851625899041927,8.56527120230079,8.396646939444006,,8.171362605254824,8.464684273776681,,,,8.354064859616273
ENSMUSG00000004266-S,,,,2.1878468093344487,3.5110943465210323,3.451538611518439,4.007008348682081,0.0,3.2656842343095707,2.981820100800717,2.288151693789969,,3.1010766827490013,2.363257137421632,3.5954333501320948,3.2279416333797872,3.66724484251118,3.5836265212987755,2.412140613208748,,,2.0338951766726954,,3.324942028438717,1.3944241020711172,2.692000341116426,3.065788880681599,,1.8247124464825184,2.7660275935099325,,,,2.2709739498628103
ENSMUSG00000004508-S,,,,5.144743080073491,6.02895316096172,5.497539012643952,5.3136732009422945,4.904855646645649,4.7470084774202475,5.707519785720506,5.816376197970069,,5.564555649271768,5.542207775347679,6.2092997642599,5.139062400063302,6.042330396389911,6.012984124523574,5.700636465430905,,,4.400407133253183,,4.334099106742984,5.137731159156339,3.336780329468794,5.465524570466661,,4.977663099863604,5.022293542781934,,,,4.84509064912657
ENSMUSG00000004530-S,,,,7.7910813423838015,7.963933942374762,7.6661387049861585,7.296128000450852,7.44055428489455,7.722948405839837,7.571769733467076,7.963446227473569,,8.497848330615037,7.93186822354452,8.57267682238964,7.995046072131937,8.298695027608753,8.419709936243043,8.266351225318074,,,7.729552062864968,,7.280614266374169,7.205502320163641,7.579411912266707,7.64441826226539,,7.693009326823929,7.987636471145918,,,,8.04999939001662
