ID,87,53,54,55,56,62,63,64,65,91,81,35,36,37,38,39,40,41,42,43,86,0,2,32,33,78
ENSMUSG00000000093-B,0.0,1.1310919323943265,1.0234744307658463,1.169035828833055,2.5023923796780365,0.0,1.6880493942036567,2.420536794691922,2.2344845923790824,,1.6515059703518364,2.332213299338968,1.0089201542886188,2.3337942340902966,0.8835379103768013,1.9518241477776077,2.4288256427473347,1.4381060961904937,1.8482151513686695,0.0,,1.703506020097446,2.6980500977453716,1.1507309076926937,1.228958264578811,2.447934169112181
ENSMUSG00000000384-B,5.743000392659326,6.028418936376032,5.689512323391463,6.486256975517023,5.8327612178333474,5.504119984897862,5.956770056209975,5.545779044309034,5.868937452889393,,6.26729795002494,5.919522534529891,5.9716966745628905,6.143889893186952,6.0082504087257105,5.8906627881871225,6.378690264951743,6.202811287750556,5.884569353957416,5.903783585000353,,5.551226920158678,6.015141015944095,5.638379150767694,6.227254378470325,5.412528478715813
ENSMUSG00000000555-B,1.1902200583207372,0.6736669986596555,1.6161776226610136,2.246663788354165,1.115406628546921,1.6622445327945392,1.0779974755575148,1.667597390739755,0.0,,0.0,1.0064368404211144,0.0,0.0,0.8835379103768013,1.542219655406604,1.0677332679087532,1.4381060961904937,0.900604630476427,1.0234847419496351,,0.8092538773110779,1.0689105058473192,0.0,0.0,1.3135056021885518
ENSMUSG00000000562-B,1.1902200583207372,2.1924257090957218,0.0,2.583628536214724,0.0,1.0583461571255826,0.0,1.2935081824757793,1.918179767477204,,0.0,1.0064368404211144,0.0,1.5948577153675143,0.8835379103768013,0.0,2.4288256427473347,1.8336891264456736,2.159433125265605,2.359322344576064,,1.703506020097446,1.0689105058473192,1.1507309076926937,1.882820471716188,0.0
ENSMUSG00000000627-B,5.70804976619561,6.041512970342731,5.878658778141378,5.311322345944074,5.677003810536825,6.2828204445193485,5.574899467553379,5.792367944689754,5.6468474578057855,,6.455086674834077,6.222125632704279,6.167283630040462,6.406959402893037,5.848194676091759,6.345569260888688,6.397570939102394,5.986460914069973,6.350795720662249,6.068255577737103,,5.880868720382185,5.80458088608163,5.323673857765906,5.4149229637952985,5.461986077989468
ENSMUSG00000001021-B,0.0,1.4778673043098092,2.359306004945279,0.0,1.115406628546921,1.6622445327945392,1.0779974755575148,2.2104153203182793,0.0,,2.0746496728099992,1.5935385883724542,1.0089201542886188,0.0,2.130791176299231,0.0,0.0,0.0,1.450853040369649,1.0234847419496351,,1.703506020097446,0.0,0.0,1.228958264578811,0.0
ENSMUSG00000001029-B,2.276683176088846,2.1924257090957218,3.211396859945394,2.583628536214724,1.115406628546921,3.272074344080515,2.444777031038329,2.6039096794870713,1.51246595043351,,2.0746496728099992,3.011245693620101,1.5968438254781343,1.0074277664920572,2.385284659426389,2.7521635760954424,2.921593280130662,0.0,2.4152830223730466,1.0234847419496351,,3.2134024376550743,3.1185158177303074,1.1507309076926937,1.882820471716188,3.0750597439570617
ENSMUSG00000001418-B,5.874905040375505,6.377243000370542,6.403566013348874,6.360362342820388,5.918734307883194,5.99520145474155,6.126981773100274,6.142806111774644,5.868937452889393,,6.5405450800589024,6.726968810586011,6.146815970260121,6.184537728388995,6.298846080989826,6.184197829231927,6.107698686243186,6.420004594339444,6.795581545700528,6.235789659983958,,6.037782529265237,6.109916466551655,6.010191323753142,6.374736646291801,6.493885017819272
ENSMUSG00000001555-B,4.034084119125271,3.127070169664964,3.743483083968696,3.613239691404382,4.857854419519998,3.913900100449989,2.444777031038329,3.6564816778911298,3.072430133264163,,3.791781206314401,2.5956746681947314,4.104208177392387,2.5973209506378527,2.9558989561580975,2.531333104209074,4.295306854158293,3.6968334167431,3.807635516468859,3.363929204552695,,3.527604550871848,3.582373566514503,3.9674602575703712,3.379598410164237,3.687461587824426
