NAME,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
"(2,5-Dimethoxyphenyl)acetone",14.221836516529187,15.396569884715458,14.77794148459306,15.794924887690245,16.10708189958663,15.684213392506413
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",17.84805672565492,18.697253042531315,18.145516841146947,17.917954706335404,19.906286991796534,19.906286991796534
(4-Fluorophenyl)phenylmethanol,,,18.572420897099427,,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",27.60464096162688,28.139723574834868,27.219348259596465,25.49180713491702,24.05947168021111,27.219348259596465
"3,4,5-Trimethoxyamphetamine",24.69908251133796,25.40480297318097,23.99000942053065,17.044039991717742,11.432133533201071,24.361767611067517
Oxypeucedanin,,,,,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",,24.49178928886131,23.920579189958953,,27.084943944408092,27.60464096162688
"1-(2,4-Dimethoxyphenyl)-propan-2-one",18.145516841146947,,18.090663406345644,18.299161313868304,18.090663406345644,18.090663406345644
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",25.96252317418443,25.656365949001593,25.313618060977973,25.050447238005177,25.49180713491702,25.49180713491702
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",18.994720196960333,22.33603249982125,20.06047460317695,17.67570612907752,21.9535073039897,22.176682287677355
1-(Cyclohexylmethyl)-4-piperidinylamine,14.021419364841742,8.64390924178897,10.101353297214953,,12.73466395698144,11.053448878828178
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,18.40008695193352,18.766379142030807,18.527065735233,18.964499198463745,18.40008695193352,18.40008695193352
"1,2,4-Butanetriol, (S)",,17.42065695008917,,,,
