node1,node2,layer1,layer2
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",alpha-D-(+)-Talopyranose,2,3
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile","D-(+)-Ribono-1,4-lactone ",2,1
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile","Gulonic acid, gamma-lactone",2,3
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",Idoxuridine ,2,1
"D-(+)-Ribono-1,4-lactone ",Syringaldehyde,1,1
Thr-Leu,L-(+)-Lactic acid,1,1
Thr-Leu,Pimelic acid,1,1
"2,6-Di-O-methyl-d-galactopyranose","2-Pentenedioic acid, 2-hydroxy-",2,1
"2,6-Di-O-methyl-d-galactopyranose",L-Glutamic acid,2,1
"2,6-Di-O-methyl-d-galactopyranose",Methylsuccinic acid,2,1
"2,6-Di-O-methyl-d-galactopyranose",Pantothenic acid ,2,2
"2,6-Di-O-methyl-d-galactopyranose",Syringic acid,2,2
"2-Pentenedioic acid, 2-hydroxy-",L-Glutamic acid,1,1
"2-Pentenedioic acid, 2-hydroxy-",Pantothenic acid ,1,2
3-(3-Hydroxyphenyl)propanoic acid,Cyclohexanemethanol,1,1
3-(3-Hydroxyphenyl)propanoic acid,Dodecanamide,1,2
3-(3-Hydroxyphenyl)propanoic acid,L-Valyl-L-leucine,1,1
Methylsuccinic acid,17-alpha-Hydroxypregnenolone,1,2
Methylsuccinic acid,9H-Purin-6-ol,1,1
Methylsuccinic acid,D-(+)-Glucosamine,1,1
Methylsuccinic acid,Hydracrylic acid,1,1
Methylsuccinic acid,L-Glutamic acid,1,1
Methylsuccinic acid,N-Ethyldiethanolamine,1,2
Methylsuccinic acid,Pantothenic acid ,1,2
Methylsuccinic acid,Syringic acid,1,2
N-Acetyl-L-glutamic acid,beta-Alanine,1,1
N-Acetyl-L-glutamic acid,L-Glutamic acid,1,1
N-Acetyl-L-glutamic acid,Niacin,1,1
N-Methyl-alpha-aminoisobutyric acid,4-Hydroxybenzaldehyde,1,1
N-Methyl-alpha-aminoisobutyric acid,9H-Purin-6-ol,1,1
N-Methyl-alpha-aminoisobutyric acid,Levulinic acid,1,2
N-Methyl-alpha-aminoisobutyric acid,N-Ethyldiethanolamine,1,2
