Metabolite 1,Metabolite 2,Sign
"Benzoic acid, pentadecyl ester",phenoxyethanol,1.0
"Aziridine, 1-(2-buten-2-yl)-","L-Lysine, ethyl ester ",1.0
"2,3,4-Trihydroxybutyric acid tetrakis",Nonadecanoic acid,1.0
3-Methyladenine,"N,N-Diethyl-2-aminoethanol",1.0
"1,3,5-Trimethyl-1H-pyrazol-4-amine","Stigmast-5-ene, 3beta-",1.0
Pentadecanoic acid,Suberic acid,1.0
Butylated Hydroxytoluene,Glyoxime,1.0
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,Pantolactone,1.0
Hexanoic acid,S-Methyl-L-cysteine,1.0
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-","Phenol, 3,5-bis(1,1-dimethylethyl)-",1.0
Ethyl alpha-D-glucopyranoside,Hexanoic acid,1.0
10-Heptadecenoic acid,Acetoacetic acid,1.0
"6,7,4'-Trihydroxyisoflavone",Isofucosterol,1.0
2-Hydroxy-5-methoxybenzaldehyde,Dodecanoic acid,1.0
Cyclobutanol,Heptanoic acid,1.0
"Furan, 2-pentyl-","N,N-Diethyl-2-aminoethanol",1.0
2-Aminobutanoic acid,Glycine,1.0
"2-Allyl-1,4-dimethoxybenzene","2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",1.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde","3,5-Dimethylpyrazole",1.0
5-Hydroxytryptophan,Cholesterol,1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",Isofucosterol,1.0
"6,7,4'-Trihydroxyisoflavone",Nonanal,1.0
Dihydrouracil,L-Asparagine,1.0
"2,4-Decadienal",Nonanal,1.0
Cholesterol,Ser-Leu,1.0
10-Heptadecenoic acid,Niclosamide,1.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",D-(-)-Citramalic acid,1.0
Cyclohexanol,DL-Glyceraldehyde,1.0
1-Monoacetin,L-Glutamic acid,1.0
"3,5-Dimethylpyrazole","3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",1.0
Cholesterol,p-Hydroxydiisopropylbenzene,1.0
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,2-Naphthol,1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",Dihydrouracil,1.0
"Cyclopentanone, 2,2,4-trimethyl-",Triethanolamine,1.0
Ethyl cis-2-trimethylsilyl-cyclopropane-1-carboxylate,n-Butylamine,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,3-Hexenedinitrile,1.0
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",Levulinic acid,1.0
Glycine,Triethanolamine,1.0
L-Tryptophan,"L-Tryptophan, N-acetyl-1",1.0
"1,2-Benzenedicarboxylic acid","Glycine, N-(N-DL-leucylglycyl)-",1.0
"Acetin, bis-1,3-trimethylsilyl ether",Nonanal,1.0
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",3-Methyladenine,1.0
"Acetamide, N,N-diethyl-",Sertraline carbamoyl glucuronide,1.0
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",5-Hydroxytryptophan,1.0
4-Hydroxybenzeneacetic acid,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0
1-Deoxypentitol,Phenoxyacetic acid,1.0
4-(Trimethylsilyoxy)-3-penten-2-one,p-Hydroxydiisopropylbenzene,1.0
D-Fructose,Hydracrylic acid,1.0
12-Oxooctadecanoate,"2,4-Decadienal",1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",L-Glutamic acid,1.0
1-Cyclopentylethanol,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-","3,5-Dimethylpyrazole",1.0
"4-Fluoroaniline, N-trimethylsilyl-","Benzaldehyde, 2,5-dimethyl-",1.0
Butylated Hydroxytoluene,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",1.0
"4-Fluoroaniline, N-trimethylsilyl-","Glycine, N-(N-DL-leucylglycyl)-",1.0
3'-Hydroxyacetophenone,Picolinic acid,1.0
Heptadecanoic acid,Nonadecanoic acid,1.0
2-Heptenoic acid,Phenoxyacetic acid,1.0
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene","Ethanol, 2-(9-octadecenyloxy)-",1.0
Aceturic acid,Itaconic acid,1.0
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",Decanoic acid,1.0
"Ethanol, 2-(9-octadecenyloxy)-",Norketamine,1.0
12-Oxooctadecanoate,Methyl aminoacetate,1.0
"4-Fluoroaniline, N-trimethylsilyl-",5-Hydroxytryptophan,1.0
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ","Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine","6,8-Dioxapentadecane",1.0
3-Amino-2-piperidone,"5alpha-Pregnane-3,20-dione",1.0
Hexanoic acid,Phenoxyacetic acid,1.0
1-Cyclopentylethanol,Pentanoic acid,1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",Indole-5-carboxylic acid,1.0
"Benzenemethanamine, 2,3-dimethoxy-",Phenoxyacetic acid,1.0
"Cyclohexanone, 3,3,5-trimethyl-",Hexanoic acid,1.0
"Cyclohexanone, 3,3,5-trimethyl-",Pentanoic acid,1.0
Isofucosterol,"Propanoic acid, 2-methyl-",1.0
3-Hydroxyisovaleric acid,Metanephrine,1.0
1-Cyclopentylethanol,Metanephrine,1.0
Hydracrylic acid,Triethanolamine,1.0
2-Heptenoic acid,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
Phlorizin,S-Methyl-L-cysteine,1.0
2-Hydroxy-5-methoxybenzaldehyde,"3-Methylpiperazine-2,5-dione, (R)-",1.0
4-Hydroxybenzeneacetic acid,Tartronic acid,1.0
"(S,S)-(-)-Hydrobenzoin",Fenitrothion,-1.0
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-","Benzenemethanamine, 2,3-dimethoxy-",1.0
3-Amino-2-piperidone,Delorazepam,1.0
Butanedioic acid,Malic acid,1.0
L-Threitol,Metanephrine,1.0
"1-Octene, 2-methyl-",Octanoic acid,1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Propanoic acid, 2-methyl-",1.0
DL-Glyceraldehyde,Isoxaben,1.0
Indole-5-carboxylic acid,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1.0
Diphenyl ether,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1.0
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",Propylamine,1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Heptadecanoic acid,1.0
L-Asparagine,L-Ornithine,1.0
Pimelic acid,Syringaldehyde,1.0
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",Isofucosterol,1.0
5-Hydroxyquinoline,Carfentrazone-ethyl,1.0
Glycine,"Glycine, N-(N-DL-leucylglycyl)-",1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",3-Hexenedinitrile,1.0
"1-Butanamine, N,N-diethyl-","Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0
Ethyl alpha-D-glucopyranoside,Myristic acid,1.0
Butyrovanillone,Glycine,1.0
Octanoic acid,Tris(trimethylsilyl)carbamate,1.0
12-Oxooctadecanoate,2-Hydroxy-5-methoxybenzaldehyde,1.0
12-Oxooctadecanoate,"2,4-Diamino-6,7-dimethylpteridine",1.0
D-(-)-Citramalic acid,"Furan, 2-pentyl-",1.0
"4-Fluoroaniline, N-trimethylsilyl-",Nonanal,1.0
Hexanoic acid,Salsoline,1.0
"Acetin, bis-1,3-trimethylsilyl ether","Propanetriol, 2-methyl-",1.0
5-Hydroxytryptophan,Dodecanoic acid,1.0
2-Ethyl-3-hydroxypropionic acid,"Octane, 1-propoxy-",1.0
DL-Phenylalanine,Hydroquinidine,1.0
Indole-3-lactic acid,Isopropyl palmitate,1.0
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-","Furan, 2-pentyl-",1.0
"Benzoic acid, pentadecyl ester",Supraene,1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-","3,5-Dimethylpyrazole",1.0
1-Octanol,"Cyclohexanone, 3,3,5-trimethyl-",1.0
"1-Propanamine, N,N-diethyl- ",5-Henicosylresorcinol,1.0
"N,N-Diethyl-2-aminoethanol","Octane, 1-propoxy-",1.0
4-(Trimethylsilyoxy)-3-penten-2-one,Dinoseb ,1.0
2-Ethyl-3-hydroxypropionic acid,Myristic acid,1.0
Cyclohexanol,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
2-Naphthol,Cholesterol,1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-","3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Hexanoic acid,1.0
1-Octanol,4-Methoxyphenol,1.0
"5-Androsten-17alpha-methyl-3beta,17beta-diol","Benzaldehyde, 2,5-dimethyl-",1.0
"1-Propanamine, N,N-diethyl- ","1,3,5-Trimethyl-1H-pyrazol-4-amine",1.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-","1,2-Benzenedicarboxylic acid",1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Phloroglucinol,1.0
"15-Oxo-11Z,13E-eicosadienoic acid",2-Hydroxybutyric acid,1.0
Benzophenone,Dodecanoic acid,1.0
Levulinic acid,Nonadecanoic acid,1.0
"N,O-Bis(trimethylsilyl)carbamate","Propanetriol, 2-methyl-",1.0
3-Indoleacetic acid,"Tacrine, N-trimethylsilyl-",1.0
"Acetamide, N,N-diethyl-","Benzimidazole, 5-trifluoromethyl-2-methyl-",1.0
Butanedioic acid,Pimelic acid,1.0
"1,1'-Biphenyl, 3,4-diethyl-",10-Heptadecenoic acid,1.0
Benzeneacetic acid,Isopropyl palmitate,1.0
"(R*,S*)-2,3-Dihydroxybutanoic acid",Cyclohexanol,1.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine","Dodecane, 4,6-dimethyl-",1.0
"2,4-Decadienal",alpha-Tocopherol,1.0
2-Ethyl-3-hydroxypropionic acid,DL-Glyceraldehyde,1.0
2-Hydroxy-5-methoxybenzaldehyde,Benzoic Acid,1.0
Glyoxime,Neostigmine ,1.0
"1-Butanamine, N,N-diethyl-",Dinoseb ,1.0
1-Deoxypentitol,"Benzaldehyde, 2,5-dimethyl-",1.0
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",Hydantoic acid,1.0
Dihydrouracil,Propylamine,1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Levulinic acid,1.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",4-Hydroxybutanoic acid,1.0
1-Deoxypentitol,"2-Allyl-1,4-dimethoxybenzene",1.0
"1,1'-Biphenyl, 3,4-diethyl-",Nonadecanoic acid,1.0
2-Naphthol,"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",1.0
"Acetamide, N,N-diethyl-","Acetic acid, bis[(trimethylsilyl)oxyl]-",1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",Propylamine,1.0
5-Hydroxytryptophan,"Cholest-7-en-3-ol, (3beta,5alpha)-",1.0
"Furan, 2-pentyl-",Neostigmine ,1.0
Benzeneacetic acid,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
"2,4-Diamino-6,7-dimethylpteridine",Pentanoic acid,1.0
"2,3,4-Trihydroxybutyric acid tetrakis","N-(Trifluoroacetyl)-N,O,O'-tris(trimethylsilyl)normetanephrine",1.0
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
3-Methyladenine,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
Diphenyl ether,Neostigmine ,1.0
"1,3,5-Benzetriol",DL-Glyceraldehyde,1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Dodecylcyclohexane,1.0
5-Henicosylresorcinol,S-Methyl-L-cysteine,1.0
(CH3)2C=NC2H558,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",1.0
1-Octanol,"Glycine, N-(N-DL-leucylglycyl)-",1.0
"3-Methylpiperazine-2,5-dione, (R)-",alpha-Tocopherol,1.0
Pentanoic acid,Phenoxyacetic acid,1.0
"3-Methylpiperazine-2,5-dione, (R)-",Diphenyl ether,1.0
2-Hydroxy-5-methoxybenzaldehyde,"3,5-Dimethylpyrazole",1.0
7-(Trimethylsilyl)amino-4-methylcoumarin,"Propanetriol, 2-methyl-",1.0
10-Heptadecenoic acid,2-Naphthol,1.0
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-","Inosose-2, 1,3,4,5,6-pentakis-",1.0
"1-Propanamine, N,N-diethyl- ",Heptadecanoic acid,1.0
5-Henicosylresorcinol,"Benzoic acid, pentadecyl ester",1.0
4-Hydroxybenzeneacetic acid,L-Threitol,1.0
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",Valylglycine,1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Doconexent,1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",3-Hexenedinitrile,1.0
7-(Trimethylsilyl)amino-4-methylcoumarin,Methyl aminoacetate,1.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine","Stigmast-5-ene, 3beta-",1.0
Glyoxime,Levulinic acid,1.0
1-Cyclopentylethanol,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0
1-Monoacetin,2-Butenedioic acid,1.0
2-Naphthol,"Benzenemethanamine, 2,3-dimethoxy-",1.0
"1,3,5-Benzetriol","3-Methylpiperazine-2,5-dione, (R)-",1.0
L-Glutamic acid,"Propanoic acid, 2-methyl-",1.0
3-Hydroxyisovaleric acid,"Acetic acid, bis[(trimethylsilyl)oxyl]-",1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Cholesterol,1.0
"1,5-Anhydroglucitol",2-Naphthol,1.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",5-Hydroxyquinoline,1.0
"Acetamide, N,N-diethyl-",Heptanoic acid,1.0
2-Heptenoic acid,Triethanolamine,1.0
"2,5-Dimethoxy-4-methylamphetamine",4-Pyridinol,1.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",Benzophenone,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,Cyclohexanol,1.0
"D-(+)-Ribono-1,4-lactone (R,S,R)-",Ethyl alpha-D-glucopyranoside,1.0
"Cholest-7-en-3-ol, (3beta,5alpha)-",Tartronic acid,1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Benzimidazole, 5-trifluoromethyl-2-methyl-",1.0
3'-Hydroxyacetophenone,"Propanetriol, 2-methyl-",1.0
1-Octadecanol,p-Hydroxydiisopropylbenzene,1.0
Methyl aminoacetate,Picolinic acid,1.0
3-Aminobutanoic acid,"Benzenemethanamine, 2,3-dimethoxy-",1.0
Glyoxime,Propylamine,1.0
"1-Propanamine, N,N-diethyl- ",Octanoic acid,1.0
Glyoxime,Niclosamide,1.0
Deoxycholic Acid,Triethanolamine,1.0
5-Hydroxyquinoline,"6,8-Dioxapentadecane",1.0
1-Monoacetin,3-Methyladenine,1.0
"Acetin, bis-1,3-trimethylsilyl ether","Octane, 1-propoxy-",1.0
"15-Oxo-11Z,13E-eicosadienoic acid","6,8-Dioxapentadecane",1.0
Itaconic acid,Methyl aminoacetate,1.0
Dodecanoic acid,S-Methyl-L-cysteine,1.0
"2,4-Diamino-6,7-dimethylpteridine",Octanoic acid,1.0
N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,Niclosamide,1.0
"2,3,4-Trihydroxybutyric acid tetrakis","Propanetriol, 2-methyl-",1.0
3-Hydroxyisovaleric acid,"Acetin, bis-1,3-trimethylsilyl ether",1.0
5-Henicosylresorcinol,"Furan, 2-pentyl-",1.0
"2,4-Decadienal","Cholest-7-en-3-ol, (3beta,5alpha)-",1.0
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,Triethanolamine,1.0
3-Methyladenine,Phenoxyacetic acid,1.0
"3,5-Dimethylpyrazole",Tartronic acid,1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-","Furan, 2-pentyl-",1.0
"1,5-Anhydroglucitol",Tartronic acid,1.0
"2,2-Diallylpyrrolidine",Trimidox,-1.0
"cis-4,5-Dihydroxy-o-dithiane, 2O-",L-Leucine,-1.0
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Heptadecanoic acid,1.0
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",Methyl aminoacetate,1.0
Hydantoic acid,"N,N-Diethyl-2-aminoethanol",1.0
"Benzaldehyde, 2,5-dimethyl-",Tartronic acid,1.0
2-Methyl-4-pentenoic acid,Neostigmine ,1.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",(CH3)2C=NC2H558,1.0
12-Oxooctadecanoate,"Propanetriol, 2-methyl-",1.0
3-Ureidopropionic acid,Tartronic acid,1.0
"Arabinofuranose, 1,2,3,5-tetrakis-O-",L-Ornithine,1.0
Indole-3-lactic acid,"Propanetriol, 2-methyl-",1.0
4-(Trimethylsilyoxy)-3-penten-2-one,Phenoxyacetic acid,1.0
4-Hydroxybenzoic acid,Glycolic acid,1.0
"Benzimidazole, 5-trifluoromethyl-2-methyl-",Indole-5-carboxylic acid,1.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Dodecanoic acid,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,"Cyclohexanone, 3,3,5-trimethyl-",1.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",3-Aminobutanoic acid,1.0
alpha-Tocopherol,Arachidonic acid,1.0
D-(-)-Citramalic acid,L-Threitol,1.0
"2,4-Diamino-6,7-dimethylpteridine","3,5-Dimethylpyrazole",1.0
Salsoline,Tartronic acid,1.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine","Propanetriol, 2-methyl-",1.0
Nonadecanoic acid,Propylamine,1.0
Dinoseb ,S-Methyl-L-cysteine,1.0
3-Hydroxyisovaleric acid,"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",1.0
"6,7,4'-Trihydroxyisoflavone",D-Fructose,1.0
Indole-3-lactic acid,Propylamine,1.0
1-Cyclopentylethanol,1-Monoacetin,1.0
Malic acid,Serine,1.0
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",Metanephrine,1.0
"Benzaldehyde, 2,5-dimethyl-","Octane, 1-propoxy-",1.0
Indole-5-carboxylic acid,Triethanolamine,1.0
Benzeneacetic acid,Methyl aminoacetate,1.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",2-Hydroxy-5-methoxybenzaldehyde,1.0
Benzyl alcohol,Valylglycine,1.0
"2,5-Dimethoxybenzhydrazide","2,5-Dimethoxyphenol",1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
"Acetamide, N,N-diethyl-",Pentanoic acid,1.0
Arachidonic acid,"Stigmast-5-ene, 3beta-",1.0
"Benzenemethanamine, 2,3-dimethoxy-","Glycine, N-(N-DL-leucylglycyl)-",1.0
4-Methylvaleric acid,Norketamine,1.0
4-(Trimethylsilyoxy)-3-penten-2-one,D-Fructose,1.0
2-Hydroxy-5-methoxybenzaldehyde,"Acetamide, N,N-diethyl-",1.0
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,"Propanetriol, 2-methyl-",1.0
L-Glutamine,Picolinic acid,1.0
"15-Oxo-11Z,13E-eicosadienoic acid","Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
Isofucosterol,p-Toluic acid,1.0
Neostigmine ,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
1-Cyclopentylethanol,Picolinic acid,1.0
Ethanolamine,Malic acid,1.0
1-Aminocyclopropanecarboxylic acid,"2,2-Diallylpyrrolidine",1.0
"1-Propanamine, N,N-diethyl- ",Arachidonic acid,1.0
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",Niclosamide,1.0
3-Methyladenine,Triethanolamine,1.0
Diphenyl ether,Itaconic acid,1.0
"1,2-Benzenedicarboxylic acid",Myristic acid,1.0
"Benzimidazole, 5-trifluoromethyl-2-methyl-",D-(-)-Citramalic acid,1.0
 5-Hydroxyhexanoic acid,Metanephrine,1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Naphthol,1.0
2-Ethyl-3-hydroxypropionic acid,9-Octadecenoic acid,1.0
Indole-3-lactic acid,Niclosamide,1.0
2-Butenedioic acid,"3-Methylpiperazine-2,5-dione, (R)-",1.0
9-Octadecenoic acid,Glycine,1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-(2,5-Dimethoxy-phenyl)-propionaldehyde",1.0
Indole-3-lactic acid,Methyl aminoacetate,1.0
Deoxycholic Acid,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
Benzophenone,N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1.0
"Propanoic acid, 2-methyl-",Salsoline,1.0
5-Henicosylresorcinol,Phenoxyacetic acid,1.0
2-Methylglutaconic acid,Dodecanoic acid,1.0
2-Methyl-4-pentenoic acid,Levulinic acid,1.0
Methyl-3-methoxy-5-methyl benzoate,Phloroglucinol,1.0
(CH3)2C=NC2H558,"Guanidine, N,N-dimethyl-",1.0
2-Methyl-4-pentenoic acid,"Furan, 2-pentyl-",1.0
1-Cyclopentylethanol,Glycine,1.0
"1,4-Butanediol",Diphenyl ether,1.0
Isopropyl palmitate,Levulinic acid,1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0
Hydantoic acid,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
1-Octanol,phenoxyethanol,1.0
2-Naphthol,"3,5-Dimethylpyrazole",1.0
"Acetin, bis-1,3-trimethylsilyl ether","N-(Trifluoroacetyl)-N,O,O'-tris(trimethylsilyl)normetanephrine",1.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",Benzophenone,1.0
"Dodecane, 4,6-dimethyl-",N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1.0
Methyl aminoacetate,Methylmalonic monoamide,1.0
2-Hydroxybutyric acid,"3-Methylpiperazine-2,5-dione, (R)-",1.0
Levulinic acid,Phenoxyacetic acid,1.0
"15-Oxo-11Z,13E-eicosadienoic acid","2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",1.0
Deoxycholic Acid,Itaconic acid,1.0
Neostigmine ,Propylamine,1.0
Benzeneacetic acid,Glycolic acid,1.0
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",Pentadecanoic acid,1.0
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Picolinic acid,1.0
4-Hydroxybenzaldehyde,"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",1.0
"1,3,5-Trimethyl-1H-pyrazol-4-amine",3-Hydroxyisovaleric acid,1.0
3-Hexenedinitrile,3-Methyladenine,1.0
3-Hydroxyisovaleric acid,Phlorizin,1.0
10-Heptadecenoic acid,"Propanetriol, 2-methyl-",1.0
4-(Trimethylsilyoxy)-3-penten-2-one,"Propanetriol, 2-methyl-",1.0
"15-Oxo-11Z,13E-eicosadienoic acid",Nonanal,1.0
"3-Buten-2-one, 3-trimethylsilyloxy-","Acetamide, N,N-diethyl-",1.0
3-Hexenedinitrile,Norketamine,1.0
"Benzaldehyde, 2,5-dimethyl-",D-Fructose,1.0
"1,4-Butanediol",D-Fructose,1.0
3'-Hydroxyacetophenone,Heptadecanoic acid,1.0
4-(Trimethylsilyoxy)-3-penten-2-one,Tris(trimethylsilyl)carbamate,1.0
Levulinic acid,Phloroglucinol,1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Pimelic acid,1.0
Benzophenone,Indole-3-lactic acid,1.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde","Propanoic acid, 2-methyl-",1.0
Isofucosterol,Pantolactone,1.0
"2,4-Diamino-6,7-dimethylpteridine","Propanoic acid, 2-methyl-",1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene","Acetin, bis-1,3-trimethylsilyl ether",1.0
"4-Fluoroaniline, N-trimethylsilyl-",Niclosamide,1.0
"Cholest-7-en-3-ol, (3beta,5alpha)-","Pregn-16-en-20-one, 3,18-bis(acetyloxy)-14,15-epoxy-, (3beta,5alpha,14beta,15beta)-",-1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",L-Threitol,1.0
"3-Methylpiperazine-2,5-dione, (R)-","Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
"1,4-Butanediol",Triethanolamine,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,Tris(trimethylsilyl)carbamate,1.0
4-(Trimethylsilyoxy)-3-penten-2-one,Levulinic acid,1.0
Isopropyl palmitate,Methylmalonic monoamide,1.0
2-Ethyl-3-hydroxypropionic acid,"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",1.0
"Furan, 2-pentyl-","Stigmast-5-ene, 3beta-",1.0
2-Hydroxybutyric acid,Picolinic acid,1.0
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE","6,8-Dioxapentadecane",1.0
Pentadecanoic acid,Picolinic acid,1.0
Myristic acid,Valylglycine,1.0
3-Hydroxyisovaleric acid,N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1.0
Hydracrylic acid,Phenylalanine,1.0
"Benzaldehyde, 2,5-dimethyl-","Benzimidazole, 5-trifluoromethyl-2-methyl-",1.0
Butanedioic acid,Uridine,1.0
"Cholest-7-en-3-ol, (3beta,5alpha)-","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
Nonanal,Pimelic acid,1.0
"Benzaldehyde, 2,5-dimethyl-","Benzoic acid, pentadecyl ester",1.0
N-Isovaleroylglycine,Triethanolamine,1.0
