NAME,CSF_109_21122021,CSF_110_21122021,CSF_113_20122021,CSF_89_PROVA_07122021,CSF_96_20122021,CSF_70_21122021,CSF_97_21122021,CSF_129_21122021,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,DSS_91_120224,DSS_117_120224,DSS_907_120224,DSS_T3.6_090224,DSS_912_120224,DSS_T5.7_120224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224,956_CSF_24H_080224,957_CSF_24H_080224,959_CSF_24H_080224
,DSS_T1,DSS_T1,DSS_T1,DSS_T3,DSS_T5,DSS_T5,DSS_T5,DSS_T5,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T3,DSS_T3,DSS_T3,DSS_T3,DSS_T5,DSS_T5,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_24H,LPS_24H,LPS_24H
"1,2-Bis(trimethylsiloxy)cyclohexene",1019113.233,0,0,0,0,0,0,0,0,0,902467.912,0,248785.297,0,0,952037.4989,0,0,0,0,0,127760.3524,0,0,0,0,0,0,0,0,0
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",62103.49394,0,131628.3158,0,0,26603.57249,0,0,235.3502939,0,0,1615.212975,39883.96214,0,0,0,386559.4902,0,0,0,0,0,0,0,0,1541.699673,0,0,0,1596.593595,0
"1,2-Cyclohexanediol, (Z)",0,0,208327.2438,15617.14813,0,141896.4349,86050.77252,117515.6687,167745.3671,116728.4608,140949.9702,121502.2842,181449.2043,197127.2884,185567.564,0,180413.8736,152570.9942,177412.1996,376422.0486,330940.0542,0,150040.502,151516.7469,225082.0427,155482.0958,106983.5913,138545.5562,76410.4528,115152.7243,112541.1267
"1,3-Butanediamine",0,76430278.07,70981527.52,0,3557165.738,130124189.9,119982516.5,39253394.87,0,0,0,0,0,0,0,0,0,0,0,65718504.24,0,0,0,0,0,0,0,0,0,0,0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",415664512.7,398503218.9,371458620.3,299266975.9,339329116.6,240731210.2,269647450.5,358687806.1,380391039.3,305289426.5,321853568,236845231.5,267873356,303239769.5,272429370.1,211830273.7,254376961.5,362091698.8,372563852,244159530.5,103847109.5,216737593.4,248030429.3,175323437.6,306232478.2,742889541,299722359.9,307814908.3,310779694.2,452056796.6,278008753.6
"1,3-Propanediol",2051.203443,3396.003804,2610.185338,2845.801211,3168.107698,2087.298513,1858.537279,2389.878176,0,0,0,0,0,0,0,17797.79761,0,0,12192.42906,0,0,0,0,0,0,0,0,0,0,0,0
10-Undecynoic acid,12720.57892,11988.47849,0,0,8990.840614,0,938.6518132,17151.71857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111254.8366,0,0,0,0,0,0,0,0
"13-Docosenamide, (Z)",19389.30265,37300.16646,36954.08977,65836.01275,25269.19126,36537.1872,24351.52204,33100.40049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81236.56312,0,0,0,83381.46217,164393.2642,0,38014.82133,0
1-Butanol,92711846.5,92183231.94,77808917.49,97955790.53,83561780.13,63890980.43,65653090.39,84785852.37,161347664.8,0,0,135338568.1,131718427.9,0,0,0,122245178.5,111838858.8,163666024.4,106875256.1,0,98955214.82,107456564.6,71637526.91,0,0,0,0,99107330.64,126413200,121608484.1
"1-Heptanol, 2-propyl-",0,0,0,7965009.892,4958411.719,2050175.756,3940008.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080960.988,1464070.627,1635868.062,2056022.595,1164532.482,1456199.616,1722881.341,2057670.691,0
1-Hexacosanol,8714.878225,0,0,0,1160.265667,0,1509.920504,1270.701042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462.897702
1-Octadecanol,1063.822368,1082.688608,987.9886034,379.1182027,1210.735122,0,965.8849904,1053.042549,375.9386047,0,1328.753757,0,842.8895487,1845.226038,1171.842043,0,1248.421022,0,0,0,487.2821111,0,873.8762341,2037.286933,685.1476175,2467.048508,876.2535424,0,0,760.4134132,0
"1-Octanol, 2-butyl-",101887137.7,20414514.96,59727025.94,128950097.2,47320978.55,38998430.79,43405758.45,44354391.39,99999839.94,58871974.36,63778066.18,53756073.29,75778582.15,36465805.67,58774108,24648091.71,62731788.12,52737171.21,34518917.68,19917960.86,9440684.004,32865035.58,35757536.36,38164165.76,54411176.27,132649624.8,45539347.15,35652465.62,46707083.34,56533465.55,46107343.89
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",13558049265,12086094113,9355027465,4207787037,6544323900,6225511021,6176751946,6818855468,0,0,0,0,19924236131,0,0,0,5689303424,0,0,0,1.68223E+11,0,0,0,0,81082210871,1.3971E+11,0,0,0,0
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",177.5014588,92.38268238,92.73747911,231.7703538,52.09036675,142.0251876,92.89384766,48.46779123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.71977391,0,0,0,89.36004942
"2(5H)-Furanone, 4-(hydroxymethyl)",492014.024,491134.6741,739981.0416,1997072.494,536591.0786,509516.8803,512929.1395,557434.8169,349232.563,583069.3757,508492.4497,399558.0947,759249.4902,681543.942,638363.5188,649878.6676,575937.7719,714998.1292,567414.2978,716584.5951,426858.1281,662394.8042,423280.4101,533107.4982,582670.3476,324897.4899,508082.5367,816362.1085,544842.1525,477440.6854,738892.6965
"2-(Ethylamino)ethanol, N-acetyl",3959823506,3631932574,3450662709,4136344661,3407654250,3366683401,3474162089,3250380024,5280069988,3733498137,3238690623,2844585189,3340362041,2830435281,3409852979,2703870410,2941752609,2985836413,2597090028,2980334518,2548927250,2854154682,2994721805,3156119162,3653561791,5667640319,2507848934,2950893293,2971526642,3669858566,3514673388
2-(Methylamino)ethanol,119569688.7,103352162.5,81352838.8,81553694.56,82905455.96,94899895.93,95289657.54,94041444.68,117241216,93174496.25,74120415.8,80242154.81,73599241.24,82089206.35,84425772.79,65393709.52,80385945.24,92580882.81,69035656.31,84614477.01,38510759.99,71781687.63,94184374.28,89320649.35,106613360,158120791.2,73020991.66,293896.8567,80995764.51,103882277.7,101650708
"2,2'-Bipyridine",3509565.885,3270792.569,2542746.206,7940993.861,2763839.99,2150594.272,2123278.517,2319418.119,4127308.102,3102063.779,2362766.374,2293027.014,2847835.508,2733226.924,3584958.215,2399885.256,2055569.302,2729711.961,1352931.521,2662076.276,1817478.658,2819845.473,2224100.005,2219857.695,3018883.756,3389479.651,1714114.699,1929917.567,2471889.315,2931314.092,3013079.046
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",632287.4683,0,171948.304,0,673246.6872,246285.3146,627053.302,122032.9029,34161.07088,347353.6403,210328.5889,180971.2224,368751.1381,512061.3233,450518.5841,31582.54065,409578.558,276949.5648,453587.2217,290387.4784,293681.2361,186878.7198,175030.4635,303758.2558,274869.4952,0,213069.5199,298584.8682,262748.0629,247068.9606,433126.8911
"2,3-Dihydroxybutanoic acid",0,1920276010,1964844892,3216248992,1737874615,708719413.2,5610574325,1411426262,2174346407,0,3438710149,3175980638,4029385350,602121879.1,0,0,3418463020,3394068790,1326409736,0,67589111.14,2473065804,2580444125,0,3051622657,2095415485,2247194781,0,2532538059,2698135499,3064176740
"2',3'-Di-O-acetyladenosine",0.0002887,5.58655E-06,0,0,3.92092E-07,0,0,0,0,0,0,5.52273E-07,2.16377E-05,0,4.72357E-05,1.65533E-05,0,2.52113E-05,9.92854E-05,0,2.81217E-06,3.17208E-05,0,3.32813E-05,2.47215E-05,0,0,5.80056E-05,8.31218E-05,0,8.01311E-05
"2,4,4'-Trihydroxybenzophenone",1106311.353,918706.1512,700647.4803,282991.9697,1031199.439,1289948.732,1432593.196,1170763.751,1948296.38,1338047.059,990824.5686,788850.1799,580402.5949,986899.1412,1057071.445,590646.4992,836578.4053,948925.8481,1309538.212,508674.8763,327978.0263,378251.8481,525310.0517,713347.6594,852494.0803,2507888.733,719249.2913,706534.5623,617310.8199,1357320.462,1194615.448
"2,4,6-Cycloheptatrien-1-one",25981217.13,19417476.71,0,0,1122982.158,0,0,1377765.531,6870425.262,0,33706514.91,0,20165248.66,32821251.24,4062844.225,6320633.92,86106079.32,22949555.77,55736460.26,13883571.63,25351106.12,13493772.63,0,0,0,181130855.6,3312202.08,9313334.403,7003741.429,7760880.628,606419.8046
"2,4-Dihydroxyacetophenone",2838140.02,902448.7972,4313962.681,262580220.2,168603183.2,4836086.767,528112.7355,2632978.013,0,0,0,0,0,0,0,0,0,0,0,0,0,67645375.06,0,0,0,0,0,0,0,0,0
"2,4-Dimethoxybenzaldoxime",139688.4546,112507.758,18518.78034,645410.2774,27163.85017,11917.68476,8981.732964,19666.73092,0,0,0,0,0,0,0,0,0,0,0,0,0,495632.767,251484.4159,924334.9552,0,0,0,0,0,0,0
"2,4-Di-tert-butylphenol",5461779.799,3736389.42,5654703.225,20113598.92,6099596.28,5763584.787,6768542.492,4682352.396,14603856.93,9397574.583,8677284.148,9132575.201,8750492.309,8616896.113,12448052.66,9841693.835,3953764.347,11107920.33,0,8986309.424,6622432.176,7050188.656,0,0,0,925905.8471,0,0,21205619.36,20696448.78,8087576.872
"2,4-Imidazolidinedione, 5,5-dimethyl",14948408.53,4539566.737,1214607.971,0,2188523.781,0,0,843167.5835,8891177.457,2223676.737,1379342.983,1847466.846,634197.052,348120.5502,587743.5234,368348.2208,1252250.518,247731.5169,146995.2752,201468.8534,511496.6468,4419.700505,1354936.954,644499.0536,1760064.567,7493864.511,412839.8001,556437.1993,1493093.065,4376760.37,1477329.203
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",9470491.185,4545410.59,0,0,805429.146,0,0,293907.3501,3913386.036,1594900.577,732250.1991,317611.9217,0,677422.5881,1519787.283,629028.3821,485613.7475,153461.1782,248600.1393,198652.6729,883874.4916,0,1407504.59,441365.4161,2513526.182,2912727.403,277621.7275,149247.5803,465907.8005,2547690.669,1176546.872
"2,5-Dimethoxybenzhydrazide",33159721.99,34899708.8,22616961.59,170044934.7,26559035.64,0,25987307.15,32956088.22,8547734.419,24612551.07,42680141.02,31103573.94,63758295.65,34482636.65,32894918.4,21693186.65,41904421.97,43625908.26,24215724.88,30373452.87,0,40447116.11,11781577.02,28731713.39,42156916.9,21761974.84,39650095.59,59986375.75,32712721.53,45428641.52,54263504.31
