Name,Tissue,"BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics"
Trappc14,Choroid Plexus,808.8,89.1,,77.2,,81.6,,32.2,,26.9,,26.3,,65.3,2689.3,96.2%,347.1,55.6%,5106.8,98.3%,2512.2,92.2%,1837.8,93.9%,9456.8,96.7%
Map9,Choroid Plexus,,33.0,,41.0,,41.1,,47.5,,52.2,,55.1,,61.9,93.4,40.4%,301.5,53.7%,1238.6,78.0%,1385.8,80.1%,876.7,78.7%,3501.2,78.9%
Agrn,Choroid Plexus,1129.4,93.0,777.4,86.4,807.1,91.2,,34.4,,23.8,,23.1,,27.6,1852.6,92.3%,37.1,31.6%,3006.7,94.0%,827.7,67.1%,568.8,66.9%,4403.2,84.4%
Exph5,Choroid Plexus,1205.5,93.7,,32.5,,44.9,866.2,89.9,,26.4,,33.2,,45.6,201.7,49.4%,207.1,48.8%,787.5,66.1%,701.1,61.9%,552.4,66.1%,2040.9,64.2%
Dap3,Choroid Plexus,,72.0,,58.8,,67.3,,24.6,,0.0,,0.0,,21.8,492.5,67.4%,11.5,25.2%,442.4,53.4%,19.6,19.7%,29.8,25.4%,491.8,32.6%
Morn4,Choroid Plexus,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,8.8%,0.0,9.0%,90.1,31.9%,95.4,31.0%,200.0,46.3%,385.5,29.3%
Dnajc21,Choroid Plexus,,60.0,,58.7,,60.3,,44.5,,50.0,,52.6,,69.4,773.8,76.8%,402.4,61.7%,682.9,61.3%,651.9,59.5%,415.1,59.6%,1749.9,59.2%
Wbp11,Choroid Plexus,2014.9,97.3,2264.1,98.5,1480.0,97.8,826.3,89.2,1766.1,97.0,879.5,92.3,7021.4,99.5,6837.4,99.6%,3564.8,98.0%,11132.2,99.9%,8673.6,99.8%,7105.0,100.0%,26910.8,100.0%
Ptges3,Choroid Plexus,,37.4,,0.0,,23.4,,28.3,,0.0,,18.5,,0.0,241.7,52.6%,229.3,50.0%,4.6,16.7%,8.7,17.0%,0.0,7.1%,13.3,13.0%
Fcf1,Choroid Plexus,,80.4,,25.2,,37.6,,78.8,,30.9,,57.7,,54.2,542.2,69.1%,432.0,62.9%,871.4,69.4%,877.4,68.8%,611.9,68.5%,2360.8,68.4%
Plgrkt,Choroid Plexus,,39.1,,81.6,586.1,85.7,,33.9,,65.1,,59.9,,28.1,53.4,35.8%,49.0,33.5%,408.1,52.3%,457.3,51.4%,864.6,78.1%,1730.0,58.8%
Ttf1,Choroid Plexus,837.7,89.7,,70.4,,79.1,1747.9,97.0,,69.6,,83.0,1768.3,87.2,1029.8,82.5%,1952.2,92.4%,2609.2,92.1%,1857.5,86.8%,1115.1,84.5%,5581.8,89.8%
Ankmy2,Choroid Plexus,,,,70.5,,77.0,,,,0.0,,0.0,,,,,,,2249.0,89.7%,699.0,61.4%,404.0,58.4%,3352.0,77.8%
Usf3,Choroid Plexus,1414.8,95.2,1294.8,94.5,1261.4,96.5,795.3,88.4,837.7,87.2,704.0,89.2,1714.5,86.7,1765.9,91.8%,708.7,74.0%,2579.2,92.0%,2574.1,92.7%,1475.9,90.3%,6629.2,93.0%
Arid2,Choroid Plexus,,63.7,,57.0,,65.7,,0.0,,0.0,,0.0,,0.0,370.0,59.7%,0.0,9.0%,381.1,50.8%,12.5,18.2%,243.9,49.4%,637.5,36.0%
Zkscan8,Choroid Plexus,,77.5,,76.1,,77.6,,0.0,,0.0,,27.8,,28.2,1010.2,82.2%,1.1,20.3%,1564.6,83.0%,1491.5,82.1%,838.7,77.5%,3894.8,81.6%
Chmp4c,Choroid Plexus,,66.0,,80.4,,84.0,,0.0,,22.4,,20.2,,0.0,379.2,61.3%,0.0,9.0%,1182.7,77.0%,200.0,39.4%,129.5,39.8%,1512.2,54.5%
Zfp975,Choroid Plexus,,78.6,1314.3,94.7,1134.9,95.8,,64.9,1014.1,90.5,855.5,91.8,,60.7,867.5,79.2%,390.5,61.1%,870.4,69.4%,823.6,66.9%,423.2,60.1%,2117.2,65.0%
Bhmt2,Choroid Plexus,,77.8,,56.2,,66.7,,43.5,,39.0,,40.9,,63.0,754.4,76.0%,146.8,43.6%,1024.0,73.2%,403.7,49.3%,526.1,65.0%,1953.8,62.9%
Silc1,Choroid Plexus,,0.0,,78.7,590.5,85.9,,63.5,,78.3,610.7,86.5,,48.8,0.0,8.8%,369.0,58.6%,298.8,47.2%,178.1,37.9%,1009.8,81.9%,1486.8,54.3%
Fn3krp,Choroid Plexus,2213.8,97.6,5082.1,99.9,5007.6,100.0,,30.9,844.6,87.2,712.1,89.3,,44.5,4687.4,98.8%,43.1,32.9%,2085.7,88.5%,1003.1,72.0%,645.7,69.6%,3734.4,80.1%
Cog8,Choroid Plexus,,81.5,,68.3,,74.7,,69.6,,65.8,,69.4,,35.0,557.3,69.6%,563.0,68.2%,1769.2,85.0%,1964.7,87.7%,1066.6,83.1%,4800.4,86.3%
Inpp5a,Choroid Plexus,,27.2,,19.0,,17.4,,77.9,,72.9,,80.3,,18.0,6.3,24.1%,738.2,75.3%,67.4,29.2%,1261.0,78.0%,912.1,79.5%,2240.4,66.7%
Serbp1,Choroid Plexus,,68.3,1785.5,97.5,1155.6,96.0,,54.3,,83.2,,80.9,,83.4,658.0,72.9%,431.1,62.9%,3357.7,95.1%,2320.1,90.3%,1692.9,92.9%,7370.7,94.3%
Fsbp,Choroid Plexus,,0.0,,0.0,,0.0,,70.5,,48.7,,56.7,,0.0,0.0,8.8%,315.3,54.1%,94.9,32.6%,335.0,46.4%,93.1,35.8%,523.0,33.5%
H2az2,Choroid Plexus,,0.0,,83.8,,73.4,,,,80.9,,57.0,,,0.0,8.8%,,,0.0,7.1%,0.0,6.8%,758.0,73.5%,758.0,38.6%
Poglut1,Choroid Plexus,,,,61.0,,43.2,,66.7,1322.2,94.4,1197.0,95.9,,,,,478.7,65.3%,254.2,44.7%,1148.1,75.8%,249.0,49.8%,1651.3,57.4%
Pkn2,Choroid Plexus,915.1,91.0,1056.3,92.0,852.5,92.1,,68.6,,67.2,,68.3,,69.1,1370.2,88.1%,479.1,65.3%,5847.6,99.0%,3733.1,96.9%,2485.9,97.4%,12066.6,98.7%
Wdr38,Choroid Plexus,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
4930412C18Rik,Choroid Plexus,,45.6,,51.6,,52.1,,64.7,,58.4,,65.4,,47.9,95.7,40.7%,378.3,60.3%,752.8,63.9%,530.4,54.6%,290.1,52.2%,1573.3,56.1%
Las1l,Choroid Plexus,,,,,,,,,,,,,,,,,,,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
