ID,Mean Log2 Fold Change Direction (DSS)
ENSMUSG00000038644-P,1
ENSMUSG00000018322-P,1
ENSMUSG00000056054-P,1
ENSMUSG00000062937-P,-1
ENSMUSG00000004040-P,1
ENSMUSG00000018372-P,-1
ENSMUSG00000039804-P,1
ENSMUSG00000024740-P,1
ENSMUSG00000038836-P,-1
ENSMUSG00000006777-P,-1
ENSMUSG00000017405-P,-1
ENSMUSG00000064345-P,-1
ENSMUSG00000040158-P,1
ENSMUSG00000039883-P,1
ENSMUSG00000024253-P,-1
ENSMUSG00000019897-P,-1
ENSMUSG00000031451-P,1
ENSMUSG00000031751-P,1
ENSMUSG00000029623-P,-1
ENSMUSG00000030691-P,-1
ENSMUSG00000036819-P,1
ENSMUSG00000024290-P,-1
ENSMUSG00000017548-P,-1
ENSMUSG00000032555-P,-1
ENSMUSG00000029178-P,-1
ENSMUSG00000035640-P,1
ENSMUSG00000024168-P,-1
ENSMUSG00000001687-P,-1
ENSMUSG00000041438-P,1
ENSMUSG00000029790-P,-1
ENSMUSG00000030703-P,1
ENSMUSG00000008140-P,1
ENSMUSG00000035011-P,-1
ENSMUSG00000001855-P,-1
ENSMUSG00000028826-P,-1
ENSMUSG00000007892-P,1
ENSMUSG00000036499-P,-1
ENSMUSG00000000305-P,-1
ENSMUSG00000026341-P,-1
ENSMUSG00000042010-P,1
ENSMUSG00000021431-P,-1
ENSMUSG00000042729-P,1
ENSMUSG00000047264-P,1
ENSMUSG00000036478-P,-1
ENSMUSG00000032238-P,-1
ENSMUSG00000039323-P,1
ENSMUSG00000030979-P,-1
ENSMUSG00000020608-P,-1
ENSMUSG00000055150-P,1
ENSMUSG00000022941-P,-1
ENSMUSG00000021244-P,-1
ENSMUSG00000022463-P,1
ENSMUSG00000023030-P,1
ENSMUSG00000026784-P,1
ENSMUSG00000031027-P,1
ENSMUSG00000036641-P,-1
ENSMUSG00000027690-P,-1
ENSMUSG00000072772-P,1
ENSMUSG00000033487-P,-1
ENSMUSG00000029550-P,1
ENSMUSG00000096971-P,-1
ENSMUSG00000037664-P,-1
ENSMUSG00000106718-P,-1
ENSMUSG00000002455-P,-1
ENSMUSG00000106365-P,-1
ENSMUSG00000087368-P,-1
ENSMUSG00000024335-P,1
ENSMUSG00000030782-P,-1
ENSMUSG00000051074-P,1
ENSMUSG00000055447-P,-1
ENSMUSG00000021025-P,1
ENSMUSG00000049739-P,1
ENSMUSG00000070858-P,1
ENSMUSG00000024491-P,-1
ENSMUSG00000030079-P,1
ENSMUSG00000055044-P,1
ENSMUSG00000091549-P,-1
ENSMUSG00000032372-P,-1
ENSMUSG00000032009-P,-1
ENSMUSG00000023967-P,1
ENSMUSG00000028041-P,1
ENSMUSG00000031864-P,-1
ENSMUSG00000005131-P,-1
ENSMUSG00000060512-P,1
ENSMUSG00000030560-P,1
ENSMUSG00000053012-P,-1
ENSMUSG00000043639-P,-1
ENSMUSG00000029291-P,1
ENSMUSG00000058492-P,-1
ENSMUSG00000020080-P,1
ENSMUSG00000040701-P,1
ENSMUSG00000041408-P,-1
ENSMUSG00000026687-P,-1
ENSMUSG00000102687-P,1
ENSMUSG00000026029-P,-1
ENSMUSG00000027706-P,-1
ENSMUSG00000071180-P,-1
ENSMUSG00000021254-P,1
ENSMUSG00000064294-P,-1
ENSMUSG00000022312-P,1
ENSMUSG00000019699-P,-1
ENSMUSG00000020477-P,1
ENSMUSG00000023341-P,-1
ENSMUSG00000103657-P,-1
ENSMUSG00000026896-P,-1
ENSMUSG00000020248-P,-1
ENSMUSG00000021482-P,-1
ENSMUSG00000023249-P,-1
ENSMUSG00000087640-P,1
ENSMUSG00000072704-P,-1
ENSMUSG00000020135-P,1
ENSMUSG00000031657-P,-1
ENSMUSG00000046947-P,1
ENSMUSG00000034930-P,-1
ENSMUSG00000022561-P,1
ENSMUSG00000097626-P,-1
ENSMUSG00000031583-P,-1
ENSMUSG00000044317-P,-1
ENSMUSG00000001441-P,-1
ENSMUSG00000037742-P,-1
ENSMUSG00000001054-P,1
