node1,node2
Baiap2l1-C,1700047K16Rik-T
Scg5-C,Shh-T
Niban1-C,Zmym6-T
Sptan1-C,Etv1-T
Sptan1-C,Manea-T
Sptan1-C,Rbm7-T
Sptan1-C,Zfp74-T
Sptan1-C,Exoc5-T
Sptan1-C,B9d2-T
Psma4-C,Habp4-T
Psma4-C,Flnb-T
Psma4-C,Rbm7-T
Psma4-C,Rtl8b-T
Psma4-C,Msi2-T
Pigyl-C,Skic3-T
Pigyl-C,Cbx6-T
Pabpc1-C,Manea-T
Pabpc1-C,Zfp677-T
Selenon-C,Mpst-T
Micall2-C,Cand1-T
Kif2a-C,Gab2-T
Kif2a-C,Dqx1-T
Kif2a-C,Mrgbp-T
Kif2a-C,Zc3hc1-T
Kif2a-C,Smco3-T
Kif2a-C,Tmem229b-T
Lmtk3-C,Rfx1-T
Mfsd3-C,Gm37941-T
Ro60-C,Rnf13-T
Cyyr1-C,Kmt2c-T
Cyyr1-C,Zfp869-T
Cyyr1-C,Zfp677-T
Cyyr1-C,5730408A14Rik-T
Arhgef12-C,Cfap418-T
Arhgef12-C,H3f3a-T
Copg1-C,Rab24-T
Copg1-C,Ankrd9-T
Copg1-C,Tmtc4-T
Copg1-C,D630023F18Rik-T
Copg1-C,Rpl28-ps1-T
Copg1-C,Gm10221-T
Arf2-C,Cables1-T
Slc29a4-C,Rfxank-T
Dynlt2b-C,St14-T
Fhl1-C,Zfp869-T
Ppp5c-C,Cemip-T
Zcchc17-C,Zfp459-T
Arhgap5-C,Atg4d-T
Arhgap5-C,Tor1aip1-T
Arhgap5-C,Yars1-T
Arhgap5-C,Extl1-T
Arhgap5-C,Manea-T
Arhgap5-C,Cfap418-T
Arhgap5-C,Exoc5-T
Arhgap5-C,Gm42727-T
Cmtm8-C,Dalrd3-T
Slk-C,Sypl2-T
Slk-C,Zfp74-T
Slk-C,H3f3a-T
Tmem259-C,Dlg3-T
Tmem259-C,Bclaf3-T
Zbtb37-C,Mterf3-T
Smarca2-C,Zc3hc1-T
Smarca2-C,Rbm7-T
Zfp638-C,B9d2-T
Ccdc18-C,Psme1-T
Ccdc18-C,Brwd1-T
Ccdc18-C,Tor1aip1-T
Ccdc18-C,Gm38077-T
Fam167b-C,Dnajb6-T
Cracr2b-C,Kmt2b-T
Cracr2b-C,Sqstm1-T
Cracr2b-C,Naa40-T
Cracr2b-C,Rps26-T
Cracr2b-C,Atp1b1-T
Cracr2b-C,Nans-T
Cracr2b-C,Mtmr10-T
Cracr2b-C,Rpgr-T
Cracr2b-C,Psmd10-T
Cracr2b-C,Gde1-T
Cracr2b-C,Ptk2b-T
Cracr2b-C,Rtl8b-T
Cracr2b-C,Ftx-T
Cracr2b-C,Cbx6-T
Pawr-C,Psme1-T
Pawr-C,Sp4-T
Pawr-C,Zbtb45-T
Pawr-C,H3f3a-T
Pawr-C,A430018G15Rik-T
Dek-C,Gab2-T
Dek-C,Lrba-T
Gpr19-C,Rhebl1-T
Tomm34-C,Nudt6-T
Mtap-C,Paxbp1-T
Mtap-C,Zpr1-T
Cep95-C,Gab2-T
Cep95-C,Mir9-2hg-T
Cep95-C,H3f3a-T
Ncoa5-C,Dalrd3-T
Ddb1-C,Zfp799-T
Agbl3-C,Dnmt3a-T
Agbl3-C,Pwp2-T
Agbl3-C,Nlgn2-T
Agbl3-C,Arl1-T
Agbl3-C,Itgb1bp1-T
Nek8-C,Abhd11-T
Tax1bp3-C,Cntd1-T
Dync2li1-C,Plcg1-T
Dync2li1-C,Ptch2-T
Dync2li1-C,Flna-T
Dync2li1-C,Mtm1-T
Dync2li1-C,Bclaf3-T
Dync2li1-C,Gm37777-T
Dync2li1-C,Gm43765-T
Dync2li1-C,Gm43420-T
Gas6-C,Rab40c-T
Gas6-C,Plekhg5-T
Gas6-C,B9d2-T
Amfr-C,Mrgbp-T
Amfr-C,Med18-T
Pdap1-C,Gab2-T
Pdap1-C,Mrgbp-T
Pdap1-C,Lrba-T
Pdap1-C,Lrfn5-T
Pdap1-C,Smco3-T
Pdap1-C,Rtl8b-T
Jmjd4-C,Ndst2-T
Jmjd4-C,D630023F18Rik-T
Rock1-C,Mrps18c-T
Rock1-C,Mrgbp-T
Rock1-C,Lrfn5-T
Rock1-C,Zc3hc1-T
Rock1-C,Rbm7-T
Rock1-C,Smco3-T
Suz12-C,Kank3-T
Suz12-C,Gm42727-T
Topbp1-C,Arhgap19-T
Topbp1-C,Gne-T
Topbp1-C,Thap11-T
Topbp1-C,Kdm3b-T
Klf3-C,Zfp677-T
Tmem204-C,Smyd5-T
Ubl3-C,Klhl22-T
Utp4-C,Tcf23-T
Utp4-C,Tnrc18-T
Cep41-C,Neu1-T
Cep41-C,Mto1-T
Cep41-C,Cfap418-T
Zbtb7a-C,Brwd3-T
Maco1-C,Gm37452-T
Eea1-C,Gab2-T
