node1,node2
Micall2-C,Hydroquinone-P
Micall2-C,"L-Lysine, ethyl ester-P"
Lmtk3-C,"Cyclopentanone, 2,2,4-trimethyl--P"
Gm15675-C,Methyl-3-methoxy-5-methyl benzoate-P
Gm15675-C,Oxalic acid-P
Cyyr1-C,5-Hydroxyquinoline-P
Cyyr1-C,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P"
Cyyr1-C,"Cyclopentanone, 2,2,4-trimethyl--P"
Cyyr1-C,DL-Glyceraldehyde-P
Cyyr1-C,Glyceric acid-P
Cyyr1-C,Methyl-3-methoxy-5-methyl benzoate-P
Arhgef12-C,"Benzaldehyde, 2,5-dimethyl--P"
Arhgef12-C,"Benzoic acid, pentadecyl ester-P"
UNKNOWN-C,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate-P"
Telo2-C,"Inosose-2, 1,3,4,5,6-pentakis--P"
Slc29a4-C,Dodecylcyclohexane-P
Slc29a4-C,"N,N-Diethyl-2-aminoethanol-P"
Dynlt2b-C,1-Phenethylamine-P
Dynlt2b-C,10-Heptadecenoic acid-P
Dynlt2b-C,2-Hydroxy-3-methylbutyric acid-P
Dynlt2b-C,5-Hydroxyquinoline-P
Arhgap5-C,"Benzaldehyde, 2,5-dimethyl--P"
Cmtm8-C,1-Hydroxy-3-methoxy-6-methylanthraquinone-P
Cmtm8-C,"Propanoic acid, 2-methyl--P"
Slk-C,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene-P"
Slk-C,Isopropyl palmitate-P
Slk-C,Methyl aminoacetate-P
Tmem259-C,2-Heptenoic acid-P
Tmem259-C,2-Methyl-4-pentenoic acid-P
Tmem259-C,3-Hydroxyisovaleric acid-P
Tmem259-C,4-Hydroxyphenyllactic acid-P
Tmem259-C,Glycine-P
Tmem259-C,Guanabenz-P
Tmem259-C,Octocrylene-P
Mcfd2-C,p-Toluic acid-P
Zfp638-C,Adipoyl-L-carnitine-P
Zfp638-C,Isopropyl palmitate-P
Zfp638-C,Methyl aminoacetate-P
Ndufs3-C,1-Deoxypentitol-P
Ndufs3-C,"Benzaldehyde, 2,5-dimethyl--P"
Ndufs3-C,Isofucosterol-P
Ndufs3-C,Methyl aminoacetate-P
Ndufs3-C,"Stigmast-5-ene, 3beta--P"
Nt5m-C,"1-Phenyl-1,2-ethanediol-P"
Osbp-C,10-Heptadecenoic acid-P
Osbp-C,2-Amino-4-methylphenol-P
Osbp-C,2-Isopropyl-5-methyl-1-heptanol-P
Osbp-C,3-Methoxysalicylic acid-P
Osbp-C,5-Hydroxyquinoline-P
Osbp-C,"6,7,4'-Trihydroxyisoflavone-P"
Osbp-C,Arachidonic acid-P
Osbp-C,beta-Lyxopyranose-P
Osbp-C,DL-Glyceraldehyde-P
Osbp-C,p-Toluic acid-P
Osbp-C,Sertraline carbamoyl glucuronide-P
Pmm2-C,2-Hydroxy-3-methylbutyric acid-P
Pmm2-C,"Azetidine, 1-acetyl-2-methyl--P"
S100a8-C,Hydracrylic acid-P
S100a8-C,Phenylalanine-P
Stat3-C,2-Hydroxybutyric acid-P
Stat3-C,L-Hydroxyproline-P
Stat3-C,Trisaminol-P
Ddb1-C,"1-Butanamine, N,N-diethyl--P"
Nek8-C,Phosalone-P
mt-Nd2-C,3'-(Trimethylsilyl)oxy-beta-naphthoflavone-P
Lrrc17-C,"2-Allyl-1,4-dimethoxybenzene-P"
Lrrc17-C,2-Amino-4-methylphenol-P
Lrrc17-C,"2,3,4-Trihydroxybutyric acid tetrakis-P"
