Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000027374-P,"(2,5-Dimethoxyphenyl)acetone",-1.0,0.0,3
ENSMUSG00000027374-P,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",-0.5,0.6666666666666666,3
ENSMUSG00000027374-P,(4-Fluorophenyl)phenylmethanol,nan,nan,0
ENSMUSG00000027374-P,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.5,0.6666666666666666,3
ENSMUSG00000027374-P,"3,4,5-Trimethoxyamphetamine",-1.0,0.0,3
ENSMUSG00000027374-P,Oxypeucedanin,nan,nan,0
ENSMUSG00000027374-P,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",-0.5,0.6666666666666666,3
ENSMUSG00000027374-P,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-1.0,0.0,3
ENSMUSG00000027374-P,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",-0.5,0.6666666666666666,3
ENSMUSG00000027374-P,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",0.5,0.6666666666666666,3
ENSMUSG00000027374-P,1-(Cyclohexylmethyl)-4-piperidinylamine,nan,nan,0
ENSMUSG00000027374-P,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,-1.0,0.0,3
ENSMUSG00000027374-P,"1,2,4-Butanetriol, (S)",nan,nan,0
ENSMUSG00000027374-P,"1,2-Benzenedicarboxylic acid, butyl octyl ester",nan,nan,0
ENSMUSG00000027374-P,"1,2-Bis(trimethylsiloxy)cyclohexene",nan,nan,0
ENSMUSG00000027374-P,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",nan,nan,0
ENSMUSG00000027374-P,"1,2-Cyclohexanediol, (Z)",-0.5,0.6666666666666666,3
ENSMUSG00000027374-P,"1,3-Butanediamine",nan,nan,0
ENSMUSG00000027374-P,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",-1.0,0.0,3
ENSMUSG00000027374-P,"1,3-Propanediol",nan,nan,0
ENSMUSG00000027374-P,10-Undecynoic acid,nan,nan,0
ENSMUSG00000027374-P,"13-Docosenamide, (Z)",nan,nan,0
ENSMUSG00000027374-P,1-Butanol,nan,nan,0
ENSMUSG00000027374-P,"1-Heptanol, 2-propyl-",nan,nan,0
ENSMUSG00000027374-P,1-Hexacosanol,nan,nan,0
ENSMUSG00000027374-P,1-Octadecanol,nan,nan,0
ENSMUSG00000027374-P,"1-Octanol, 2-butyl-",-1.0,0.0,3
ENSMUSG00000027374-P,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",nan,nan,0
ENSMUSG00000027374-P,"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",nan,nan,0
ENSMUSG00000027374-P,"2(5H)-Furanone, 4-(hydroxymethyl)",-0.5,0.6666666666666666,3
ENSMUSG00000027374-P,"2-(Ethylamino)ethanol, N-acetyl",-1.0,0.0,3
ENSMUSG00000027374-P,2-(Methylamino)ethanol,-1.0,0.0,3
ENSMUSG00000027374-P,"2,2'-Bipyridine",-1.0,0.0,3
ENSMUSG00000027374-P,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027374-P,"2,3-Dihydroxybutanoic acid",-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027374-P,"2',3'-Di-O-acetyladenosine",nan,nan,0
ENSMUSG00000027374-P,"2,4,4'-Trihydroxybenzophenone",-1.0,0.0,3
ENSMUSG00000027374-P,"2,4,6-Cycloheptatrien-1-one",nan,nan,0
ENSMUSG00000027374-P,"2,4-Dihydroxyacetophenone",nan,nan,0
ENSMUSG00000027374-P,"2,4-Dimethoxybenzaldoxime",nan,nan,0
ENSMUSG00000027374-P,"2,4-Di-tert-butylphenol",-1.0,0.0,3
ENSMUSG00000027374-P,"2,4-Imidazolidinedione, 5,5-dimethyl",-1.0,0.0,3
ENSMUSG00000027374-P,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",nan,nan,0
ENSMUSG00000027374-P,"2,5-Dimethoxybenzhydrazide",0.5,0.6666666666666666,3
ENSMUSG00000027374-P,"2,5-Dimethoxybenzonitrile",-0.5,0.6666666666666666,3
ENSMUSG00000027374-P,"2,5-Dimethoxyphenol",-0.5,0.6666666666666666,3
ENSMUSG00000027374-P,"2',5'-Dimethoxypropiophenone",0.5,0.6666666666666666,3
ENSMUSG00000027374-P,"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",nan,nan,0
ENSMUSG00000027374-P,"2-Allyl-1,4-dimethoxybenzene",-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027374-P,2-Amino-4-methylbenzophenone,0.5,0.6666666666666666,3
ENSMUSG00000027374-P,2-Aminoquinolin-8-ol,nan,nan,0
ENSMUSG00000027374-P,2-Butanol,nan,nan,0
ENSMUSG00000027374-P,2-Buten-1-ol,nan,nan,0
ENSMUSG00000027374-P,"2-Butene-1,4-diol",nan,nan,0
ENSMUSG00000027374-P,2-Butenedioic acid,-0.5,0.6666666666666666,3
ENSMUSG00000027374-P,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",0.5,0.6666666666666666,3
ENSMUSG00000027374-P,2-Butoxyethanol,-1.0,0.0,3
