Gene,Metabolite,Sign
ENSMUSG00000037262,L-Valine,1
ENSMUSG00000005514,D-Psicofuranose,-1
ENSMUSG00000005514,N-(2-hydroxyethyl)-succinimide,1
ENSMUSG00000005514,Stearic acid,1
ENSMUSG00000045128,2-Hydroxy-5-methoxybenzaldehyde,1
ENSMUSG00000045128,"D-(+)-Ribono-1,4-lactone ",1
ENSMUSG00000045128,Hymexazole,1
ENSMUSG00000045128,l-Leucyl-l-valine,1
ENSMUSG00000040795,D-Arabinose,-1
ENSMUSG00000031511,4-hydroxy-3-penten-2-one,-1
ENSMUSG00000024805,Cyclohexanecarboxylic acid,1
ENSMUSG00000029198,Thr-Leu,1
ENSMUSG00000029198,Pantolactone,-1
ENSMUSG00000032482,"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",-1
ENSMUSG00000032482,2-Ethylhexanoic acid,-1
ENSMUSG00000021288,Deoxyribopyranose,1
ENSMUSG00000024151,4-hydroxy-3-penten-2-one,1
ENSMUSG00000023243,"2',2,3,6'-Tetramethoxychalcone",-1
ENSMUSG00000023243,L-(+)-Rhamnopyranose,1
ENSMUSG00000052751,D-(+)-Talofuranose,1
ENSMUSG00000020389,Ethanolamine,1
ENSMUSG00000064370,"3,4,5-Trihydroxypentanoic acid",1
ENSMUSG00000064370,"3,4-Dimethoxymandelic acid",1
ENSMUSG00000064370,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",1
ENSMUSG00000064370,Heptadecanoic acid,1
ENSMUSG00000064370,Nonadecanoic acid,1
ENSMUSG00000005580,"Gluconolactone (3R,4S,5R,6R)",-1
ENSMUSG00000005580,Vanillin,-1
ENSMUSG00000035941,2-Ethylhexanoic acid,1
ENSMUSG00000035941,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
ENSMUSG00000035941,9H-Purin-6-ol,1
ENSMUSG00000035941,beta-Alanine,1
ENSMUSG00000035941,"cis-4,5-Dihydroxy-o-dithiane",1
ENSMUSG00000035941,D-(+)-Glucosamine,1
ENSMUSG00000035941,DL-Phenylalanine,1
ENSMUSG00000035941,Hydracrylic acid,1
ENSMUSG00000035941,Kojic acid,1
ENSMUSG00000035941,L-5-Oxoproline,1
ENSMUSG00000035941,L-Aspartic acid,1
ENSMUSG00000035941,L-Glutamic acid,1
ENSMUSG00000035941,L-Threonine,1
ENSMUSG00000035941,L-Valine,1
ENSMUSG00000035941,Methylsuccinic acid,1
ENSMUSG00000035941,"N-Acetyl-D-galactosamine, (R,R,R,R)",1
ENSMUSG00000035941,N-Acetyl-L-glutamic acid,1
ENSMUSG00000035941,N-Ethyldiethanolamine,1
ENSMUSG00000035941,Phenol,1
ENSMUSG00000035941,Salsoline,1
ENSMUSG00000035941,Syringaldehyde,1
ENSMUSG00000035941,Tripropylene glycol monomethyl ether,1
ENSMUSG00000035941,Undecanoic acid,1
ENSMUSG00000035941,Uracil,1
ENSMUSG00000035941,Urea,1
