node,BiBC
1110004F10Rik-C,299.7168848947677
Ro60-C,819.2449131777082
4930556M19Rik-C,812.1715339590277
Smim15-C,2288.62694741191
Npepps-C,20234.00048426791
Pten-C,283.87765779285803
Tagln2-C,588.3023144381461
Sufu-C,0.0
Chmp4c-C,0.0
Zfp383-C,1508.9999999998622
Zfp975-C,2359.091799794502
Ppp1r12a-C,2725.481829545687
Ubl3-C,942.8824288506386
Kras-C,101.50800946918044
Papss1-C,0.0
Bhmt2-C,3586.195458045643
Gas6-C,3203.0269672515037
Amfr-C,3840.58986741166
Prxl2c-C,1923.4269751868665
Tceanc-C,1930.0684814990911
Erbin-C,1782.6917593162098
Fn3krp-C,91.58819250695711
Pqbp1-C,670.5056087512611
Cog8-C,1535.8876762754132
Aqp11-C,0.0
Samd14-C,4923.281874176835
Dhx36-C,741.3170655217003
Inpp5a-C,4.1702724544392105
Pebp4-C,408.34865029207236
Slc25a13-C,1457.2121870607034
Rpn2-C,2334.7534601385396
Fam13b-C,906.926901238865
UNKNOWN_158-C,1990.4473616689622
Cep95-C,16.41712398130667
Plcb4-C,6040.572602205176
Nol8-C,597.2925506458608
Dstn-C,1171.3913982326699
Itch-C,12377.579852333285
Zic2-C,365.79547207769957
Fxr1-C,273.6031068113168
Gxylt1-C,307.09797694069346
Mansc4-C,3259.143870638915
Setbp1-C,1962.465407105708
Mpp7-C,3271.607282585136
Kpna3-C,117.43631338928833
Ube2q2-C,1785.9026888009628
Shoc2-C,912.9516698495135
4930412C18Rik-C,1509.0000000001376
Mrpl28-C,3017.999999999595
Hdgfl3-C,0.0
Hmces-C,4668.357428124624
Kin-C,3017.999999999953
Gm38380-C,3315.3169494202557
Xpc-C,132.073956666726
Nfyb-C,625.4001205840743
Net1-C,0.0
Cep57-C,285.27151267292294
Cfap46-C,0.0
Tmem167-C,0.0
Rora-C,4383.610942574068
Smim10l1-C,84.5235960753023
4921504A21Rik-C,1425.1368055511023
Gsk3b-C,711.499090558866
Cltb-C,3608.288229028896
Gm43339-C,67.73519224098642
Suz12-C,7413.605260029855
Ctdspl2-C,150.35513376619653
Ccdc18-C,4.086923449742081
Brd4-C,4917.278069810099
Camk1d-C,1.5190354621644924
Ccar1-C,7692.867073463941
Prkaca-C,3371.848819743604
Bhlhe41-C,3026.248732701407
Zfp358-C,2969.4862588582287
Arl2bp-C,0.0
Acbd4-C,18268.24346604682
Cyyr1-C,6463.328093917211
Tmem203-C,1192.697285606542
Msh2-C,1352.371134806324
Pdlim5-C,4990.049941673111
Pycr2-C,1888.2413628081238
Scg5-C,1533.7006451738935
Ddb1-C,1451.2029110243377
Igfbp2-C,12018.324339462104
Opa1-C,2711.093351032354
Zfp219-C,0.0
Crygn-C,5.330780426050208
Ccnd1-C,132.7257291386223
Thra-C,1133.4890791795929
Zfp768-C,1672.2683197182187
Ramac-C,8.047901921262739
Ganab-C,6109.308848708065
Wrn-C,0.0
Ddit4-C,8379.296931161654
Dusp1-C,0.0
Mterf4-C,0.0
Clec14a-C,458.0900762326664
Aasdhppt-C,0.0
Dlgap4-C,35.91849782261428
Ilkap-C,0.0
Krt23-C,3028.499993806907
Rnasel-C,1508.9999999999268
Smyd2-C,5147.296632316275
Emc10-C,5250.050815185424
Dcxr-C,1508.999999999896
Tmem87a-C,0.0
Mospd3-C,1508.9999999997458
Nek8-C,4041.109109216421
Acacb-C,7349.501387756786
Gpaa1-C,7656.327323516039
Gprc5c-C,6411.596025506544
Rpp30-C,2242.5425332327172
Iqcc-C,0.0
Nup214-C,3993.37730295142
Pcgf5-C,119.81634965054793
Grpel1-C,3386.5801738997693
Gm15675-C,2267.9603274103974
Afg3l1-C,5241.1944142804905
Ube3c-C,0.0
Dynll1-C,2710.3335218588704
Igfbp6-C,0.0
Cspg5-C,1603.1115767227582
Cbarp-C,142.18738986311402
Klc1-C,0.0
Ap3s2-C,3044.9514548032203
Aldh9a1-C,127.49035911370179
Heatr3-C,158.03080034828653
Zfp36l2-C,6068.627485026342
Psmd8-C,3653.7738234677918
Atp5me-C,4185.364287849836
Repin1-C,0.0
mt-Cytb-C,1509.0000000001191
Prpf6-C,4533.974936726071
Ints11-C,0.0
Adcy9-C,0.0
Map3k5-C,4430.476419263556
Sin3a-C,1484.8324087742415
Stag2-C,1224.236550016006
Klf3-C,376.56304969289494
Slc17a5-C,1898.1690059900213
Pknox2-C,0.0
Klhl18-C,1508.9999999999184
Mrps24-C,2074.9954433159646
