node,BiBC
N-Isobutyrylglycine-F,0.0
Ckmt1-S,3.2351603440419225
Ggct-S,2.0
Snap47-S,1.472707773187313
Pea15a-S,0.0
Mpped2-S,2.52164441309178
H13-S,0.7034252297410192
Cdk17-S,0.0
Psmc5-S,0.16753841124550506
Abi2-S,3.1861971332088417
Rbms1-S,0.0
Prps1-S,0.18181818181818182
Rbm8a-S,1.0
Dock3-S,4.35788819024113
Tbc1d22b-S,0.11458333333333334
Mrps12-S,0.36229066985645936
Trank1-S,2.599195431761221
Acvrl1-S,0.8578088578088576
Calb2-S,0.0
Rxrg-S,0.0
Rarb-S,3.635769025593893
Adora2a-S,0.0
Fkbp1b-S,0.0
Vti1b-S,0.49999999999999994
Strn-S,0.5454545454545455
Kcnab1-S,3.48986813475557
Agbl5-S,0.0
C2cd2l-S,0.0
Jcad-S,0.0
Rundc1-S,0.0
Dgki-S,0.7607485107485106
Scube3-S,1.6875
Basp1-S,0.0
Gng7-S,2.7051300007182353
Slc35d3-S,6.692023676350793
Kcnip1-S,0.0
Spock3-S,0.0
Fxyd6-S,0.0
Gpr88-S,1.475324675324675
Tlnrd1-S,0.0
Htr1d-S,1.3846153846153846
Gm6556-S,0.0
Tcf7-S,0.0
Rnf144a-S,1.7769243183716867
Sec14l1-S,2.4578685203685193
Cacna2d3-S,3.014462221806749
Fbxl16-S,1.7946381104275841
Tgfa-S,0.0
Penk-S,2.241209126271045
Hspa1a-S,0.0
Fsbp-S,0.0
Slc5a5-S,2.5802049315207203
Zim1-S,0.0
Amz2-S,0.16666666666666666
Cacng4-S,0.0
Coch-S,0.0
Rhobtb2-S,4.521807675755043
Laptm4b-S,0.0
Adcy5-S,2.9304666322619606
Msh2-S,0.0
Fkbp4-S,0.20833333333333331
Col6a3-S,1.1481481481481481
Grb2-S,0.75
Zfp512b-S,0.0
Klf16-S,1.4273339598997494
Cisd3-S,0.6086956521739129
Dnajc5-S,0.09375
Hbp1-S,0.0
Wif1-S,0.0
Erlin1-S,2.7733258764799005
Nop56-S,0.7354166666666665
Scap-S,1.1739884749753169
Arel1-S,5.752696608946609
Slc24a3-S,2.0903203989810777
Gm37124-S,0.0
Luzp1-S,0.0
1500015L24Rik-S,0.10153920153920154
Kctd10-S,0.0
Cyria-S,1.4901348919483963
Ckb-S,0.0
Efnb2-S,2.1423576423576423
St8sia5-S,0.14285714285714288
Gtf3c1-S,1.0526315789473684
Acadm-S,0.038461538461538464
Gm29325-S,1.0
Jup-S,0.0
Ctnna1-S,1.0
Tspan33-S,0.05194805194805195
Npr2-S,1.051948051948052
1700017B05Rik-S,1.0000000000000002
Esam-S,1.0625
Naa40-S,0.0
Enho-S,2.4427206851119894
Emd-S,1.0
Aldh3a2-S,0.0
Tmx3-S,1.5294117647058827
Pnck-S,0.19523809523809524
Ly6h-S,0.0
Ift46-S,1.0
Derl1-S,3.25
