Gene,Metabolite,VECPAC r,LPS r,DSS r,Pooled Data r,Pooled P-value,Consistent,Sign
ENSMUSG00000000093-B,"2',5'-Dimethoxypropiophenone",-1.0,-0.08571428571428573,0.5,0.26269742562687987,0.40942819487836374,True,+
ENSMUSG00000000093-B,"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",1.0,0.39999999999999997,,0.38095238095238104,0.3518125531175649,True,+
ENSMUSG00000000093-B,"2-Allyl-1,4-dimethoxybenzene",0.5,0.2571428571428572,0.8660254037844387,0.41754385964912283,0.17683856309105328,True,+
ENSMUSG00000000093-B,2-Amino-4-methylbenzophenone,-0.5,-0.09999999999999999,0.5,0.02277910237891026,0.9469975714556126,True,+
ENSMUSG00000000093-B,2-Aminoquinolin-8-ol,,,,-0.5,0.6666666666666666,True,-
ENSMUSG00000000093-B,2-Butanol,,,,,,False,
ENSMUSG00000000093-B,2-Buten-1-ol,,,,0.05797710356524484,0.9131317851623264,True,+
ENSMUSG00000000093-B,"2-Butene-1,4-diol",,0.7999999999999999,,-0.2571428571428572,0.6227871720116619,True,-
ENSMUSG00000000093-B,2-Butenedioic acid,,0.14285714285714288,1.0,0.16363636363636366,0.6306852146425358,True,+
ENSMUSG00000000093-B,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",0.8660254037844387,-0.028571428571428574,0.5,0.3964912280701755,0.20194511740261023,True,+
ENSMUSG00000000093-B,2-Butoxyethanol,1.0,0.7714285714285715,0.5,0.4868658954951507,0.10844282195191483,True,+
ENSMUSG00000000093-B,2-Cyanobenzaldehyde,,0.39999999999999997,,-0.14494275891311212,0.7841083696021083,True,-
ENSMUSG00000000093-B,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",-0.5,0.3,-1.0,0.25512594664379495,0.44896812615545156,True,+
ENSMUSG00000000093-B,"2-Cyclohexen-1-one, 3-methyl-",-0.5,0.3714285714285715,0.5,0.535902748278835,0.0725074830303382,True,+
ENSMUSG00000000093-B,2-Decanol,,0.7,0.5,0.43769199144964654,0.20584999674311066,True,+
ENSMUSG00000000093-B,2-Ethyl-1-butanol,,0.5,,0.0,1.0,False,
ENSMUSG00000000093-B,2-Ethylhexanoic acid,0.5,0.40583972495671394,0.0,0.2618633218076359,0.41097170436459857,True,+
ENSMUSG00000000093-B,2-Ethylhexanol,,,,,,False,
ENSMUSG00000000093-B,"2-Furancarbodithioic acid, methyl ester",,,,,,False,
ENSMUSG00000000093-B,2-Furoic acid,-1.0,0.7999999999999999,0.5,0.03647433262080388,0.9203184602756677,True,+
ENSMUSG00000000093-B,2-Hexanol,0.5,-0.316227766016838,0.5,0.25609756097560976,0.4751054375857136,True,+
ENSMUSG00000000093-B,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",0.0,0.7826908981308054,,0.40503538541835493,0.21655337664399874,True,+
ENSMUSG00000000093-B,"2-Hydroxy-2',4',6'-trimethoxychalcone",,,,,,False,
ENSMUSG00000000093-B,2-Hydroxy-3-methylbutyric acid,,0.48571428571428577,0.5,0.3826889199656924,0.24539329664551962,True,+
ENSMUSG00000000093-B,"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",,,,,,False,
ENSMUSG00000000093-B,2-Isopropyl-5-methyl-1-heptanol,,,,,,False,
ENSMUSG00000000093-B,"2-Methyl-1,3-butanediol",1.0,-0.057977103565244846,0.5,0.22456140350877196,0.4828794759829102,True,+
ENSMUSG00000000093-B,2-Methyl-3-pentanol,,0.6,,0.7500000000000002,0.05218140045705777,True,+
ENSMUSG00000000093-B,"2-Methylcyclohexanol, (Z)",-0.5,0.8406680016960503,0.0,0.27592309747516,0.38534539190387496,True,+
ENSMUSG00000000093-B,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",,0.39999999999999997,,-0.14285714285714288,0.7871720116618076,True,-
ENSMUSG00000000093-B,2-Naphthol,-0.8660254037844387,0.2942449431682498,0.5,0.26584671845580293,0.40362664639577256,True,+
ENSMUSG00000000093-B,2-Norbornanemethanol,,,,-0.5,0.6666666666666666,True,-
ENSMUSG00000000093-B,"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",,,,,,False,
ENSMUSG00000000093-B,2-Pentadecanone,0.8660254037844387,0.7589709258986453,0.5,0.5565510009601891,0.060188686686831666,True,+
ENSMUSG00000000093-B,"2-Pivaloyl-1,3-indandione",,,,,,False,
ENSMUSG00000000093-B,2-Propyl-1-pentanol,,-0.14285714285714288,-0.5,0.05922566618516668,0.8626730467279877,True,+
ENSMUSG00000000093-B,2-Pyrrolidone-5-carboxylic acid,-0.5,-0.028571428571428574,0.8660254037844387,0.26666666666666666,0.402122983175329,True,+
ENSMUSG00000000093-B,"2-Thiophenecarboxylic acid, 4-cyanophenyl ester",,,,,,False,
ENSMUSG00000000093-B,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",0.5,-0.08571428571428573,1.0,0.3362527048024062,0.2852260872486309,True,+
ENSMUSG00000000093-B,3-(4-Methoxyphenyl)coumarin,,-0.5,,0.0,1.0,False,
ENSMUSG00000000093-B,"3,3-Bis{4-[(trimethylsilyl)oxy]phenyl}-2-benzofuran-1(3H)-one",,,,,,False,
ENSMUSG00000000093-B,"3,3-Dimethylacrylic acid",,,,0.7999999999999999,0.2000000000000001,True,+
ENSMUSG00000000093-B,"3,4-Dihydroxybenzaldehyde",0.5,,,0.5,0.6666666666666666,True,+
ENSMUSG00000000093-B,"3,4-Methylenedioxyamphetamine",0.5,0.7999999999999999,,0.6586944440522925,0.07568968784163856,True,+
ENSMUSG00000000093-B,"3,5-Dimethoxy-4-(tert.-butyldimethylsilyl)oxybenzaldehyde",,,,,,False,
ENSMUSG00000000093-B,"3,5-Dimethylphenol",-0.5,0.9999999999999999,0.5,0.3006841514016155,0.3689389905231539,True,+
ENSMUSG00000000093-B,3-Amino-5-methylisoxazole,,-0.08571428571428573,0.5,0.4874727909086796,0.12827587280115219,True,+
ENSMUSG00000000093-B,3-Aminobenzoic acid,,-0.08571428571428573,0.5,0.13636363636363638,0.689309020586362,True,+
ENSMUSG00000000093-B,3-Buten-2-one,-1.0,0.7142857142857143,0.5,0.1015763379090602,0.753434083780813,True,+
ENSMUSG00000000093-B,3-Heptanol,0.5,0.08696565534786728,-1.0,-0.02280701754385965,0.9439122634955388,True,-
ENSMUSG00000000093-B,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,,0.5,0.6666666666666666,True,+
ENSMUSG00000000093-B,3-Hydroxymethyl-2-trimethylsilyloxypentane,,0.19999999999999998,,-0.14285714285714288,0.7871720116618076,True,-
ENSMUSG00000000093-B,3-Methyl-3-buten-1-ol,,0.19999999999999998,,0.2831325301204819,0.4968155042289743,True,+
ENSMUSG00000000093-B,3-Nonene,,,,,,False,
ENSMUSG00000000093-B,3-Phenyl oxindole,,,,,,False,
ENSMUSG00000000093-B,"4,4'-Dichlorobenzophenone",,,,,,False,
ENSMUSG00000000093-B,"4,5-Dihydro-1H-pyrazole",,,,0.7999999999999999,0.2000000000000001,True,+
ENSMUSG00000000093-B,"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",-0.5,0.11595420713048969,0.5,0.021052631578947368,0.9482213939714775,True,+
ENSMUSG00000000093-B,4-Aminobutanoic acid,1.0,0.028571428571428574,-0.5,0.234676366893346,0.4628366435492133,True,+
ENSMUSG00000000093-B,4-Hydroxybutanoic acid,,,,,,False,
ENSMUSG00000000093-B,4-Methoxyphenol,-0.5,0.39999999999999997,,0.34731161595484505,0.39926387420328185,True,+
