ID,75.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,896.0,897.0,T0.5,T0.6,T0.7,T0.8,74.0,71.0,73.0,76.0,77.0
10-Heptadecenoic acid-Feci,2.109113763709528e-06,1.789660733847541e-06,4.212657840889381e-06,,2.109113763709528e-06,2.029559696648541e-06,5.034989201673516e-06,7.05931528934503e-06,2.669672317085981e-05,6.26850602475329e-06,2.0531363709217492e-05,,3.687793914310128e-05,2.0150302283578077e-05,,,,,
3-Aminobutanoic acid-Feci,5.5271362064019945e-06,3.540592791728589e-05,1.5750687473248725e-05,1.2283094544721137e-05,3.181682859142023e-05,5.7092653764501915e-06,3.091647076433165e-05,2.7192928148823935e-05,,,,,,2.620625814779149e-05,,,,,
3-Hydroxypicolinic acid-Feci,2.970422976887245e-05,4.160102815174802e-06,1.9026758404792984e-05,3.31249127950806e-05,2.634354491413347e-05,4.62427317050719e-05,2.0450891638906137e-05,9.544911242431532e-06,2.620625814779149e-05,2.3424094290604043e-05,1.6960764474698314e-05,2.0531363709217492e-05,2.1474984370333077e-05,2.3774837933029484e-05,,,,,
4-Pentenoic acid-Feci,2.3774837933029484e-05,6.22070394707365e-05,0.000114867,5.6920350543708695e-05,0.000124743,5.9080782430912375e-05,7.469526066809781e-05,3.506076244015583e-05,9.36026302870934e-05,9.91039612765908e-05,,,,,,,,,
Acetohydroxamic acid-Feci,2.4096179100994253e-05,7.766967961267407e-07,3.687793914310128e-05,5.0051049970207785e-06,1.7104303034974996e-05,1.5744919334713476e-05,2.8752769713837577e-05,,1.688621935250256e-05,2.215707955705869e-05,1.1267313288645191e-05,1.5090261259838827e-05,2.2406156714051934e-05,1.6512916230487517e-05,,,,,
Argininosuccinic acid-Feci,,,,,,,,1.245868703027494e-06,1.2630604895770523e-05,,,1.1180401768140297e-05,,,,,,,
Butyl caprylate-Feci,1.35160529853322e-05,7.2138788215239956e-06,1.0603883113983254e-05,1.7922328777662263e-05,9.76430696312015e-06,1.4579608703051316e-05,1.573534360876237e-05,1.1902622933739394e-05,3.0241295039425454e-05,,2.3202263247146625e-05,1.55027119377882e-05,,,,,,,
Deoxyglucose-Feci,,,,4.463682502934161e-05,,,,,,,6.092911798553189e-06,,,5.634063006732416e-06,,,,,
Dodecanedioic acid-Feci,1.3763208976609616e-05,3.938520390995757e-05,3.422792770823838e-05,3.7988389220130135e-05,2.5416841227163983e-05,4.1974889587643094e-05,9.443123413624266e-06,1.0859288351675112e-05,,,,,,,,,,,
