brain_name,direction_brain,type_brain,CSF_name,direction_CSF,type_CSF,VECPAC r,VECPAC n,LPS r,LPS n,DSS r,DSS n,non-NaN_treatment_groups,Pooled r,Pooled n,Pooled_r_valid,Pooled FDR,FDR < 0.15,within_model_sign,pooled_sign,predicted_effect_sign,within_model = pooled,number within_model = pooled_n,within_model = predicted,number within_model = predicted,predicted = pooled,number predicted = pooled,all_signs_agree,number all_signs_agree
ENSMUSG00000086825,,CPX,m-Toluic acid,1,CSF,-0.8660254037844387,3,-0.9276336570439176,6,-1.0,3,3,-0.8374767443019988,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000018199,,CPX,Oleamide,1,CSF,-0.5,3,-0.8285714285714287,6,-1.0,3,3,-0.8521338063968386,12,True,0.1320099876980142,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000024170,,CPX,8-Methylnonanoic acid,-1,CSF,-1.0,3,-0.9276336570439176,6,-1.0,3,3,-0.8386016534578921,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000030058,,CPX,Nonanoic acid,1,CSF,0.5,3,0.8207826816681233,5,1.0,3,3,0.855855407918109,11,True,0.1410684749713042,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000050822,,CPX,"3,4,5-Trimethoxyamphetamine",1,CSF,,0,0.8857142857142858,6,1.0,3,2,0.8564942494470258,11,True,0.1410684749713042,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000035133,,CPX,Nonanoic acid,1,CSF,-0.5,3,-0.8720815992723809,5,-1.0,3,3,-0.8467018741435838,11,True,0.1495547607717696,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000013858,,CPX,Azelaic acid,-1,CSF,-0.5,3,-0.9276336570439176,6,-1.0,3,3,-0.8350928599287796,12,True,0.140022595840943,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000004040,,CPX,Triethyl citrate,-1,CSF,,3,-0.3999999999999999,4,-1.0,3,2,-0.8896375227527807,10,True,0.1397937798931622,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000006777,,CPX,"(2,5-Dimethoxyphenyl)acetone",1,CSF,-1.0,3,-0.7714285714285715,6,-1.0,3,3,-0.8546422913727825,12,True,0.1306745075473356,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000006777,,CPX,L-Glutamine,1,CSF,-0.5,3,-0.5217939320872036,6,-1.0,3,3,-0.8546422913727825,12,True,0.1306745075473356,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000017405,,CPX,Aconitic acid,1,CSF,-1.0,3,-0.6087595874350709,6,-0.5,3,3,-0.8421104469870047,12,True,0.1397985201150076,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000019897,,CPX,Aceturic acid,-1,CSF,0.5,3,0.942857142857143,6,,0,2,0.8792733518259361,11,True,0.122825342636201,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
ENSMUSG00000031751,,CPX,Azelaic acid,-1,CSF,-0.5,3,-0.5217939320872036,6,-1.0,3,3,-0.8350928599287796,12,True,0.140022595840943,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000017548,,CPX,"Benzoic acid, methyl ester",-1,CSF,0.5,3,0.8857142857142858,6,0.5,3,3,0.8741258741258742,12,True,0.0995963358968846,True,1.0,1.0,,1.0,2,,1,,1,1.0,2
