brain_name,direction_brain,type_brain,CSF_name,direction_CSF,type_CSF,VECPAC r,VECPAC n,LPS r,LPS n,DSS r,DSS n,non-NaN_treatment_groups,Pooled r,Pooled n,Pooled_r_valid,Pooled FDR,FDR < 0.15,within_model_sign,pooled_sign,predicted_effect_sign,within_model = pooled,number within_model = pooled_n,within_model = predicted,number within_model = predicted,predicted = pooled,number predicted = pooled,all_signs_agree,number all_signs_agree
ENSMUSG00000034786-P,-1.0,CPX,L-Tyrosine,-1.0,CSF,1.0,3,0.9746794344808964,5,,0,2,0.9422535927041,10,True,0.0737815925036755,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000031489-P,-1.0,CPX,Cycloheptanol,,CSF,-0.8660254037844387,3,-0.6667366910003157,6,-1.0,3,3,-0.8677370138446145,12,True,0.1168477764603666,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000029772-P,-1.0,CPX,Mevalonolactone,-1.0,CSF,0.5,3,0.8285714285714287,6,0.8660254037844387,3,3,0.847637026689399,12,True,0.1325910557719748,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000011831-P,-1.0,CPX,"Benzoic acid, methyl ester",-1.0,CSF,0.5,3,1.0,6,0.5,3,3,0.9020979020979022,12,True,0.0759779368267831,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000039194-P,-1.0,CPX,"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",-1.0,CSF,0.5,3,0.5797710356524484,6,1.0,3,3,0.8896686147896997,12,True,0.0856857988081845,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000047141-P,-1.0,CPX,Aceturic acid,-1.0,CSF,0.5,3,0.8857142857142858,6,,0,2,0.9090909090909092,11,True,0.0856857988081845,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000029438-P,-1.0,CPX,Salsoline,1.0,CSF,-1.0,3,-0.7999999999999999,4,-1.0,3,3,-0.9393939393939392,10,True,0.0759779368267831,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000044365-P,-1.0,CPX,"2',5'-Dimethoxypropiophenone",-1.0,CSF,1.0,3,0.7714285714285715,6,0.5,3,3,0.8881118881118882,12,True,0.0856857988081845,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000044365-P,-1.0,CPX,Aceturic acid,-1.0,CSF,1.0,3,0.7714285714285715,6,,0,2,0.9181818181818184,11,True,0.0759779368267831,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000044365-P,-1.0,CPX,Cyclooctylamine,-1.0,CSF,0.5,3,0.8285714285714287,6,1.0,3,3,0.9090909090909092,12,True,0.073507914259473,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000069631-P,-1.0,CPX,Leucylglycine,1.0,CSF,,0,-0.8857142857142858,6,-1.0,3,2,-0.9272727272727272,10,True,0.0856857988081845,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000034349-P,-1.0,CPX,3-Heptanol,1.0,CSF,-1.0,3,-0.9276336570439176,6,-1.0,3,3,-0.9141870411815418,12,True,0.073507914259473,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000017286-P,-1.0,CPX,Pipecolic acid,-1.0,CSF,0.5,3,1.0,6,0.8660254037844387,3,3,0.91068440883985,12,True,0.073507914259473,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000098098-P,-1.0,CPX,Stearic acid,,CSF,-0.8660254037844387,3,-1.0,4,-0.5,3,3,-0.9300954818304988,10,True,0.0856857988081845,True,-1.0,-1.0,,-1.0,2,,1,,1,-1.0,2
ENSMUSG00000024098-P,1.0,CPX,"Propanoic acid, dimethyl(isopropyl)silyl ester",-1.0,CSF,,0,-0.8285714285714287,6,-1.0,3,2,-0.9151515151515152,10,True,0.1093479214197671,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000016487-P,-1.0,CPX,"Benzoic acid, methyl ester",-1.0,CSF,1.0,3,0.942857142857143,6,1.0,3,3,0.8881118881118882,12,True,0.0856857988081845,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000030616-P,-1.0,CPX,"Benzoic acid, methyl ester",-1.0,CSF,0.5,3,0.8285714285714287,6,1.0,3,3,0.8601398601398602,12,True,0.12450000279976,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000078201-P,-1.0,CPX,Isopropylamine,-1.0,CSF,1.0,3,0.7142857142857143,6,0.5,3,3,0.8461538461538463,12,True,0.1325910557719748,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000085945-P,-1.0,CPX,"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester ",-1.0,CSF,0.5,3,0.7826908981308054,6,0.5,3,3,0.8511396590310907,12,True,0.1324456491938759,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000005699-P,1.0,CPX,"Propanoic acid, 3-[(tert-butyldimethylsilyl)oxy]-2-methyl-",1.0,CSF,1.0,3,0.753702346348183,6,,0,2,0.8883849927775,11,True,0.1168477764603666,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000042594-P,-1.0,CPX,"Hymexazole, tert-butyldimethylsilyl ether",-1.0,CSF,1.0,3,0.8285714285714287,6,0.5,3,3,0.9160839160839164,12,True,0.073507914259473,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000071652-P,1.0,CPX,"1,2-Cyclohexanediol, (Z)",1.0,CSF,,0,0.7826908981308054,6,1.0,3,2,0.8883849927775,11,True,0.1168477764603666,True,1.0,1.0,1.0,1.0,2,1.0,2,1.0,2,1.0,3
ENSMUSG00000020074-P,-1.0,CPX,Salsoline,1.0,CSF,-1.0,3,-0.7999999999999999,4,-0.5,3,3,-0.9030303030303028,10,True,0.1265497791365808,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
ENSMUSG00000039813-P,1.0,CPX,Ethanolamine,-1.0,CSF,-0.5,3,-0.2608969660436018,6,-0.8660254037844387,3,3,-0.8526368275743421,12,True,0.1324456491938759,True,-1.0,-1.0,-1.0,-1.0,2,-1.0,2,-1.0,2,-1.0,3
