NAME,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",18.44364753101585,19.231684460146965,21.151060746470215,19.48640441122816,19.231684460146965,18.073627420028597,18.79629647256837,18.341334765599967,18.111048381165052,20.103703710689143,20.103703710689143,19.897989180796905,19.0191024793466,19.32912753583042
(4-Fluorophenyl)phenylmethanol,,,,,,,,18.690460877293813,,,,,,16.809273354576217
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",25.428438411905955,27.781612179109697,27.537929114448303,28.352281155821693,28.240250418618064,27.75557761287251,28.312678844696332,27.307966078624023,25.563679907455917,24.083845383168036,27.307966078624023,30.023863725677423,27.991458308351564,26.191536273070653
"3,4,5-Trimethoxyamphetamine",22.052372390456245,6.418765756154883,23.902039437352883,24.201209259268033,23.67325224625866,24.80064188736185,25.49017716860311,24.007267368086005,17.334103444196106,12.774461728050824,24.42126914300229,,16.271786361240473,13.102861747547983
Oxypeucedanin,,,,,,,,,,,,,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",,24.068325008959206,26.881317460824317,26.150631170402228,26.01822025160093,,24.54729473334675,23.960691759428823,,27.18395569435121,27.75557761287251,23.242024148591835,,23.73250224282098
"1-(2,4-Dimethoxyphenyl)-propan-2-one",16.751898739533114,18.26476035303561,18.645062264835627,18.966124779778433,18.016036798181368,18.341334765599967,,18.268355274327536,18.425027822609295,18.268355274327536,18.268355274327536,14.671424886602871,18.41322576348107,16.192093842670428
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",25.46576478857199,24.984574316554493,24.461469164765127,25.661376626707476,24.89564830732322,26.04922895914876,25.75342201407116,25.411003449099542,25.1388779990735,25.563679907455917,25.563679907455917,24.83242295383012,25.12069417538897,25.405475180660023
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",17.032517792139746,21.57610029885488,20.241468570248152,21.151060746470215,22.052372390456245,19.103649521084773,22.308101004564065,20.277009041550073,17.915032702075422,21.92473531322902,22.119008710507533,,20.906165404992844,22.03155120473743
1-(Cyclohexylmethyl)-4-piperidinylamine,,14.721950143634658,16.0096350005351,,7.519992267316956,14.842955445267954,10.874838034619826,11.919160545104909,,14.097918227282564,12.45689987149377,,14.671424886602871,11.29450051609524
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,19.08459707800094,18.704118339747176,19.016398589112107,19.411099823967515,18.26476035303561,18.503715336533933,18.88304457806842,18.615783878328397,19.0528864936294,18.503715336533933,18.503715336533933,18.353113049672597,18.20013887370956,18.286433311445407
"1,2,4-Butanetriol, (S)",,,,,,,17.630843386281523,,,,,,,
"1,2-Benzenedicarboxylic acid, butyl octyl ester",,,,,,,,,,,,,25.811373082201495,
"1,2-Bis(trimethylsiloxy)cyclohexene",,,20.06409663854958,,17.141426024893484,,,,,,,,,17.013817183224848
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",12.304265137946077,,,12.074472592639612,12.769349172245516,,,,10.874838034619826,,,,,
"1,2-Cyclohexanediol, (Z)",17.376631978072023,16.38814902265299,17.43876252190187,17.376631978072023,16.550509211372866,17.038431164494483,17.48524454212405,17.206100866766985,17.038431164494483,17.170837980632978,16.92839425422635,18.433557831442,18.662893946616123,
"1,3-Butanediamine",,,,,,,,,,,,25.77189921675274,,
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",27.99603156129419,28.115326655776578,28.115326655776578,28.828859940472153,27.843879568150907,28.61924572497919,27.544289538328737,27.889209398989056,28.61924572497919,28.155197061614174,28.155197061614174,27.378909575895676,27.066313751719058,27.834474566875745
"1,3-Propanediol",,,,,,,,,,,,,,
10-Undecynoic acid,,,,,,16.460274064665835,,,,,,,,
"13-Docosenamide, (Z)",,,,,,15.808642332997364,,,,16.92839425422635,17.206100866766985,,,
1-Butanol,26.881317460824317,,,27.99603156129419,27.15311609798288,26.89344032575907,26.585139896368304,,,,,26.259584234441903,,26.773300188563905
"1-Heptanol, 2-propyl-",,,,,,20.904438043033803,21.096965637930506,20.103703710689143,20.565973760856775,20.904438043033803,20.277009041550073,,,
1-Hexacosanol,,,,,,,,,,,,,,
1-Octadecanol,12.769349172245516,,10.491064376645618,,3.5347127996733056,9.273374934180964,12.774461728050824,8.805640447572472,11.919160545104909,11.397624723125212,,,8.881126703359557,
