node1,node2
Smurf1,4-Methoxyphenol
Inpp4a,"1-(2,4-Dimethoxyphenyl)-propan-2-one"
Ccar1,Salsoline
Mpnd,Isopropyl palmitate
Kmt5b,"3,5-Dimethylphenol"
Acbd4,4-Methoxyphenol
Slain2,Benzyl alcohol
Slain2,Oxalic acid
Tbc1d2,Azelaic acid
Tbc1d2,Ethanolamine
Zbtb39,"Benzenesulfonamide, N-butyl"
Zbtb39,Isopropyl palmitate
Zbtb39,Norketamine
