brain_name,direction_brain,type_brain,CSF_name,direction_CSF,type_CSF,VECPAC r,LPS r,DSS r,Pooled r,Consistent,within_model_sign,predicted_effect_sign,within_model = pooled r,within-model = predicted,pooled = predicted,all_signs_agree
ENSMUSG00000001418-B,-1.0,RBN,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001418-B,-1.0,RBN,2-Norbornanemethanol,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001418-B,-1.0,RBN,cis-2-Decenoic acid,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001418-B,-1.0,RBN,L-(+)-Threose,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001555-B,-1.0,RBN,"1,2-Bis(trimethylsiloxy)cyclohexene",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001555-B,-1.0,RBN,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001555-B,-1.0,RBN,"13-Docosenamide, (Z)",,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001555-B,-1.0,RBN,"2,4-Dimethoxybenzaldoxime",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001555-B,-1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001555-B,-1.0,RBN,6-Nitroveratryl alcohol,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001555-B,-1.0,RBN,Diclofenac,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001555-B,-1.0,RBN,Isosorbide,,CSF,1.0,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001555-B,-1.0,RBN,Luciferin,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001555-B,-1.0,RBN,Octadecanoic acid,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001767-B,1.0,RBN,"2,4-Dimethoxybenzaldoxime",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001767-B,1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001767-B,1.0,RBN,"4,5-Dihydro-1H-pyrazole",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001767-B,1.0,RBN,Isosorbide,,CSF,1.0,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001767-B,1.0,RBN,L-Val-L-Leu,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001767-B,1.0,RBN,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001767-B,1.0,RBN,Octadecanoic acid,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001767-B,1.0,RBN,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001864-B,-1.0,RBN,"1,2-Bis(trimethylsiloxy)cyclohexene",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001864-B,-1.0,RBN,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001864-B,-1.0,RBN,"2,4-Dimethoxybenzaldoxime",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001864-B,-1.0,RBN,"3,4-Dihydroxybenzaldehyde",,CSF,-1.0,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001864-B,-1.0,RBN,4-tert-Butyldimethylsiloxy-3-penten-2-one,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001864-B,-1.0,RBN,L-Val-L-Leu,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001864-B,-1.0,RBN,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001918-B,1.0,RBN,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001918-B,1.0,RBN,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001918-B,1.0,RBN,Luciferin,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001918-B,1.0,RBN,L-Val-L-Leu,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001946-B,-1.0,RBN,"2,4-Dimethoxybenzaldoxime",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000001946-B,-1.0,RBN,"4,5-Dihydro-1H-pyrazole",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000001946-B,-1.0,RBN,L-Val-L-Leu,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002068-B,-1.0,RBN,"1,2-Bis(trimethylsiloxy)cyclohexene",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002068-B,-1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002068-B,-1.0,RBN,"3,4-Dihydroxybenzaldehyde",,CSF,-1.0,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002068-B,-1.0,RBN,L-Threonine,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002068-B,-1.0,RBN,m-Toluic acid,1.0,CSF,0.5,-0.8116794499134279,-0.5,-0.8183739719664755,True,-1.0,-1.0,False,True,False,False
ENSMUSG00000002068-B,-1.0,RBN,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002068-B,-1.0,RBN,Octadecanoic acid,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002500-B,1.0,RBN,"13-Docosenamide, (Z)",,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002500-B,1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002500-B,1.0,RBN,"3,3-Dimethylacrylic acid",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002500-B,1.0,RBN,5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,-1.0,CSF,,0.9705882352941178,,0.9075315120579291,True,1.0,-1.0,False,False,False,True
ENSMUSG00000002500-B,1.0,RBN,L-(+)-Threose,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002550-B,-1.0,RBN,"1,2-Bis(trimethylsiloxy)cyclohexene",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002550-B,-1.0,RBN,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002550-B,-1.0,RBN,"13-Docosenamide, (Z)",,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002550-B,-1.0,RBN,3-(4-Methoxyphenyl)coumarin,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002550-B,-1.0,RBN,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002550-B,-1.0,RBN,L-(+)-Threose,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002550-B,-1.0,RBN,L-Val-L-Leu,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002550-B,-1.0,RBN,Octadecanoic acid,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002718-B,-1.0,RBN,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002718-B,-1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002718-B,-1.0,RBN,7-Hydroxy-4-(methoxymethyl)coumarin,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002718-B,-1.0,RBN,cis-2-Decenoic acid,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002718-B,-1.0,RBN,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002718-B,-1.0,RBN,L-Val-L-Leu,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002718-B,-1.0,RBN,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002732-B,1.0,RBN,"1,2-Bis(trimethylsiloxy)cyclohexene",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002732-B,1.0,RBN,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002732-B,1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002732-B,1.0,RBN,2-Norbornanemethanol,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002732-B,1.0,RBN,"3,4-Dihydroxybenzaldehyde",,CSF,-1.0,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002732-B,1.0,RBN,cis-2-Decenoic acid,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002732-B,1.0,RBN,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002984-B,-1.0,RBN,"13-Docosenamide, (Z)",,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002984-B,-1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002984-B,-1.0,RBN,"3,4-Dihydroxybenzaldehyde",,CSF,1.0,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002984-B,-1.0,RBN,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002984-B,-1.0,RBN,"4,5-Dihydro-1H-pyrazole",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000002984-B,-1.0,RBN,7-Hydroxy-4-(methoxymethyl)coumarin,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002984-B,-1.0,RBN,cis-2-Decenoic acid,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002984-B,-1.0,RBN,L-Val-L-Leu,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000002984-B,-1.0,RBN,"Oxymorphone, bis(trimethylsilyl) ether",1.0,CSF,0.0,0.6179143806533246,,0.8756597221654879,True,1.0,-1.0,False,False,False,True
ENSMUSG00000002984-B,-1.0,RBN,Tyr-Val,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000004031-B,-1.0,RBN,"13-Docosenamide, (Z)",,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000004031-B,-1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000004031-B,-1.0,RBN,"3,4-Dihydroxybenzaldehyde",,CSF,1.0,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000004031-B,-1.0,RBN,L-(+)-Threose,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000004031-B,-1.0,RBN,Tyr-Val,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005124-B,1.0,RBN,2-Norbornanemethanol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000005124-B,1.0,RBN,Glabridin,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005124-B,1.0,RBN,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000005124-B,1.0,RBN,L-Val-L-Leu,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005124-B,1.0,RBN,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005251-B,1.0,RBN,"3,4-Dihydroxybenzaldehyde",,CSF,-1.0,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005251-B,1.0,RBN,"4,5-Dihydro-1H-pyrazole",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005251-B,1.0,RBN,cis-2-Decenoic acid,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005251-B,1.0,RBN,L-(+)-Threose,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005251-B,1.0,RBN,Tyr-Val,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000005360-B,1.0,RBN,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005360-B,1.0,RBN,"2,4-Dimethoxybenzaldoxime",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005360-B,1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000005360-B,1.0,RBN,"3,4-Dihydroxybenzaldehyde",,CSF,-1.0,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005360-B,1.0,RBN,Chlorobenzilate ,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005360-B,1.0,RBN,cis-2-Decenoic acid,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005360-B,1.0,RBN,L-(+)-Threose,,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005360-B,1.0,RBN,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,CSF,,-1.0,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005469-B,-1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000005469-B,-1.0,RBN,2-Norbornanemethanol,,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005469-B,-1.0,RBN,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000005469-B,-1.0,RBN,"4,5-Dihydro-1H-pyrazole",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000005469-B,-1.0,RBN,L-(+)-Threose,,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000006019-B,-1.0,RBN,"1,2-Bis(trimethylsiloxy)cyclohexene",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000006019-B,-1.0,RBN,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
ENSMUSG00000006019-B,-1.0,RBN,"13-Docosenamide, (Z)",,CSF,,1.0,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000006019-B,-1.0,RBN,"2,4-Dimethoxybenzaldoxime",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000006019-B,-1.0,RBN,2-Aminoquinolin-8-ol,,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000006019-B,-1.0,RBN,"3,3-Dimethylacrylic acid",,CSF,,,,1.0,True,1.0,,True,False,False,False
ENSMUSG00000006019-B,-1.0,RBN,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,CSF,,,,-1.0,True,-1.0,,True,False,False,False
