Gene,ctx_direction,Metabolite,cpx_direction,Sign,edge_direction
ENSMUSG00000001918-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000001918-B,1.0,Luciferin,,-,
ENSMUSG00000001918-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000001946-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000001946-B,-1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000001946-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000002068-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000002068-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000002068-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000002068-B,-1.0,L-Threonine,,+,
ENSMUSG00000002068-B,-1.0,m-Toluic acid,1.0,-,-1.0
ENSMUSG00000002068-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000002068-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000002500-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000002500-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000002500-B,1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000002500-B,1.0,5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,-1.0,+,-1.0
ENSMUSG00000002500-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000002550-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000002550-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000002550-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000002550-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000002550-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000002550-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000002550-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000002550-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000002718-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000002718-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000002718-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000002718-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000002718-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000002718-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000002718-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000002732-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
