Gene,ctx_direction,Metabolite,cpx_direction,Sign,edge_direction
ENSMUSG00000019888-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000019888-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000019888-B,-1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000019888-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000019891-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000019891-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000019891-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000019891-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000019891-B,-1.0,Glycine,-1.0,-,1.0
ENSMUSG00000019891-B,-1.0,"Glycine, tert.-butyldimethylsilyl ester",-1.0,-,1.0
ENSMUSG00000019891-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000019891-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000019891-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-,
ENSMUSG00000019891-B,-1.0,Tyr-Val,,-,
ENSMUSG00000019933-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000019933-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000019933-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000019933-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000019933-B,1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-,
ENSMUSG00000019933-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000020130-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000020130-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000020130-B,1.0,Isosorbide,,+,
ENSMUSG00000020130-B,1.0,L-Tyrosine,-1.0,-,-1.0
ENSMUSG00000020135-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000020135-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000020135-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000020135-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000020135-B,-1.0,4-Methylvaleric acid,,+,
ENSMUSG00000020135-B,-1.0,Adipoyl-L-carnitine,,+,
ENSMUSG00000020135-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000020135-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000020193-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000020193-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000020193-B,1.0,Isosorbide,,-,
ENSMUSG00000020193-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000020193-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000020225-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000020225-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000020225-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000020225-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000020225-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000020225-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000020225-B,-1.0,L-Serine,,+,
ENSMUSG00000020225-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000020225-B,-1.0,Tyr-Val,,-,
ENSMUSG00000020374-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000020374-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000020374-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000020374-B,-1.0,2-Norbornanemethanol,,+,
ENSMUSG00000020374-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000020374-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000020411-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000020411-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000020411-B,-1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000020411-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000020411-B,-1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000020411-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000020456-B,-1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000020456-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000020456-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000020456-B,-1.0,Glabridin,,+,
ENSMUSG00000020456-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000020456-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000020553-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000020553-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000020553-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000020553-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000020553-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000020553-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000020553-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000020605-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000020605-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000020605-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000020605-B,-1.0,2-Ethyl-1-butanol,-1.0,+,1.0
ENSMUSG00000020605-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000020605-B,-1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000020605-B,-1.0,Diclofenac,,+,
ENSMUSG00000020605-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000020642-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000020642-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000020642-B,1.0,2-Ethyl-1-butanol,-1.0,+,-1.0
ENSMUSG00000020642-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000020642-B,1.0,3-Amino-5-methylisoxazole,1.0,-,1.0
ENSMUSG00000020642-B,1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000020642-B,1.0,Isosorbide,,+,
ENSMUSG00000020642-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000020642-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000020642-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000020644-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000020644-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000020644-B,1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000020644-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000020644-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000020644-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000020644-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000020644-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000020644-B,1.0,Tyr-Val,,+,
ENSMUSG00000020758-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000020758-B,-1.0,Glabridin,,+,
ENSMUSG00000020758-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000020758-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000020758-B,-1.0,Sulindac,,-,
ENSMUSG00000020758-B,-1.0,Tyr-Val,,+,
ENSMUSG00000020905-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000020905-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000020905-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000020905-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000020905-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000020905-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000020905-B,-1.0,Tyr-Val,,-,
ENSMUSG00000020917-B,1.0,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1.0,-,-1.0
ENSMUSG00000020917-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000020917-B,1.0,"2-Allyl-1,4-dimethoxybenzene",-1.0,-,-1.0
ENSMUSG00000020917-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000020917-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000020917-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000020917-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000020917-B,1.0,"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",-1.0,-,-1.0
ENSMUSG00000020917-B,1.0,Tyr-Val,,+,
ENSMUSG00000020963-B,1.0,"2-Allyl-1,4-dimethoxybenzene",-1.0,+,-1.0
ENSMUSG00000020963-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000020963-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,-,
ENSMUSG00000020963-B,1.0,Diclofenac,,+,
ENSMUSG00000020963-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000020963-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000020963-B,1.0,Tyr-Val,,-,
ENSMUSG00000021044-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000021044-B,-1.0,"1,2-Cyclohexanediol, (Z)",1.0,-,-1.0
ENSMUSG00000021044-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000021044-B,-1.0,"2-Methylcyclohexanol, (Z)",1.0,-,-1.0
ENSMUSG00000021044-B,-1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000021044-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000021044-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000021044-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000021125-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000021125-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000021125-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000021125-B,1.0,Isosorbide,,+,
ENSMUSG00000021125-B,1.0,Luciferin,,+,
ENSMUSG00000021483-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000021483-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000021483-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000021483-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000021483-B,1.0,Tyr-Val,,+,
ENSMUSG00000021607-B,-1.0,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,-,-1.0
ENSMUSG00000021607-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000021607-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000021607-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000021607-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000021607-B,-1.0,Octacosanol,-1.0,-,1.0
ENSMUSG00000021607-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000021607-B,-1.0,Sulindac,,-,
ENSMUSG00000021661-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000021661-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000021661-B,1.0,2-Butoxyethanol,1.0,-,1.0
ENSMUSG00000021661-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000021661-B,1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000021661-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000021661-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000021661-B,1.0,Luciferin,,-,
ENSMUSG00000021786-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000021786-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000021786-B,-1.0,3-Methyl-3-buten-1-ol,,+,
ENSMUSG00000021786-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000021786-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000021786-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000021786-B,-1.0,Tyr-Val,,-,
ENSMUSG00000021843-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000021843-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000021843-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000021843-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000021843-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000021843-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000021843-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000021903-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000021903-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000021903-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000021903-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000021903-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000021903-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000021948-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000021948-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000021948-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000021948-B,-1.0,Isosorbide,,+,
ENSMUSG00000021948-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000022132-B,-1.0,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,-,-1.0
ENSMUSG00000022132-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000022132-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000022132-B,-1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000022132-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000022132-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000022132-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000022132-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000022132-B,-1.0,L-Ornithine,,+,
ENSMUSG00000022132-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000022148-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000022148-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000022148-B,1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000022148-B,1.0,Chlorobenzilate ,,+,
ENSMUSG00000022148-B,1.0,Isosorbide,,-,
ENSMUSG00000022148-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000022148-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000022148-B,1.0,Tyr-Val,,+,
ENSMUSG00000022468-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000022468-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000022468-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000022468-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000022468-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000022468-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000022468-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000022505-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000022505-B,1.0,"2,4,4'-Trihydroxybenzophenone",1.0,-,1.0
ENSMUSG00000022505-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000022505-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000022505-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000022505-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000022505-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000022505-B,1.0,Tyr-Val,,+,
ENSMUSG00000022505-B,1.0,Xylazine,1.0,-,1.0
ENSMUSG00000022674-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000022674-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000022674-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000022674-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-,
ENSMUSG00000022674-B,-1.0,Glycine,-1.0,-,1.0
ENSMUSG00000022674-B,-1.0,Isosorbide,,-,
ENSMUSG00000022674-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000022674-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000022674-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000022718-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000022718-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000022718-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000022718-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000022718-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000022718-B,1.0,Tyr-Val,,-,
ENSMUSG00000022765-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000022765-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000022765-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000022765-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000022765-B,-1.0,Luciferin,,-,
ENSMUSG00000022789-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000022789-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000022789-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000022789-B,-1.0,4-Methylvaleric acid,,+,
ENSMUSG00000022789-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000022789-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000022789-B,-1.0,Tyr-Val,,-,
ENSMUSG00000022790-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000022790-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000022790-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000022790-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000022790-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000022790-B,-1.0,Palmitic Acid,,+,
ENSMUSG00000022855-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000022855-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000022855-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000022855-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000022855-B,1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000022855-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000022855-B,1.0,Isosorbide,,+,
ENSMUSG00000022863-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000022863-B,1.0,Isosorbide,,-,
ENSMUSG00000022863-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000022876-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000022876-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000022876-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000022876-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000022876-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000022876-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000023186-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000023186-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000023186-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000023186-B,1.0,"2-Cyclohexen-1-one, 3-methyl-",-1.0,-,-1.0
ENSMUSG00000023186-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,-,
ENSMUSG00000023186-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000023186-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000023186-B,1.0,Isosorbide,,+,
ENSMUSG00000023186-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000023186-B,1.0,Luciferin,,+,
ENSMUSG00000023186-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000023707-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000023707-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000023707-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000023707-B,1.0,"2,4-Imidazolidinedione, 5,5-dimethyl",,+,
ENSMUSG00000023707-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000023707-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000023707-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000023707-B,1.0,Diclofenac,,+,
ENSMUSG00000023707-B,1.0,"Kojic acid, bis(tert-butyldimethylsilyl) ether",1.0,+,1.0
ENSMUSG00000023707-B,1.0,L-Serine,,+,
ENSMUSG00000023707-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000023707-B,1.0,Tyr-Val,,-,
ENSMUSG00000023960-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000023960-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000023960-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000023960-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000023960-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000023960-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000023960-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000023960-B,-1.0,Luciferin,,-,
ENSMUSG00000023960-B,-1.0,Octacosanol,-1.0,-,1.0
ENSMUSG00000023960-B,-1.0,Sulindac,,-,
ENSMUSG00000023960-B,-1.0,Tyr-Val,,-,
ENSMUSG00000024140-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000024140-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000024140-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000024140-B,-1.0,Chlorobenzilate ,,+,
ENSMUSG00000024140-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000024164-B,1.0,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",1.0,+,1.0
ENSMUSG00000024164-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000024164-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000024164-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000024164-B,1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000024172-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000024172-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000024172-B,-1.0,Glabridin,,+,
ENSMUSG00000024172-B,-1.0,Isosorbide,,+,
ENSMUSG00000024172-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000024172-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000024172-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000024172-B,-1.0,Tyr-Val,,-,
ENSMUSG00000024220-B,-1.0,1-Butanol,,-,
ENSMUSG00000024220-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000024220-B,-1.0,"Benzene, 1-ethyl-3,5-dimethyl",,-,
ENSMUSG00000024220-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000024220-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000024325-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000024325-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000024325-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
