ID,3329.0,3297.0,3353.0,3354.0,3675.0,3678.0,3679.0,3681.0,3687.0,3680.0,UNK5,UNK6,UNK11,NAME,3302.0,3307.0,3319.0,3337.0,3369.0,3673.0,3674.0,3677.0,3688.0
ENSMUSG00000027374-P,6.110649065165843,6.649287211316158,5.873986383940467,5.992616828535889,6.281489013395502,6.582214215958817,6.559474122283782,6.6174685627395045,7.023919267667859,6.808103964276795,,,,,,,,,,,,,
ENSMUSG00000042626-P,4.901669450659759,4.847138132682166,4.644986813525579,5.133946502491584,4.696628289,4.803404267946519,5.038478804,5.709962718837696,4.918348882208348,5.094371298447547,,,,,,,,,,,,,
ENSMUSG00000055681-P,7.428662213833054,7.6876608556954285,7.614997994800281,7.822134709895613,7.4959037219160765,7.960950615677697,7.846269615260247,7.437713922998197,7.429400884,7.341528491046324,,,,,,,,,,,,,
ENSMUSG00000028412-P,6.552529843931969,6.342392431618777,6.1718876485058995,6.514752937320662,6.439025025906531,5.6485955717921845,6.488108530361115,4.923132308808885,5.971020089572597,6.605918848446417,,,,,,,,,,,,,
ENSMUSG00000054484-P,4.901669450659759,4.999484889422392,4.193307477626472,4.324810064406623,4.640050866727639,3.2007063846933876,5.254586462582506,4.1295756828041315,4.6648249410756755,5.061429081,,,,,,,,,,,,,
ENSMUSG00000024425-P,9.860558430986323,9.724923307080068,9.407933717172122,10.008362688993328,9.727359604872294,10.008349151061354,10.083702297772543,9.520601257603044,9.785023298149996,9.672774978773385,,,,,,,,,,,,,
ENSMUSG00000032216-P,10.651601204868486,10.53440873619768,10.382157302690224,10.100898260198404,9.785574034,9.996825365219506,9.786851520330211,9.942335790465384,10.048891722889246,9.383963928077668,,,,,,,,,,,,,
ENSMUSG00000025979-P,7.454353563156125,7.570896812323954,7.520021123605713,7.827183330994231,8.051333262333223,7.772998120695227,7.504367489962307,7.075341491119768,7.502302794343226,7.7457262189419795,,,,,,,,,,,,,
ENSMUSG00000051343-P,5.503643926908903,5.263034636753109,5.301271559092916,5.579139356304217,5.353684723394803,6.268433545203641,6.360712035010066,5.304083292016831,5.659474471740509,5.219096911093906,,,,,,,,,,,,,
