Gene,Metabolite,Pooled r,Pooled p,Pooled FDR
ENSMUSG00000001054,Picolinic acid,-0.105392157,0.6872658389566565,0.7838683032584435
ENSMUSG00000001054,Trimidox,-0.313186813,0.2974384220710292,0.5085134863642311
ENSMUSG00000001054,Trisaminol,-0.56372549,0.01843499,0.195235822
ENSMUSG00000001089,"1-Phenyl-1,2-ethanediol",-0.144874402,0.5790488444189974,0.7110287450732605
ENSMUSG00000001089,"2,4-Diamino-6,7-dimethylpteridine",-0.171568627,0.5102663098717943,0.6636569843402798
ENSMUSG00000001089,4-Methylvaleric acid,-0.486487955,0.047678002,0.2579093736319316
ENSMUSG00000001089,DL-Phenylalanine,-0.253832053,0.3255651330510166,0.531289584
ENSMUSG00000001089,L-Lysine,0.5998606959379895,0.018083881,0.1942879978899409
ENSMUSG00000001441,"2',2,3,6'-Tetramethoxychalcone",-0.533095665,0.040729388,0.2447716144885149
ENSMUSG00000001441,Cyclobutanol,-0.536363636,0.088953418,0.3164329712940067
ENSMUSG00000001441,p-Toluic acid,-0.022008274,0.9431081531400504,0.9587780937015205
ENSMUSG00000001687,1-Cyclopentylethanol,0.001471671,0.9956841717756224,0.9960074308639036
ENSMUSG00000001687,"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",0.1839362700107789,0.4797604115952789,0.6414337381884179
ENSMUSG00000001687,2-Heptenoic acid,0.5384615384615384,0.057634433,0.2730488021371879
ENSMUSG00000001687,Allylescaline ,0.4107910030240729,0.1014274956218884,0.3302767759602761
ENSMUSG00000001687,"Benzene, 3-cyclohexen-1-yl-",-0.471428571,0.076070429,0.2977311860044244
ENSMUSG00000001687,"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-",0.3406593406593406,0.2547064607541252,0.4758344690814181
ENSMUSG00000001687,"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",0.1276074580206301,0.6255026700987909,0.7414968002341183
ENSMUSG00000001687,Decanoic acid,-0.160412111,0.5528708959771769,0.6939602796040127
ENSMUSG00000001687,"Ethanol, 2-(9-octadecenyloxy)-",-0.468531469,0.1244547911888339,0.3571299623268242
ENSMUSG00000001687,Glycolic acid,0.2233130515361026,0.3889258180759009,0.5769480782379566
ENSMUSG00000001687,L-Asparagine,0.4021978021978022,0.1539744295414035,0.3870649080967887
ENSMUSG00000001855,(pm)-Phenylpropanolamine,0.3384842711805246,0.1997135257925827,0.4276417298877561
ENSMUSG00000001855,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0.2122700984381635,0.4133964308707337,0.5939733675984268
ENSMUSG00000001855,"3-Buten-2-one, 4-(4-methoxyphenyl)-",-0.072348266,0.7825946373194845,0.8492365544367007
ENSMUSG00000001855,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",0.4068627450980392,0.1050639493104401,0.3343937517490699
ENSMUSG00000001855,4-(Methoxycarbonyl)phenol,0.321078431,0.208898183,0.4350423421383916
ENSMUSG00000001855,"Benzene, 4-ethenyl-1,2-dimethoxy-",0.1620031212009442,0.548886945,0.691171977
ENSMUSG00000001855,Benzenepropanoic acid,-0.264900734,0.3214349773996681,0.5280254078644305
ENSMUSG00000001855,"Benzimidazole, 5-trifluoromethyl-2-methyl-",0.459178188,0.063718617,0.2819524575438907
ENSMUSG00000001855,Benzoic Acid,0.4919506977241677,0.062506445,0.2800617301810588
ENSMUSG00000001855,"Benzoic acid, pentadecyl ester",0.5916116391937866,0.015779106,0.1867327451683978
ENSMUSG00000001855,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",0.5116568268711803,0.03577858,0.2345280354065666
ENSMUSG00000001855,D-Fructose,0.5722738762938072,0.020529464,0.2000359027650284
ENSMUSG00000001855,"D-Xylofuranose, 1,2,3,5-tetrakis-O-",-0.025044763,0.9294030813946744,0.94998843
ENSMUSG00000001855,Dimethyl fumarate,-0.397351101,0.1275000739296463,0.3607500940662923
ENSMUSG00000001855,DL-Phenylalanine,0.5027591380294625,0.039691852,0.2422736257095973
ENSMUSG00000001855,Glyoxime,0.1951663261037415,0.4857717755404994,0.6454214042295011
ENSMUSG00000001855,"Guanidine, N,N-dimethyl-",0.1413651420344258,0.5883715738125622,0.7178020625886046
ENSMUSG00000001855,Hexanedioic acid,-0.035320098,0.896677626,0.9275189980744148
ENSMUSG00000001855,Indole-3-lactic acid,0.4323529411764706,0.094421038,0.3230931222125708
ENSMUSG00000001855,L-Glutamic acid,-0.088343625,0.7359922459788757,0.8170519130738804
ENSMUSG00000001855,"Propanetriol, 2-methyl-",0.4242796628248634,0.089623943,0.3164329712940067
ENSMUSG00000001855,Propylamine,0.2448615812429991,0.3790908034291379,0.5696133794314927
ENSMUSG00000001855,"Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",0.3146853146853147,0.3191387855033045,0.5257952276934742
