Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR,"('Gene', 'Metabolite')"
ENSMUSG00000000305,"L-Tryptophan, N-acetyl-1",-0.257142857,0.6227871720116618,6,-0.5,0.6666666666666667,3,-0.357142857,0.4316113520383278,7,-0.388521076,0.1369674025967696,16,TRUE,-,0.3707238425308561,"('ENSMUSG00000000305', 'L-Tryptophan, N-acetyl-1')"
ENSMUSG00000000305,Palmitic Acid,-0.2,0.704,6,-0.4,0.6,4,-0.428571429,0.337368311,7,-0.353157638,0.1643810654046422,17,TRUE,-,0.3954284788429447,"('ENSMUSG00000000305', 'Palmitic Acid')"
ENSMUSG00000000305,"Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",0.3999999999999999,0.6,4,0.5,0.6666666666666667,3,0.1,0.8728885715695383,5,0.4965034965034965,0.1006026318322548,12,TRUE,+,0.3292499349226388,"('ENSMUSG00000000305', 'Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-')"
ENSMUSG00000000305,"Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-",0.1428571428571428,0.7871720116618075,6,0.5,0.6666666666666667,3,0.1261312447773782,0.7875721594074739,7,0.4856513456068396,0.056508862,16,TRUE,+,0.2711788210224509,"('ENSMUSG00000000305', ""Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-"")"
ENSMUSG00000001014,(CH3)2C=NC2H558,0.2571428571428572,0.6227871720116618,6,0.2108185106778919,0.7891814893221081,4,0.3349469226516178,0.4627290357186038,7,0.3504751308402086,0.1678348656606413,17,TRUE,+,0.3985096474452261,"('ENSMUSG00000001014', '(CH3)2C=NC2H558')"
ENSMUSG00000001014,"1-Butanamine, N,N-diethyl-",0.2319084142609793,0.658373571,6,0.7378647873726218,0.2621352126273781,4,0.300964633,0.5118887848136866,7,0.4452623513536528,0.073279911,17,TRUE,+,0.295515103,"('ENSMUSG00000001014', '1-Butanamine, N,N-diethyl-')"
ENSMUSG00000001014,"1-Propanamine, N,N-diethyl- ",0.2,0.704,6,0.2108185106778919,0.7891814893221081,4,0.4213504858001922,0.3464609618698652,7,0.4538885399221943,0.067237477,17,TRUE,+,0.287523021,"('ENSMUSG00000001014', '1-Propanamine, N,N-diethyl- ')"
ENSMUSG00000001014,2-Ethyl-3-hydroxypropionic acid,0.1428571428571428,0.7871720116618075,6,0.7378647873726218,0.2621352126273781,4,0.300964633,0.5118887848136866,7,0.3572624081740521,0.1591894084115647,17,TRUE,+,0.3909807163492145,"('ENSMUSG00000001014', '2-Ethyl-3-hydroxypropionic acid')"
ENSMUSG00000001014,2-Hydroxy-5-methoxybenzaldehyde,0.2029198624783569,0.6997979681570189,6,0.2108185106778919,0.7891814893221081,4,0.1576220812478201,0.7357240883178837,7,0.2261696894963692,0.3827271464630827,17,TRUE,+,0.5731009195623125,"('ENSMUSG00000001014', '2-Hydroxy-5-methoxybenzaldehyde')"
ENSMUSG00000001014,2-Hydroxybutyric acid,-0.086965655,0.8698803787001028,6,-0.5,0.6666666666666667,3,-0.670820393,0.215169943,5,-0.312782355,0.2762307179119804,14,TRUE,-,0.4922973668063357,"('ENSMUSG00000001014', '2-Hydroxybutyric acid')"
ENSMUSG00000001014,2-Pyrrolidinone,-0.371428571,0.4684781341107871,6,-0.737864787,0.2621352126273781,4,-0.020064309,0.9659446272953888,7,-0.115697079,0.6583545931838891,17,TRUE,-,0.7645710702437767,"('ENSMUSG00000001014', '2-Pyrrolidinone')"
ENSMUSG00000001014,"2,2-Diallylpyrrolidine",0.5,0.6666666666666667,3,0.8660254037844387,0.3333333333333332,3,0.8603090020146066,0.061343779,5,0.3179596808285686,0.3406536689320305,11,TRUE,+,0.5421254598396186,"('ENSMUSG00000001014', '2,2-Diallylpyrrolidine')"
