Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"Cholesta-3,5-dien-7-one",ENSMUSG00000069727,False,False,False,0.0,,,
"Cyclohexene, 3,3-dimethyl-1-(trimethylsilyloxy)-",ENSMUSG00000069727,False,False,False,0.0,,,
"Cyclopentanone, 2,2,4-trimethyl-",ENSMUSG00000069727,False,False,False,0.0,,,
D-Fucitol,ENSMUSG00000069727,False,False,False,0.0,,,
Decanoic acid,ENSMUSG00000069727,False,False,False,0.0,,,
Dimethyl fumarate,ENSMUSG00000069727,False,False,False,0.0,,,
Dobutamine,ENSMUSG00000069727,False,False,False,0.0,,,
Doconexent,ENSMUSG00000069727,False,False,False,0.0,,,
Dodecanamide,ENSMUSG00000069727,False,False,False,0.0,,,
"Dodecanamide, N-(2-hydroxyethyl)-",ENSMUSG00000069727,False,False,False,0.0,,,
Dopamine,ENSMUSG00000069727,False,False,False,0.0,,,
"Ethanol, 2-(9-octadecenyloxy)-",ENSMUSG00000069727,False,False,False,0.0,,,
Glucose,ENSMUSG00000069727,False,False,False,0.0,,,
Glyceric acid,ENSMUSG00000069727,False,False,False,0.0,,,
Homocysteine thiolactone,ENSMUSG00000069727,False,False,False,0.0,,,
Hydroquinone,ENSMUSG00000069727,False,False,False,0.0,,,
Indole-5-carboxylic acid,ENSMUSG00000069727,False,False,False,0.0,,,
Isonicotinic Acid,ENSMUSG00000069727,False,False,False,0.0,,,
Itaconic acid,ENSMUSG00000069727,False,False,False,0.0,,,
l-Histidine ethyl ester,ENSMUSG00000069727,False,False,False,0.0,,,
L-Hydroxyproline,ENSMUSG00000069727,False,False,False,0.0,,,
L-Ornithine,ENSMUSG00000069727,False,False,False,0.0,,,
Methyl isovanillate,ENSMUSG00000069727,False,False,False,0.0,,,
Methylmalonic monoamide,ENSMUSG00000069727,False,False,False,0.0,,,
Mirin,ENSMUSG00000069727,False,False,False,0.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000069727,False,False,False,0.0,,,
N-(Trimethylsilyl)hexanamide,ENSMUSG00000069727,False,False,False,0.0,,,
N-Acetyl-D-galactosamine,ENSMUSG00000069727,False,False,False,0.0,,,
N-Isobutyl-sec-butylamine,ENSMUSG00000069727,False,False,False,0.0,,,
N-Isovaleroylglycine,ENSMUSG00000069727,False,False,False,0.0,,,
N-Valerylglycine,ENSMUSG00000069727,False,False,False,0.0,,,
"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",ENSMUSG00000069727,False,False,False,0.0,,,
"N,N-Dimethyl-2-cyclohexyloxyethylamine",ENSMUSG00000069727,False,False,False,0.0,,,
Neostigmine,ENSMUSG00000069727,False,False,False,0.0,,,
Oct-1-en-3-ol,ENSMUSG00000069727,False,False,False,0.0,,,
Ornithine,ENSMUSG00000069727,False,False,False,0.0,,,
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",ENSMUSG00000069727,False,False,False,0.0,,,
Pentylone,ENSMUSG00000069727,False,False,False,0.0,,,
Phenanthridin-6-ol,ENSMUSG00000069727,False,False,False,0.0,,,
Phloroglucinol,ENSMUSG00000069727,False,False,False,0.0,,,
"Piperidine, 1-(1-methylpentyl)-",ENSMUSG00000069727,False,False,False,0.0,,,
"Propiophenone, 3',4'-dimethoxy-",ENSMUSG00000069727,False,False,False,0.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000069727,False,False,False,0.0,,,
"Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",ENSMUSG00000069727,False,False,False,0.0,,,
"Pyrrolo[1,2-a]pyrazine-1,4-dione, hexahydro-3-(2-methylpropyl)",ENSMUSG00000069727,False,False,False,0.0,,,
"Quinoline, 2,4-dimethyl-",ENSMUSG00000069727,False,False,False,0.0,,,
Sedoheptulose anhydride,ENSMUSG00000069727,False,False,False,0.0,,,
"Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-",ENSMUSG00000069727,False,False,False,0.0,,,
"Tacrine, N-trimethylsilyl-",ENSMUSG00000069727,False,False,False,0.0,,,
Thymidine,ENSMUSG00000069727,False,False,False,0.0,,,
Tributyl acetylcitrate,ENSMUSG00000069727,False,False,False,0.0,,,
Tricine,ENSMUSG00000069727,False,False,False,0.0,,,
Trimethylsilyl oct-2-enoate,ENSMUSG00000069727,False,False,False,0.0,,,
Trimidox,ENSMUSG00000069727,False,False,False,0.0,,,
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide",ENSMUSG00000094002,False,False,False,0.0,,,
