Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"Gulonic acid, gamma-lactone",ENSMUSG00000055150,False,False,False,1.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000055150,False,False,False,1.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000055150,False,False,False,1.0,,,
Thymidine,ENSMUSG00000055150,False,False,False,1.0,,,
5-Aminovaleric acid,ENSMUSG00000023341,False,False,False,1.0,,,
"4,4,5,8-Tetramethyl-chroman-2-one",ENSMUSG00000103657,False,False,False,1.0,,,
"Methyl 2,4-dihydroxybenzoate",ENSMUSG00000103657,False,False,False,1.0,,,
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",ENSMUSG00000087640,False,False,False,1.0,,,
"2,6,10-Trimethyltridecane",ENSMUSG00000087640,False,False,False,1.0,,,
"5alpha-Pregnane-3,20-dione",ENSMUSG00000087640,False,False,False,1.0,,,
"7-Keto-3alpha,12-alpha-dihydroxycholanic acid",ENSMUSG00000087640,False,False,False,1.0,,,
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-",ENSMUSG00000087640,False,False,False,1.0,,,
Cyclo(L-prolyl-L-valine),ENSMUSG00000087640,False,False,False,1.0,,,
"D-(+)-Xylose, tetrakis",ENSMUSG00000087640,False,False,False,1.0,,,
L-Norleucine,ENSMUSG00000087640,False,False,False,1.0,,,
"Methyl galactoside (1R,2S,3S,4R,5R)-",ENSMUSG00000087640,False,False,False,1.0,,,
Pentacosanoic acid,ENSMUSG00000087640,False,False,False,1.0,,,
Tetradecanenitrile,ENSMUSG00000087640,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000004098,False,False,False,1.0,,,
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",ENSMUSG00000100075,False,False,False,1.0,,,
10-Nonadecenoic acid,ENSMUSG00000100075,False,False,False,1.0,,,
2-Piperidinone,ENSMUSG00000100075,False,False,False,1.0,,,
"4,4,5,8-Tetramethyl-chroman-2-one",ENSMUSG00000100075,False,False,False,1.0,,,
"Acetohydrazide, 2-(2-isopropyl-5-methylphenoxy)-N2-benzylideno-",ENSMUSG00000100075,False,False,False,1.0,,,
"Furan-2-carboxaldehyde, 5-(1-piperidyl)-",ENSMUSG00000100075,False,False,False,1.0,,,
"Methyl 2,4-dihydroxybenzoate",ENSMUSG00000100075,False,False,False,1.0,,,
Pentacosanoic acid,ENSMUSG00000100075,False,False,False,1.0,,,
Sinomenin,ENSMUSG00000100075,False,False,False,1.0,,,
"1-Decanol, 2-methyl-",ENSMUSG00000078485,False,False,False,1.0,,,
10-Nonadecenoic acid,ENSMUSG00000078485,False,False,False,1.0,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000078485,False,False,False,1.0,,,
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",ENSMUSG00000078485,False,False,False,1.0,,,
"4-Methylethcathinone, N-acetyl-",ENSMUSG00000078485,False,False,False,1.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000078485,False,False,False,1.0,,,
Mitoxantrone,ENSMUSG00000078485,False,False,False,1.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000078485,False,False,False,1.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000078485,False,False,False,1.0,,,
"Quinoline, 2,4-dimethyl-",ENSMUSG00000078485,False,False,False,1.0,,,
Sedoheptulose anhydride,ENSMUSG00000078485,False,False,False,1.0,,,
Thymidine,ENSMUSG00000078485,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000053749,False,False,False,1.0,,,
6-Hydroxyflavone,ENSMUSG00000053749,False,False,False,1.0,,,
"Methyl 2,4-dihydroxybenzoate",ENSMUSG00000053749,False,False,False,1.0,,,
Naphthofluorescein,ENSMUSG00000053749,False,False,False,1.0,,,
"Furan-2-carboxaldehyde, 5-(1-piperidyl)-",ENSMUSG00000085197,False,False,False,1.0,,,
Cyclo(L-prolyl-L-valine),ENSMUSG00000091007,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000022085,False,False,False,1.0,,,
alpha-D-Mannopyranose,ENSMUSG00000022085,False,False,False,1.0,,,
"Furan-2-carboxaldehyde, 5-(1-piperidyl)-",ENSMUSG00000105970,False,False,False,1.0,,,
"Methanone, [1-(5-chloropentyl)-1H-indol-3-yl](4-methyl-1-naphthalenyl)-",ENSMUSG00000105970,False,False,False,1.0,,,
"D-(+)-Xylose, tetrakis",ENSMUSG00000053746,False,False,False,1.0,,,
10-Nonadecenoic acid,ENSMUSG00000049744,False,False,False,1.0,,,
"1-Decanol, 2-methyl-",ENSMUSG00000028051,False,False,False,1.0,,,
2-Piperidinone,ENSMUSG00000028051,False,False,False,1.0,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000028051,False,False,False,1.0,,,
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",ENSMUSG00000028051,False,False,False,1.0,,,
"4-Methylethcathinone, N-acetyl-",ENSMUSG00000028051,False,False,False,1.0,,,
5-Methyluridine,ENSMUSG00000028051,False,False,False,1.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000028051,False,False,False,1.0,,,
"9(E),11(E)-Conjugated linoleic acid",ENSMUSG00000028051,False,False,False,1.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000028051,False,False,False,1.0,,,
Naphthofluorescein,ENSMUSG00000028051,False,False,False,1.0,,,
"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000028051,False,False,False,1.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000028051,False,False,False,1.0,,,
Thymidine,ENSMUSG00000028051,False,False,False,1.0,,,
"1-Decanol, 2-methyl-",ENSMUSG00000098113,False,False,False,1.0,,,
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000098113,False,False,False,1.0,,,
"2-Propanone, bis(1-methylethyl)hydrazone",ENSMUSG00000098113,False,False,False,1.0,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000098113,False,False,False,1.0,,,
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",ENSMUSG00000098113,False,False,False,1.0,,,
"4-Methylethcathinone, N-acetyl-",ENSMUSG00000098113,False,False,False,1.0,,,
"4,4,5,8-Tetramethyl-chroman-2-one",ENSMUSG00000098113,False,False,False,1.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000098113,False,False,False,1.0,,,
"D-(+)-Xylose, tetrakis",ENSMUSG00000098113,False,False,False,1.0,,,
Dodecanamide,ENSMUSG00000098113,False,False,False,1.0,,,
"Methyl 2,4-dihydroxybenzoate",ENSMUSG00000098113,False,False,False,1.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000098113,False,False,False,1.0,,,
N-Acetyl-L-phenylalanine,ENSMUSG00000098113,False,False,False,1.0,,,
Phthalazin-1-one,ENSMUSG00000098113,False,False,False,1.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000098113,False,False,False,1.0,,,
Thymidine,ENSMUSG00000098113,False,False,False,1.0,,,
"Xylonic acid, 2,3,4-tris-O-(trimethylsilyl)-, delta-lactone",ENSMUSG00000098113,False,False,False,1.0,,,
Naphthofluorescein,ENSMUSG00000007379,False,False,False,1.0,,,
Xylose,ENSMUSG00000007379,False,False,False,1.0,,,
L-Norleucine,ENSMUSG00000087083,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000091183,False,False,False,1.0,,,
"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000091183,False,False,False,1.0,,,
"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]",ENSMUSG00000091183,False,False,False,1.0,,,
5-Aminovaleric acid,ENSMUSG00000105729,False,False,False,1.0,,,
"Arabinonic acid, 2,3,5-tris-O-(trimethylsilyl)-, gamma-lactone",ENSMUSG00000105729,False,False,False,1.0,,,
L-Norleucine,ENSMUSG00000105729,False,False,False,1.0,,,
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",ENSMUSG00000105729,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000070527,False,False,False,1.0,,,
"2-Pentenedioic acid, 3-methyl-",ENSMUSG00000085890,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000001014,False,False,False,1.0,,,
"Furan-2-carboxaldehyde, 5-(1-piperidyl)-",ENSMUSG00000043263,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000018570,False,False,False,1.0,,,
"1-Decanol, 2-methyl-",ENSMUSG00000018570,False,False,False,1.0,,,
1-Hexadecanol,ENSMUSG00000018570,False,False,False,1.0,,,
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",ENSMUSG00000018570,False,False,False,1.0,,,
"1,2,3-Butanetriol",ENSMUSG00000018570,False,False,False,1.0,,,
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000018570,False,False,False,1.0,,,
"2-Pentenedioic acid, 3-methyl-",ENSMUSG00000018570,False,False,False,1.0,,,
2-Piperidinone,ENSMUSG00000018570,False,False,False,1.0,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000018570,False,False,False,1.0,,,
"2,2'-Biphenyldiol",ENSMUSG00000018570,False,False,False,1.0,,,
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",ENSMUSG00000018570,False,False,False,1.0,,,
3-Ethylphenol,ENSMUSG00000018570,False,False,False,1.0,,,
3-Methyl-2-butanol,ENSMUSG00000018570,False,False,False,1.0,,,
"4-(tert-Butylamino)-6-ethylamino-5H-1,3,5-triazin-2-one",ENSMUSG00000018570,False,False,False,1.0,,,
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",ENSMUSG00000018570,False,False,False,1.0,,,
"4-Methylethcathinone, N-acetyl-",ENSMUSG00000018570,False,False,False,1.0,,,
5-Methyluridine,ENSMUSG00000018570,False,False,False,1.0,,,
6-Hydroxyflavone,ENSMUSG00000018570,False,False,False,1.0,,,
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol",ENSMUSG00000018570,False,False,False,1.0,,,
"7-Keto-3alpha,12-alpha-dihydroxycholanic acid",ENSMUSG00000018570,False,False,False,1.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000018570,False,False,False,1.0,,,
"Carbonic diamide, N,N'-dibutyl-N'-methyl-",ENSMUSG00000018570,False,False,False,1.0,,,
"Cholesta-2,4-diene",ENSMUSG00000018570,False,False,False,1.0,,,
Cyclo(L-prolyl-L-valine),ENSMUSG00000018570,False,False,False,1.0,,,
"Cyclohexene, 3,3-dimethyl-1-(trimethylsilyloxy)-",ENSMUSG00000018570,False,False,False,1.0,,,
"D-(+)-Xylose, tetrakis",ENSMUSG00000018570,False,False,False,1.0,,,
Ecgonine,ENSMUSG00000018570,False,False,False,1.0,,,
Homocysteine thiolactone,ENSMUSG00000018570,False,False,False,1.0,,,
meso-Erythritol,ENSMUSG00000018570,False,False,False,1.0,,,
"Methyl 2,4-dihydroxybenzoate",ENSMUSG00000018570,False,False,False,1.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000018570,False,False,False,1.0,,,
N-Acetyl-D-galactosamine,ENSMUSG00000018570,False,False,False,1.0,,,
N-Acetyl-L-phenylalanine,ENSMUSG00000018570,False,False,False,1.0,,,
Octopamine,ENSMUSG00000018570,False,False,False,1.0,,,
"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]",ENSMUSG00000018570,False,False,False,1.0,,,
Phenanthridin-6-ol,ENSMUSG00000018570,False,False,False,1.0,,,
Phthalazin-1-one,ENSMUSG00000018570,False,False,False,1.0,,,
"Propanoic acid, 2-oxo-",ENSMUSG00000018570,False,False,False,1.0,,,
"Propiophenone, 3',4'-dimethoxy-",ENSMUSG00000018570,False,False,False,1.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000018570,False,False,False,1.0,,,
Thymidine,ENSMUSG00000018570,False,False,False,1.0,,,
Tricine,ENSMUSG00000018570,False,False,False,1.0,,,
"Xylonic acid, 2,3,4-tris-O-(trimethylsilyl)-, delta-lactone",ENSMUSG00000018570,False,False,False,1.0,,,
"2-Pentenedioic acid, 3-methyl-",ENSMUSG00000066800,False,False,False,1.0,,,
(6S)-5-Methyltetrahydrofolic acid,ENSMUSG00000086851,False,False,False,1.0,,,
"1-Decanol, 2-methyl-",ENSMUSG00000051297,False,False,False,1.0,,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",ENSMUSG00000051297,False,False,False,1.0,,,
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",ENSMUSG00000051297,False,False,False,1.0,,,
8-Hydroxy-5-(hydroxymethyl)quinoline,ENSMUSG00000051297,False,False,False,1.0,,,
"Morpholine, 4-(2,6-dimethoxybenzoyl)-2,6-dimethyl-",ENSMUSG00000051297,False,False,False,1.0,,,
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",ENSMUSG00000051297,False,False,False,1.0,,,
Thymidine,ENSMUSG00000051297,False,False,False,1.0,,,
